,CEBPA,HOXA9,PLAGL2,MEIS1,ETV6,FLAG_GFI1,RUNX1,FOSL2,FLI1,GATA2,SP1,E2F3,ZNF281,SREBF1,LMO2,STAT5B,ZMYND8,LYL1,MYC,TFAP4,RUNX2,MAX,IRF8,MYB,ZEB2,RXRA,SPI1,MEF2C,FLAG_MEF2D,activation,repression,ELF2,JUND,FLAG_SPI1,FLAG_IRF2BP2,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1,MLL_KTM2A,RARA,IKZF1,AFF4,CTCF,BRD4,CEBPB,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,super_enhancer,promoters
CEBPA,1.0,0.7352710133542812,0.40315556507460554,0.5603592746718888,0.600357355568791,0.5158896455386764,0.4956299864805682,0.49618684461391804,0.5144146821711186,0.6203720426223587,0.4463435831643422,0.3744977230109831,0.34541162584833285,0.44006725918808554,0.48685409345307823,0.48438358045030205,0.5405405405405406,0.657621976910761,0.45938661398868313,0.4568515023951227,0.5189685914140721,0.4625081409653376,0.46708215106066747,0.6023059434881455,0.5792464484249537,0.4896957801766438,0.44267337807606266,0.6162303928985726,0.5097356828193833,0.47466503834004625,0.38533661235782357,0.4493723608996639,0.7922323965898327,0.44299648496219357,0.5560978623501792,0.3728403593642018,0.6179775280898876,0.4461693802852455,0.323943661971831,0.47323371275467085,0.2374336953776206,0.4592833876221498,0.44606223922114047,0.3370313216832798,0.6201608730420057,0.5726251092163538,0.5181569699336197,0.5295738817044732,0.3435406698564593,0.2902638762511374,0.4833393534404912,0.6205378261344201,0.3956285063600511,0.4131283860400655,0.43698368989620845,0.38658916236988033,0.48863636363636365,0.5674902914692954,0.4333570919458304,0.5217160573136329,0.48871789539357385,0.28276746940386893
HOXA9,0.015556959079879001,1.0,0.014564146498179482,0.021710885570640406,0.03648004764740917,0.017592107560677493,0.017346763905021233,0.036939942802669205,0.015677824423226957,0.030160736861116127,0.017340562016305922,0.015804982587731047,0.010504573620537031,0.03050684602450156,0.02095535598073669,0.01664607358594179,0.026012360483350244,0.04339765736917502,0.014815682860682359,0.016947307301495136,0.01538883555067892,0.014545191403140603,0.015014862856370761,0.034345566742448846,0.028536133415688697,0.019627085377821395,0.011541590400650803,0.026630352549553638,0.026255506607929517,0.012001080332084689,0.006429962086279332,0.013989027087582226,0.11114619513735396,0.011189348644280435,0.034783145928580256,0.011970579524138611,0.47191011235955055,0.00782531869241449,0.01232394366197183,0.013972055888223553,0.008840616317251832,0.19543973941368079,0.015950973574408903,0.009175459815656671,0.024036878498518273,0.018468862040914705,0.026356891839125342,0.0185499258002968,0.023604465709728868,0.0075826508947528055,0.01844410330503883,0.012008296641315818,0.006082319613397767,0.00709755995128302,0.008790510485066723,0.008585465512209359,0.23863636363636365,0.015021550804421116,0.012054913384362702,0.018629723766164848,0.013309763959654778,0.005329648637978681
PLAGL2,0.09385699564538111,0.16025137470542028,1.0,0.17201122262601917,0.5501786777843954,0.23773354286712065,0.22183293028923967,0.2867016205910391,0.22004681056581343,0.1213653603034134,0.41567686131688947,0.5748057862309135,0.41699616406019474,0.7355272639923133,0.5160093713393206,0.3702979132344865,0.4382898256618393,0.26662172410887336,0.20698429705025614,0.3410872405283786,0.16628720340145384,0.18296548230696866,0.16881164707471963,0.31617408249431633,0.40247066090179123,0.48892471610822935,0.14482916412446614,0.2712967165985777,0.41837004405286343,0.15131694829671555,0.17770775694230967,0.31545686956022173,0.3034417429744237,0.13522158301027384,0.4539107870999629,0.27152236153618325,0.23595505617977527,0.2522192772098111,0.6144366197183099,0.2186078293862725,0.17352866885577167,0.5472312703583062,0.26249565368567457,0.3860783250615173,0.23980431817112752,0.10927661112952307,0.5736040609137056,0.2729489082043672,0.6462519936204146,0.17385501971489234,0.27054361567635904,0.20257632546122775,0.18105315780703216,0.23409348620385537,0.1258208006778225,0.2715487887926841,0.4431818181818182,0.08507233388810652,0.2853512659208528,0.3251403513672039,0.18207341166683996,0.5747137781287012
MEIS1,0.4946148987800419,0.9057344854673999,0.6521739130434783,1.0,0.8117927337701013,0.5124847214946744,0.5812974846240265,0.661582459485224,0.5740052754764647,0.5134549394979231,0.648636344824732,0.6522234128047147,0.5255827677781056,0.7410521258707663,0.737212026552128,0.6095208676551346,0.7904252375242137,0.7882362854975984,0.5235376837312083,0.608905501524169,0.5411054725003429,0.5422244735509082,0.504745980272936,0.7875121792789866,0.6805435453983941,0.6544932006168512,0.4580791132804556,0.6104302214152418,0.6851101321585903,0.4677603071900797,0.389845271031868,0.6107201332835435,0.8736975055257341,0.453326853306509,0.8150871123192883,0.5498815282851219,0.25842696629213485,0.48437039841810764,0.670774647887324,0.5299670928413444,0.2679969689315484,0.5635179153094463,0.5674113351877608,0.5434374609000292,0.7086175266945764,0.5350848121478714,0.6796173369777431,0.634937460250159,0.6373205741626794,0.4222626630269942,0.6113870326891818,0.5218514610094247,0.3993778814642004,0.4414346310528747,0.34071171361999575,0.49708142815448975,0.36363636363636365,0.4979942815687279,0.5146735256747963,0.624500740161439,0.48393469897057295,0.6085669166995658
ETV6,0.06701459295947877,0.192458758837392,0.2637966730920254,0.10266066620219556,1.0,0.10825912345032303,0.11299198354818439,0.13703527168732127,0.1198684846008099,0.09283005237493228,0.1942639572900716,0.23647200642914545,0.1581587488934789,0.3490271438866202,0.24502147598594298,0.16337177375068643,0.2552347569412416,0.21294345664447628,0.09636053169049452,0.14617506169255334,0.08526951035523248,0.08884868659092554,0.09476759897311174,0.18435368626177331,0.23545398394070413,0.2135847469507921,0.07908785845027455,0.15428456145659958,0.20118942731277534,0.07131366032950129,0.0672712368070499,0.158015683796283,0.2904957372908115,0.0716344360681307,0.2661559372297047,0.12074242274656925,0.39325842696629215,0.10644116285918634,0.26936619718309857,0.10037582492672313,0.03409952008082849,0.254071661237785,0.13314933936022252,0.1470158902281353,0.1363657744955078,0.0722485010996957,0.2762592737212027,0.16567733729065084,0.25103668261563,0.07133757961783439,0.13233700559869965,0.10014191623303373,0.06984946953285563,0.09692999034059888,0.0602626562169032,0.10574958653565522,0.5681818181818182,0.05980881662612555,0.11512597229539186,0.14792056531575568,0.09400020796506187,0.20351362021318595
FLAG_GFI1,0.19642322906625004,0.31657501963864887,0.3888055972013993,0.22106313668631253,0.36926742108397853,1.0,0.26048708037397417,0.31601525262154434,0.23646765984322177,0.21952320751309373,0.3238836237222199,0.3897669434770962,0.33000885216878134,0.5066058131155416,0.3357412469087596,0.3494302580999451,0.34863020016603635,0.328726721159518,0.24570596310309037,0.3053781390622732,0.2175833219037169,0.2174252840292351,0.20465139845966762,0.30212731406300747,0.3589870290302656,0.3825178746670405,0.18397905226764288,0.2940434760679881,0.36162995594713654,0.18262309327258422,0.23145301772722615,0.25878263866946255,0.3261761919797916,0.18164042632548572,0.36908439392067216,0.25101194589791687,0.24719101123595505,0.2136816862299634,0.3767605633802817,0.20751290212368056,0.3402374336953776,0.3713355048859935,0.2689499304589708,0.2813946698919798,0.2575850228138671,0.18589376638245309,0.4488481062085123,0.2722069111723553,0.45773524720893144,0.18720048528965727,0.2602266570344952,0.25685018740220517,0.22215741820807644,0.21973037671664356,0.17242109722516416,0.23423971203424457,0.3181818181818182,0.1610975974053685,0.25851436363072916,0.2972655922688043,0.21888322761776022,0.3401105408606396
RUNX1,0.43261975201941294,0.7156323644933229,0.8317269936460341,0.5748394750221252,0.8835616438356164,0.5971712938711368,1.0,0.6232125834127741,0.6152988817475945,0.4969297453494672,0.7758970326532302,0.8327752477899812,0.6851578636766008,0.8462647129473937,0.8805805024079135,0.7378844041735311,0.8950742551425145,0.8564085278503413,0.6014999832591155,0.7168311801422558,0.6073652448223837,0.5901729502858384,0.49418997432779355,0.793074050016239,0.7710932674490426,0.8009252768820972,0.4600238966849705,0.6267211378423362,0.7961674008810573,0.494381098885614,0.4862178501895686,0.6740585413494958,0.8159141143037575,0.46036823129174814,0.8994192512047449,0.6333300424523645,0.5280898876404494,0.5336783205014936,0.8644366197183099,0.5984967002931075,0.38090426875473604,0.7166123778501629,0.7056023991655076,0.6890353255202902,0.688767110400301,0.5785303244855533,0.7975400234283483,0.7052858455232845,0.8092503987240829,0.47012435547467396,0.7268827885136355,0.6110585495433208,0.49516747208798534,0.5291671916341187,0.3846642660453294,0.6248905535557934,0.7727272727272727,0.4666069218623309,0.6122284545539062,0.714325615171913,0.5594260164292398,0.814251875246743
FOSL2,0.03460426154306419,0.12175962293794187,0.0858856286142643,0.052271828572504564,0.08561643835616438,0.05788370874803562,0.04979340023230573,1.0,0.04491585243526396,0.04587321654325447,0.055787774696850555,0.07835521028663274,0.06497491885511951,0.16022099447513813,0.058050240791357545,0.07166392092257001,0.07065768840512868,0.0890705317266369,0.04431312150534034,0.0946073450428219,0.04221643121656837,0.04715247123525581,0.042764491284961494,0.06519974017538162,0.06831377393452749,0.09855600729006028,0.031777506609721375,0.07822666061431381,0.058325991189427315,0.0340304606676922,0.03166308023363049,0.044293798293740846,0.366277233975371,0.029725239327734892,0.09075744470530088,0.04198341395991707,0.14606741573033707,0.026463040094240397,0.03873239436619718,0.04213195231159303,0.01187168476888103,0.08143322475570032,0.0425721488178025,0.03182216290611836,0.061362246577919936,0.0503148443855262,0.15755564232721594,0.05653310720090453,0.09090909090909091,0.022747952684258416,0.05698031424959364,0.04726902223354318,0.03330000555462979,0.031120070555625552,0.027642448633764034,0.03704154100593443,0.10227272727272728,0.03655101779541672,0.0445319036846509,0.06465938608496495,0.0421129250285952,0.026154757204895383
FLI1,0.4602765681614201,0.6630007855459544,0.845719997144285,0.5818630312388198,0.9608397855866587,0.5557010651300855,0.6307290972447017,0.5762631077216397,1.0,0.4876286797905003,0.7934445226172246,0.8250736672917225,0.6509884921805842,0.8392985827528224,0.8819471560588312,0.7148887973640856,0.8939212249792454,0.8150332855818657,0.5750996082633006,0.6628320510959501,0.5536551913317789,0.5802590636080759,0.5224631806512633,0.7667668074050016,0.8023471278567017,0.7614608159259778,0.5187233068944478,0.626065466283351,0.7695594713656387,0.505313589873061,0.4742801516548827,0.8308677792778559,0.7979160088411746,0.49964397527040927,0.8625355245273694,0.6143745680718729,0.21348314606741572,0.5294290883083007,0.8556338028169014,0.6044487601373829,0.361454912856782,0.6351791530944625,0.6840446801112656,0.7025065687950953,0.6906251469965662,0.5299930704106535,0.7506833268254588,0.7418910324358703,0.7716108452950559,0.4507734303912648,0.6914168322196135,0.5735963029001856,0.48494695328556353,0.4985930872285918,0.34643084092353316,0.6033174433310633,0.3522727272727273,0.4941535441471429,0.6065883665437417,0.7248275284194062,0.5167931787459706,0.8257994472956968
GATA2,0.11418409068244524,0.2623723487824038,0.095952023988006,0.10706686500837931,0.15306730196545562,0.10612013270473197,0.10478511720014472,0.12106768350810296,0.10030835531448527,1.0,0.09373836030294251,0.09074470934904902,0.078312186485689,0.11746336776363199,0.12117662371469479,0.10928061504667765,0.12443501521999815,0.22524648184039775,0.09105367127599022,0.1014298156481347,0.09783294472637498,0.08984731167233519,0.0960680989055533,0.134134459240013,0.12007411982705374,0.11432777232580962,0.09052776082977425,0.13295001765269582,0.12123348017621145,0.09117063375568055,0.0672456194282201,0.09663056904030104,0.21218819071676664,0.09065632876340744,0.13746447547263066,0.07599466877283048,0.7528089887640449,0.08405906853464597,0.06866197183098592,0.09564654474834115,0.06314725940894166,0.23778501628664495,0.09551025730180807,0.07336197188972765,0.12425325744390611,0.11798379078665903,0.1347130027333073,0.11122888841777966,0.11164274322169059,0.058962693357597816,0.10583348383601228,0.0911174993631964,0.06723879353441094,0.07656125320230146,0.08250370684177082,0.07824204689172098,0.375,0.10702854948150045,0.08996250271158078,0.11359383291902914,0.10876572735780389,0.05951440979076194
SP1,0.17925406375693914,0.3291437549096622,0.7170700364103663,0.29512117046717007,0.6989279332936271,0.34162737908154356,0.3569891654131043,0.32125834127740704,0.3561318126091318,0.20453314068990427,1.0,0.8081971604607554,0.571259958689879,0.8099927936584194,0.7519198229858128,0.5211079077429983,0.696015127755742,0.38307912699081487,0.35130746308634947,0.4724197996806503,0.28801261829652997,0.32630436355742093,0.25586069450074317,0.5003653783696005,0.6295243977764052,0.6156596102621618,0.22970052877771,0.37332929843143187,0.6240528634361233,0.26225061355816764,0.2981862895788503,0.4774078648780628,0.5361540890432586,0.21880262667133832,0.687940195230446,0.4685062691282456,0.20224719101123595,0.37704573183558415,0.8186619718309859,0.36185287083490675,0.3372063652437484,0.6742671009771987,0.41444280250347704,0.6484130625182467,0.4026059551248883,0.18480913500647767,0.6105037094884811,0.4416295668150661,0.7614035087719299,0.3374582954200789,0.4276232616940582,0.3438921436628944,0.2995056379492307,0.36000167989584647,0.19106121584410082,0.4503356357622337,0.45454545454545453,0.15002347117313192,0.4475192909603644,0.5107393235203754,0.2846001871685557,0.8886695617844453
E2F3,0.09294285809261045,0.18538884524744698,0.6127650460484043,0.1833844879206131,0.5257593805836808,0.25405971712938713,0.23678047108555325,0.278836987607245,0.22885165508786268,0.12235867798446812,0.49944129454124075,1.0,0.46344054293301856,0.8256065337496997,0.5875309124040089,0.39662273476112025,0.5026289087722535,0.21336479312378867,0.2267050590953226,0.3615909420815793,0.18288300644630368,0.20104204356321007,0.16987569247399,0.34268431308866515,0.42544780728844966,0.510234123089864,0.1483119788488916,0.27437332929843145,0.4764757709251101,0.16421047687267348,0.18303617173890768,0.3288139488122253,0.32743921692453426,0.1411553285034529,0.5153218831088595,0.31079079869681114,0.2247191011235955,0.2964365349825403,0.7253521126760564,0.23806441171710632,0.20232381914624906,0.7068403908794788,0.2875304242002782,0.4844642782666722,0.2638882355708171,0.08963273176463499,0.5736040609137056,0.28927284290862837,0.7658692185007975,0.21455868971792538,0.2893940762145566,0.223117790473418,0.18444148197522636,0.2576960228465835,0.11597119254395255,0.312043973149139,0.4318181818181818,0.0666581316946187,0.3207722582044687,0.35522162947239055,0.16314859103670584,0.7423016186340308
ZNF281,0.0972808562975767,0.13982717989002358,0.5044620546869423,0.1676991733669761,0.3990470518165575,0.24410686223153483,0.2210712721594912,0.26239275500476644,0.20490767916186797,0.11983023297814702,0.4006125067251583,0.5259174926332708,1.0,0.6502522219553207,0.4539893270857738,0.34112438220757824,0.3828060142053316,0.21538720822448806,0.21393176415441792,0.32475685876034255,0.16682210945000686,0.19555684202909038,0.159877043642751,0.2862942513803183,0.3535515750463249,0.4414692275339969,0.1457697783201139,0.24123669743279366,0.3965198237885463,0.1678742117685741,0.23030023567988522,0.27969436704679285,0.2544995263656457,0.14040937192716751,0.40627702953169403,0.2865040971468062,0.20224719101123595,0.2527662080861626,0.5211267605633803,0.22556688424951898,0.2631977772164688,0.4755700325732899,0.2560413769123783,0.3853693122575802,0.2180017874782445,0.11961073785062215,0.49180007809449433,0.2588509645961416,0.641786283891547,0.21571125265392782,0.25896243453133466,0.21003602488992396,0.23157251569182913,0.25916593171223384,0.17517475111205252,0.2864821480688783,0.3409090909090909,0.09894166346605215,0.2817874740462983,0.3057285702315448,0.20983674742643235,0.5362218712988551
SREBF1,0.030449090848652063,0.0997643362136685,0.21860498322267438,0.058090270585798486,0.21634901727218583,0.09206390780513357,0.06708303977759583,0.15896091515729266,0.06490322101274287,0.04415748600325086,0.13955220792120185,0.23017680150013395,0.15975213927412216,1.0,0.18196017180788754,0.12977073036792972,0.15722719306337055,0.07525069520519087,0.06405062443499515,0.12806648279866453,0.04986970237278837,0.05291265648744482,0.0561241724091339,0.11610912633972069,0.14898085237801112,0.20461236506378802,0.0429631889363433,0.11570081202400767,0.1518502202643172,0.0431663124273418,0.04549646480172149,0.09249418320742252,0.16450899905273128,0.0391966273720854,0.17434820215000618,0.08248593148385823,0.21348314606741572,0.08877108839244394,0.2147887323943662,0.06451960942978907,0.026521848951755495,0.33876221498371334,0.08005910987482615,0.1263711056429078,0.08260031045674773,0.027236298996715976,0.29344006247559545,0.08624832167337998,0.39106858054226473,0.056596906278434944,0.0809553910059599,0.0625705032567956,0.047214353163361665,0.07853513082188904,0.036856598178352046,0.08030936861562409,0.2840909090909091,0.01963043571032305,0.09337134711332858,0.10954389296986286,0.05303109077674951,0.20104619028819581
LMO2,0.12433932785958847,0.25294579732914374,0.5660741058042408,0.21330521400192065,0.5606015485407981,0.22520516850008732,0.2576499038406611,0.21258341277407056,0.251736820596649,0.168141592920354,0.4781691015188511,0.6046075542459148,0.4116848627913839,0.6716310353110737,1.0,0.37534321801208126,0.5427082372474864,0.34035560798853964,0.23315029966183412,0.34533313978806796,0.19642024413660678,0.21289528909472466,0.1884542629374409,0.4086148100032478,0.45719579987646697,0.47637740081312213,0.1640863331299573,0.2981288142432037,0.5004845814977974,0.17807865287286134,0.1825494415411415,0.3508172234510097,0.4120618882222924,0.15670739288176588,0.5832818485110589,0.3048672129529075,0.21348314606741572,0.3614371660566284,0.7183098591549296,0.2693891496286706,0.058853245769133616,0.5960912052117264,0.2985917941585535,0.47862534929307254,0.29773272496354486,0.13979693290349793,0.5013666536509176,0.32057805102112924,0.7001594896331739,0.18083105853806491,0.3256953223767383,0.23314289873003166,0.19407876465033605,0.2851203225400025,0.1503918661300572,0.32690436812919543,0.3409090909090909,0.10833013271881535,0.3421859989463572,0.38552635254028994,0.2796090256836851,0.690485590209238
STAT5B,0.23456769604095337,0.3809897879025923,0.7702577282787177,0.334400361534261,0.7087552114353782,0.44442989348699147,0.4093722032865548,0.49761677788369874,0.3869116171935951,0.28752031786165794,0.6283574059512478,0.7739083846772034,0.5865447034523458,0.9082392505404756,0.711701158401666,1.0,0.6791808873720137,0.5027386871155305,0.3768707938527472,0.5506241834809116,0.322397476340694,0.34859251754830306,0.32245642480745845,0.5289866839883078,0.6091414453366275,0.7034207205944203,0.28433241814114296,0.5001260906844203,0.6360352422907489,0.2989349334773776,0.3117635003586433,0.4750524229454514,0.5475213135459426,0.26977632605083807,0.6873223773631534,0.42921315036035146,0.25842696629213485,0.38154739366401613,0.75,0.4015212817608027,0.2755746400606214,0.6482084690553745,0.460644123783032,0.5581181966050799,0.43821440331153866,0.3057756620770691,0.751854744240531,0.47519609921560313,0.785645933014354,0.28553230209281166,0.4817364999096984,0.37345802554492197,0.3183636060656557,0.3659233127546092,0.22262232577843677,0.45366767195252455,0.45454545454545453,0.24386548884052406,0.4577148346710465,0.5496187470323716,0.359363626910679,0.718515594157126
ZMYND8,0.19479440215404048,0.4430479183032207,0.6784464910401942,0.3227069877793888,0.8240023823704586,0.3299720621616902,0.3695374831007103,0.3651096282173499,0.360032693093584,0.2436337366805129,0.6245499317137773,0.7298419501741227,0.48982000590144587,0.8188806149411482,0.7657815957308343,0.5054228445908842,1.0,0.5254908569983989,0.328154819700673,0.45837567136013935,0.286353037992045,0.30303205731239596,0.2777327388190785,0.5545631698603443,0.6016059295861643,0.612224870321043,0.23826774455969088,0.4170071115146013,0.6282819383259912,0.2401742622623563,0.22840454964648016,0.460086749202884,0.6589832649194821,0.22385478711981646,0.7769059681205981,0.40542008095567184,0.1797752808988764,0.3480163237830788,0.7658450704225352,0.3404182625739512,0.1346299570598636,0.6188925081433225,0.4120305980528512,0.5179129999582933,0.44329460463803566,0.22741104516284535,0.652869972666927,0.45427884955126846,0.74481658692185,0.23057324840764332,0.4379176449340798,0.3252428950911539,0.23748819641170915,0.3075469320902104,0.15642872272823555,0.37238544605506374,0.3409090909090909,0.1858916912047113,0.4004772382162447,0.4900427338491188,0.2925028595196007,0.7276944334780893
LYL1,0.12970780839676893,0.40455616653574233,0.22588705647176413,0.17613497279078089,0.3762656343061346,0.17028985507246377,0.19351828931584059,0.251906577693041,0.17966340974105585,0.24137619649629763,0.1881388900384886,0.1695687114920975,0.1508409560342284,0.21450876771558972,0.2628530521931537,0.2047638660076881,0.2876118439258371,1.0,0.1606622693943148,0.24067353752358833,0.14855301056096556,0.1553079094001013,0.14119713552222674,0.29035401104254627,0.2680667078443484,0.2430253750175242,0.12449155989424446,0.2173803399404852,0.2279295154185022,0.11999906058079593,0.11328004918536735,0.1866256858070261,0.4306915061572466,0.11737513704126497,0.3010008649450142,0.16191134366669957,0.4606741573033708,0.07753796962430055,0.09683098591549295,0.15367463271654888,0.06087395807021975,0.254071661237785,0.19004259388038944,0.10259832339325187,0.2083352932875488,0.17456539423337653,0.31354939476766885,0.22164511341954632,0.12248803827751197,0.06078252957233849,0.1968349286617302,0.15954659582984607,0.11714714214297617,0.0919742975935492,0.07593730141919085,0.12756591108084445,0.26136363636363635,0.15642470020910682,0.14314047537884658,0.20126805016339414,0.18945617136321097,0.05714567706277142
