,x,y
CEBPA,-108.3214,-156.65628
HOXA9,-182.61472,-109.48711
PLAGL2,73.23307,-39.44906
MEIS1,-162.89014,-99.64374
ETV6,-103.56302,0.08146975
GFI1,-57.495773,-246.42583
RUNX1,-104.7344,-112.71068
FOSL2,56.823097,-143.00072
FLI1,-92.54982,-14.625986
GATA2,-162.55093,-200.8019
SP1,12.307724,130.34703
E2F3,97.75742,-230.99136
ZNF281,-23.790071,53.944157
SREBF1,111.5592,-240.78625
LMO2,75.39706,50.81504
STAT5B,30.748493,78.85655
ZMYND8,-21.215195,-10.9837885
LYL1,-146.847,-183.23828
MYC,38.91044,12.877434
TFAP4,136.85309,-158.94014
RUNX2,-119.38129,-104.89813
MAX,27.270061,0.49972802
IRF8,-181.79388,156.65413
MYB,-140.46272,-61.36661
ZEB2,-46.820595,8.824766
RXRA,121.68545,-153.30074
SPI1,-157.16737,150.63876
MEF2C,6.390738,-74.244316
FLAG_MEF2D,-1.1298653,-50.412888
activation,99.41236,77.38453
repression,14.843976,234.55212
ELF2,52.27217,-25.285418
JUND,29.128857,-139.63016
FLAG_SPI1,-165.75456,137.1211
FLAG_IRF2BP2,-15.611211,-33.036106
SMC1,-73.10234,74.61243
LDB1,-194.31256,-135.82796
H3K79me2,149.95981,68.67448
WDR5,65.478455,17.730742
H3K27ac,71.56965,83.88702
H3K27me3,-9.441717,230.50925
FLAG_GFI1,-50.714226,-232.23605
MYBL2,6.8504977,-148.65334
CDK9,100.44421,156.63176
H3K4me3,114.76444,89.78751
FOXP1,-133.82832,-84.05749
MLL_KTM2A,-66.826195,-78.43489
RARA,98.85313,-145.822
IKZF1,-8.245737,13.07455
AFF4,123.979996,167.27798
CTCF,-78.47875,89.593475
BRD4,79.90392,145.15216
CEBPB,-92.50314,-160.04086
H3K36me2,30.837084,237.07285
PSER2,-125.45933,66.78054
H3K36me3,193.20256,70.76804
H3K9ac,121.32311,71.77696
CDK13,-32.015667,-148.14972
H3K4me1,-76.290405,-65.75452
POLII,117.563324,37.647945
MED1,51.33396,79.49241
promoters,129.67476,108.21158
enhancer,65.425186,109.680824
super_enhancer,64.946846,171.56131
