,sum,max,mean,std
CEBPA,60582,173.885,10.216833082320242,58.90199193717583
HOXA9,1286,36.84465,7.166863998185601,11.7223074115914
PLAGL2,13998,1424.57,8.47153457422508,277.0963370125472
MEIS1,53640,99.0501,10.042491799030907,99.52729836912675
ETV6,6388,80.06743333333334,9.861272917933288,43.16587390298845
HEX,1287,60.1936,6.043693247863242,32.72976938678011
FLAG_GFI1,23148,82.7514,5.944877972610978,30.108174715203678
RUNX1,52583,85.43705000000001,8.391427396938179,24.200804669763794
FOSL2,4232,367.017,10.63319313799621,124.79172632447168
FLI1,53323,512.89,16.271436975789985,440.4291038891251
GATA2,11393,191.227,16.701466130972136,369.5908154889787
SP1,24160,684.427,14.950291999351638,414.32054437779027
E2F3,14940,598.145,11.178990107764355,144.92099478633983
ZNF281,17034,3947.19,23.402531449453928,7229.873933270901
SREBF1,4161,645.24,7.146092393655399,173.15048386940538
LMO2,15364,43.67068500000001,6.627837107795308,11.154184488286738
STAT5B,29080,293.2390000000001,6.15567119944978,107.88654742198796
ZMYND8,21702,45.17605,7.4101676783805,12.580322283594422
FLAG_MEF2C,1986,67.9814,5.439572477341384,21.16599035657964
LYL1,11903,89.225,8.939533828446644,54.304895676689775
MYC,59172,83.14914499999999,5.6980484318317375,16.979199896532535
TFAP4,27535,1356.1,8.80603514072979,176.6955929369764
RUNX2,72887,75.82466666666667,9.528343037606339,61.544478052222274
MAX,68454,110.47425,10.254735571419186,62.35216553760079
IRF8,54927,259.9731033333333,11.174952969821888,174.56456891494318
MYB,24787,125.9535,8.406009827537137,49.557300245209724
ZEB2,8097,812.1889333333335,7.4133337321847526,236.84331277079008
RXRA,14230,1240.17,7.336501671820051,169.57140605981357
FLAG_MEF2D,21042,88.84995,4.384754130469262,4.2451980892152354
activation,79768,29.194000000000003,5.820857257452732,22.742398625302624
repression,36526,17.2976,3.9677386745629977,1.765795881029045
ELF2,33961,114.32690000000001,11.703607287331065,90.97736826820449
JUND,3156,63.0745,5.6061824730275465,5.365168202693131
FLAG_SPI1,76094,64.5072,15.781983032304668,158.28397411207263
FLAG_IRF2BP2,16183,30.6387,4.817848527951145,3.4631643856440126
SMC1,39735,86.7097,9.911954953585399,80.68326583951449
LDB1,89,30.1347,9.160256292134829,22.580286564562808
H3K79me2,21982,16.2274,5.37104045415945,5.985124446904727
WDR5,562,42.445660000000004,9.331042729240801,52.51866990178074
H3K27ac,53846,18.188991666666666,4.507062263533455,3.7676221607731204
H3K27me3,3736,16.9388,3.987990259725191,1.1100849385928424
MYBL2,307,35.3844,8.544033360477744,19.670216073975517
CDK9,45084,65.1886,5.603496947013714,8.111068871728587
H3K4me3,23630,29.194000000000003,11.904954484059843,33.982042669783624
FOXP1,41897,78.395,6.858631540279005,17.316490250255963
MLL_KTM2A,31238,15.3435,4.82648938054088,1.3362026074375222
RARA,5113,343.55300000000005,8.057823171327987,80.04827643368822
IKZF1,27713,75.8411,6.8946877041056025,13.09816562518801
AFF4,3120,96.5899,5.6134823443910244,14.381021825103334
CTCF,15823,77.6791,19.214732368493053,127.37188616873068
BRD4,43614,13.187515000000001,3.934814606168121,1.0051976886947744
CEBPB,53659,150.145,9.464376452784498,90.95002006978848
H3K36me2,33706,17.2976,3.9466371353665926,1.8296365201331115
PSER2,22207,59.9647,7.8805400210518615,51.61274191417783
H3K36me3,8488,14.5761,3.6374276112551156,1.1215392600534917
H3K9ac,39871,22.1905,5.778884576780909,11.29290776390584
CDK13,89,75.1149,7.114837284644193,72.85584741572478
H3K4me1,43216,5.40321,3.0028737939266326,0.1299242257551614
POLII,30929,94.57036,4.216275727338756,10.810681649180498
MED1,36010,29.56706,3.86973494512547,1.573045015537498
ATAC,86491,21.9178,5.045409475359707,3.324785286020131
promoters,10097,1.0,1.0,0.0
super_enhancer,9111,36.16949159767471,6.212544307735206,13.223711040401136
regular_enhancer,62030,1.0,1.0,0.0
