,CEBPA,HOXA9,PLAGL2,MEIS1,ETV6,HEX,FLAG_GFI1,RUNX1,FOSL2,FLI1,GATA2,SP1,E2F3,ZNF281,SREBF1,LMO2,STAT5B,ZMYND8,FLAG_MEF2C,LYL1,MYC,TFAP4,RUNX2,MAX,IRF8,MYB,ZEB2,RXRA,FLAG_MEF2D,activation,repression,ELF2,JUND,FLAG_SPI1,FLAG_IRF2BP2,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,FLAF_MEF2D,MYBL2,CDK9,H3K4me3,FOXP1,MLL_KTM2A,RARA,IKZF1,AFF4,CTCF,BRD4,CEBPB,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,ATAC,promoters,super_enhancer,regular_enhancer
CEBPA,0.0,1.447129713611241,-0.529399507637104,0.4461924257845833,0.4587727009097661,-3.346169303364095,0.14318270818774703,0.021050490653276296,0.006737622142774771,0.1817632022491257,0.8763590257319964,-0.26825013309553847,-0.6955479673579452,-0.853341544203893,-0.30418453992679856,-0.03021696755634464,-0.04003818165260077,0.2794367099647785,-1.4768058833981323,0.9706427487631316,-0.1743475645482248,-0.19993049739192728,0.18513006453792571,-0.15748139500174063,0.14408652034224004,0.6499919056647155,0.4935871514943154,-0.013890076096664787,0.25647199658505243,0.010338464734963224,-0.5427412038441277,-0.19650793896608362,1.9862115087322034,-0.00794384900699968,0.3807369096638758,-0.6718828479327479,0.670525301249165,-0.1649418036314458,-0.9821184367216894,-0.045347393329124665,-1.6321376046420595,-0.7171607202998259,-0.3618961764432126,-0.2224672781324563,-0.9033667585363166,0.7856157068024089,0.6062906330238834,0.1414562719487061,0.2617871757345154,-0.8746605015140396,-1.1992026959651623,-0.01820343939798039,0.7657483451059999,-0.47618294074203926,-0.3662140745571314,-0.15391687732688847,-0.5742578779596764,-0.05237638532425221,0.6156259202834592,-0.2755380323070441,0.1850937954346841,-0.178003396411181,-1.3043234959295937,0.07880852691315596,0.18989363905557458
HOXA9,0.5669433947900262,0.0,0.49325189565271255,1.0620310360280965,1.842063458485584,1.6398841067972052,0.7431469044902518,0.7428522418751229,1.857884337899558,0.6070670350448445,1.5382810211253062,0.7235105203906165,0.6041424532759302,0.008347225595807434,1.5877827647972473,1.019628551762645,0.6868081273034207,1.337420547385797,0.8463554455741832,2.1073820718656924,0.500716354983405,0.7052526287169926,0.5753981656217223,0.49980176922489195,0.6496378633472655,1.7515413170014495,1.4757550256762704,0.9319726965264354,1.4195455888221653,0.29768091470062363,-0.6097239846875736,0.4684439739084158,3.5899427743371923,0.315666976396322,1.7713047342540114,0.22986468228498608,6.403149026304246,-0.3071965092653724,0.25643141602325936,0.46405457886374296,-0.1179640987582386,0.769500428207803,4.55364328742677,0.6504069409819752,-0.17469142517662967,1.2480034291962332,0.9131082281116034,1.3718226247764433,0.8765033306057928,1.2021735943447809,-0.40708840428647913,0.8561891495821545,0.2358503709858889,-0.6977518162756592,-0.4700332659589005,-0.07912256869116224,-0.2537002644160532,4.870275036731544,0.6534301899477668,0.26310329371024677,0.8531741193448288,0.3314035292271487,-1.0283297702764387,0.4324388366737728,0.4011206452743016
PLAGL2,-0.326527339225045,0.5634629564038804,0.0,0.6765004910638104,3.375063500949937,2.3218384103234038,1.2569831512987328,1.149676414358607,1.6265759635543897,1.1550048417017058,0.04870185312921673,2.46867750623342,3.3921098217919012,2.463280644581468,4.4386331857480545,3.0545638569000912,2.201411174752474,2.6023658535323335,3.049332106534954,1.4920645768648622,1.0390152171661204,2.011758670807525,0.6343784129134885,0.820482773907472,0.8014194141193632,1.84167686207083,2.3914113292818033,2.9045398762188017,2.4754373560191785,0.5875215980241661,0.8663737261792829,1.8977350000878188,1.7640398394200336,0.5378299602377873,2.6948165637960897,1.5770094951087494,1.3554760928126093,1.5490508128722986,3.6745072706168984,1.1867054624123674,0.8070273779023175,3.551796595523957,3.2544886441371,1.512928831959439,2.327389072397135,1.3209295564034012,0.02607327809598056,3.397107083257108,1.5916419539244189,3.8491247028038984,0.7744201774668767,1.5634432598017156,1.029284872601757,0.898919253698471,1.3838332956433055,0.33144389025479953,1.5990466292127854,2.603679693720608,-0.34520297442261144,1.7195381263051113,1.9052653657211556,0.5098259945156928,3.4036280606081557,0.8926459844196482,-0.33856017993348747
MEIS1,0.39486402261168235,3.5374243802129066,1.279309820495295,0.0,2.4449938681498153,-7.952826968561012,0.4151117688451079,0.8500729666317882,1.31709089222434,0.8465492837550412,0.3788099942810685,1.2537661048878932,1.2744853583014644,0.5029977721362076,1.8884561978833405,1.864283850222867,1.0257846276084606,2.283308773285488,-0.4859252350875114,2.2531771118469717,0.5192834151673607,1.0194986532988066,0.6197496991437119,0.6433738728077574,0.6613642918926377,2.2669039252914915,1.4607929971056328,1.3033703958001626,1.7061857115848909,0.3489659869540019,-0.142603094661378,1.1069750500256474,3.186112831082556,0.4793064982304847,2.5211471290010263,0.7172193731271564,-1.0649268257786277,0.48463224735675575,1.4111589546927303,0.6399933153451336,-0.988329826413394,1.1455025598341182,0.779295479002546,0.8306941800700649,0.669757665651801,1.7119276963807812,0.7407973441048133,1.4692365066020174,1.2515222051444508,1.1969370688466372,0.00562373301116772,1.0807581769080696,0.568890384991451,-0.08414417433475785,0.19776720137224027,-0.3790094829544986,0.4362451965178671,-0.5313061982120262,0.5704178641405795,0.5751588532444606,1.1459281656105507,0.4076756460318998,1.0219170122117518,0.42347137049616135,0.223681454301259
ETV6,0.22751783212519244,2.015106322126329,2.686756765388458,0.9595724942894973,0.0,-1.7940628157556813,1.061145427146645,1.140074219261818,1.4811094600070114,1.2714274348895782,0.7623133725529723,2.0816047626147776,2.473923029832374,1.7352786334843768,3.274673582534812,2.526514590821722,1.78971819584041,2.597192239492828,1.4794219015651202,2.2387665129120045,0.9010701142319236,1.6021476996412742,0.6775805145759528,0.7611862316274963,0.9812398408597164,1.9735477448132828,2.431525448964713,2.270378867660786,2.2394060283890282,0.5084790764918323,0.43814561406848535,1.7671231391573705,2.838420839905643,0.6540651788763187,2.681927495208139,1.3011358635173047,3.633214445376879,1.2054788314303793,2.7596573124359054,1.0097568938916295,-0.5684906024278347,2.4641741409519,2.612506388248292,1.457761684493514,1.6429519910569401,1.4627791158364936,0.47728741769291105,2.779791417524576,1.8296256032586133,2.616095183732957,0.5041688612539081,1.440846159080454,0.9707215540403831,0.49362563516067565,1.0287045908136943,0.3371306565429633,1.1087548775506988,4.6157077270256766,0.20733981743661567,1.2713759653468661,1.594669212813938,0.4436072380918118,2.204212855584157,0.9290494825379717,-0.08961436691061875
HEX,-2.5122898374926996,1.6399091766512512,1.8185644324399237,-7.1466268302688984,-1.7504093266676757,0.0,1.7935486012205235,-4.53240050670302,2.9080520426026237,-7.138074903437655,-0.6350027217127406,-5.188272653208994,1.3390828604006593,1.3671357571637845,3.198725498751386,-5.757734818299806,1.3031147095570392,-5.840987249817818,5.0311636297870725,-1.0366006018711271,0.5062923828099887,1.0208405516346999,-4.16197057142608,-4.175788669027855,-0.1560962685469898,-6.032776017884115,-1.4591541810303903,1.5704434306142456,-2.1786236858225254,-3.6094623463159605,-3.4210013300409208,-4.2385692439327345,0.3168227556953301,-5.258492257793581,-6.417725950903517,-5.391544305247271,4.374462640108593,-6.859616566847983,-1.564995817956356,-3.903318351094387,-0.5376398513509304,2.906673274202613,3.4609993905765886,-1.1010487181965656,-5.378715941424187,-3.659783403091827,-4.78121045413696,3.0096218016130702,-4.193154899813193,2.5430234424204836,-2.7982959255396733,-3.8929943767737023,-5.9770783501003235,-5.016528087740715,-3.228958440145064,-1.0533297539980395,-6.7186202268801996,4.5844650809262415,-7.834923957266688,1.1212721249085715,0.9532521807835641,-1.225845584887477,-5.15196067158866,-5.588789767118077,-3.288742985430462
FLAG_GFI1,0.08788385122195101,0.9732227478190424,1.453369416731508,0.2753422550426361,1.3513857288208166,2.9125865364579178,0.0,0.6035430612571026,0.9812873093827194,0.43767048888323945,0.23608794800796706,1.042812393926676,1.4539323509884101,1.0863784893409278,2.1385054406340105,1.1183759074060657,1.2130619294643161,1.2027370461084408,3.110073616031545,1.0719063038858159,0.4993795090147738,0.9270137301095742,0.26985977782526754,0.2705723479234923,0.3062115567314767,0.8973411774360279,1.272321396324298,1.419963378740076,1.170439394073368,0.05731687196231397,0.4754954908956947,0.6364312844507014,1.0666551074872272,0.17890545890350196,1.3343208678837217,0.5645867798483937,0.5892414527301048,0.3650473768956378,1.408597106583964,0.24300475481727407,1.217667735273946,2.037023757915806,1.3505065929282065,0.7023464064680558,0.779929890689463,0.6019153358594543,0.0776416886084998,1.8173174917100667,0.7286919040766356,1.8783757615253747,0.056130499016948145,0.6228775087868753,0.6167623312862449,0.40086010978043174,0.404148762994252,0.03386900057124438,0.4498765736433438,0.9866912005262631,-0.1438631542738367,0.6633215897188814,0.8781295447515813,0.17130239605405476,1.1512444653146912,0.36369096383965555,-0.20188580657407085
RUNX1,0.01866693744377953,1.7144251052478618,2.7360274641721083,0.8328158765522758,3.3840155299208847,-5.2946905475475186,0.9562433592811959,0.0,1.1150334088843334,1.1407195727248074,0.32392234812835635,2.2130852590195182,2.7393589048261595,1.5209247641354624,2.880165042424796,3.320428671744371,1.932979530687388,3.513571917397103,0.29796129105063396,2.9710961034365724,1.0321473481515226,1.7720173135990185,1.0519448143777321,0.9771551786835341,0.63966387303707,2.358162971188189,2.169542657973548,2.4465463216758976,2.678312480793067,0.5746873340351782,0.5176564561219725,1.5816678867475071,2.5862162243871816,0.6072176478223005,3.5872736038190554,1.2857228150126387,0.7157676247467234,0.8530038910415921,3.2128179703288886,1.1165856394394966,-0.14975849745016548,2.467192351638348,1.831568352660422,1.7818310675174938,1.632318992420174,1.6241405320209943,1.070810237987462,2.4222805736026602,1.785721223899644,2.5415003467782675,0.34729153403414365,1.91188937020279,1.1621458139767036,0.5694955971067618,0.7986473666450055,-0.02522305433468684,1.266200705104851,2.3043413790202587,0.4423485116724224,1.234758963501967,1.7805518047567128,0.5956994249771393,2.5764674990308682,0.9451383268994127,0.24675034499487414
FOSL2,0.0035512953985268095,1.9549414883230312,1.398148743975446,0.6210059344129193,1.434965692024804,3.161679759331049,0.773322276899288,0.5549440264479574,0.0,0.4138490327416811,0.3783424016254067,0.7262054830982052,1.2493384382720196,0.9537105990473486,2.4250996918425205,0.7864102078291416,1.1170733987587398,1.08886561256673,2.611780474443493,1.4525305331308072,0.3814345273379887,1.5586154127495233,0.3092768707318503,0.48892138289637027,0.44593329987900215,0.9592864906785014,1.0304299581680862,1.6201898552301,0.5107443484546986,0.09213958544839523,-0.03234242205591457,0.4137561500301779,4.032590985769666,0.0026214025653578847,1.4873631312998303,0.3270385491247257,2.390182558325056,-0.27122924499135476,0.12447896571527794,0.3732503257525011,-1.4827788952538485,1.301385212668664,1.315951164139264,0.3497706250178516,-0.0957490606770987,0.8967660001706833,0.6600442785120383,2.3959385858738798,0.7811069364316902,1.5139657781226479,-0.5606410706605287,0.7866428116908634,0.5125619061521751,0.0420414147183093,-0.05084404050089464,-0.16659840483709296,0.15353828761628346,1.8297936734735925,0.21478070849740424,0.449292846749275,0.9693723203531949,0.3171429155004766,-0.3850934120406,0.38935366141004574,0.11224482274609254
FLI1,0.16176574316187323,1.3207973571354537,2.8522154319141726,0.8413257765479147,5.6336750681878085,-7.937704727269982,0.6777620853132872,1.1592786836977014,0.7980654973087199,0.0,0.23677386075538243,2.3271540643441315,2.625643434388492,1.261328178704217,2.771576170807679,3.292257801963373,1.7267284218925643,3.4550019541826047,0.22762183879762632,2.5116964291335755,0.8364890060141565,1.3695619030071957,0.7037760945453594,0.8841770461684734,0.783045241962298,2.1004369394938873,2.412676133211647,2.0769264526775046,2.3804978461713358,0.5870097987439244,0.3770152816841065,2.825853324788581,2.3796142580085125,0.7908554649632052,3.039825046399224,1.1215656468615827,-1.4937547756816807,0.7801132866512982,2.9785619691622993,1.104737601218281,-0.32470281211223684,2.255471536526997,1.228292833751417,1.5763509855602227,1.6959230185341405,1.5988764862195055,0.7165553200302944,1.9971219406341367,2.0128960332239036,2.174525147789002,0.17440628384506113,1.6163309338455671,0.892841949493894,0.43828388824193015,0.5607471619974329,-0.3377732551059639,1.0912561157587692,-0.3062961444546201,0.5470682593573448,1.1549730570949241,1.8269517646123785,0.48040849796668084,2.6565131083982143,0.6266157689001302,0.30049624686179377
