,CEBPA,HOXA9,PLAGL2,MEIS1,ETV6,HEX,FLAG_GFI1,RUNX1,FOSL2,FLI1,GATA2,SP1,E2F3,ZNF281,SREBF1,LMO2,STAT5B,ZMYND8,FLAG_MEF2C,LYL1,MYC,TFAP4,RUNX2,MAX,IRF8,MYB,ZEB2,RXRA,FLAG_MEF2D,activation,repression,ELF2,JUND,FLAG_SPI1,FLAG_IRF2BP2,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,FLAF_MEF2D,MYBL2,CDK9,H3K4me3,FOXP1,MLL_KTM2A,RARA,IKZF1,AFF4,CTCF,BRD4,CEBPB,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,ATAC,promoters,super_enhancer,regular_enhancer
CEBPA,1.0,0.7255054432348367,0.40177168166880983,0.5690902311707681,0.5712273011897308,0.08702408702408702,0.5170209089338171,0.4958636821786509,0.4933837429111531,0.52369521594809,0.640217677521285,0.4459437086092715,0.3744310575635877,0.349183984971234,0.4397981254506128,0.4869825566258787,0.48528198074277856,0.540549258132891,0.2583081570996979,0.6551289590859447,0.4620766578787264,0.457672053749773,0.5242773059667705,0.46498378473135243,0.5171773444753947,0.6033404607253803,0.5771273311102878,0.4898102600140548,0.5365934797072521,0.4940076221041019,0.39955100476372996,0.4582609463796708,0.7934093789607097,0.4908402765001183,0.5579311623308411,0.3782811123694476,0.6067415730337079,0.46369757073969614,0.3291814946619217,0.4843628124651785,0.23822269807280513,0.370928717662386,0.42996742671009774,0.453797356046491,0.34134574693186626,0.6256056519559873,0.5960688904539343,0.5167220809700763,0.5375094720889113,0.3458333333333333,0.2968463628894647,0.4890631448617416,0.6223746249464209,0.41066872366937635,0.4292340253073355,0.4655984919886899,0.39432168744200047,0.48314606741573035,0.5976258793039615,0.44469591645381357,0.5242710358233824,0.46144685574221594,0.28186590076260276,0.5058720228295467,0.5251007576978881
HOXA9,0.015400614043775379,1.0,0.014644949278468353,0.02156972408650261,0.036474639949906074,0.031857031857031856,0.017366511145671334,0.01736302607306544,0.036862003780718335,0.015828066687920785,0.029755112788554375,0.017135761589403973,0.015796519410977244,0.01050839497475637,0.030761836097092043,0.020958083832335328,0.01671251719394773,0.02598838816698922,0.01863041289023162,0.04351844072922793,0.014719799905360643,0.01692391501725077,0.015489730678996255,0.014710608583866538,0.016294354324831138,0.03433251301085246,0.02852908484623935,0.019747013352073087,0.027468871780249027,0.012812155250225655,0.0068718173355965615,0.014398869291245842,0.11280101394169835,0.012970799274581439,0.03478959401841439,0.012231030577576444,0.47191011235955055,0.008461468474206169,0.012455516014234875,0.014355755302158007,0.009635974304068522,0.01768099758049507,0.1986970684039088,0.016302901250998137,0.009267879813796022,0.024464758813280186,0.01949548626672642,0.026598865636612557,0.019016346119149857,0.023717948717948717,0.007899892561461164,0.01875544549915165,0.012281257570957342,0.006467691212247078,0.007565182149772595,0.009896324222431668,0.008778310049910963,0.23595505617977527,0.016336542021473527,0.012512528694752497,0.018717023049153014,0.013111190759732227,0.005150044567693374,0.014048951816485567,0.013751410607770433
PLAGL2,0.09283285464329338,0.1594090202177294,1.0,0.17019015659955258,0.5710707576706324,0.39083139083139085,0.2347071021254536,0.22161154745830403,0.28379017013232516,0.22224931080396826,0.11717721407882033,0.4153145695364238,0.5739625167336011,0.4144064811553364,0.7356404710406153,0.5160114553501692,0.37114855570839067,0.4379780665376463,0.5151057401812689,0.2652272536335378,0.20866288109240858,0.34102051933902305,0.1661064387339306,0.18475180413124143,0.18276985817539643,0.3150441763827813,0.40237124861059653,0.4900210822206606,0.4164528086683775,0.16165630327951058,0.1895909762908613,0.32348870763522863,0.30354879594423323,0.15704260519883304,0.4538095532348761,0.2768591921479804,0.24719101123595505,0.27299608770812483,0.6209964412811388,0.22607064591613119,0.18335117773019272,0.6007816862088219,0.5504885993485342,0.26805518587525506,0.39174777824798984,0.2427620115998759,0.11556437672066074,0.5748093096029728,0.27889438169812003,0.6490384615384616,0.17999115212033118,0.27498051084514147,0.20755138932891035,0.1930813505013944,0.2508668437879948,0.13901979264844486,0.2799277670487322,0.43820224719101125,0.09174842650870048,0.2970674771250283,0.3246320466537073,0.15449006254986067,0.5759136377141725,0.1924047854242125,0.09213283894889569
MEIS1,0.5038790399788716,0.8996889580093312,0.6521645949421346,1.0,0.8079211020663745,0.003108003108003108,0.5073872472783826,0.5820131981819219,0.6580812854442344,0.5814188999118579,0.5010971649258317,0.648137417218543,0.6514056224899598,0.5226018551133028,0.740927661619803,0.7376985160114553,0.6113136176066025,0.7899271956501704,0.3554884189325277,0.7864403931781904,0.5254174271614953,0.6102778282186309,0.5427442479454498,0.5468051538259269,0.5498934950024578,0.7880340501069109,0.6801284426330739,0.6559381588193957,0.7159490542724075,0.4959256844850065,0.4116793516946832,0.6245988045110568,0.8754752851711026,0.5185034299681972,0.8159797318173392,0.5594563986409966,0.2696629213483146,0.519424984077882,0.6725978647686833,0.5462244177840508,0.28024625267665954,0.6308393820956635,0.5700325732899023,0.5787419040014196,0.551333051206094,0.7167577630856624,0.5634803764645624,0.6814003520438099,0.6477826290910403,0.639102564102564,0.43676925993806487,0.6203283349383225,0.5339831156003653,0.42152732451195635,0.4697617868239744,0.37264373232799247,0.5110481302199593,0.34831460674157305,0.5342465753424658,0.5350641792492483,0.6309080810885865,0.506098900463632,0.6106764385461028,0.5088354736033366,0.4742382718039658
ETV6,0.06023241226767027,0.18118195956454122,0.26060865837976854,0.09621551081282625,1.0,0.01554001554001554,0.10251425609123899,0.10765836867428637,0.13256143667296785,0.11672261500665754,0.08496445185640306,0.18812086092715233,0.23319946452476573,0.15416226370787836,0.346310982936794,0.23978130695131475,0.1591471801925722,0.24882499308819464,0.1324269889224572,0.2053263883054692,0.0927465693233286,0.14250953332122754,0.0805081839011072,0.08490373097262395,0.09752944817667085,0.17694759349659095,0.22798567370631098,0.20892480674631062,0.2053987263568102,0.07224701634740748,0.06904670645567541,0.15706251288242395,0.2813688212927757,0.07930980103556128,0.25996415992090466,0.11886246382282623,0.4044943820224719,0.11209171140023656,0.2704626334519573,0.09928314080897374,0.03559957173447537,0.2319932998324958,0.250814332247557,0.13071156064235648,0.14600084638171815,0.131107239181803,0.07081119149753505,0.2732251124584393,0.1628838451268358,0.2512820512820513,0.07204702016052582,0.12938505984316961,0.09688961777148289,0.0715599596511007,0.10046381771513486,0.06467954759660698,0.10559052945750044,0.5730337078651685,0.059445575712699,0.11671893692004268,0.14187725631768952,0.06929044640482825,0.20144597405169853,0.09439139501701241,0.048927938094470415
HEX,0.0018487339473771088,0.03188180404354588,0.035933704814973565,7.457121551081282e-05,0.0031308703819661866,1.0,0.035337826162087436,0.000456421276838522,0.07348771266540642,7.501453406597528e-05,0.00675853594312297,0.00028973509933774837,0.026037483266398927,0.02653516496418927,0.08844027877913962,0.00019526165061181983,0.025412654745529572,0.000184314809694959,0.256797583081571,0.005124758464252709,0.014787399445683769,0.020991465407662974,0.0005899543128404242,0.0005843340053174395,0.009394286962695942,0.00016137491426957678,0.0038285784858589603,0.030428671820098382,0.002328675981370592,0.0008650085247216929,0.0009855992991293873,0.0005594652689850122,0.012991128010139416,0.0002759744526506689,0.00012358647963912748,0.00025166729583490623,0.1797752808988764,9.09835319807115e-05,0.0035587188612099642,0.0007057163020465773,0.007226980728051392,0.07342266890005583,0.10423452768729642,0.004901960784313725,0.0002539145154464664,0.0008353820082583479,0.00038414751264485565,0.07842753764912967,0.0005773463717388952,0.058012820512820515,0.0015167793718005435,0.0007107809418993901,0.00016772582418606385,0.0003263513914436599,0.0011257711532399693,0.005065975494816211,0.00010032354342755386,0.20224719101123595,4.6279155868196966e-05,0.02247082026576999,0.020049986114968065,0.004497577782659468,0.0002971179558284639,0.000219514872132587,0.001080122521360632
FLAG_GFI1,0.19755042751972532,0.31259720062208396,0.3881268752678954,0.21895973154362416,0.37147777082028804,0.6355866355866356,1.0,0.26033128577677195,0.31379962192816635,0.23880876919903232,0.21434213991047135,0.3230546357615894,0.38821954484605087,0.3296935540683339,0.5049267003124249,0.3346133819317886,0.3493810178817056,0.3477559671919639,0.6666666666666666,0.32748046710913215,0.24667072263908604,0.30575631015071725,0.21831053548643792,0.218394834487393,0.22264095981939666,0.30140799612700203,0.35877485488452515,0.3826423049894589,0.34269556125843553,0.19421321833316618,0.24360729343481355,0.26474485439180234,0.3266793409378961,0.20774305464294163,0.36872026200333685,0.25516547124701144,0.25842696629213485,0.22977891001728687,0.3807829181494662,0.21515061471604205,0.3501070663811563,0.48734412804764565,0.3713355048859935,0.27373347529056874,0.2845535336436733,0.2601140893142707,0.19642742813240285,0.44944259730099745,0.2773788474723054,0.4599358974358974,0.19408456044997788,0.26292016325033246,0.26209955459475576,0.23420162582329557,0.2346107083352096,0.19168237511781339,0.24035012916656218,0.3146067415730337,0.17331543872639762,0.2683888906851175,0.29861149680644267,0.20687701610572198,0.33970486283054374,0.229612556250686,0.16762856682250524
RUNX1,0.4303918655706315,0.7099533437013997,0.8324760680097156,0.570544369873229,0.8861928616155291,0.018648018648018648,0.5913685847589425,1.0,0.6176748582230623,0.6218704874069351,0.482840340559993,0.7757036423841059,0.8327978580990629,0.6815780204297288,0.8459504926700312,0.8816714397292372,0.740130674002751,0.8949405584738733,0.4783484390735146,0.8539863899857179,0.6040187926722098,0.7181042309787543,0.6072962256643846,0.5948666257632863,0.5374770149471116,0.7927139226207286,0.7704087933802642,0.8026001405481378,0.8268225453854197,0.5262636646274195,0.5163992772271806,0.6906451517917611,0.8174904942965779,0.5318816201014535,0.8996477785330285,0.6451994463319491,0.550561797752809,0.5739696115003184,0.8736654804270463,0.6179289083683096,0.40203426124197,0.804857621440536,0.7263843648208469,0.7194791943926891,0.6980956411341515,0.6968995393464926,0.6104103975926756,0.7999217680422452,0.7200230938548695,0.8128205128205128,0.4868861783479745,0.7373091209244738,0.6253564173763954,0.5253664036076663,0.5647318413112983,0.42295004712535345,0.6420957588222016,0.7865168539325843,0.5033552388004443,0.637072003621197,0.7193001943904471,0.5298932836942573,0.8164801426166188,0.5895071891120623,0.4694986296953087
FOSL2,0.034465682876101814,0.12130637636080871,0.08579797113873411,0.05192020879940343,0.08782091421415153,0.24164724164724163,0.05736996716778987,0.04971188406899568,1.0,0.04529002494233258,0.04423768980953217,0.05562913907284768,0.07804551539491299,0.06451802277797347,0.1605383321316991,0.05786253579796928,0.0716987620357634,0.07040825730347433,0.17875125881168177,0.08880114256910022,0.04432839856688975,0.0949337207190848,0.042257192640662945,0.04759400473310544,0.04626140149653176,0.0647516843506677,0.06780288995924416,0.09866479269149683,0.04828438361372493,0.036568548791495334,0.033647264961944916,0.04528724124731309,0.3681875792141952,0.03444424001892396,0.09077426929493913,0.042758273562350575,0.15730337078651685,0.02865981257392412,0.037366548042704624,0.04408869739627828,0.012580299785867237,0.08068118369625907,0.08143322475570032,0.04340786088190932,0.032247143461701225,0.06217628947179989,0.05326845508675331,0.15783297477019362,0.05766246887742215,0.09230769230769231,0.023573279403400114,0.05787132572109873,0.048342309770961066,0.035364623509167505,0.0332327644436439,0.030749293119698397,0.03809786561661358,0.11235955056179775,0.039684376156978896,0.04636425361311391,0.06517633990558178,0.04247840815807425,0.026542537387342774,0.04456151904291516,0.037062711591165566
FLI1,0.4609454953616586,0.656298600311042,0.8466209458494071,0.5779828486204325,0.9743268628678773,0.003108003108003108,0.5501123207188526,0.6306220641652245,0.5706521739130435,1.0,0.4738874747652067,0.7932119205298013,0.8251004016064257,0.6469414112950569,0.8392213410237923,0.882192137464202,0.7167125171939477,0.89341996129389,0.47230614300100704,0.8134083844408972,0.5771648752788481,0.6638823315779917,0.5545707739377392,0.5852105063254156,0.5680994774883027,0.766248436680518,0.8027664567123626,0.7633169360505974,0.7992111016063111,0.5345000501454217,0.498165690193287,0.8442330908983834,0.7991128010139417,0.5694272873025469,0.8627572143607489,0.6245123946143198,0.21348314606741572,0.5676007642616686,0.8576512455516014,0.6217732050663002,0.37901498929336186,0.7849432346919785,0.6416938110749185,0.6950802945612634,0.7123571730850614,0.6983793589039788,0.5567577949932774,0.7531781732837864,0.7552051383827085,0.7753205128205128,0.4631233015230993,0.7009217223827211,0.5866676605974767,0.5087818192606658,0.529968028099248,0.37688501413760606,0.6195731233227157,0.38202247191011235,0.5276055164753795,0.629926606097837,0.7306026103860039,0.5160768172411002,0.8281667822125384,0.5413236746789595,0.48491052716427535
