,FLAG_GFI1,CEBPA,HOXA9,PLAGL2,MEIS1,ETV6,RUNX1,FOSL2,FLI1,GATA2,SP1,E2F3,ZNF281,SREBF1,LMO2,STAT5B,ZMYND8,LYL1,MYC,TFAP4,RUNX2,MAX,IRF8,MYB,ZEB2,RXRA,SPI1,MEF2C,FLAG_MEF2D,ELF2,JUND,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1,MLL_KTM2A,RARA,IKZF1,AFF4,CTCF,BRD4,CEBPB,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,promoters,enhancer,super_enhancer
FLAG_GFI1,0.0,2.2500820578139988e-23,2.6713915993025403e-27,0.0,8.739906819683696e-106,1.0091206045335e-257,6.791101004924785e-302,7.11621032844503e-95,4.518072170424156e-170,7.47002600741859e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.530422288637307e-281,1.2249242915296608e-215,0.0,2.4429126492898576e-99,1.3808904707703757e-77,4.184525348239925e-93,0.0,4.5827903488367345e-271,0.0,1.1876400186341217e-28,1.1448871040340292e-96,0.0,2.2124871201505417e-210,3.691096739954343e-80,9.485765196434317e-171,1.0,9.369940671040779e-17,7.608871490459279e-26,1.3843418589185612e-18,2.031299629839222e-89,2.8057513406756024e-14,0.0,9.21643358524128e-256,3.7776890183359483e-237,1.0,0.0,2.9403677955305216e-233,2.3130249560278616e-271,1.0,2.672921148611652e-247,7.874283897336841e-243,4.974028638066401e-12,1.1064477498941081e-14,1.2281886326804058e-14,5.724122255136018e-95,0.46453952026758544,6.246316066304927e-20,2.609093860002881e-157,0.0,1.1221870872984137e-265,3.030760022111855e-18,1.0
CEBPA,1.069574081103444e-48,0.0,3.435608947695677e-79,9.513854373957726e-55,1.3947315288017866e-287,2.1967922098767995e-89,5.658726439576158e-23,0.1125399868090746,1.7595790133160032e-70,2.577862846024595e-241,3.1302409468274485e-11,3.2397933799945785e-118,1.8227920163212702e-190,0.035155683430282095,1.0,0.1946129936819662,2.2324922546297694e-66,0.0,1.0,1.0,9.458410960103725e-107,1.0,4.474008115459098e-34,2.3442982034347262e-294,1.321518873353395e-75,0.7689064649792615,1.0,2.9051475178121797e-08,2.642409531967295e-24,1.0363793893800574e-10,4.011073737151906e-288,1.5416265097294148e-261,1.0,2.2727247913935993e-12,1.7542222472673034e-09,1.0,9.321524106123246e-189,1.0,2.3171777715368395e-16,0.0,0.0,3.2158717894875096e-236,1.940127454863433e-06,1.0706161202920695e-61,3.014668239340118e-47,0.0,0.5508962516650242,0.0,1.3265039262053736e-125,2.8565771143122437e-57,0.0015815067680934659,4.450771613667862e-199,1.0,4.811709242262981e-284,2.2144579121767965e-30,3.423964987169137e-52,0.0,1.1022536212740296e-61,0.037595873327093444
HOXA9,3.1131455929595234e-17,1.3882388019793035e-21,0.0,1.0,1.763919987430908e-63,6.92555059967866e-48,2.30770785711738e-22,2.3351568977740432e-32,4.114688902091048e-13,4.1569400807969325e-55,1.1836935773844519e-10,0.008452849435732043,1.0,7.388150950162754e-18,8.896542646365432e-18,1.6309911325982168e-10,1.3087848749752853e-52,4.761633045561758e-119,5.919466966825542e-09,5.406222918791946e-11,2.855419972161992e-15,1.2605610058702554e-07,2.6815588903317033e-17,2.8960969812186637e-126,2.3260687501538055e-29,1.058792319643182e-12,0.2752664445498357,3.9202840703439745e-14,2.3750296005529105e-57,0.07735618802862725,6.814125131116209e-204,1.0,4.825865983825918e-54,0.07055903441688473,1.0,0.0014472087007494974,1.0,3.711169569548077e-49,2.996180550687841e-11,1.0,3.151032900388019e-70,1.5187047151566378e-20,8.341404382571695e-14,2.9475009859902458e-18,7.47950230716867e-05,0.1456301292398508,4.783473319353149e-25,1.0,1.178608209398783e-13,0.00019713813627215545,1.0,0.03705032858068133,5.180944791808528e-17,3.572400026394204e-09,1.0,3.8708805008766743e-22,1.0611709328941169e-06,2.0798010955729352e-10,1.0
PLAGL2,0.0,1.4884148084738026e-25,0.5261655543837606,0.0,1.97074415315877e-198,0.0,0.0,8.251478284305512e-175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6162813398096696e-189,9.867418361088149e-275,1.6658936744475425e-266,0.0,0.0,0.0,2.2487333529193623e-137,8.278129822534103e-68,0.0,0.0,3.894223784806669e-148,0.0,1.0,0.0,4.156510799389948e-162,0.0,4.2197835259432686e-26,3.461290053458484e-68,0.0,0.0,0.0,5.07458550391267e-07,0.0,0.0,0.0,1.9132928802209756e-67,0.0,0.0,5.272867480429882e-200,0.0,1.0,0.0,2.0727706569409237e-09,1.0474578580805972e-90,0.0,0.0,0.0,1.0,6.436140998638394e-09
MEIS1,7.547617941270448e-207,1.2915673219598182e-266,1.0169733310358364e-258,0.0,0.0,0.0,0.0,2.287413907161875e-179,0.0,5.478593398740873e-104,0.0,0.0,1.1719858723424162e-114,1.153777727605e-312,0.0,0.0,0.0,0.0,4.6278139659705714e-270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.180265298802407e-173,0.00020073201357670464,0.0,0.0,0.0,2.4011200798410854e-293,1.0,1.6916365277058629e-34,1.0179420345726311e-22,1.8249551084428073e-251,1.8186216350908424e-74,0.06485368228580464,0.0,2.491654150303399e-162,0.0,1.985433351894476e-203,1.628126196032966e-237,0.0,6.197185760367657e-96,0.020357517215217318,0.0,2.2640933277937972e-271,1.4019365942008248e-20,1.0,4.990310863955061e-65,1.1184821992714588e-77,1.0,3.5859961247842246e-126,4.149976986558274e-120,0.0,1.31881187979611e-166,6.424769564573385e-110,0.0001137983425106304
ETV6,9.149806864887506e-185,2.2545192798340674e-31,3.744474150822046e-56,0.0,2.747781370992453e-251,0.0,0.0,8.92468766107161e-75,0.0,3.3992949802696925e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.160512485389893e-190,0.0,2.1719940750906222e-125,8.899252006814766e-131,1.0142597681836194e-242,0.0,0.0,0.0,4.971389649464668e-138,4.075564238530985e-13,0.0,0.0,0.0,0.0,3.7349604642100034e-17,3.953345039646087e-142,5.4142095074952065e-53,3.0488162568112467e-202,3.8854613383692225e-05,4.426316820394719e-24,0.0,0.0,0.0,6.547045707119048e-16,0.0,0.0,2.1703300198578455e-248,7.738122286231809e-07,0.0,1.1084380970730225e-220,2.9536447507344533e-16,9.413493128330527e-99,1.0,6.091835245176021e-205,1.4505010091103397e-34,1.0,9.428434551435435e-241,0.0,0.0,2.73280920076296e-13,4.709852450506352e-14
RUNX1,0.0,6.144175975731097e-22,5.471625588864984e-78,0.0,0.0,0.0,0.0,2.677789249119759e-117,0.0,4.755893575319634e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.054180502945377e-308,0.0,0.0,0.0,6.224706823680182e-183,6.721305865630792e-07,0.0,0.0,0.0,0.0,1.0,1.1004753404102405e-134,1.3040383233114809e-86,0.0,0.022747404633492615,5.0007169820152744e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010747250602889044,0.0,0.0,4.808712282041546e-88,5.8187826672154704e-130,5.311779906335617e-22,0.0,7.332014376334169e-06,9.014859814505707e-22,0.0,0.0,0.0,1.7863541129422742e-167,7.018544966747861e-56
FOSL2,3.138699812555944e-65,1.0,3.0627001427356284e-35,6.8123733982045324e-136,3.2728742590798934e-60,5.6980292679186554e-70,2.1604642431603674e-39,0.0,4.706512361482219e-19,2.117929828442588e-08,1.4503934635412886e-39,1.898846588322284e-105,3.1336022314503244e-66,1.7376972295872864e-208,2.4752473886576275e-31,1.1736131072750283e-138,5.699657835641357e-101,3.063144966026942e-131,6.781078707471322e-18,1.17964e-316,2.275734313321678e-13,8.101362576119548e-30,3.9841514228112203e-25,7.114188156834727e-84,1.0999633325323968e-37,1.2175714411607893e-203,1.0,1.5265104228381304e-62,5.5013053547071474e-49,3.0224564516037155e-09,0.0,0.00016164192582507553,0.04912549146729229,1.2580371125264273e-08,1.0,5.606603880907291e-07,2.677482863422038e-13,0.2428818756390139,5.891067960806569e-07,1.0,1.7574989454846417e-99,6.205923886554472e-29,2.2175815501117914e-243,1.2534539386164716e-48,9.217206485217073e-39,2.2764821384136026e-15,1.977665967988094e-70,2.935128800172978e-30,1.0,1.0,0.7728926417954118,1.0,1.0,1.0,5.805876702096926e-10,1.0696942584733125e-107,0.000676883202921032,8.7574093494616e-14,1.0
FLI1,0.0,2.265837551493502e-68,1.234402896812716e-45,0.0,0.0,0.0,0.0,8.563646905981991e-57,0.0,1.2737342540494487e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.898171329705688e-20,0.0,0.0,0.0,0.0,0.041895581530098557,5.525049876068819e-105,1.5823829513935313e-79,0.0,2.300404828758182e-11,2.716450984288918e-07,0.0,0.0,0.0,6.362552500919383e-131,0.0,0.0,8.640682886805555e-265,1.0,0.0,0.0,9.120097511560583e-49,5.07223592316226e-43,1.1115893108863162e-73,0.0,1.0,3.5784106403675283e-65,0.0,0.0,0.0,1.0361101864530893e-206,6.469591918803566e-08
GATA2,9.467135869452297e-29,5.001187986311118e-89,1.5293872326672764e-70,1.0,1.085577926123896e-42,2.143586977959756e-58,1.7694828543651383e-26,9.965486592927451e-10,1.2299991840912328e-16,0.0,1.0,1.0,0.7139932200174801,9.393100436620451e-06,1.7670186035474448e-31,1.342947312342461e-24,3.4837158578126315e-53,0.0,1.0,1.5174222995155332e-09,4.428423385421042e-14,1.0,5.071095303961617e-23,9.628190572174888e-97,1.1038710123684342e-17,1.5783555379752014e-19,1.7456660296304305e-10,0.19784719404418938,4.521566707148518e-49,0.007928776020905519,2.57902230790042e-91,2.7022396568344336e-11,2.958895580377994e-46,1.0,1.0,0.002040131078644348,0.0002680737959238404,4.007553846656853e-11,0.011363854538725585,1.493445354804615e-11,9.64020176477766e-94,8.542618499926975e-57,5.42481501811884e-22,3.1474091825065335e-28,0.17879641055086512,1.5929255627270386e-35,1.4778645112928485e-22,1.0,4.0158701292751734e-29,4.919078646664659e-05,1.0,1.925100934012038e-06,6.45409866456897e-10,1.732146975662869e-35,1.0,2.558608290937948e-39,2.1688107952000253e-25,6.318413005798359e-12,6.125796148707646e-07
