,x,y
FLAG_GFI1,-82.49112,-23.190767
CEBPA,29.204245,-106.13865
HOXA9,-44.97575,-217.3704
PLAGL2,-224.1625,7.5927396
MEIS1,-21.106335,-201.44632
ETV6,-263.79974,-3.537515
RUNX1,120.06793,-176.00511
FOSL2,-178.19057,20.902094
FLI1,-290.785,-12.381156
GATA2,147.2797,-75.24184
SP1,-25.05618,256.61002
E2F3,-54.60021,304.68988
ZNF281,-131.92198,38.06228
SREBF1,-74.48082,331.31116
LMO2,13.497239,169.37474
STAT5B,-72.36529,5.5755877
ZMYND8,50.700043,179.133
LYL1,119.92382,-108.46718
MYC,2.4946828,217.23279
TFAP4,317.6341,99.03858
RUNX2,91.83031,-170.15869
MAX,-18.682722,196.64757
IRF8,93.18705,-380.75735
MYB,73.70679,-135.05186
ZEB2,-10.778404,-58.24417
RXRA,313.3864,126.06191
SPI1,120.37694,-384.37592
MEF2C,2.8940885,60.237537
FLAG_MEF2D,-7.951249,103.87173
