,CEBPA,HOXA9,PLAGL2,MEIS1,ETV6,FLAG_GFI1,RUNX1,FOSL2,FLI1,GATA2,SP1,E2F3,ZNF281,SREBF1,LMO2,STAT5B,ZMYND8,LYL1,MYC,TFAP4,RUNX2,MAX,IRF8,MYB,ZEB2,RXRA,SPI1,MEF2C,FLAG_MEF2D,activation,repression,ELF2,JUND,FLAG_SPI1,FLAG_IRF2BP2,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1,MLL_KTM2A,RARA,IKZF1,AFF4,CTCF,BRD4,CEBPB,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,super_enhancer,promoters
CEBPA,0.0,4.007642784985715e-84,3.180115409686812e-36,0.0,1.189203313341402e-108,9.665355932596405e-52,9.769264192679067e-40,0.0019109344425050105,1.8527762960032545e-94,5.0972350777602965e-235,0.02260727549928867,1.5984366877262676e-89,2.8113501073733486e-174,1.0,4.003248389537295e-05,1.575754000377699e-09,1.721364983414703e-96,0.0,1.0,1.0,3.1833145429090762e-136,1.0,9.080642358499593e-25,0.0,3.4661766152641707e-90,6.01349849832942e-07,1.0,0.0,1.0066460837558373e-39,0.00014439970355721606,1.536455204112639e-154,0.07303574246590117,1.6743413998079964e-307,1.0,1.9119126243253328e-108,2.445954542364421e-214,1.0,0.010017845304744545,1.3147660612516072e-07,0.08785056983924266,1.2190983627129574e-178,1.0,3.732719608156012e-05,6.278274335716288e-282,0.0,7.53006992186088e-276,7.88657384365923e-12,4.770815876608701e-89,6.03123376663032e-37,0.0,8.710738956544102e-11,0.0,3.0520468312572265e-108,3.94191385155484e-42,0.006062611543152969,2.0820118862397345e-155,1.0,0.0,1.0026469157353544e-16,3.111294446606181e-84,0.0020612698421776025,3.297124434565747e-275
HOXA9,2.0697895740843167e-23,0.0,0.0377661682295667,1.795288421550236e-73,4.20950087594162e-53,2.373443858528234e-17,1.6900666142745042e-29,2.4307296806890346e-35,2.9354698767672477e-18,2.9774013562468327e-57,3.600598635206267e-15,3.7263512930953414e-05,1.0,6.5873767583735486e-21,1.147445279687906e-22,7.887617021865613e-15,3.7408424719503186e-62,1.9476039577780407e-130,8.697472309179706e-14,1.0216886885194423e-15,1.3134404925512004e-20,8.684263006961828e-13,1.7851050855169598e-19,1.923814417512758e-141,7.263312688575513e-34,1.6036268051487748e-16,0.12956470934871564,2.4515073357989713e-64,3.299144272273974e-67,1.0,1.8904675243240065e-09,8.351151677123052e-05,1.1844230776330472e-213,1.0,1.1958969425109976e-103,1.0,4.668181753877807e-55,1.0,1.0,2.3075827257551044e-07,1.0,3.516164442603705e-52,1.0106769250097231e-16,1.0,9.096177030751618e-83,3.833204157248504e-27,8.341032991508694e-17,6.631667624422372e-24,1.993972042362312e-06,1.0,3.935680553109875e-33,1.0,5.763926226781853e-11,0.008847027286521213,1.0,1.0,4.706409896425181e-19,1.9463297417791392e-11,1.0,1.359653939940645e-29,1.0,0.00035132461091690314
PLAGL2,1.7904453987424832e-16,0.0024351591442232983,0.0,2.143700727876236e-254,0.0,0.0,0.0,4.3741112566732547e-197,0.0,0.09971913582932793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.339359399220292e-254,0.0,3.4836288318883253e-292,0.0,0.0,0.0,9.350319832102342e-144,0.0,0.0,3.3223256981224266e-129,6.879131615749921e-214,0.0,2.3106278457722205e-170,1.7105750030600377e-89,0.0,0.0,1.0,0.0,2.763569024366089e-173,0.0,1.0397123667516034e-23,7.521145944029003e-72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.642547120089173e-97,0.0,0.0,1.1427970716728272e-221,0.0,1.0,0.0,3.4317374655923394e-11,1.954380327030207e-67,0.0,0.0,3.197012445321295e-75,0.0
MEIS1,1.1150404494081789e-290,1.1803621999542763e-284,0.0,0.0,0.0,9.598078709642828e-174,0.0,2.3191706251059313e-211,0.0,2.0066142627326494e-111,0.0,0.0,3.1883093085856543e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.135324843747485e-167,0.0,0.0,6.809420042039805e-89,1.1288760435856625e-26,0.0,0.0,2.188463658053455e-148,0.0,0.0,1.0,4.059224414414376e-66,3.477099920512151e-29,0.0,5.313197849767641e-84,0.0029474510884757435,0.0,7.823560569942627e-255,0.0,9.892067915375153e-295,2.1097108564880306e-288,0.0,1.0156434623240006e-122,1.0,0.0,0.0,1.7634035188148316e-11,2.398849617213196e-05,8.797475637476089e-52,1.4208957694762155e-148,1.0,8.4653000529415215e-168,2.287686287271182e-192,0.0,2.1168700410329907e-28,1.1442533202369867e-282
ETV6,1.0882967121845404e-38,7.377203692126443e-62,0.0,1.3435654133520313e-293,0.0,6.229570884843376e-191,0.0,1.6946224333581592e-84,0.0,1.8066224641780272e-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.157056313254176e-238,0.0,7.224724130647144e-162,3.2382540080988075e-178,2.1485795401774865e-261,0.0,0.0,0.0,3.038605425386754e-142,0.0,0.0,9.330048098005531e-51,1.0981780261310475e-16,0.0,0.0,7.9773010128976985e-87,0.0,0.0,6.041252983822166e-18,1.5132342464003033e-171,9.991400109413719e-58,7.979025156313309e-255,1.2435658968431978e-05,9.58304784217846e-27,0.0,0.0,0.0,3.735977619100167e-30,0.0,0.0,1.1076843667073936e-270,1.1439931822069442e-14,0.0,1.3523440292578025e-267,5.522569216482149e-23,6.755965948831266e-120,1.0,6.834918217441972e-253,4.621571731283259e-36,0.11666929049056882,3.855757475067297e-287,0.0,5.143367156750399e-47,0.0
FLAG_GFI1,1.3210055673013606e-25,1.1335625021271366e-27,0.0,2.0955303345042842e-95,3.5541819195611037e-270,0.0,1.284137111830858e-303,5.951765379969182e-95,3.452214355897341e-163,4.3019372601593855e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.278414539423996e-289,4.9563492295213637e-228,0.0,4.2936542939953276e-94,2.162663328968036e-80,1.7445380532006758e-64,0.0,2.1066290277415987e-288,0.0,1.793470721081139e-10,4.8404149890497005e-286,0.0,1.0,1.8447332633700778e-96,2.345231258393425e-209,8.90654415708248e-79,1.850657651470176e-06,0.0,6.021183734385539e-190,1.0,3.388414695570325e-27,3.753846159141638e-24,2.278989832487302e-33,2.5599988565192205e-116,2.0730679914196355e-11,0.0,2.0222597155128218e-251,3.6058595488121468e-239,1.0,0.0,1.7949386343490336e-240,4.201708649773789e-262,1.0,1.3002290191446202e-258,6.9829595417318555e-286,3.81251569610117e-60,1.4353079543034283e-38,1.0,9.057330689374796e-112,1.0,2.0932579372698564e-20,7.188451370906e-195,0.0,9.042703404430437e-16,2.478906396665725e-283
RUNX1,6.726943701270994e-36,1.637235480663315e-95,0.0,0.0,0.0,0.0,0.0,8.374722707150927e-153,0.0,2.1896168794408682e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7100747423004043e-181,0.0,0.0,1.1871087462471509e-209,1.447810523803132e-95,0.0,0.0,2.8894764748119557e-196,0.0,0.0,1.0,1.3676807147483621e-208,1.8640182015965752e-101,0.0,0.00014777918827872067,2.802394793867256e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.402139600108645e-27,0.0,0.0,2.665937808428775e-118,7.861630184791399e-197,6.580683977627273e-11,0.0,2.4342824113032415e-07,4.366789517151496e-50,0.0,0.0,1.8910680840785235e-143,0.0
FOSL2,1.0,2.2345584313829953e-38,3.0740891677289e-155,2.300676303549451e-74,1.8402791022546208e-79,7.691115441521233e-65,9.883991200405825e-55,0.0,2.2480002112266823e-29,4.793033592697491e-10,1.114067720713031e-52,7.033026356234929e-124,1.382151061281019e-76,1.0254234375511634e-223,3.0412693418693084e-42,4.569450248729669e-164,1.6079532964103693e-122,2.905068394402781e-149,3.201437474974604e-28,0.0,3.690653481586335e-22,1.5642522131744025e-45,3.522750369355005e-29,5.520117976797356e-103,9.353582428530625e-46,8.626207186390037e-229,1.0,1.3780669997994788e-163,2.070563621954305e-62,1.0,1.0,7.296775739288969e-17,0.0,1.0,3.1375291690316107e-204,2.778820257341179e-11,0.030852024838814315,3.4036095556013423e-05,1.0,5.728086254731955e-15,4.873436388509377e-14,0.3121206960378816,8.830788931965097e-15,1.0,9.200217895470709e-124,7.829140738866226e-40,6.564154467265538e-263,1.07772028322335e-63,2.1442973760512404e-44,1.4592386855673133e-10,2.958060396836575e-92,2.2567075346732402e-42,1.0,1.0,1.0,1.0,1.0,1.0,1.7318394688920673e-16,7.223227190342775e-133,0.05890657764632157,0.11678863184280158
FLI1,3.003928837064167e-87,8.055243534598481e-59,0.0,0.0,0.0,2.0396691221495e-311,0.0,1.722703761592172e-81,0.0,1.610390484823223e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0190369796171682e-225,8.209108824677943e-42,0.0,0.0,0.0,0.0,0.0,0.12486575096741498,1.3204625483299516e-162,2.144696782151239e-92,0.0,8.30665210572175e-16,5.987852711766034e-09,0.0,0.0,0.0,1.849087356015431e-220,0.0,0.0,5.49501659e-315,0.004890797003813886,0.0,0.0,3.2222989543527917e-63,3.374078042325506e-78,1.919697832989655e-58,0.0,1.0,2.11638324935944e-108,0.0,0.0,7.9026527875409e-55,0.0
GATA2,4.401108177611147e-89,4.658571159553547e-73,0.17519353431934614,1.477735785324129e-48,1.5031538995574439e-65,3.7206124670428584e-23,6.701789295456732e-35,1.569031496715971e-11,8.061672974344729e-22,0.0,0.1682226815565113,1.0,1.0,2.221880908801756e-08,1.3905970595009415e-40,1.023349159856372e-32,2.2810267183139227e-65,0.0,0.0328494406665695,7.71370995228637e-14,3.9858413607391864e-19,1.0,8.155555543731192e-23,5.256935626912363e-112,6.743297356016877e-21,2.7079213498000032e-25,4.161080034427439e-09,2.111426804494048e-93,1.9545302223646458e-59,0.05823059569847828,1.0089024780915958e-28,1.0888819952241648e-06,7.756831556797896e-98,1.4021537490064316e-08,2.657108067105818e-88,2.873628051332777e-06,7.523788980584742e-48,1.0,1.0,3.8219862797583465e-08,0.001071733835317465,4.43594562692494e-12,7.504675353535297e-07,6.27573361786024e-07,1.137314968082724e-112,5.943886581416262e-66,9.148950536654026e-27,4.568362496397766e-36,0.005864396844644725,2.4181670913152694e-30,4.6545516065688037e-32,0.3955599969419103,6.89546586963149e-27,0.0044713370572887195,1.0,0.008520974672628271,3.4981470898107184e-10,1.6689984847794593e-37,1.0,3.2272684157645498e-52,5.378145395508646e-10,4.4615117044135045e-18
