,FLAG_GFI1_wmot,CEBPA_wmot,HOXA9_wmot,PLAGL2,MEIS1_wmot,ETV6_wmot,RUNX1_wmot,FOSL2_wmot,FLI1_wmot,GATA2_wmot,SP1_wmot,E2F3_wmot,ZNF281_wmot,SREBF1_wmot,LMO2,STAT5B_wmot,ZMYND8,LYL1_wmot,MYC_wmot,TFAP4_wmot,RUNX2_wmot,MAX_wmot,IRF8_wmot,MYB_wmot,ZEB2_wmot,RXRA_wmot,SPI1_wmot,MEF2C_wmot,FLAG_MEF2D_wmot,ELF2_wmot,JUND_wmot,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1_wmot,MLL_KTM2A,RARA_wmot,IKZF1_wmot,AFF4,CTCF_wmot,BRD4,CEBPB_wmot,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,promoters,enhancer,super_enhancer,MYC-rmIRF8,MED1-rmIRF8,MYC-rmMEF2D,MEF2C-rmMEF2D,MEF2C-rmIRF8,IRF8-rmMEF2D,POLII_total-rmMEF2D,MED1-rmMEF2D,POLII_total-rmIRF8
FLAG_GFI1_wmot,1.0,0.012045726669300856,0.0023583482836923176,0.008338734241262927,0.014617295788767418,0.005157005454381457,0.014424492999837,0.004837798410285106,0.01207057487869432,0.00587516493221077,0.011335926245807154,0.009624996576618708,0.00984711496772067,0.0048209582623706185,0.010813274863997193,0.00911964154311417,0.01447230871072154,0.0063840338762988095,0.01055885137217448,0.011706898428797928,0.01836402779767565,0.011017812578630989,0.011310761933748845,0.008723515830082955,0.006597944537476653,0.010814546392416493,0.011766821715101733,0.0035205812624007917,0.007618677860583131,0.011451512956923728,0.004623607880333936,0.013608186426609829,0.001207890054689383,0.011328069314282341,0.0017333798152662973,0.0195607935253132,0.005117949580117603,0.0016196918424554473,0.02064483684920372,0.013058367409473802,0.009915456260433773,0.014799175980265216,0.00658472037735034,0.008442975090430165,0.004729445030242775,0.008442975090430157,0.022868942222924144,0.011144327961434303,0.014089740176589075,0.008672842731009983,0.005828569030678782,0.01584859498265068,0.0003608430189091187,0.01767766014983116,0.010939377911085731,0.01964640931487001,0.01033734984834063,0.013054224321431348,0.005986810237628918,0.020929073064186857,0.01712502176504154,0.02236708969236715,0.007842854120844737,0.006290876376489142,0.012889575371072371,0.012498867137461584,0.012118113162027341,0.012842236551960304
CEBPA_wmot,0.004382238866625738,1.0,0.001533674508773742,0.0031960177335625074,0.007196141766491896,0.002292063245199389,0.006151989093046828,0.002260273411602905,0.005138827683533931,0.0033375569003044237,0.0037815426394926448,0.0031101479250591597,0.003556774554613234,0.0017034217192607715,0.004266589187690846,0.003973402709960217,0.005630426258474058,0.0029109952810404283,0.0046569176477577095,0.004851952535508633,0.008509029722525176,0.004545304193375234,0.00518527767349316,0.003809142458654846,0.0029280250204613695,0.0042149921518715595,0.005175444074694552,0.0030429210000532374,0.0036643402518485037,0.004436518887034974,0.0021927041287252624,0.010423508240307649,0.0008235660877056814,0.005407711369647071,0.0005967926507070697,0.0093915299905724,0.0019241306557079348,0.0005224061276259483,0.008112998473816994,0.00440264600144294,0.005165600077584285,0.008520519913834962,0.0026281405288462144,0.0037901837388922863,0.0015590815221090371,0.0034763092673950067,0.0032673781959171627,-0.001359821227294642,0.007399849095302898,0.004272164412158039,0.00363717215872822,0.006411491873705506,0.0007341855753859312,0.011320304670179481,0.00564429447574729,0.008627584420046543,0.003229403377671267,0.011009634871208027,0.0033850465386044983,0.009722523942622378,0.0078007272402491465,0.008563329171446272,0.0033553922666702237,0.0033483838570816334,0.00587724021824959,0.005114138480252731,0.004484225592400171,0.0056382560877103645
HOXA9_wmot,0.0343550331431996,0.04700795791099628,1.0,0.029378907220157055,0.08938031650838298,0.02326495359061504,0.06228523765620012,0.03206267297246024,0.03903721298857107,0.02487606009504916,0.024480619459670103,0.024480619459670117,0.02603630973077277,0.01727036765266393,0.037617134173867396,0.03499554606851201,0.06304711323069073,0.030711447859588077,0.03467601853563609,0.03964362706174922,0.074745511039772,0.03338279988077375,0.04787402011885107,0.03657300182669872,0.021564736311164203,0.0320626729724602,0.04555868744205783,0.020217105770660423,0.03319107080843673,0.03499554606851202,0.0362600497261963,0.052622079876542056,0.0,0.034206129412485964,0.008806290845167613,0.09163104329441912,0.00923096549545876,0.006962780356557559,0.08409924738174328,0.03253787110199093,0.05218128211455073,0.08735707638679763,0.024480619459670106,0.02716155043644008,0.011017264541756833,0.02408045900031557,0.112190078495071,0.032395443874939006,0.033008883739102095,0.025951630139840212,0.015287097800158259,0.045931729882759356,0.0,0.10577091740903079,0.04330377062466993,0.07831788612527303,0.02021710577066043,0.0787662449071204,0.023996031738582196,0.08453156034742004,0.06553345747656657,0.1022307592464947,0.02886383799143158,0.028125298690495255,0.05117935756297092,0.03651891085808992,0.04512981595152175,0.037156855456682764
PLAGL2,-0.01826199359468247,-0.02466510673983434,-0.009100819689546687,1.0,0.006568502082122118,0.03699114936806268,-0.0019570845013011074,-0.009269683303814936,0.03003190862021502,-0.008127670973110348,0.05857190305758005,0.052219852034015704,0.04892290360789809,0.031867001914977204,0.06934696058559618,0.03414805048855272,0.03532469928779544,-0.009214627512997672,0.019332116271301773,0.020397220139267307,0.01096219722481182,0.02623031253144759,-0.012455153547477983,0.021416098785158048,0.03227461903645901,0.053927938705015215,-0.005823433933473781,-0.005826818859357659,0.03271422231439259,0.06702894588000538,-0.011443901800758216,-0.013136717577044371,0.14443660639343278,0.01746826880864812,0.04143296548311065,0.09253062072149598,-0.04144461372339121,0.1485109438754735,0.06548262332117437,0.042949510518927765,0.0038474745923623654,-0.049195106427806556,0.03225588404317315,0.0017306393759703442,-0.0022476412056365827,-0.004603912466971001,0.022460817572149308,-0.018585056790103523,-0.0014081408159313457,0.009945836507931701,0.02952050217367748,0.07294555383363058,0.6149634607969867,-0.011005657086080773,0.030672793163387498,0.07111633002298488,0.07805028515622513,0.09752472059421266,0.0295756270102909,0.0669683553040611,0.06443519362363738,0.04973105915824716,-0.007311920631401779,-0.00807080533809115,0.003319208555953896,0.05031867046736175,0.048769771416283234,0.03828766988700099
MEIS1_wmot,0.004073539061488318,0.005626204934194725,0.0017620942713987933,0.00341352721303374,1.0,0.002875724557127526,0.0074754800279211815,0.0028573830079046143,0.006588234061233862,0.003143002614129238,0.005762433944657232,0.004872254172953971,0.005159963124150511,0.0025226847914174262,0.006160804522637166,0.004630049680915865,0.007699149686202514,0.0038101389778125863,0.005594948048971173,0.006290185996493551,0.009617712491689315,0.005793357704633929,0.005898442167966885,0.005091174752573982,0.0033997221164511473,0.005452507699403787,0.006014592905916004,0.0018510160048709667,0.0038931641065434205,0.006119350893127936,0.0024366213223765538,0.007298947121876462,0.0007494990216050628,0.006319414087166847,0.000935858108585492,0.012301184168172415,0.0017408977278603123,0.0006894979098806013,0.010559295085235797,0.006685509279507755,0.005686694877448286,0.008875793790455045,0.0033786916809970826,0.0040876601506290595,0.0024639224580362295,0.00460787468715255,0.009723278940593128,0.004498127176310371,0.007579866822793423,0.004601348595129689,0.0032677217623820025,0.008697764913065445,0.00046120108352994214,0.0113925679834217,0.006293236923982594,0.010407551588680078,0.0052755692767995676,0.008776339630958549,0.0034062173821479674,0.011094387587063236,0.0092478637027739,0.011677028307947894,0.004112921390772951,0.003429719310909462,0.0067171180506187264,0.006690938737201404,0.006435701469661222,0.007131024080395348
ETV6_wmot,0.014037657471172334,0.0164630682440202,0.003936236724447521,0.005713610162169187,0.0297653088589533,1.0,0.03218219518507809,0.010490197180058254,0.01093830256251466,0.011686067078286974,0.029608037061389564,0.027861142380350545,0.026886203101846303,0.013872263001350605,0.03659465380790417,0.021815290727358796,0.05802497645553214,0.019247974005278022,-0.020801114204060108,0.027882959575882632,0.03800618559088644,-0.01723771225335714,-0.01829494242506223,0.02173211489901551,0.016747566108335343,0.031549587502178116,-0.012035001685531092,0.007391566322660411,0.015810379647647834,0.006070693760297161,0.011341702602201305,0.03740566099659672,0.002619438558453186,0.026229752164895356,0.004162524543364999,0.022644702423353934,0.004091321834734479,0.003212129609036815,-0.04427119495165677,0.03290759671458207,0.02223119729098795,0.02891226861485837,0.018974176991570373,0.019563042171438998,0.012452623616241052,0.016154672178412894,0.007923844468293405,0.013777286227459743,0.02831428949449225,0.018371232848847334,0.011463454829489867,0.04082701738558311,0.001582929608535043,0.035681111893952996,0.02692757824045057,0.06830702817503252,0.026029686534808513,0.027035340576181153,0.013410762556654243,0.002594386360337718,0.013141861164188511,0.014691274878989686,0.015672001335602256,0.014131692521738891,-0.0023992689787162187,0.03517692631060263,0.03865276553339906,0.019429031918029218
RUNX1_wmot,0.004434859968599958,0.00533551987983614,0.0013927964226805095,0.003879273071210853,0.00831722644438979,0.0033165675388865962,1.0,0.0029462727098351006,0.0071103209846547985,0.0034372653406701675,0.005888445244374278,0.005071007833209826,0.005529310064868609,0.0024914203579593716,0.006601478615952804,0.005330029519959163,0.008823675038531487,0.004636297393496319,0.0063782861830537045,0.007069283988159297,0.021244536279806693,0.006451956569066982,0.0058758093346318345,0.005277183743364638,0.0036292548161363956,0.005980802623243717,0.0059126355888564274,0.002109610433523987,0.00426211510996275,0.006250822723094375,0.0025661431310231063,0.008041658930711562,0.0008516329735341221,0.006320621459826522,0.0009333880644606703,0.0015613108164677931,0.002267802545691716,0.0006844391044954948,-0.002202844960724813,0.006840957979595884,0.006034091367935655,0.010731479542934462,0.0037395436524668723,0.004376270665708902,0.002396978170406912,0.004716358367590355,0.00644082523933174,0.004473653229430574,0.008838678437085664,0.004885096095563723,0.0034629197782594353,0.009507484757947571,0.0006348962411061242,0.012880299909232965,0.006759718108849121,0.011433267021116694,0.005260617117396366,-0.0029710428362980674,0.003891243889804376,0.012703912002254365,0.010136095107042777,0.0032620114605950656,0.004985535296287821,0.00392830954300163,-0.0036830420637781647,0.007504054119062002,0.006685990602572999,0.0077101303139698
FOSL2_wmot,0.010301272909421856,0.012656336930652524,0.004212462282546352,0.012355799694685336,0.02212471747758149,0.008283275959486898,0.020356994489834458,1.0,0.016076505593845266,0.007880401592050916,0.011912976127530277,0.011653734389869386,0.012805585624149544,0.007436585686506035,0.015156753995382964,0.013150556415360747,0.022558251804811313,0.01175781894192047,0.014413657325190133,0.020416139883130343,0.025045427452333954,0.01471069651189273,0.01319948300634698,0.012706184243440145,0.009291296616535395,0.01705437049274734,0.012805585624149532,0.005741102586846733,0.0098570405197882,0.013620082618187581,0.022154623541921634,0.02069205507802102,0.0008354225259636944,0.012519009274504651,0.0021577293313343703,0.035523130073982154,0.0030162299099104365,0.0012106927580776048,0.026627223385521672,0.01276750107585768,0.015113724196237556,0.02866845239579845,0.011408755926140372,0.011826918892893942,0.005452505893848263,0.009149446108083083,0.04210532969596487,0.010763784081755948,0.020132195329539714,0.010508004753437862,0.007976025736291569,0.021098592899021096,0.0,0.030771919860501446,0.01759964989162749,0.03263832209966734,0.008860817110670804,0.028396919371166184,0.009426162655320723,0.03188094363196738,0.025321259256127417,0.034338288587406694,0.011232214397674672,0.01005358051393852,0.015577498013834897,0.018552353156887674,0.018441137971197688,0.018023208443516518
FLI1_wmot,0.0044097842055111055,0.0051623323488144395,0.0016197815440294678,0.0028686783992084804,0.008545818791397125,0.004789971655762753,0.008309799430178365,0.002797104928816139,1.0,0.0033176972707162494,0.00867844638336691,0.007348349071986823,0.007719464535743758,0.00330415862569456,0.008308317691091987,0.0055311404626476315,0.010122737662860098,0.004661432031633818,0.006922193398730276,0.0077304814142020615,-0.004814064706424021,0.007598132956571506,0.0073446460729046405,0.005668392511202545,0.0043232451709955275,0.007331065220715481,0.009909223181340267,0.001973880097219476,0.0042246037618224016,-0.001635168078897123,0.0024108066103403357,0.009783873608622758,0.000848295852651309,0.008020155123237838,0.0012438316826302747,0.006677978756652609,0.002302306570749951,0.0008752827292260063,0.015342501368113458,0.00981852201398061,0.006158715731134665,0.009671943755304958,0.004209751678232356,0.005071102937768362,0.0033693512610809013,0.005600652672653477,0.016878761254668237,0.004332742502988192,0.010541612439167508,0.0059286175924451725,0.0038233382160952722,0.012210206200622707,0.0005798256093493454,0.012329220138469666,0.009435259673215495,0.004750614165412491,0.007841764280795464,0.00565635963216258,0.00412584385533805,0.014779047750680084,0.007358237035065769,0.014586365350376324,0.004569400406147708,0.003767094446529111,0.008401603729346648,0.01000239365641137,0.008611426839359525,0.010498399608473867
GATA2_wmot,0.00836417084552012,0.012858272988309506,0.0028449199891238774,0.007173938642542984,0.015738016774516653,0.006150278521875517,0.01565597004741407,0.005278847670940653,0.012705344413828706,1.0,0.008767798601082507,0.00785968730033159,0.008919883654666593,0.004403387331232493,0.011441291760085608,0.010076063271597017,0.014272587388101473,0.009522726239411609,0.010328084032834054,0.01179199681862097,0.019355052723972713,0.010066665582150065,0.013389571337144936,0.009347268098470187,0.006150278521875512,0.010374404278943695,0.013347608529200038,0.004744273276008661,0.00748153282246292,0.010949583726797732,0.005338667396900262,0.012860676306807218,0.0009342116388058175,0.011805741965987162,0.0017206109784718819,0.02419181893824685,0.0035957188827036688,0.001349187298567845,0.018269897952626835,0.010810816012370434,0.011678226777955826,0.019686945638193714,0.0067362983180368945,0.00802305511195622,0.004074736126749781,0.007423165030225169,0.0229492351638594,0.009169837765030423,0.013729597458280986,0.003423047060063851,0.006580216082862542,0.015112254022408242,0.0010390641903498135,0.024978478593872987,0.012454692458852069,0.020456642882804195,0.008033864045418216,0.018736037751277124,0.007622345757850463,0.021969848500411143,0.01829841363316367,0.021614508056234643,0.007579427867526967,0.007621412040437898,0.01406240163163188,0.01180132092286771,0.01117142297183508,0.01362597893676748
