,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TNMD,0.09425395537695909,-0.7273631569207385,3.748167305279707,-0.19405834843502512,0.8461301947326888,,TNMD
DPM1,1022.9098817059507,-0.1747879442648483,0.09173937249669917,-1.9052664031589848,0.05674545035439028,0.14048840529426052,DPM1
SCYL3,189.12117691422154,0.12472115336261756,0.10562004778007987,1.1808473484343585,0.23766337067347235,0.4005935359273778,SCYL3
C1orf112,403.39640415375464,-0.36323928059368094,0.08811602742689535,-4.122283893188888,3.7513448185171665e-05,0.00036456251009044105,C1orf112
FGR,1755.377210201294,0.6821772907563806,0.1491603760416772,4.573448450986555,4.797617553975138e-06,6.445345090914894e-05,FGR
CFH,21.630839377291565,0.0638095268673983,0.3339720174018931,0.19106249488744323,0.8484766310373901,0.915192883611213,CFH
FUCA2,2155.1171551631965,0.251896450196754,0.0921558763016118,2.733373717508108,0.006268915751919142,0.024998825777570444,FUCA2
GCLC,1164.294145125305,0.06872975308635125,0.12519401951752043,0.5489859128353394,0.5830151173874135,0.7280270543863188,GCLC
NFYA,1297.4977055938234,-0.07544364545368107,0.05164368513696476,-1.4608493807828815,0.14405678070730274,0.2808878173212323,NFYA
STPG1,102.67873064582659,0.2748164688716567,0.13124802067978578,2.0938713395316193,0.03627144299572427,0.10008082888532623,STPG1
NIPAL3,1684.2254267278165,0.36652218466656045,0.14516297113485196,2.5249013698271066,0.011573076470006669,0.04053420604964189,NIPAL3
LAS1L,1796.7099062727552,-0.36794882389122563,0.09796508936780225,-3.7559178097596644,0.00017270737062922772,0.0013174377703650565,LAS1L
ENPP4,0.047126977688479545,-0.3666978418373103,3.748167305279707,-0.09783390440463423,0.922064184692664,,ENPP4
SEMA3F,184.58775482879363,-0.3615654234655587,0.139854499959764,-2.5852970306252616,0.009729513876149943,0.03548913104325129,SEMA3F
ANKIB1,653.636710014306,0.0009132780748764699,0.10504801897954526,0.008693910496820521,0.9930633504250741,0.996325407418493,ANKIB1
CYP51A1,3799.274707592677,-0.7178749479732877,0.11178749560067883,-6.421782186959812,1.346880521931318e-10,8.726153199664114e-09,CYP51A1
KRIT1,649.4840613014245,-0.058180409658754186,0.11582405266631668,-0.5023171640036551,0.615444437504838,0.7539307766320111,KRIT1
RAD52,128.45141635474437,0.08766691938455344,0.1440819485276414,0.6084517892797305,0.5428878718290312,0.6958002817327466,RAD52
MYH16,0.44104025274358644,1.0015536568513157,1.8075520209187688,0.5540939598198847,0.5795145436621348,,MYH16
BAD,179.73456912223148,0.4255169150774639,0.09433807778232783,4.510553162417469,6.465879385348919e-06,8.327741039684331e-05,BAD
LAP3,2085.344754595136,-0.32086858530728624,0.07016499719400018,-4.573057765827485,4.806575527856141e-06,6.451588282501794e-05,LAP3
HS3ST1,9.267733477887704,2.0157751091352596,0.5029582025816033,4.007838223511638,6.127707007256388e-05,0.0005537878204746324,HS3ST1
AOC1,787.1082940580766,0.027568361741257447,0.08966450296677952,0.3074612676040981,0.7584923001017766,0.8546601237255826,AOC1
WNT16,0.5147582241695016,-0.9992723852529141,1.7054432127676276,-0.5859311982785254,0.5579217508819556,,WNT16
HECW1,31.56032977776601,-0.6050055570346491,0.2977600675707913,-2.031855923362898,0.04216824378785958,0.11261419281390192,HECW1
MAD1L1,572.2488107076648,0.23377795926452866,0.0908534500037757,2.5731324375113247,0.010078263405224344,0.03655321479312411,MAD1L1
LASP1,6259.359104013461,0.44750989242788664,0.08537553141305311,5.2416645029452384,1.5913451586252017e-07,3.690155749369467e-06,LASP1
SNX11,473.7868284237743,0.2767031715527066,0.07316583505876315,3.7818630967646634,0.00015565896648958818,0.0012095493730442247,SNX11
TMEM176A,27.704721283856216,0.3885296059282993,0.27457884629920115,1.4150019608754898,0.15706792110823756,0.2987644264496547,TMEM176A
M6PR,7075.465099442424,0.001486049271193568,0.04155923960434893,0.03575737393997126,0.9714758219817319,0.9848341903257196,M6PR
KLHL13,144.88976434674936,-0.5984485567278738,0.13267317806141485,-4.510697380376688,6.461484596288908e-06,8.327741039684331e-05,KLHL13
CYP26B1,0.047126977688479545,-0.3666978418373103,3.748167305279707,-0.09783390440463423,0.922064184692664,,CYP26B1
ICA1,17.026920110955476,0.27093737905622456,0.33526430443806743,0.8081307060420271,0.41901534276790475,0.5871446727799287,ICA1
DBNDD1,17.89001466691104,-0.2876356331492897,0.30533913575099125,-0.9420201981047754,0.34618229902083053,0.5165266303655606,DBNDD1
ALS2,218.36195285971067,0.10683968946295266,0.11970700264109055,0.8925099376456941,0.37211966859310835,0.5421435755545221,ALS2
CASP10,357.0506260676294,0.45441023566210104,0.11650795250928998,3.900250805848363,9.609308884723647e-05,0.0008074840919077715,CASP10
CFLAR,3329.169662656172,0.40528571946267933,0.1499617869897213,2.7025932912526476,0.006880087409893969,0.026961871740370028,CFLAR
TFPI,90.65425446949061,0.13961085477385615,0.2504325130919545,0.5574789513156921,0.5772002363643218,0.7231686773533884,TFPI
NDUFAF7,208.4200017191252,0.01047901072927047,0.11150101205266783,0.09398130596626944,0.925124006679207,0.9602575889305556,NDUFAF7
RBM5,1513.2057209479472,0.4211676757353264,0.07283710861519851,5.782322826134859,7.367614808472182e-09,2.7305103422609566e-07,RBM5
MTMR7,33.96663121098783,-0.17550790728623608,0.23250214854728146,-0.7548657437483633,0.4503295418071891,0.616166751022709,MTMR7
SLC7A2,767.7841565448633,-1.288743868239253,0.17489518956562827,-7.368663892014367,1.7234656452586774e-13,2.5793386846941365e-11,SLC7A2
ARF5,1084.881511597303,0.4796154418225917,0.07781910483862745,6.1632094434543365,7.128511949996605e-10,3.486448034106183e-08,ARF5
SARM1,86.89318982022007,0.32681597494364373,0.1854998084184516,1.7618130052534084,0.07810089668454329,0.17899816535694868,SARM1
POLDIP2,2274.7957069704494,-0.1848034608061333,0.0926539579869571,-1.994555492514935,0.04609138193235946,0.12005439967590281,POLDIP2
PLXND1,4099.9697912351685,0.2494635287395407,0.07707530259322846,3.236620815569235,0.001209540140024783,0.006516190689564759,PLXND1
AK2,26091.59993120819,-0.3232224855285458,0.07212855071549734,-4.481200333602421,7.422439725346174e-06,9.374196871690367e-05,AK2
CD38,820.419897835089,0.7515806998795697,0.19209898389174396,3.912465774952343,9.135848904693019e-05,0.0007724695746194109,CD38
FKBP4,3712.2840486915156,-0.3562843944432742,0.13285658428847433,-2.681721770519603,0.00732443486911487,0.02833957917558768,FKBP4
KDM1A,2664.198830927398,-0.4131938318848277,0.08703207766300723,-4.747603906283105,2.058406485085554e-06,3.1890384529803725e-05,KDM1A
RBM6,1122.5925757575085,0.07418355769089728,0.07085936747773407,1.0469125019244316,0.2951399352673574,0.4653950343705901,RBM6
CAMKK1,64.80824911456891,0.2728347905198549,0.17101982674375887,1.5953401176616009,0.11063619905468876,0.23148068713161918,CAMKK1
RECQL,965.1426500171121,-0.23501355675612984,0.09021973516408015,-2.604901869072406,0.009190057685944572,0.0338681121220996,RECQL
VPS50,377.56519533678465,-0.13303827582979993,0.09640458436832447,-1.3799994751443807,0.16758680643133383,0.31292628135387923,VPS50
HSPB6,28.605230978790456,0.287059297009411,0.2583650393767368,1.1110609148276964,0.2665421301309946,0.4345865039264043,HSPB6
ARHGAP33,40.73278707225706,0.23678090212113462,0.3048470380454272,0.7767203632329549,0.43732377013283397,0.6040597640801102,ARHGAP33
NDUFAB1,1301.3126249695324,-0.22474515410049833,0.1016802005841797,-2.2103138350364953,0.02708338910385868,0.07999407959904263,NDUFAB1
PDK4,121.04933491796572,0.9952891434542401,0.41776800373148015,2.3823967718072563,0.017200353653191794,0.055817742718959854,PDK4
SLC22A16,413.2562780436073,0.17807140563871102,0.12519361558291406,1.4223681040729805,0.15491941754157412,0.29595659981199873,SLC22A16
ZMYND10,9.11439896555425,-0.04423694254018663,0.39986123792219763,-0.11063073472701539,0.9119091742923067,0.9538462889613266,ZMYND10
ABCB5,0.07065082945423778,0.7153048594797302,3.748167305279707,0.19084123018525467,0.84864998526694,,ABCB5
ARX,0.2754029238526193,-0.006025269412273274,2.4224407578745066,-0.0024872721418211087,0.9980154460057742,,ARX
SLC25A13,609.6820624864589,-0.20925222967242027,0.0723287430587649,-2.893071562192215,0.0038149436586529945,0.016718725269517044,SLC25A13
ST7,390.06130071363276,0.19094137839043696,0.07209185645711791,2.648584566607933,0.008082962371978154,0.030594237445378113,ST7
CDC27,2154.5293172436545,-0.33747346238975995,0.07381644902975341,-4.571792152366115,4.835704767980983e-06,6.484870748889193e-05,CDC27
SLC4A1,0.11655592689135894,-0.7273631569207385,3.748167305279707,-0.19405834843502512,0.8461301947326888,,SLC4A1
HCCS,527.8809045516285,-0.18882687463066605,0.06952654464525697,-2.7158961457686597,0.0066096648319270285,0.02612790382319596,HCCS
DVL2,372.78028351996187,-0.02281670964422837,0.13418714845278845,-0.17003647448590098,0.8649814518160518,0.9257231412956973,DVL2
UPF1,2821.4571160179344,0.07785762722054479,0.08784822025815471,0.8862743831548195,0.37546968957292537,0.5455081423306865,UPF1
SKAP2,1867.4359208093024,0.18750596390812144,0.09418754298877198,1.990772430813636,0.04650591158958916,0.12083463070308878,SKAP2
SLC25A5,5020.222053481508,-0.19499199755518945,0.08307044214850265,-2.347309012832842,0.0189095647699496,0.06027589828428542,SLC25A5
MCUB,505.68395115888575,-0.3588244044220099,0.11781927277989233,-3.0455493057774907,0.002322556938686466,0.011156733495891663,MCUB
HOXA11,0.6162429902101517,-0.5994316430951508,1.5363201008655125,-0.3901736641715816,0.6964081343734145,,HOXA11
POLR2J,1018.0835706729465,0.20337734612601369,0.08084739454580851,2.515570814230496,0.01188398007790213,0.04140992918414046,POLR2J
