,MV4.11_DMSO,K562_DMSO,K562_JQ1,MV4.11_JQ1
0,,101.0,139.0,
1,,374.0,356.0,
2,,4230.0,4676.0,
3,,3051.0,3387.0,
4,,7.0,4.0,
5,,2.0,3.0,
6,,38.0,35.0,
7,,274.0,290.0,
8,,591.0,571.0,
9,,6469.0,6844.0,
10,,3587.0,4165.0,
11,,1437.0,1526.0,
12,,79.0,59.0,
13,,5.0,5.0,
14,,1004.0,1129.0,
15,,1401.0,1438.0,
16,,3.0,2.0,
17,,4244.0,4733.0,
18,,391.0,448.0,
19,,480.0,511.0,
20,,1897.0,2349.0,
21,,3516.0,3861.0,
22,,4928.0,5001.0,
23,,105.0,138.0,
24,,71.0,73.0,
25,,5718.0,6801.0,
26,,1236.0,1303.0,
27,,4052.0,4883.0,
28,,934.0,1066.0,
29,,9277.0,9659.0,
30,,339.0,392.0,
31,,1.0,1.0,
32,,14.0,23.0,
33,,75136.0,83294.0,
34,,27.0,23.0,
35,,41659.0,49076.0,
36,,11536.0,12504.0,
37,,4340.0,5216.0,
38,,2694.0,2879.0,
39,,15.0,16.0,
40,,190.0,243.0,
41,,368.0,357.0,
42,,71.0,70.0,
43,,528.0,483.0,
44,,2.0,1.0,
45,,830.0,1014.0,
46,,955.0,960.0,
47,,162.0,174.0,
48,,509.0,595.0,
49,,97.0,122.0,
50,,1808.0,2060.0,
51,,5380.0,5890.0,
52,,86.0,89.0,
53,,8.0,6.0,
54,,681.0,740.0,
55,,52.0,28.0,
56,,988.0,1079.0,
57,,88.0,76.0,
58,,3153.0,3365.0,
59,,2572.0,3074.0,
60,,2942.0,3081.0,
61,,1667.0,1654.0,
62,,4940.0,5218.0,
63,,1503.0,1416.0,
64,,1.0,1.0,
65,,23.0,25.0,
66,,276.0,255.0,
67,,1.0,0.0,
68,,15.0,22.0,
69,,10556.0,11744.0,
70,,354.0,380.0,
71,,11.0,15.0,
72,,45.0,24.0,
73,,1.0,1.0,
74,,1513.0,1700.0,
75,,108.0,277.0,
76,,4154.0,3866.0,
77,,1784.0,1881.0,
78,,609.0,567.0,
79,,627.0,631.0,
80,,3044.0,3303.0,
81,,4168.0,3930.0,
82,,2477.0,2511.0,
83,,6657.0,7094.0,
84,,686.0,741.0,
85,,31.0,33.0,
86,,544.0,569.0,
87,,52.0,66.0,
88,,2167.0,2109.0,
89,,9.0,4.0,
90,,1.0,1.0,
91,,88.0,86.0,
92,,4532.0,4499.0,
93,,0.0,1.0,
94,,5.0,3.0,
95,,60.0,51.0,
96,,616.0,619.0,
97,,12724.0,14202.0,
98,,4466.0,4438.0,
99,,827.0,1120.0,
100,,4938.0,6195.0,
101,,288.0,282.0,
102,,512.0,565.0,
103,,4024.0,4762.0,
104,,8.0,6.0,
105,,11.0,18.0,
