,MOLM-13_DMSO,MOLM-13_JQ1+6nM_NVP-2,MOLM-13_6nM_NVP-2,MOLM-13_60nM_NVP-2,MOLM-13_JQ1
A1BG,0.0,0.0,0.0,0.0,0.0
NAT1,17.0,0.0,7.0,2.0,7.0
AAMP,31.0,7.0,30.0,3.5,41.5
AARS1,9.0,11.0,3.0,2.0,7.5
ABAT,0.0,0.0,0.0,0.0,0.0
ABCA1,15.0,3.0,3.0,2.0,3.0
ABCA2,0.0,0.0,0.0,0.5,0.0
ABCA3,0.0,0.0,0.0,0.0,0.0
ABCB7,5.0,4.0,2.0,0.0,3.0
ABCF1,45.0,18.0,25.0,0.0,27.0
ABL1,31.0,4.0,14.0,8.5,16.5
ABL2,9.0,2.0,6.0,4.5,0.5
ABR,17.0,5.0,13.0,4.0,23.0
ACAA1,8.0,0.0,2.0,2.0,4.0
ACACA,30.0,21.0,19.0,4.5,24.0
ACACB,0.0,0.0,0.0,0.5,4.0
ACADM,12.0,1.0,2.0,5.5,6.0
ACADS,7.0,2.0,3.0,1.5,3.5
ACADSB,1.0,3.0,0.0,0.0,5.0
ACADVL,4.0,0.0,0.0,0.0,0.5
ACAT1,6.0,1.0,4.0,3.0,3.0
ACAT2,41.0,12.0,17.0,0.0,24.0
ACLY,34.0,18.0,25.0,14.0,36.0
ACO1,4.0,0.0,0.0,1.5,0.0
ACO2,67.0,38.0,25.0,18.5,39.0
ACOX1,11.0,3.0,1.0,0.5,9.0
ACP1,28.0,9.0,18.0,2.0,19.0
ACP2,9.0,0.0,4.0,0.0,3.5
ACPP,3.0,0.0,0.0,0.0,0.0
ACTB,395.0,202.0,256.0,42.5,303.5
ACTG1,391.0,354.0,347.0,14.0,660.0
ACTN4,200.0,220.0,198.0,79.5,220.0
ACTL6A,12.0,5.0,10.0,1.5,5.5
ACTN1,79.0,32.0,42.0,17.5,34.5
ACVR1,0.0,3.0,0.0,1.5,2.5
ACVR1B,25.0,3.0,9.0,3.5,10.5
ACVR2A,0.0,0.0,0.0,0.0,0.5
ACVR2B,8.0,0.0,2.0,1.0,1.0
ACY1,0.0,0.0,0.0,0.0,0.0
ACYP1,5.0,0.0,3.0,1.0,1.0
ACYP2,0.0,0.0,0.0,0.0,0.0
ADA,0.0,0.0,4.0,2.0,0.0
ADAM8,13.0,14.0,1.0,0.5,14.0
ADAM10,4.0,3.0,5.0,0.0,3.0
ADAR,39.0,15.0,27.0,6.0,20.0
ADARB1,2.0,5.0,1.0,2.0,3.5
ADCY3,6.0,1.0,2.0,5.0,2.5
ADCY6,0.0,0.0,0.0,0.5,0.0
ADCY7,8.0,9.0,15.0,9.5,8.5
ADCY9,4.0,5.0,3.0,0.0,7.5
ADD1,6.0,4.0,2.0,1.0,4.5
ADD3,10.0,2.0,4.0,0.0,5.0
PLIN2,35.0,4.0,27.0,0.0,7.0
ADH5,15.0,0.0,6.0,0.0,5.0
ADK,6.0,0.0,11.0,0.0,3.5
ADORA2A,13.0,0.0,2.0,0.5,0.0
ADORA2B,4.0,0.0,3.0,0.0,0.0
ADORA3,0.0,0.0,0.0,0.0,0.0
ADPRH,13.0,0.0,0.0,3.0,0.5
PARP1,17.0,1.0,8.0,4.5,8.0
PARP4,4.0,0.0,0.0,2.0,2.5
ADRA2C,3.0,0.0,2.0,0.0,0.0
ADRB1,16.0,0.0,7.0,0.0,4.5
ADRB2,33.0,0.0,8.0,0.0,2.5
GRK2,38.0,17.0,47.0,11.0,31.5
GRK3,14.0,7.0,3.0,8.5,6.5
ADSL,16.0,3.0,4.0,0.0,9.5
ADSS2,30.0,1.0,11.0,0.5,7.5
AP2A1,0.0,0.0,0.0,0.0,0.0
AP2A2,0.0,0.0,4.0,0.0,1.0
AP1B1,15.0,11.0,21.0,17.5,12.0
AP2B1,5.0,3.0,1.0,5.5,3.0
AP1G1,70.0,64.0,61.0,30.5,76.5
TLE5,19.0,4.0,17.0,4.0,4.5
AFG3L1P,22.0,9.0,6.0,3.5,12.5
AGA,5.0,0.0,11.0,0.0,9.5
AGER,1.0,0.0,0.0,0.0,0.0
AGL,6.0,5.0,0.0,3.5,4.0
JAG1,24.0,0.0,3.0,6.0,0.0
AGT,1.0,0.0,0.0,0.5,0.0
AHCY,9.0,8.0,4.0,0.0,9.0
AHR,6.0,2.0,1.0,0.0,3.5
AIF1,12.0,0.0,0.0,0.0,0.0
CRYBG1,33.0,7.0,9.0,11.5,7.0
AK1,0.0,0.0,0.0,0.0,0.0
AK2,42.0,20.0,18.0,7.5,25.5
AK4,18.0,3.0,2.0,7.0,4.0
AKT1,4.0,4.0,4.0,1.0,4.5
AKT2,64.0,6.0,24.0,11.0,7.5
ALAD,10.0,0.0,2.0,0.5,0.0
ALAS1,22.0,0.0,8.0,0.5,5.0
ALCAM,6.0,1.0,9.0,0.5,9.5
ALDH2,5.0,0.0,0.0,0.0,0.0
ALDH1B1,14.0,0.0,8.0,0.0,0.5
ALDH1A3,0.0,0.0,0.0,1.5,0.0
ALDH3B1,7.0,0.0,7.0,3.0,1.5
ALDH9A1,48.0,3.0,24.0,4.0,30.0
ALDH3A2,2.0,0.0,0.0,0.5,0.5
ALDOA,47.0,32.0,68.0,5.5,55.0
ALDOC,0.0,0.0,1.0,0.0,2.0
AKR1B1,0.0,0.0,2.0,0.0,0.0
ALOX12,0.0,0.0,0.0,0.0,0.0
ALOX5,0.0,0.0,0.0,0.0,0.0
ALOX5AP,44.0,0.0,21.0,3.5,0.5
AMD1,146.0,26.0,78.0,3.0,70.0
AMFR,3.0,0.0,10.0,1.0,2.5
AMPD2,21.0,1.0,5.0,0.0,2.0
AMPD3,1.0,1.0,5.0,1.5,0.5
AMT,0.0,0.0,0.0,0.5,0.0
ANGPT1,0.0,0.0,3.0,1.0,0.0
ANK2,0.0,0.0,0.0,0.0,0.0
SLC25A4,0.0,0.0,0.0,0.0,0.5
SLC25A5,72.0,20.0,34.0,4.5,67.0
SLC25A6,169.0,4.0,77.0,2.0,51.0
ANXA1,0.0,0.0,0.0,0.0,0.0
ANXA2,7.0,0.0,0.0,1.5,0.5
ANXA4,0.0,0.0,0.0,1.5,3.5
ANXA5,7.0,0.0,1.0,0.0,2.5
ANXA6,3.0,0.0,0.0,0.0,0.0
ANXA7,2.0,0.0,4.0,0.0,3.0
ANXA11,8.0,9.0,10.0,3.0,9.5
AOAH,0.0,0.0,0.0,0.0,0.0
APAF1,6.0,4.0,1.0,2.5,3.5
NUDT2,5.0,1.0,5.0,1.0,3.5
APBA2,0.0,0.0,0.0,0.0,0.0
APBB2,3.0,0.0,4.0,0.0,0.0
APC,32.0,5.0,6.0,1.0,8.5
APEH,4.0,6.0,16.0,1.0,6.5
APEX1,10.0,4.0,6.0,0.0,5.0
BIRC2,33.0,3.0,34.0,3.5,15.5
XIAP,24.0,5.0,13.0,3.5,10.5
BIRC5,50.0,14.0,18.0,1.5,25.5
APLP2,39.0,28.0,42.0,10.5,41.5
APOC1,2.0,0.0,0.0,0.0,0.0
APOC2,31.0,1.0,23.0,0.0,5.0
APP,2.0,0.0,0.0,0.0,0.0
APRT,9.0,0.0,6.0,0.0,0.0
FAS,3.0,0.0,0.0,0.0,0.0
AQP3,5.0,0.0,0.0,0.0,1.0
ABCC6,2.0,0.0,0.0,0.0,0.0
ARAF,2.0,2.0,3.0,0.0,7.0
ARCN1,8.0,0.0,3.0,0.0,10.0
TRIM23,6.0,0.0,2.0,0.0,3.5
ARF1,81.0,47.0,50.0,7.5,80.5
ARF3,4.0,1.0,4.0,3.0,2.5
ARF4,23.0,3.0,13.0,1.5,28.0
ARL4D,16.0,0.0,3.0,0.0,7.5
ARF5,21.0,13.0,19.0,2.0,14.0
ARF6,137.0,41.0,127.0,14.5,90.0
ARG2,0.0,0.0,0.0,0.0,0.0
RHOA,104.0,69.0,148.0,32.0,84.0
RHOB,5.0,4.0,5.0,0.0,5.5
RHOC,0.0,0.0,0.0,0.0,0.0
RHOG,29.0,13.0,23.0,1.0,17.5
ARHGAP1,12.0,15.0,12.0,8.0,13.5
ARHGAP4,8.0,2.0,14.0,2.0,2.0
ARHGDIA,7.0,7.0,9.0,3.5,8.0
ARHGDIB,53.0,9.0,16.0,3.5,14.0
ARL1,28.0,6.0,3.0,0.0,7.0
ARL2,7.0,1.0,2.0,1.5,2.0
ARL3,3.0,0.0,12.0,1.0,2.5
ARNT,20.0,0.0,1.0,6.5,7.5
ARNTL,1.0,3.0,3.0,2.5,2.0
ARRB1,7.0,8.0,7.0,2.5,9.0
ARRB2,4.0,2.0,2.0,0.5,1.0
ARSB,1.0,0.0,1.0,0.0,4.0
STS,1.0,8.0,0.0,0.0,2.0
ARSD,21.0,26.0,18.0,5.0,29.0
ARVCF,0.0,0.0,0.0,1.5,0.0
ASAH1,6.0,1.0,0.0,0.0,1.0
