,MOLM-13_DMSO_rep-1_exp-2,MOLM-13_DMSO_rep-2_exp-2,MOLM-13_DMSO_rep-3_exp-2,MOLM-13_JQ1_rep-1_exp-2,MOLM-13_JQ1_rep-2_exp-2,MOLM-13_JQ1_rep-3_exp-2,MOLM-13_6nM_NVP-2_rep-1_exp-2,MOLM-13_6nM_NVP-2_rep-2_exp-2,MOLM-13_6nM_NVP-2_rep-3_exp-2,MOLM-13_60nM_NVP-2_rep-1_exp-2,MOLM-13_60nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-1_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-3_exp-2
A1BG,0,0,0,0,1,0,0,0,0,0,0,1,0,0
NAT1,28,17,11,32,14,30,7,4,7,4,0,0,0,0
AAMP,77,31,28,119,63,63,30,6,89,5,2,7,20,6
AARS1,15,8,9,12,0,4,0,3,6,1,3,11,18,0
ABAT,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABCA1,30,15,12,2,5,11,1,5,3,1,3,3,0,3
ABCA2,0,0,0,0,0,1,0,6,0,0,1,0,1,0
ABCA3,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ABCB7,21,5,1,0,2,7,2,0,8,0,0,0,6,4
ABCF1,45,44,57,98,24,52,29,15,25,0,0,6,30,18
ABL1,51,26,31,30,17,34,14,7,34,9,8,16,1,4
ABL2,14,5,9,0,0,1,3,6,11,0,9,0,5,2
ABR,49,17,12,40,21,30,13,5,18,0,8,3,25,5
ACAA1,16,8,7,5,8,16,6,0,2,0,4,0,3,0
ACACA,30,30,13,9,27,28,19,24,9,4,5,21,3,28
ACACB,0,2,0,10,4,9,0,0,0,0,1,4,0,0
ACADM,14,8,12,9,9,20,1,4,2,5,6,1,3,0
ACADS,12,7,6,13,1,23,2,3,13,0,3,0,2,5
ACADSB,0,1,5,5,5,11,0,0,3,0,0,12,2,3
ACADVL,9,1,4,0,11,8,0,0,0,0,0,0,0,1
ACAT1,4,6,8,13,10,4,4,1,18,0,6,2,0,1
ACAT2,67,34,41,67,37,29,28,17,12,0,0,19,12,1
ACLY,55,31,34,64,46,46,28,16,25,17,11,18,26,1
ACO1,0,4,6,0,0,4,0,0,6,3,0,0,0,0
ACO2,67,35,71,47,29,50,21,25,72,22,15,40,38,5
ACOX1,5,11,11,13,8,10,0,1,4,1,0,11,1,3
ACP1,35,26,28,29,36,35,18,11,18,2,2,7,9,9
ACP2,9,3,11,6,2,6,0,4,4,0,0,5,0,0
ACPP,12,3,1,0,1,3,0,5,0,0,0,0,0,0
ACTB,527,395,250,710,339,655,256,235,365,33,52,268,202,164
ACTG1,540,374,391,1247,949,1099,347,135,362,2,26,354,371,202
ACTN4,294,156,200,311,179,220,198,106,305,54,105,269,220,132
ACTL6A,12,11,13,13,6,18,10,0,22,3,0,4,5,5
ACTN1,91,79,49,81,36,44,42,34,105,16,19,32,33,7
ACVR1,0,0,3,6,2,0,0,0,0,0,3,0,3,5
ACVR1B,42,24,25,19,14,29,10,0,9,2,5,3,7,2
ACVR2A,0,0,4,8,0,1,0,0,0,0,0,0,0,2
ACVR2B,12,8,5,4,2,3,0,5,2,0,2,0,0,0
ACY1,0,0,1,0,0,1,2,0,0,0,0,0,0,0
ACYP1,6,2,5,1,8,15,3,0,5,1,1,0,1,0
ACYP2,0,0,0,2,0,6,0,0,5,0,0,0,0,0
ADA,9,0,0,0,0,5,8,4,0,0,4,0,0,0
ADAM8,27,10,13,22,0,16,0,1,12,1,0,14,14,1
ADAM10,7,4,4,0,3,6,7,0,5,0,0,3,2,8
ADAR,73,39,33,59,19,35,25,27,56,5,7,15,8,21
ADARB1,6,2,1,0,8,2,1,2,0,2,2,5,6,0
ADCY3,6,7,1,8,3,4,2,0,22,5,5,2,1,1
ADCY6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADCY7,18,6,8,3,8,14,15,5,32,0,19,12,9,0
ADCY9,8,3,4,13,2,10,3,0,13,0,0,26,0,5
ADD1,18,3,6,8,0,5,2,0,12,2,0,8,0,4
ADD3,13,4,10,5,11,5,5,4,0,0,0,6,2,2
PLIN2,36,30,35,43,7,11,34,20,27,0,0,4,7,4
ADH5,20,10,15,9,12,13,6,4,12,0,0,1,0,0
ADK,6,6,5,25,7,8,1,11,11,0,0,0,0,0
ADORA2A,8,18,13,0,0,0,3,0,2,1,0,0,3,0
ADORA2B,4,5,1,0,0,9,3,0,3,0,0,0,0,0
ADORA3,0,3,0,0,0,0,1,0,0,0,0,0,0,0
ADPRH,13,16,3,1,1,13,0,0,2,0,6,0,0,0
PARP1,23,5,17,24,14,40,5,8,14,9,0,2,0,1
PARP4,24,4,4,3,10,7,0,0,10,0,4,0,0,2
ADRA2C,2,3,6,0,3,4,0,3,2,0,0,0,0,0
ADRB1,37,16,9,9,10,4,12,7,6,0,0,0,5,0
ADRB2,38,19,33,5,12,17,8,9,5,0,0,0,0,0
GRK2,48,36,38,39,28,35,47,31,57,14,8,60,17,16
GRK3,14,25,1,7,6,2,0,3,3,4,13,1,11,7
ADSL,8,16,31,18,7,16,0,13,4,0,0,12,3,0
ADSS2,30,8,30,11,13,27,11,7,52,0,1,0,4,1
AP2A1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AP2A2,0,0,7,0,5,4,0,4,7,0,0,0,2,0
AP1B1,29,10,15,51,11,42,21,2,45,8,27,11,4,13
AP2B1,5,4,5,3,1,4,0,6,1,3,8,4,3,1
AP1G1,110,70,56,101,89,99,42,61,66,31,30,64,64,16
TLE5,19,20,18,5,9,11,17,19,6,1,7,4,2,4
AFG3L1P,34,22,10,40,14,21,6,14,0,3,4,9,11,9
AGA,14,1,5,14,18,17,0,11,16,0,0,0,5,0
AGER,1,2,0,3,0,0,0,0,0,0,0,0,0,0
AGL,6,8,0,4,4,0,0,2,0,1,6,0,7,5
JAG1,24,27,16,10,0,8,3,0,14,4,8,0,0,0
AGT,1,2,1,0,0,0,0,0,0,0,1,0,0,0
