,K562_DMSO_rep1,K562_DMSO_rep2,K562_DMSO_rep3,K562_JQ1_rep1,K562_JQ1_rep2,K562_JQ1_rep3,MV4-11_DMSO_rep-1,MV4-11_DMSO_rep-2,MV4-11_DMSO_rep-3,MV4-11_JQ1_rep-1,MV4-11_JQ1_rep-2,MV4-11_JQ1_rep-3,genes
0,117,101,95,148,139,85,77,60,105,53,76,74,A1BG
1,436,374,368,369,356,325,581,389,678,423,900,502,NAT1
2,4792,4230,4198,5099,4676,3746,4124,3294,4927,3197,6761,3771,AAMP
3,3051,3302,2921,3593,3387,2492,2603,2151,3878,2264,3361,3011,AARS1
4,4,7,9,6,3,4,86,69,83,57,145,92,ABAT
5,0,2,4,3,3,1,54,29,66,21,50,40,ABCA1
6,58,38,36,46,35,20,459,364,501,292,504,385,ABCA2
7,321,268,274,343,290,255,11,13,14,8,15,12,ABCA3
8,591,671,571,571,646,485,716,516,935,543,1035,725,ABCB7
9,6856,6469,5802,7857,6844,5525,2213,1810,3016,2058,3133,2345,ABCF1
10,3587,4508,3518,4799,4165,3219,1785,1343,1980,1281,2007,1455,ABL1
11,1437,1445,1435,1663,1526,1190,726,512,914,576,895,648,ABL2
12,115,79,55,67,59,50,2,0,2,0,2,0,ABO
13,5,3,6,11,5,2,2874,2284,3896,2503,3921,2943,ABR
14,1287,931,1004,1136,1129,873,1220,848,1622,1041,1473,1222,ACAA1
15,1407,1401,1251,1565,1438,1201,664,555,944,571,1056,689,ACACA
16,6,3,1,3,2,0,92,114,164,121,191,118,ACACB
17,4220,4782,4244,4908,4733,3847,1977,1601,2585,1589,2946,1849,ACADM
18,422,391,389,511,448,357,819,536,868,586,1019,712,ACADS
19,565,480,476,511,527,393,746,549,850,554,1227,604,ACADSB
20,1897,2075,1864,2471,2349,1712,5171,4283,6889,4472,6486,5615,ACADVL
21,3095,4037,3516,4758,3861,2826,2876,2261,3354,2500,4292,2806,ACAT1
22,5794,4928,4835,5001,5378,4374,1940,1465,2509,1487,2891,1790,ACAT2
23,107,105,92,138,143,75,103,74,136,94,122,93,ASIC1
24,59,79,71,93,73,61,1,0,0,0,2,0,ACHE
25,5718,6272,5653,7518,6801,5264,6362,5279,9228,5805,9767,6790,ACLY
26,1439,1236,1127,1426,1303,977,600,528,777,536,998,612,ACO1
27,3815,5021,4052,5901,4883,3843,4740,3838,6723,4127,6407,4965,ACO2
28,934,1001,852,1066,1159,841,1396,1116,1968,1255,2122,1419,ACOX1
29,10206,9193,9277,9814,9659,7906,3823,2862,4584,3040,5179,3528,ACP1
30,374,323,339,395,392,295,300,237,420,241,376,290,ACP2
31,0,2,1,1,1,2,1442,1091,2090,1116,1989,1267,ACPP
32,14,34,10,24,23,13,49,40,72,53,75,80,ACTA2
33,75136,79280,71871,96970,83294,64228,165058,131717,224995,144560,173103,177480,ACTB
34,20,30,27,42,23,23,0,1,1,0,0,0,ACTC1
35,41659,46316,38697,57305,49076,37345,115949,92449,161213,104312,171340,120647,ACTG1
36,11536,12132,10876,13725,12504,9071,15289,11209,17404,12379,18005,14186,ACTN4
37,3910,4924,4340,5725,5216,3882,3237,2901,5143,3222,4556,3720,ACTL6A
38,3020,2694,2480,2879,2906,2490,9467,6871,10688,6992,13545,8231,ACTN1
39,24,13,15,16,19,13,0,1,1,2,1,3,ACTN2
40,190,220,185,287,243,168,66,48,93,66,105,75,ACVR1
41,359,395,368,357,378,295,259,221,289,194,329,237,ACVR1B
42,72,51,71,69,70,71,20,13,30,14,41,22,ACVR2A
43,516,528,535,547,483,420,234,172,252,142,212,162,ACVR2B
44,1,2,3,1,1,4,76,85,128,82,107,102,ACVRL1
45,788,859,830,1014,1018,699,1136,833,1586,1083,1224,1373,ACY1
46,1006,955,808,1043,960,782,595,478,787,474,869,563,ACYP1
47,185,154,162,174,187,121,165,116,221,156,223,153,ACYP2
48,573,478,509,623,595,424,2272,1909,3342,2113,2800,2445,ADA
49,117,97,68,122,134,71,191,159,241,135,289,155,ADAM8
50,1807,2071,1808,2240,2060,1544,2889,2277,3975,2339,4276,2763,ADAM10
51,5446,5380,5352,6250,5890,4355,4867,3893,6546,4090,7479,4580,ADAR
52,79,86,114,116,89,65,491,347,570,352,581,379,ADARB1
53,8,1,8,6,8,2,24,9,17,19,32,16,ADCY1
54,619,723,681,956,740,596,1095,897,1469,980,1356,1030,ADCY3
55,52,38,63,32,28,28,10,5,9,10,17,10,ADCY6
56,988,1008,920,1079,1083,815,2645,2072,3549,1995,4346,2366,ADCY7
57,88,102,66,106,76,72,1130,897,1442,907,1483,972,ADCY9
58,3153,3373,3034,3444,3365,2814,2768,2231,3645,2295,3758,2729,ADD1
59,2537,2764,2572,3341,3074,2324,1157,978,1618,1104,1458,1243,ADD2
60,2926,2942,2943,3266,3081,2369,676,499,810,550,1020,607,ADD3
61,1667,1734,1513,1850,1654,1438,586,442,731,465,866,534,PLIN2
62,4837,5266,4940,5218,5341,4208,2845,2213,3621,2212,4223,2836,ADH5
63,1503,1515,1478,1416,1656,1326,2686,1977,3452,2250,3878,2783,ADK
64,1,0,1,1,0,1,53,38,56,26,43,35,ADORA1
65,13,36,23,36,25,20,40,27,58,12,20,25,ADORA2A
66,276,302,222,266,255,192,309,230,456,200,309,221,ADORA2B
