,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
DPM1,66.3,59.06,69.49,65.84,67.04,79.19,80.25,67.75
SCYL3,3.19,3.12,3.16,3.09,2.77,2.8,2.79,2.45
C1orf112,11.72,10.67,11.33,9.94,10.8,9.19,10.5,9.88
FGR,9.91,10.67,10.27,9.2,4.79,5.08,5.74,4.15
CFH,0.4,0.18,0.16,0.14,0.32,0.07,0.13,0.42
FUCA2,25.6,27.51,27.48,26.03,28.52,27.69,29.58,25.19
GCLC,3.23,4.07,3.35,3.71,5.2,5.04,3.92,4.23
NFYA,28.12,28.09,24.33,24.53,27.36,26.3,28.14,22.96
STPG1,1.59,0.86,1.22,0.57,0.75,0.99,0.73,0.78
NIPAL3,6.73,6.58,5.92,5.57,5.91,5.99,5.22,5.22
LAS1L,39.9,42.3,38.36,36.85,38.86,37.32,40.2,35.38
SEMA3F,0.57,0.88,0.77,0.58,0.49,0.38,0.66,0.51
ANKIB1,5.86,5.2,5.43,5.37,5.48,5.6,6.46,4.91
CYP51A1,120.48,112.71,131.64,136.94,93.89,119.6,124.0,89.2
KRIT1,26.16,17.05,18.12,20.66,19.74,17.9,21.62,18.89
RAD52,7.54,7.39,6.03,7.12,6.53,9.27,4.31,8.68
MYH16,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
BAD,12.12,15.21,12.56,10.74,10.18,11.16,11.07,8.66
LAP3,41.3,46.11,40.19,37.73,50.87,43.55,47.34,41.57
CD99,65.98,78.45,72.73,74.7,66.0,63.5,70.57,61.08
AOC1,0.54,0.56,0.3,0.31,0.35,0.45,0.92,0.59
WNT16,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
HECW1,0.03,0.03,0.11,0.04,0.32,0.43,0.27,0.29
MAD1L1,24.04,34.59,28.63,23.64,27.87,28.87,32.93,19.93
LASP1,61.71,68.57,59.46,64.16,51.2,49.58,51.59,43.96
SNX11,14.47,19.78,14.95,14.95,17.3,16.96,15.52,15.12
TMEM176A,0.19,0.15,0.37,0.14,0.18,0.14,0.21,0.43
M6PR,135.17,146.05,125.24,133.09,137.71,134.32,136.48,118.75
KLHL13,1.49,1.2,1.2,1.42,1.33,1.16,1.19,0.94
CYP26B1,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
ICA1,0.8,1.78,1.27,1.86,2.02,1.38,1.47,1.16
DBNDD1,2.13,2.8,2.24,2.24,1.74,2.51,3.25,1.79
ALS2,7.35,4.08,4.88,4.3,3.02,5.15,4.5,3.98
CASP10,5.12,5.06,4.03,3.94,5.28,3.59,3.93,3.14
CFLAR,25.69,25.2,25.0,22.78,20.62,19.67,21.61,19.26
TFPI,0.0,0.02,0.0,0.0,0.0,0.02,0.04,0.0
NDUFAF7,8.51,8.49,9.19,9.38,11.49,9.82,8.48,8.68
RBM5,48.91,56.41,53.59,57.46,58.82,61.31,65.22,54.83
MTMR7,0.18,0.3,0.27,0.4,0.34,0.37,0.44,0.43
ARF5,49.1,48.25,43.42,46.83,44.83,44.89,46.93,37.59
SARM1,0.19,0.24,0.03,0.36,0.18,0.02,0.13,0.21
POLDIP2,46.23,54.55,43.82,42.6,45.4,37.62,42.87,36.33
PLXND1,66.82,74.14,65.92,68.04,76.18,69.19,79.41,63.85
AK2,299.68,313.76,310.4,278.82,216.81,225.97,251.22,210.28
CD38,2.6,2.07,1.68,1.92,1.13,0.82,0.52,1.04
FKBP4,68.62,72.19,59.97,59.76,63.91,59.08,58.07,57.62
KDM1A,46.16,38.23,35.34,37.04,32.04,29.55,34.24,28.15
RBM6,54.28,56.11,51.92,54.0,59.47,59.69,56.54,57.91
CAMKK1,4.26,5.21,4.21,4.58,3.12,3.56,3.53,3.56
RECQL,35.03,36.55,32.49,28.87,33.89,31.66,34.63,27.45
VPS50,7.71,5.94,4.88,5.71,5.25,4.69,4.85,4.57
HSPB6,0.33,0.41,0.39,0.24,0.33,0.34,0.36,0.2
ARHGAP33,8.92,14.77,8.21,7.26,8.31,6.29,11.91,5.71
NDUFAB1,73.81,114.33,89.52,72.65,99.24,83.37,99.45,89.25
PDK4,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
SLC22A16,2.77,1.76,1.4,0.87,1.34,1.71,0.86,1.49
ZMYND10,0.36,2.76,0.59,0.82,0.54,0.74,1.01,0.88
ARX,0.07,0.08,0.01,0.02,0.12,0.03,0.0,0.01
SLC25A13,13.57,13.14,10.16,11.99,12.11,10.72,11.29,11.06
ST7,8.15,9.88,8.49,7.8,9.4,9.03,8.45,7.19
CDC27,35.32,31.06,29.68,26.3,26.51,29.32,32.43,27.06
SLC4A1,0.0,0.0,0.03,0.09,0.02,0.0,0.0,0.0
HCCS,22.24,24.87,22.27,20.72,20.92,20.51,21.1,21.23
DVL2,17.49,19.56,15.87,17.59,14.27,11.19,15.48,11.62
UPF1,42.11,48.79,39.18,38.32,40.63,34.37,36.76,33.86
SKAP2,35.84,32.39,34.57,35.22,35.67,39.68,41.57,31.41
SLC25A5,266.17,343.47,296.34,271.33,320.78,271.2,296.12,274.38
MCUB,1.49,1.68,2.63,1.21,1.83,2.35,1.38,1.73
HOXA11,2.33,1.98,2.02,2.26,1.79,1.88,1.98,1.91
POLR2J,52.68,63.45,53.95,49.77,51.65,47.26,52.75,48.3
DHX33,11.99,10.97,8.81,9.24,9.57,8.63,8.92,8.47
THSD7A,1.82,1.22,1.03,1.25,1.59,1.6,2.0,1.45
LIG3,19.66,13.47,12.4,16.13,16.34,11.31,18.37,11.49
RPAP3,19.43,15.55,21.04,17.71,16.15,16.85,16.58,14.98
ACSM3,17.61,16.29,16.65,17.67,20.83,22.75,23.92,22.21
REXO5,14.51,16.58,13.56,14.09,13.4,14.62,13.39,11.52
CIAPIN1,16.37,25.39,20.19,15.34,24.13,18.83,20.29,19.58
SPPL2B,25.3,34.66,26.15,22.87,30.8,25.77,28.01,24.61
FAM214B,6.75,7.77,5.88,6.46,4.93,4.84,6.42,4.62
COPZ2,3.13,3.28,2.49,4.18,4.66,3.06,3.34,2.12
PRKAR2B,2.22,1.99,2.17,2.34,2.38,2.87,2.56,1.98
MSL3,19.38,16.17,18.46,19.07,13.68,14.7,16.44,14.4
CREBBP,9.6,8.83,6.46,7.28,5.87,5.35,6.42,5.06
TSPOAP1,17.01,16.0,14.85,15.12,22.35,20.06,17.92,20.79
MPO,1.9,2.37,1.78,1.87,2.73,2.36,3.32,2.48
GCFC2,4.26,3.19,3.93,4.77,3.93,4.87,5.71,3.36
WDR54,14.88,22.28,19.91,17.71,15.28,15.65,19.48,15.96
CROT,1.57,1.29,1.46,1.45,1.72,1.67,1.56,0.9
ABCB4,0.55,0.35,0.16,0.1,0.06,0.15,0.0,0.07
KMT2E,32.36,28.85,27.9,31.09,25.01,27.01,29.99,22.74
RHBDD2,7.98,10.94,8.63,8.0,6.78,7.63,7.65,6.88
IBTK,17.53,15.18,14.99,15.53,14.55,15.83,15.06,12.76
ZNF195,23.1,25.44,23.01,23.74,28.2,25.45,27.23,21.01
MYCBP2,55.54,55.1,48.21,52.91,48.71,45.57,45.63,43.29
FBXL3,14.86,13.59,14.69,14.1,14.67,16.95,17.6,12.44
ITGAL,412.82,455.27,358.41,401.07,337.57,303.76,317.96,267.86
PDK2,8.37,9.22,6.29,5.73,7.03,12.14,7.16,6.54
ITGA3,1.04,1.51,1.75,0.85,1.15,1.23,1.35,1.09
ZFX,12.43,9.46,7.88,8.43,8.1,9.19,13.95,9.04
LAMP2,94.0,77.52,82.29,85.9,88.37,96.31,99.33,84.13
ITGA2B,2.08,3.23,2.37,1.91,1.68,3.19,3.04,1.81
GDE1,18.14,18.35,19.18,17.73,23.15,23.43,23.14,21.15
REX1BD,22.06,37.65,27.76,19.37,33.4,23.12,25.14,26.74
CRLF1,5.05,4.16,3.6,3.0,5.79,4.98,3.81,4.77
OSBPL7,5.76,5.33,4.79,2.98,4.81,6.26,6.76,3.57
YBX2,0.13,0.26,0.31,0.44,0.12,0.02,0.09,0.17
MAP3K14,1.0,1.27,1.34,1.11,1.19,1.9,1.38,1.16
TMEM132A,0.03,0.06,0.05,0.21,0.0,0.08,0.02,0.04
AP2B1,38.7,41.02,36.93,36.24,35.95,35.03,38.69,30.79
ZNF263,23.62,26.88,25.87,24.65,28.26,25.13,25.54,21.57
SPATA20,9.57,12.32,9.43,8.23,11.29,10.82,10.31,9.38
CACNA1G,0.0,0.0,0.01,0.01,0.0,0.11,0.0,0.0
TNFRSF12A,5.05,5.63,4.22,4.31,4.66,2.51,4.49,2.38
MAP3K9,0.02,0.02,0.01,0.0,0.02,0.02,0.01,0.0
RALA,16.96,14.06,14.7,15.09,13.15,15.11,16.14,13.9
BAIAP2L1,0.04,0.02,0.2,0.02,0.0,0.0,0.03,0.01
KDM7A,0.31,0.08,0.14,0.2,0.07,0.18,0.06,0.08
ETV1,0.17,0.67,0.25,0.16,0.19,0.6,0.18,0.17
AGK,4.7,4.67,4.66,4.08,4.01,4.62,4.5,4.96
ALDH3B1,10.75,12.99,10.57,10.23,9.71,9.26,10.47,8.09
TTC22,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
PHTF2,9.6,7.92,8.06,9.83,8.22,9.47,8.57,7.54
FARP2,15.19,14.03,11.99,10.97,10.18,11.8,11.89,8.68
GGCT,100.41,100.77,108.08,109.83,114.27,121.63,118.65,109.58
DBF4,36.82,36.2,35.08,35.8,36.69,41.99,42.35,33.8
TBXA2R,0.45,0.46,0.37,0.39,0.13,0.41,0.19,0.42
IFRD1,9.93,9.46,9.97,10.76,8.8,11.85,13.32,11.12
COX10,16.18,17.53,13.36,12.95,12.98,10.31,12.55,10.9
GTF2IRD1,9.67,13.27,11.7,10.75,11.35,12.61,8.32,9.78
PAF1,50.21,44.37,42.88,52.72,45.29,45.06,52.58,45.22
VPS41,24.88,15.33,19.47,17.42,19.18,14.01,16.3,13.42
ARHGAP44,27.55,29.97,24.53,25.08,13.52,14.98,14.76,13.56
ELAC2,37.78,42.05,35.15,32.0,34.24,34.75,32.04,32.85
ARSD,11.0,11.89,10.86,11.08,11.79,10.32,10.57,8.9
PNPLA4,1.54,4.16,2.36,2.0,3.3,3.64,2.56,3.81
MYH13,0.02,0.02,0.06,0.04,0.01,0.0,0.0,0.01
ADIPOR2,53.12,59.49,55.43,57.54,47.69,43.56,48.0,41.43
CDKL3,0.88,0.85,1.81,0.92,0.93,0.62,0.85,0.73
MARK4,11.82,11.48,10.22,12.9,7.97,8.44,7.89,8.04
PROM1,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
CCDC124,134.23,124.35,114.94,117.69,105.86,114.73,111.9,111.86
CEACAM21,6.32,5.19,5.22,4.32,4.71,3.59,4.46,3.77
PAFAH1B1,34.16,34.63,29.92,30.81,32.3,35.71,33.43,28.6
NOS2,0.95,1.01,0.87,0.85,0.65,0.74,0.74,0.43
KIAA0100,84.6,79.3,66.54,68.99,76.58,72.17,77.4,70.87
GAS7,2.98,3.34,2.81,2.52,1.63,1.66,2.0,1.27
