"GENE","mr221.MV411.RNP_AAVS1.r5.new","mr228.MV411.RNP_RUNX2.r7","mr231.MV411.RNP_RUNX2.r10","mr291.MV411.RNP_AAVS1.r8","mr294.MV411.RNP_AAVS1.r11","mr316.MV411.RNP_RUNX2.r12"
"A1BG",10.6651939817203,7.5244906502148,5.79421330397202,14.2326465334343,3.19136077722779,0.978817053628417
"A1BG-AS1",7.38359583349869,12.7916341053652,5.79421330397202,10.3510156606795,9.57408233168337,4.89408526814209
"A1CF",0,0,0,0,0,0
"A2M",6.56319629644328,3.00979626008592,4.63537064317762,1.29387695758494,0,4.89408526814209
"A2M-AS1",0.82039953705541,0,0,0,0,0
"A3GALT2",0,0,0,0,0,0
"A4GALT",9.84479444466492,8.27693971523628,9.27074128635524,25.8775391516988,23.4033123663371,23.491609287082
"A4GNT",0,0,0,0,0,0
"AAAS",1165.78774215574,1074.49726485067,1183.17835667109,1575.94213433846,1190.37756990597,1475.07729981802
"AACS",1206.80771900851,820.921929938435,1013.9873281951,961.350579485611,795.712620455463,784.032459956362
"AACSP1",0,0,0,0,0,0
"AADAC",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0
"AADACP1",0,0,0,0,0,0
"AAGAB",1159.22454585929,1156.51421293801,1221.4201644773,1227.88923274811,1272.28916318815,1192.19917131941
"AAK1",2326.65308708914,2230.25902872367,2171.67114632871,2277.22344534949,2598.83145958916,2137.73644512446
"AAMDC",96.8071453725384,76.749804632191,111.248895436263,139.738711419174,86.1667409851504,121.373314649924
"AAMP",2724.54686256102,2650.12560700565,2515.84741658465,3323.96990403571,2166.93396773767,2706.42915328257
"AANAT",0,0,0,0,0,0
"AAR2",1165.78774215574,1069.23012139552,1103.21821307627,1436.20342291928,1047.83012185646,1313.57248596934
"AARD",0,0,0,0,0,0
"AARS1",4808.36168668176,3921.76452689195,4445.32044680734,4955.54874755032,4347.69716550999,5505.84592665985
"AARS2",606.275257883948,615.503335187571,542.338365251782,725.864973205152,513.809085133674,593.163134498821
"AARSD1",542.284093993626,565.841696896153,596.803970309119,737.509865823416,551.041627534665,664.616779413695
"AARSD1P1",0,0,0,0,0,0
"AASDH",284.678639358227,310.00901478885,302.45793446734,174.673389273967,274.45702684159,325.946078858263
"AASDHPPT",1637.5174759626,1959.37736531593,1719.7225086189,941.942425121837,1536.10832077231,1530.86987187484
"AASS",0,0,0,0,0,0
"AATBC",57.4279675938787,79.0071518272554,85.754356898786,50.4612013458127,37.2325424009909,37.1950480378799
"AATF",2629.38051626259,2400.31251741852,2664.17927716634,3802.70437834214,3594.53602208424,3540.38128297398
"AATK",12.3059930558312,23.3259210156659,4.63537064317762,10.3510156606795,8.51029540594078,7.83053642902734
"ABALON",15.5875912040528,7.5244906502148,15.0649545903273,18.1142774061892,26.5946731435649,29.3645116088525
"ABAT",114.035535650702,145.975118614167,149.490703242478,168.204004486042,173.397268896043,229.04319054905
"ABCA1",135.365923614143,114.372257883265,105.454682132291,41.4040626427181,63.8272155445558,57.7502061640766
"ABCA10",9.02439490760951,7.5244906502148,12.7472692687385,6.4693847879247,2.12757385148519,2.93645116088525
"ABCA11P",52.5055703715463,63.9581705268258,47.5125490925706,12.9387695758494,10.637869257426,23.491609287082
"ABCA12",0,1.50489813004296,0,5.17550783033976,1.0637869257426,0
"ABCA13",0,0,0,0,0,0
"ABCA17P",22.9711870375515,17.306328495494,17.3826399119161,6.4693847879247,1.0637869257426,5.8729023217705
"ABCA2",2246.25393245771,1687.74325284318,1554.0080081253,2141.36636480308,1636.10429179211,2105.43548235473
"ABCA3",84.5011523167073,71.4826611770406,77.6424582732251,38.8163087275482,44.6790508811891,50.8984867886777
"ABCA4",0,0,0,0,0,0
"ABCA5",57.4279675938787,72.2351102420621,82.2778289164027,18.1142774061892,54.2531332128725,51.8773038423061
"ABCA6",60.7095657421004,60.9483742667399,84.5955142379916,31.0530469820386,48.9341985841595,43.0679503596504
"ABCA7",739.179982886925,699.777630469977,594.48628498753,930.297532503572,555.296775237636,717.47290030963
"ABCA8",0,0,0,0,0,0
"ABCA9",0,1.50489813004296,1.1588426607944,0,0,4.89408526814209
"ABCA9-AS1",0,0,0,0,0,0
"ABCB1",0,0,0,0,0,0
"ABCB10",5139.80309965215,6662.93647076521,6010.91688154058,4897.324284459,6959.29406820807,8686.02253389857
"ABCB10P1",0.82039953705541,0,0,0,0,0
"ABCB10P3",0,0,1.1588426607944,2.58775391516988,0,0.978817053628417
"ABCB10P4",1.64079907411082,1.50489813004296,0,0,0,0
"ABCB11",0,0,0,0,0,0
"ABCB4",4.10199768527705,0.75244906502148,1.1588426607944,3.88163087275482,1.0637869257426,5.8729023217705
"ABCB5",0,0,0,0,0,0
"ABCB6",17.2283902781636,21.8210228856229,18.5414825727105,21.995908278944,19.1481646633667,14.6822558044263
"ABCB7",662.882825940771,730.628042135857,724.276662996503,745.273127568926,874.432852960415,915.19394514257
"ABCB8",551.308488901236,589.167617911819,582.897858379586,719.395588417227,428.706131074267,609.803024410504
"ABCB9",73.0155587979315,62.4532723967829,60.2598183613091,63.3999709216621,30.8498208465353,76.3477301830165
"ABCC1",1673.61505559304,1480.81975996227,1505.33661637193,1671.68902919974,1625.46642253469,1950.78238788144
"ABCC10",425.787359731758,429.648416127265,424.136413850752,503.318136500542,345.730750866344,443.404125293673
"ABCC11",5.74279675938787,2.25734719506444,6.95305596476643,3.88163087275482,0,2.93645116088525
"ABCC13",26.2527851857731,34.6126569909881,54.465605057337,18.1142774061892,27.6584600693075,46.0044015205356
"ABCC2",32.8159814822164,30.0979626008592,41.7183357885986,43.991816557888,35.1049685495057,34.2585968769946
"ABCC3",1.64079907411082,1.50489813004296,0,0,0,0
"ABCC4",1397.14041160536,1635.07181829168,1629.33278107693,1170.95864661437,1716.95209814855,1896.94744993187
"ABCC5",414.301766212982,476.300258158597,436.883683119491,486.497736051938,467.002460401,543.243464763771
"ABCC5-AS1",0,0,0,0,0,0
"ABCC6",9.84479444466492,18.811226625537,17.3826399119161,9.05713870309458,7.44650848019818,7.83053642902734
"ABCC6P1",0,2.25734719506444,0,0,1.0637869257426,2.93645116088525
"ABCC6P2",0,0,0,0,0,0
"ABCC8",0.82039953705541,0,0,0,0,0
"ABCC9",0,0,0,0,0,0
"ABCD1",1589.93430281339,1305.49912781227,1368.59318239819,1600.52579653257,1055.27663033666,1133.47014810171
"ABCD1P2",0,0,0,0,0,0
"ABCD2",199.357087504465,181.340224670177,172.667556458366,129.387695758494,147.866382678221,178.144703760372
"ABCD3",946.741065761943,1085.03155176097,1004.71658690875,645.644601834885,1148.889879802,984.689955950188
"ABCD4",362.616595378491,356.660856820182,325.634787683228,406.277364681671,295.732765356442,384.675102075968
"ABCE1",5568.05165799507,6422.15276995833,6074.65322788427,4282.73272960615,7925.21259678235,6559.05307636402
"ABCF1",2909.95715793554,2839.74277139107,2949.25457172176,4012.3124454709,3376.459702307,3077.40081660774
"ABCF2",2049.35804356441,2078.26431758933,2199.48337018778,2744.31302703766,1928.64569637133,2443.12736585653
"ABCF2-H2BE1",0,0,0,0,0,0
"ABCF2P1",0,0.75244906502148,0,0,0,1.95763410725683
"ABCF3",869.623509278735,857.039485059466,835.525558432766,1020.86891953452,699.971797138629,821.227507994242
"ABCG1",0.82039953705541,0,3.47652798238321,0,0,1.95763410725683
"ABCG2",0.82039953705541,0,0,0,0,3.91526821451367
"ABCG4",0,1.50489813004296,1.1588426607944,1.29387695758494,0,0
"ABCG5",0,0,1.1588426607944,0,0,0
"ABCG8",0,3.00979626008592,4.63537064317762,0,1.0637869257426,0.978817053628417
"ABHD1",16.4079907411082,9.78183784527924,8.11189862556083,10.3510156606795,4.25514770297039,14.6822558044263
