,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.01004404056214996,0.23640653899999567,7.372800216636657,0.03206468804980589,0.9744204637752417,,TSPAN6
DPM1,1929.0773715866335,-0.02225346664756433,0.07684668527370983,-0.2895826484682158,0.7721355429996547,0.9656966007241529,DPM1
SCYL3,548.5188721292018,-0.07850675569978716,0.08676420131335355,-0.9048288869306341,0.36555604554993343,0.8508527047041,SCYL3
C1orf112,1107.9609071909044,0.11438104024158724,0.10741141375240938,1.0648872056115315,0.28692697552951624,0.8159772286088564,C1orf112
FGR,2859.768420437618,-0.06310709062107343,0.278693744117425,-0.22643884892688462,0.8208601154154046,0.9729908204379224,FGR
CFH,10.3996689837382,-0.8318790853793595,0.6838974227774842,-1.21637990972518,0.22384023348848303,0.7794647311611387,CFH
FUCA2,3283.5097224021292,-0.1294893920140793,0.12459341990663189,-1.0392955913010202,0.2986672846003171,0.8212391608166979,FUCA2
GCLC,395.97966037065646,-0.16693019429200043,0.11155192195878191,-1.4964349458154618,0.13454034865121037,0.7026996949342174,GCLC
NFYA,3192.9287187185373,0.26614041803098787,0.08815343039865003,3.0190591203024075,0.002535610457969035,0.15838519146174726,NFYA
STPG1,119.50923336326713,0.03214271669370692,0.1732297434131817,0.18554964095883467,0.8527979483177436,0.9782060627070199,STPG1
NIPAL3,1464.3484040990356,0.010687086582499323,0.1955415508885177,0.05465378858835099,0.9564142856627504,0.9922118087268487,NIPAL3
LAS1L,4028.9289533062674,0.1590591925807083,0.10476731030043304,1.5182139555228311,0.1289604705255885,0.700610960227932,LAS1L
ENPP4,0.010925000300689549,0.23640653899999567,7.372800216636657,0.03206468804980589,0.9744204637752417,,ENPP4
SEMA3F,65.71230867011674,-0.33632132440797274,0.23504613604435404,-1.430873657691219,0.15246642796490945,0.7188205489524917,SEMA3F
ANKIB1,1791.8412587722873,0.013269158214435113,0.0526386369900812,0.25208020141052373,0.8009790728986749,0.9700005907008531,ANKIB1
CYP51A1,4983.949508934557,0.21895242476207058,0.2580377384408862,0.8485286922952565,0.3961436002745654,0.8632006666118907,CYP51A1
KRIT1,1837.2651903472683,-0.02818479146591683,0.07536458335066207,-0.37397926470019066,0.7084197430711947,0.9532942951206069,KRIT1
RAD52,347.29285836520813,-0.019203411436285116,0.08764294853701125,-0.21910960045092043,0.8265646723981332,0.9738365033818105,RAD52
MYH16,0.6744541485348405,0.17347440604245784,1.3112594287561763,0.13229602185359365,0.8947501538210245,0.984712429638396,MYH16
BAD,416.0141085754716,-0.3206905059380138,0.13311431336220184,-2.4091361615292284,0.015990330967898946,0.3814110456536201,BAD
LAP3,4515.159429721982,0.37301827815102273,0.15850256875318652,2.3533894818567322,0.018603137039265152,0.40501740309484047,LAP3
HS3ST1,0.024829470176391363,0.19334355714157364,7.372800216636657,0.026223897496272266,0.9790787549893859,,HS3ST1
AOC1,255.12361321363423,-2.1195687217634513,0.8217639074913484,-2.579291573213522,0.009900318292475594,0.3135943572154886,AOC1
WNT16,0.6764920166108791,-0.7024289536714923,1.3547872731658774,-0.5184791498890087,0.6041240036991402,0.9328465737797367,WNT16
HECW1,17.691490657504833,0.09339561938944278,0.8246255831473723,0.1132582123307126,0.9098258457390156,0.9872697094918258,HECW1
MAD1L1,1409.1318617738214,-0.20981658854986832,0.10018234322216488,-2.0943469857216055,0.03622908164672589,0.5129589620509543,MAD1L1
LASP1,9382.752189053857,0.20298542088848776,0.16387848434267901,1.2386337456235803,0.21548116503712628,0.7718017384278946,LASP1
SNX11,1396.7109368150802,-0.1438638207992334,0.0988574622890812,-1.4552651612535188,0.14559586755757287,0.7114985624940066,SNX11
TMEM176A,3.215432456056189,0.256516214733251,0.9606311862868162,0.2670288227105952,0.7894469692662267,0.9666846114978095,TMEM176A
M6PR,13009.92540148689,0.08428688983843673,0.08133952732993086,1.0362353041043715,0.300092380175588,0.8220755144671291,M6PR
KLHL13,17.512919903475556,-0.38388708412361977,0.46994150787428274,-0.8168826921888246,0.4139954696527332,0.8670671601384701,KLHL13
CYP26B1,4.643777990104778,-0.25126172824276977,0.8736012130263822,-0.2876160477986674,0.7736406593607925,0.9657389584732542,CYP26B1
ICA1,71.27720202596014,0.359874857289551,0.22397156271273286,1.606788169581727,0.10810084430950596,0.6748473617274102,ICA1
DBNDD1,129.15133955720458,-1.259685914243372,0.7291554309188739,-1.7275958743884405,0.08406070299275009,0.6314656298457159,DBNDD1
ALS2,721.585560037063,0.2447021479785352,0.12707979053612967,1.9255787796484027,0.054156990483014665,0.5722335497412512,ALS2
CASP10,660.3866336622951,-0.3195300624078644,0.18879744111522587,-1.6924491164731967,0.09056037416742452,0.6443513248133835,CASP10
CFLAR,4768.45291940748,-0.22013842656864072,0.28298617393342096,-0.7779123040139528,0.43662071420212456,0.8787666410797838,CFLAR
TFPI,0.15872895594483408,-0.19422795327475512,3.8179932407172803,-0.050871738379051144,0.9594277258468152,,TFPI
NDUFAF7,771.3247303569647,0.017161139346138107,0.08231576368197219,0.20847937962940302,0.8348546815884862,0.975426595162783,NDUFAF7
RBM5,3550.478219601062,0.03439575905246837,0.08790283492485605,0.391292943872307,0.6955807139159402,0.9492897714055781,RBM5
MTMR7,47.72624953275219,-0.056712539838107576,0.19886656583675777,-0.2851788564834011,0.7755071181610045,0.9657595753388107,MTMR7
ARF5,1838.9421240470856,-0.1971718422797039,0.14859113061307022,-1.3269422035231522,0.1845278021951726,0.7444564588024458,ARF5
SARM1,44.9851762738481,1.0397955723999877,0.3037425449651652,3.4232793187376402,0.0006187046610004615,0.06954684967844708,SARM1
POLDIP2,5244.643723261029,0.003925082684762248,0.0723699750920227,0.05423634151830608,0.9567468669374722,0.9922118087268487,POLDIP2
PLXND1,3980.789480123381,-0.12192895440929499,0.2308293520809018,-0.5282211872542143,0.5973458256103095,0.930808547396538,PLXND1
AK2,23366.883620447617,-0.09195448113948868,0.15063181444633544,-0.610458563999099,0.5415580838014389,0.9140230087613656,AK2
CD38,2384.9212794608206,-0.2131400242908363,0.4852358526209864,-0.4392503627659974,0.6604801364050451,0.9420014722794663,CD38
FKBP4,10503.542108252743,0.2420408576471717,0.17730163433469984,1.3651360775967856,0.17221028465371246,0.731083750242484,FKBP4
KDM1A,5407.416660727126,0.14079077824359612,0.11832764986265365,1.1898383717332008,0.23410992469084757,0.7868397074736156,KDM1A
