,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.01004404056214996,-0.19861493331534044,7.372800216636657,-0.02693887362730481,0.9785084880875855,,TSPAN6
DPM1,1929.0773715866335,0.05758858768867335,0.0756825212766706,0.760923218693366,0.44670292932583494,0.7168950756553704,DPM1
SCYL3,548.5188721292018,0.005432438417418045,0.08444361470942416,0.06433213969003353,0.9487057626777187,0.9767878871398807,SCYL3
C1orf112,1107.9609071909044,0.08100319547431009,0.1069760118808626,0.7572089672264283,0.4489246787300566,0.7183507752134151,C1orf112
FGR,2859.768420437618,0.33207190081438737,0.2756045827163263,1.2048852654826194,0.2282475975334336,0.5242607505893612,FGR
CFH,10.3996689837382,0.46813724212008656,0.6141734745275009,0.7622231527993557,0.4459268299189586,0.716367408658338,CFH
FUCA2,3283.5097224021292,0.5232418966189861,0.10592462443749494,4.939756920523669,7.822001926509564e-07,6.672991011936501e-05,FUCA2
GCLC,395.97966037065646,-0.2084011031847562,0.10785918095429342,-1.9321591480753832,0.05333986568838649,0.2404967685516152,GCLC
NFYA,3192.9287187185373,0.03993273265552594,0.09368328624307767,0.4262524753018748,0.6699238838117916,0.8517370956706667,NFYA
STPG1,119.50923336326713,0.043087375275776545,0.16799144086447265,0.2564855391087297,0.797575945197448,0.914351930523059,STPG1
NIPAL3,1464.3484040990356,0.30229024820608275,0.19143777894205424,1.5790522115155865,0.11432408170513263,0.36889858818954946,NIPAL3
LAS1L,4028.9289533062674,0.19462113578061507,0.10354271106063324,1.8796217887963886,0.06015964157113764,0.257018352721816,LAS1L
ENPP4,0.010925000300689549,-0.19861493331534072,7.372800216636657,-0.02693887362730485,0.9785084880875854,,ENPP4
SEMA3F,65.71230867011674,0.39292748467105854,0.21366091406327348,1.839023699742748,0.06591170029488823,0.2722451545854142,SEMA3F
ANKIB1,1791.8412587722873,0.045345728736349455,0.05110738465175215,0.8872637299939556,0.3749369280362279,0.6604748663273521,ANKIB1
CYP51A1,4983.949508934557,-0.18984936351401732,0.25831356387673804,-0.7349570059921807,0.4623656787540247,0.7274368871304601,CYP51A1
KRIT1,1837.2651903472683,0.21756627780826218,0.06909241449250046,3.1489169890260182,0.0016387673851531153,0.024504410097736944,KRIT1
RAD52,347.29285836520813,0.01723893384422658,0.08382156971114203,0.20566226454161815,0.8370547369205266,0.9318557850786273,RAD52
MYH16,0.6744541485348405,-0.2165482205677212,1.3023105164910935,-0.16628002141239112,0.8679365877718201,,MYH16
BAD,416.0141085754716,-0.009012608387273576,0.13414574352753342,-0.06718519835423431,0.9464342685007695,0.9760902907493512,BAD
LAP3,4515.159429721982,-0.5397800254324647,0.15371514026518499,-3.511560569123195,0.0004454839356837472,0.009506394031639356,LAP3
HS3ST1,0.024829470176391363,-0.24167791517376244,7.372800216636657,-0.03277966418083843,0.9738502951297843,,HS3ST1
AOC1,255.12361321363423,0.957095417556998,0.8266842120656093,1.157752142339255,0.24696519857509527,0.5443401527646003,AOC1
WNT16,0.6764920166108791,-1.1316281252013722,1.3510442184217706,-0.8375951799144588,0.4022581008604438,,WNT16
HECW1,17.691490657504833,-6.8107812787937805,1.371070958565737,-4.967490002062671,6.782505398411664e-07,5.8790176472114785e-05,HECW1
MAD1L1,1409.1318617738214,0.10760567057785214,0.10083702975563404,1.0671245557174884,0.2859155946705854,0.5813997567369142,MAD1L1
LASP1,9382.752189053857,0.32019665198594705,0.16088198717288607,1.9902579375891172,0.04656252895326492,0.22068188064428979,LASP1
SNX11,1396.7109368150802,-0.08803691499461781,0.09871387703403497,-0.8918393000030187,0.37247907357415083,0.6588294744176573,SNX11
TMEM176A,3.215432456056189,0.890307639126942,0.8955148903943119,0.9941851874008739,0.3201327181770245,0.612956278955831,TMEM176A
M6PR,13009.92540148689,0.2232076530861771,0.07706303895424678,2.8964294182415786,0.0037743553572330006,0.04430016363894982,M6PR
KLHL13,17.512919903475556,0.4200672701799868,0.4305266041816057,0.9757057196929765,0.32921031700090925,0.6219312387258437,KLHL13
CYP26B1,4.643777990104778,-1.178934882175277,0.9111679250593439,-1.2938722377639595,0.1957095554192775,0.4883399297707927,CYP26B1
ICA1,71.27720202596014,0.2006597433527507,0.2230886658350934,0.8994618467129024,0.3684067093492567,0.6554133366789322,ICA1
DBNDD1,129.15133955720458,-0.7663790844827125,0.7300842429811945,-1.0497132239881157,0.29384998196989326,0.590374075847215,DBNDD1
ALS2,721.585560037063,0.1504870331308688,0.12827336913332826,1.173174402041717,0.24072587497093045,0.5366422372993828,ALS2
CASP10,660.3866336622951,0.2732916246184829,0.18717387334600827,1.4600949359704598,0.1442639841949443,0.4198159640602966,CASP10
CFLAR,4768.45291940748,0.3403821057225828,0.28085196298579473,1.211962708410192,0.22552665588153412,0.522303121534632,CFLAR
TFPI,0.15872895594483408,-0.6292667831872694,3.8212435389735635,-0.1646759168237413,0.8691990737505603,,TFPI
