,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.006578199543252406,-1.116406680238085,7.372653216310297,-0.15142536173657162,0.879640184360331,,TSPAN6
DPM1,2199.2424235586363,-1.1560424236414266,0.4335898849468568,-2.666211698603434,0.007671137047206746,0.05102067482195778,DPM1
SCYL3,609.7303546978766,-0.9152495397839178,0.402138588222764,-2.275955520281771,0.02284867195207269,0.053036454215275676,SCYL3
C1orf112,1291.193240651277,-0.9710168382056438,0.47307041646065806,-2.052584149037348,0.04011292615783564,0.06772789410250528,C1orf112
FGR,3105.5060926168985,-0.6645029173520118,0.44423380570437504,-1.4958404984473865,0.13469522496217812,0.16766136328793976,FGR
CFH,11.29123062008396,-1.9924113956521547,0.7380041905690619,-2.6997291087410247,0.006939595551535369,0.05102067482195778,CFH
FUCA2,3672.014748830664,-1.1701932890144031,0.4140915280294169,-2.8259290755914064,0.004714370118835007,0.05102067482195778,FUCA2
GCLC,445.94852106345485,-0.7159368874733257,0.43102828026564716,-1.6609974803325815,0.09671395275955504,0.1272004341673934,GCLC
NFYA,3691.3368505895387,-0.8938094566001762,0.46107123670063466,-1.9385495894217117,0.05255620693181394,0.08064982039500936,NFYA
STPG1,136.896665735748,-0.8154313096444193,0.4725438383629014,-1.725620447130218,0.08441571836345653,0.11434163569552548,STPG1
NIPAL3,1618.1001270530567,-0.9355516811464767,0.42490178372800913,-2.2018069044994832,0.027678951162884997,0.05633184581928041,NIPAL3
LAS1L,4718.3068020188875,-1.116282230320338,0.4760832655421504,-2.3447205796010215,0.019041343632559923,0.051438175920715555,LAS1L
ENPP4,0.017276399737425095,-1.1164066805679136,7.372653216310228,-0.1514253617813098,0.879640184325042,,ENPP4
SEMA3F,71.20578413818416,-1.0709570785837663,0.4146265543058365,-2.582943777869586,0.009796128533058944,0.05102067482195778,SEMA3F
ANKIB1,2040.6169052141581,-1.0758798747597247,0.4308525688647743,-2.4970951840776796,0.012521534134532502,0.05102067482195778,ANKIB1
CYP51A1,6100.366650498587,-1.4535476945820134,0.5643836555912638,-2.575460292270932,0.010010676689611298,0.05102067482195778,CYP51A1
KRIT1,2082.956044318025,-1.001143877879992,0.4286813070908368,-2.3354036234377986,0.019522345320346465,0.051438175920715555,KRIT1
RAD52,399.417600964332,-1.130562769484458,0.4493724007830141,-2.5158705063205837,0.011873880041497743,0.05102067482195778,RAD52
