"Feature","MnSignal","Pval","Fold"
"ERCC-00002",46936.1666666667,0.140963857214756,0.5
"ERCC-00003",2774,0.053708507753183,0.5
"ERCC-00004",14055.1666666667,0.0678198192069061,4
"ERCC-00009",1633.16666666667,0.0831731003298326,1
"ERCC-00013",2.16666666666667,0.181043977483867,0.5
"ERCC-00014",4.33333333333333,0.597091967257311,0.5
"ERCC-00019",60,0.0719411589722563,4
"ERCC-00022",512.833333333333,0.0697535050360076,0.5
"ERCC-00025",221.5,0.38718670698458,1
"ERCC-00028",12.8333333333333,0.107436869599089,4
"ERCC-00031",4.83333333333333,0.918960244781228,1
"ERCC-00033",5,0.755026082841197,4
"ERCC-00034",45.3333333333333,0.694146653451306,1
"ERCC-00035",252.333333333333,0.208773067552802,1
"ERCC-00039",6.5,0.00704232030592155,0.667
"ERCC-00040",3.16666666666667,0.583098739182339,0.667
"ERCC-00042",1166.16666666667,0.094667456485463,1
"ERCC-00043",2345.66666666667,0.0447693807467263,0.5
"ERCC-00044",265.5,0.223396930490343,0.667
"ERCC-00046",8721.83333333333,0.0288212637559689,0.5
"ERCC-00051",39.5,0.0478446500300309,1
"ERCC-00053",68.8333333333333,0.10503262961947,1
"ERCC-00054",12,0.975316081975978,0.667
"ERCC-00058",4.83333333333333,0.0876360597920063,0.667
"ERCC-00059",23.1666666666667,0.119242001537139,0.5
"ERCC-00060",666.166666666667,0.0740226671298857,1
"ERCC-00062",201.666666666667,0.0596483490658371,4
"ERCC-00067",4.33333333333333,0.911820018705177,1
"ERCC-00069",5.83333333333333,0.49063775891603,0.5
"ERCC-00071",142.666666666667,0.0610010173024994,0.667
"ERCC-00073",1.33333333333333,0.176493862910091,1
"ERCC-00074",34372.1666666667,0.0609210709525866,0.667
"ERCC-00076",465.666666666667,0.139196925165834,0.667
"ERCC-00077",4.5,0.827102490147275,0.5
"ERCC-00078",88.3333333333333,0.168807277222514,0.5
"ERCC-00079",125,0.143722118987476,0.5
"ERCC-00084",87.3333333333333,0.490336233430842,0.667
"ERCC-00085",16.8333333333333,0.217966535650405,4
"ERCC-00092",912.333333333333,0.1150783672853,4
"ERCC-00095",329,0.062130731021212,4
"ERCC-00096",46209.3333333333,0.136556128783005,1
"ERCC-00097",2.16666666666667,0.494406972919465,4
"ERCC-00099",48.8333333333333,0.224510977072783,0.667
"ERCC-00108",1758.5,0.073513226209417,4
"ERCC-00111",1396.5,0.0936173196623297,0.667
"ERCC-00112",327,0.225576974269855,0.5
"ERCC-00113",11045.3333333333,0.0880096721773942,0.667
"ERCC-00116",222.833333333333,0.394733818431081,4
"ERCC-00120",2.16666666666667,0.761205985818283,0.667
"ERCC-00123",1.16666666666667,0.982861156609137,4
"ERCC-00126",12.1666666666667,0.119201282979921,1
"ERCC-00130",80138,0.151639273192248,4
"ERCC-00131",328.833333333333,0.0960170420930517,4
"ERCC-00136",4236.83333333333,0.108554063122804,4
"ERCC-00143",6.5,0.329908865164039,0.667
"ERCC-00144",49.6666666666667,0.460130470554272,4
"ERCC-00145",1645.33333333333,0.0748355703431411,0.667
"ERCC-00147",4.33333333333333,0.452044241564932,4
"ERCC-00148",17,0.0438690844609515,1
"ERCC-00150",10,0.43798374310122,1
"ERCC-00154",13.8333333333333,0.0358440164822765,4
"ERCC-00157",20.6666666666667,0.317356271321985,0.667
"ERCC-00158",2.16666666666667,0.48976133307186,1
"ERCC-00160",33,0.722445853050953,0.5
"ERCC-00162",149.666666666667,0.059531552493586,0.667
"ERCC-00163",27,0.167455573950803,0.5
"ERCC-00164",1.16666666666667,0.0530695979763617,0.667
"ERCC-00165",100.333333333333,0.417948158891548,0.5
"ERCC-00168",2.5,0.853976141513056,0.5
"ERCC-00170",39.5,0.714942374318243,4
"ERCC-00171",6985.5,0.0442513448298635,1
