"Feature","MnSignal","Pval","Fold"
"Sim0.5Fold1",1.33333333333333,0.022086387540743,0.5
"Sim0.5Fold2",2,0.575952611064071,0.5
"Sim0.5Fold3",2.66666666666667,0.225002566780774,0.5
"Sim0.5Fold4",2.33333333333333,0.0717422793106473,0.5
"Sim0.5Fold5",4.16666666666667,0.0259511406606776,0.5
"Sim0.5Fold6",3.33333333333333,0.796827139275242,0.5
"Sim0.5Fold7",5.5,0.101482356821977,0.5
"Sim0.5Fold8",6.33333333333333,0.70045541010885,0.5
"Sim0.5Fold9",8.66666666666667,0.0535357012666189,0.5
"Sim0.5Fold10",8.33333333333333,0.225663996951863,0.5
"Sim0.5Fold11",15.3333333333333,0.00468841431163702,0.5
"Sim0.5Fold12",24.8333333333333,0.000713428167073855,0.5
"Sim0.5Fold13",28.1666666666667,0.0815751489475895,0.5
"Sim0.5Fold14",27.3333333333333,0.0992251635886634,0.5
"Sim0.5Fold15",44,0.00414638527117273,0.5
"Sim0.5Fold16",62,0.000259339072951298,0.5
"Sim0.5Fold17",98,9.52129906440791e-06,0.5
"Sim0.5Fold18",102.333333333333,8.92646105030614e-06,0.5
"Sim0.5Fold19",140.666666666667,7.04888777139712e-05,0.5
"Sim0.5Fold20",203.333333333333,5.35360460192778e-07,0.5
"Sim0.5Fold21",271.333333333333,2.0116573256164e-07,0.5
"Sim0.5Fold22",331.166666666667,1.1802086501706e-07,0.5
"Sim0.5Fold23",410.166666666667,1.27001448855744e-08,0.5
"Sim0.5Fold24",467.5,1.47956870262573e-08,0.5
"Sim0.5Fold25",546.5,4.4982881492136e-09,0.5
"Sim0.5Fold26",596.833333333333,1.63644733647265e-09,0.5
"Sim0.5Fold27",733.833333333333,9.3474890062697e-11,0.5
"Sim0.5Fold28",761.5,5.11792532578019e-10,0.5
"Sim0.5Fold29",908.333333333333,5.69818151553218e-10,0.5
"Sim0.5Fold30",999,3.06381266656955e-11,0.5
"Sim0.5Fold31",1122.16666666667,8.93855595067937e-11,0.5
"Sim0.5Fold32",1247.33333333333,2.09116793995785e-09,0.5
"Sim0.5Fold33",1445,2.95501782844889e-12,0.5
"Sim0.5Fold34",1558,2.95259481962564e-11,0.5
"Sim0.5Fold35",1688.83333333333,7.61090758283769e-11,0.5
"Sim0.5Fold36",1870.83333333333,2.04461087672271e-11,0.5
"Sim0.5Fold37",1947.33333333333,2.80414678625552e-11,0.5
"Sim0.5Fold38",2139.83333333333,9.9338054003011e-12,0.5
"Sim0.5Fold39",2525.16666666667,1.57250446490917e-12,0.5
"Sim0.5Fold40",2672.33333333333,2.52990924792383e-12,0.5
"Sim0.5Fold41",2890.66666666667,6.32214504080074e-12,0.5
"Sim0.5Fold42",3444.83333333333,3.06152507210894e-11,0.5
"Sim0.5Fold43",3878.66666666667,2.46314396970454e-12,0.5
"Sim0.5Fold44",4449.5,4.37044204842465e-11,0.5
"Sim0.5Fold45",5131.83333333333,1.47869967667717e-11,0.5
"Sim0.5Fold46",6454.33333333333,5.7779988205355e-12,0.5
"Sim0.5Fold47",7673.66666666667,1.11673326345419e-12,0.5
"Sim0.5Fold48",10234,2.64404433424644e-11,0.5
"Sim0.5Fold49",17022.3333333333,1.89816282861373e-12,0.5
"Sim4Fold1",1.33333333333333,0.182643283168354,4
"Sim4Fold2",1,0.378783440076367,4
"Sim4Fold3",0.666666666666667,0.0536798436012855,4
"Sim4Fold4",1.66666666666667,0.43982840513063,4
"Sim4Fold5",1.33333333333333,0.0378461899819148,4
"Sim4Fold6",3.5,0.0206365097786134,4
"Sim4Fold7",4.83333333333333,0.00799956560765069,4
"Sim4Fold8",5.33333333333333,0.00490384660560943,4
"Sim4Fold9",11.5,8.86124160146107e-05,4
"Sim4Fold10",10.6666666666667,0.000364046656503989,4
"Sim4Fold11",15,7.90689696381857e-06,4
"Sim4Fold12",18.5,0.000114047461524766,4
"Sim4Fold13",23.5,0.00372017822389959,4
"Sim4Fold14",30.3333333333333,1.81633584601399e-05,4
"Sim4Fold15",38,9.53820052574498e-06,4
"Sim4Fold16",46.3333333333333,1.70705974711274e-07,4
"Sim4Fold17",73.6666666666667,9.8637448088926e-09,4
"Sim4Fold18",95,3.29847821362377e-09,4
"Sim4Fold19",127.166666666667,3.18964110199134e-09,4
"Sim4Fold20",175.5,1.12865808871138e-08,4
"Sim4Fold21",229.666666666667,8.78962397305717e-11,4
"Sim4Fold22",303,2.41919527510463e-10,4
"Sim4Fold23",344.833333333333,4.45465423226314e-12,4
"Sim4Fold24",408.5,2.64060736459639e-11,4
"Sim4Fold25",485.333333333333,1.08434333291927e-13,4
"Sim4Fold26",565.5,3.9248901459909e-14,4
"Sim4Fold27",656,1.06080307208132e-13,4
"Sim4Fold28",722.166666666667,1.70613244602506e-13,4
"Sim4Fold29",850.166666666667,1.23473546158547e-14,4
"Sim4Fold30",873.833333333333,9.45323521437984e-14,4
"Sim4Fold31",1015.66666666667,1.83538540155077e-14,4
"Sim4Fold32",1096.16666666667,7.96914518729937e-16,4
"Sim4Fold33",1192.16666666667,2.21881023530585e-15,4
"Sim4Fold34",1307.16666666667,1.07736908594587e-15,4
"Sim4Fold35",1495,7.62718440367393e-16,4
"Sim4Fold36",1612,3.71312354006192e-16,4
"Sim4Fold37",1798.5,4.51974912787165e-15,4
"Sim4Fold38",2053.66666666667,2.96688429575044e-16,4
"Sim4Fold39",2286.83333333333,4.57842368919819e-16,4
"Sim4Fold40",2382,2.25790543911083e-16,4
"Sim4Fold41",2742.83333333333,2.65291125867615e-16,4
"Sim4Fold42",3072.33333333333,2.68079076378959e-14,4
"Sim4Fold43",3369.5,3.83847442022847e-16,4
"Sim4Fold44",3917.16666666667,7.03742360686937e-16,4
"Sim4Fold45",4742.5,1.99619666400807e-16,4
"Sim4Fold46",5594.83333333333,2.4988544471741e-15,4
"Sim4Fold47",6685.5,3.38416680836788e-16,4
"Sim4Fold48",8970.16666666667,5.04236244756689e-15,4
"Sim4Fold49",15173.3333333333,1.80558663245674e-16,4
"Sim1Fold1",0.666666666666667,0.124505674889107,1
"Sim1Fold2",1.16666666666667,0.558215155799217,1
"Sim1Fold3",1.5,0.261865065271967,1
"Sim1Fold4",3.83333333333333,0.320701701231144,1
"Sim1Fold5",4,0.249353676536967,1
"Sim1Fold6",4.16666666666667,0.708723157156615,1
"Sim1Fold7",3.16666666666667,0.0252545867057145,1
"Sim1Fold8",6.16666666666667,0.479938715713977,1
"Sim1Fold9",11.5,0.673043512689371,1
"Sim1Fold10",9.5,0.406765528294382,1
"Sim1Fold11",16.1666666666667,0.646545965606509,1
"Sim1Fold12",20.5,0.617581369575162,1
"Sim1Fold13",23,0.985908110453052,1
"Sim1Fold14",35,0.594742639096867,1
"Sim1Fold15",42.8333333333333,0.12466693806351,1
"Sim1Fold16",55.1666666666667,0.398764139492783,1
"Sim1Fold17",74.8333333333333,0.508945361172683,1
"Sim1Fold18",110,0.76863002470465,1
"Sim1Fold19",125.166666666667,0.567216580190726,1
"Sim1Fold20",198,0.0983827307912281,1
"Sim1Fold21",244.666666666667,0.707131093843255,1
"Sim1Fold22",315.5,0.989251924411533,1
"Sim1Fold23",357.166666666667,0.428374735181716,1
"Sim1Fold24",435.333333333333,0.955713883032327,1
"Sim1Fold25",534.833333333333,0.848485009472612,1
"Sim1Fold26",607,0.368654470744884,1
"Sim1Fold27",697.833333333333,0.440576389492214,1
"Sim1Fold28",784.5,0.832621321817598,1
"Sim1Fold29",835.166666666667,0.453167932301252,1
"Sim1Fold30",968.5,0.448183888026572,1
"Sim1Fold31",1100.66666666667,0.981142522946133,1
"Sim1Fold32",1143.83333333333,0.161661858947208,1
"Sim1Fold33",1352.33333333333,0.469062549754707,1
"Sim1Fold34",1486.33333333333,0.969959735585227,1
"Sim1Fold35",1625.5,0.0687365685513647,1
"Sim1Fold36",1829,0.429035875332173,1
"Sim1Fold37",1922.66666666667,0.176382596563842,1
"Sim1Fold38",2114.5,0.489676721707481,1
"Sim1Fold39",2445.5,0.33725444878854,1
"Sim1Fold40",2588.33333333333,0.458360381940676,1
"Sim1Fold41",2814.83333333333,0.0366882412022478,1
"Sim1Fold42",3295.66666666667,0.739188126947444,1
"Sim1Fold43",3682.5,0.964983947473202,1
"Sim1Fold44",4344.33333333333,0.00954957604541538,1
"Sim1Fold45",5007,0.243717073218788,1
"Sim1Fold46",5975,0.985076196404874,1
"Sim1Fold47",7424,0.489368535314078,1
"Sim1Fold48",10010.3333333333,0.683367301029949,1
"Sim1Fold49",16554.3333333333,0.95036570761285,1
"Sim0.667Fold1",1,0.267129585203477,0.667
"Sim0.667Fold2",2.5,0.563330052852174,0.667
"Sim0.667Fold3",1.5,0.619201286670498,0.667
"Sim0.667Fold4",3.83333333333333,0.233521875076523,0.667
"Sim0.667Fold5",3.33333333333333,0.285302461336352,0.667
"Sim0.667Fold6",3.83333333333333,0.789817431632023,0.667
"Sim0.667Fold7",4,0.143924677588533,0.667
"Sim0.667Fold8",4.33333333333333,0.132004146706531,0.667
"Sim0.667Fold9",12,0.330905988198414,0.667
"Sim0.667Fold10",12.6666666666667,0.46206995440971,0.667
"Sim0.667Fold11",15.8333333333333,0.420754530235459,0.667
"Sim0.667Fold12",17.6666666666667,0.747671419424923,0.667
"Sim0.667Fold13",25.6666666666667,0.000520106252488524,0.667
"Sim0.667Fold14",40.3333333333333,0.00430163506687798,0.667
"Sim0.667Fold15",46.6666666666667,0.00613465001764953,0.667
"Sim0.667Fold16",68.3333333333333,0.0150383562834494,0.667
"Sim0.667Fold17",61.6666666666667,0.469593598531109,0.667
"Sim0.667Fold18",126.166666666667,3.07903274635841e-05,0.667
"Sim0.667Fold19",151.333333333333,0.0192912938659981,0.667
"Sim0.667Fold20",203,0.00372076514321684,0.667
"Sim0.667Fold21",253.666666666667,0.000146523859845518,0.667
"Sim0.667Fold22",321.666666666667,1.49264308495152e-06,0.667
"Sim0.667Fold23",417.666666666667,0.000392144996933698,0.667
"Sim0.667Fold24",434.833333333333,6.47956047200425e-06,0.667
"Sim0.667Fold25",543.833333333333,0.000853330976095127,0.667
"Sim0.667Fold26",610.666666666667,8.23416235927069e-07,0.667
"Sim0.667Fold27",689,2.16240525071362e-05,0.667
"Sim0.667Fold28",821.166666666667,6.53420414106394e-06,0.667
"Sim0.667Fold29",873.333333333333,2.96965694411101e-07,0.667
"Sim0.667Fold30",989.833333333333,4.64641274336124e-08,0.667
"Sim0.667Fold31",1142.33333333333,1.54830737954957e-07,0.667
"Sim0.667Fold32",1252.16666666667,2.80040129551945e-08,0.667
"Sim0.667Fold33",1374.16666666667,6.86531369122538e-09,0.667
"Sim0.667Fold34",1515,8.65582730028237e-09,0.667
"Sim0.667Fold35",1618.16666666667,3.33418800014088e-08,0.667
"Sim0.667Fold36",1845.16666666667,9.41470609030615e-07,0.667
"Sim0.667Fold37",2031,9.43464101380116e-09,0.667
"Sim0.667Fold38",2285.16666666667,8.49484499664687e-10,0.667
"Sim0.667Fold39",2475.83333333333,2.83295362926584e-09,0.667
"Sim0.667Fold40",2728.5,3.3942894045305e-07,0.667
"Sim0.667Fold41",2995,1.53901566337239e-08,0.667
"Sim0.667Fold42",3450.83333333333,3.33103820241907e-10,0.667
"Sim0.667Fold43",3842.5,2.14041263459747e-09,0.667
"Sim0.667Fold44",4358,5.34453729698973e-08,0.667
"Sim0.667Fold45",5307.16666666667,2.13497145928501e-08,0.667
"Sim0.667Fold46",6258.83333333333,1.53780312148153e-08,0.667
"Sim0.667Fold47",7594.16666666667,1.84733232746567e-08,0.667
"Sim0.667Fold48",10242.8333333333,1.20878747593576e-09,0.667
"Sim0.667Fold49",16612.3333333333,1.81040055899506e-07,0.667
