"Feature","MnSignal","Pval","Fold"
"Sim0.5Fold1",0.833333333333333,0.244273523116737,0.5
"Sim0.5Fold2",2.33333333333333,0.103745340310127,0.5
"Sim0.5Fold3",1.5,0.38692083948676,0.5
"Sim0.5Fold4",2.33333333333333,0.52628263169983,0.5
"Sim0.5Fold5",4.83333333333333,0.00782173101002962,0.5
"Sim0.5Fold6",4.33333333333333,0.167361435169897,0.5
"Sim0.5Fold7",5.16666666666667,0.0436946471422038,0.5
"Sim0.5Fold8",5.16666666666667,0.0847065842045017,0.5
"Sim0.5Fold9",11.1666666666667,0.00236996664220833,0.5
"Sim0.5Fold10",12.8333333333333,0.189953540017496,0.5
"Sim0.5Fold11",18.5,0.305186097903407,0.5
"Sim0.5Fold12",17.5,0.0215113225954164,0.5
"Sim0.5Fold13",25.8333333333333,0.000402068444700941,0.5
"Sim0.5Fold14",32,0.000649515655497761,0.5
"Sim0.5Fold15",49.6666666666667,0.000115881711999375,0.5
"Sim0.5Fold16",63.3333333333333,0.000103573002420979,0.5
"Sim0.5Fold17",89.3333333333333,0.000104452799676704,0.5
"Sim0.5Fold18",115.666666666667,2.58512416102101e-05,0.5
"Sim0.5Fold19",162.5,5.6492004849828e-05,0.5
"Sim0.5Fold20",206.5,2.74899122212117e-06,0.5
"Sim0.5Fold21",245.833333333333,4.03855785143006e-07,0.5
"Sim0.5Fold22",289.333333333333,6.72810436383553e-07,0.5
"Sim0.5Fold23",361.666666666667,7.28769226216089e-09,0.5
"Sim0.5Fold24",400.5,3.83293627628358e-08,0.5
"Sim0.5Fold25",523.333333333333,4.34866312234723e-10,0.5
"Sim0.5Fold26",560.333333333333,1.1282237215606e-08,0.5
"Sim0.5Fold27",728.833333333333,5.14596115669191e-09,0.5
"Sim0.5Fold28",785.833333333333,5.69985433656014e-10,0.5
"Sim0.5Fold29",824.833333333333,2.01585542177231e-09,0.5
"Sim0.5Fold30",926.333333333333,1.76813315921562e-10,0.5
"Sim0.5Fold31",1105.83333333333,7.83086605968676e-11,0.5
"Sim0.5Fold32",1131.83333333333,4.47433681093707e-10,0.5
"Sim0.5Fold33",1277,1.11658451999157e-10,0.5
"Sim0.5Fold34",1437,4.04738238390524e-11,0.5
"Sim0.5Fold35",1489.33333333333,6.10712862076585e-11,0.5
"Sim0.5Fold36",1622.33333333333,6.30661862743936e-11,0.5
"Sim0.5Fold37",1828.5,5.00218974495444e-10,0.5
"Sim0.5Fold38",2122.66666666667,8.09844402663547e-12,0.5
"Sim0.5Fold39",2323.66666666667,1.97767847881298e-11,0.5
"Sim0.5Fold40",2529.33333333333,1.2195507505019e-11,0.5
"Sim0.5Fold41",2931.33333333333,1.19669923079608e-11,0.5
"Sim0.5Fold42",2984.83333333333,1.98417650283299e-09,0.5
"Sim0.5Fold43",3527.66666666667,2.96445895146327e-11,0.5
"Sim0.5Fold44",3905.5,6.27959953809678e-11,0.5
"Sim0.5Fold45",4535,6.04438279532757e-11,0.5
"Sim0.5Fold46",5574.5,4.97549545113473e-10,0.5
"Sim0.5Fold47",7074.16666666667,1.08566526720472e-12,0.5
"Sim0.5Fold48",9412.5,1.03666676055873e-10,0.5
"Sim0.5Fold49",15556.8333333333,3.57720825242826e-12,0.5
"Sim4Fold1",1.16666666666667,0.0859427986044445,4
"Sim4Fold2",1.33333333333333,0.57664880141423,4
"Sim4Fold3",2.5,0.0646534973674956,4
"Sim4Fold4",1.66666666666667,0.0220751254189968,4
"Sim4Fold5",2.66666666666667,0.214325584780758,4
"Sim4Fold6",6.5,0.0216005409319455,4
"Sim4Fold7",4.5,0.0331910528695276,4
"Sim4Fold8",5.33333333333333,0.00701334132506877,4
"Sim4Fold9",7.5,0.000603267533502822,4
"Sim4Fold10",10.3333333333333,0.00254540236728,4
"Sim4Fold11",15.8333333333333,3.40931898987696e-05,4
"Sim4Fold12",20.8333333333333,0.0458529656393961,4
"Sim4Fold13",25,0.000211493259418899,4
"Sim4Fold14",31.1666666666667,6.22244361905108e-06,4
"Sim4Fold15",45.3333333333333,2.39681737700501e-06,4
"Sim4Fold16",52,1.07322636049629e-06,4
"Sim4Fold17",86.1666666666667,1.40356050459595e-08,4
"Sim4Fold18",118.166666666667,3.21103304346583e-09,4
"Sim4Fold19",142.5,2.89365835727681e-08,4
"Sim4Fold20",186.5,7.3659334619488e-10,4
"Sim4Fold21",237.666666666667,9.11415764344564e-11,4
"Sim4Fold22",286.5,3.38900360583278e-11,4
"Sim4Fold23",349,5.35469778940111e-12,4
"Sim4Fold24",391.166666666667,6.36401041191377e-12,4
"Sim4Fold25",485.833333333333,4.55575151312379e-11,4
"Sim4Fold26",539,2.49869002412881e-12,4
"Sim4Fold27",619.333333333333,2.72930977851648e-13,4
"Sim4Fold28",721.5,7.62779737978457e-13,4
"Sim4Fold29",805.5,1.42029170198248e-14,4
"Sim4Fold30",891.833333333333,2.47167410587254e-14,4
"Sim4Fold31",989.166666666667,4.51557567447713e-14,4
"Sim4Fold32",1082.83333333333,1.77604555617787e-14,4
"Sim4Fold33",1244.5,9.69147312188427e-15,4
"Sim4Fold34",1283,1.04019574327691e-14,4
"Sim4Fold35",1417,5.46903458142993e-14,4
"Sim4Fold36",1587.33333333333,1.613589131074e-14,4
"Sim4Fold37",1767.33333333333,9.19864873042312e-15,4
"Sim4Fold38",1959.33333333333,1.69701269217442e-14,4
"Sim4Fold39",2214.83333333333,4.71183140841878e-15,4
"Sim4Fold40",2473.33333333333,8.49578524386488e-15,4
"Sim4Fold41",2546.66666666667,2.24495194955515e-15,4
"Sim4Fold42",3016,4.2937913362943e-15,4
"Sim4Fold43",3388,3.73223086615927e-16,4
"Sim4Fold44",3940.66666666667,6.56122970534542e-16,4
"Sim4Fold45",4591,1.58312876967762e-16,4
"Sim4Fold46",5749.83333333333,1.55765184037284e-15,4
"Sim4Fold47",6550.33333333333,5.90914242639086e-16,4
