"Feature","MnSignal","Pval","Fold"
"ERCC-00002",42641.1666666667,0.0969357214427187,0.5
"ERCC-00003",2418.33333333333,0.13454702009645,0.5
"ERCC-00004",12158.3333333333,0.177129209346275,4
"ERCC-00009",1487.66666666667,0.0578592396434469,1
"ERCC-00013",1.66666666666667,0.214424504535834,0.5
"ERCC-00014",5.66666666666667,0.0215200796391057,0.5
"ERCC-00019",56.6666666666667,0.0130241955558191,4
"ERCC-00022",456.333333333333,0.101629100708992,0.5
"ERCC-00025",208.166666666667,0.190058397030045,1
"ERCC-00028",10.3333333333333,0.191395577835802,4
"ERCC-00031",3.83333333333333,0.640428866738859,1
"ERCC-00033",4.5,0.777570115560922,4
"ERCC-00034",40.3333333333333,0.617217256611948,1
"ERCC-00035",230.5,0.162754867240306,1
"ERCC-00039",5.16666666666667,0.00590983889354225,0.667
"ERCC-00040",2,0.494148928480683,0.667
"ERCC-00042",1045.33333333333,0.0989660425595866,1
"ERCC-00043",2048.83333333333,0.101364471756332,0.5
"ERCC-00044",246.166666666667,0.144253406072211,0.667
"ERCC-00046",7595.83333333333,0.0969228817160139,0.5
"ERCC-00051",31,0.407650144556532,1
"ERCC-00053",57,0.372969073501626,1
"ERCC-00054",10.1666666666667,0.751079981939114,0.667
"ERCC-00058",3.83333333333333,0.0897604428690241,0.667
"ERCC-00059",20,0.104814440538007,0.5
"ERCC-00060",571.166666666667,0.247596493582076,1
"ERCC-00062",179.666666666667,0.0918976868365529,4
"ERCC-00067",5,0.175649955705673,1
"ERCC-00069",4.66666666666667,0.770808771332965,0.5
"ERCC-00071",127,0.0759445874825852,0.667
"ERCC-00073",1.66666666666667,0.745231676115352,1
"ERCC-00074",30486.8333333333,0.0793615837959958,0.667
"ERCC-00076",416,0.159476863446425,0.667
"ERCC-00077",4.33333333333333,0.836908733798693,0.5
"ERCC-00078",84.5,0.0458607930270718,0.5
"ERCC-00079",123.5,0.0365058174641032,0.5
"ERCC-00084",76.6666666666667,0.553149070503273,0.667
"ERCC-00085",17.1666666666667,0.0156034998816003,4
"ERCC-00092",812.833333333333,0.131437261077111,4
"ERCC-00095",285.5,0.139272922001221,4
"ERCC-00096",41974.8333333333,0.0931404695035952,1
"ERCC-00097",2.33333333333333,0.994496083168121,4
"ERCC-00099",41,0.496959684369406,0.667
"ERCC-00108",1581,0.0643355902802234,4
"ERCC-00111",1273.16666666667,0.0583917384851086,0.667
"ERCC-00112",296.666666666667,0.219850758264829,0.5
"ERCC-00113",9915.5,0.0864848940373566,0.667
"ERCC-00116",199.666666666667,0.406832589900916,4
"ERCC-00120",1.83333333333333,0.580870140528999,0.667
"ERCC-00126",8.16666666666667,0.641222779037796,1
"ERCC-00130",72622,0.0974235965251034,4
"ERCC-00131",306.166666666667,0.0601061575419751,4
"ERCC-00134",1.16666666666667,0.731421135824119,4
"ERCC-00136",3862,0.0840399336230995,4
"ERCC-00143",5.83333333333333,0.210531943395328,0.667
"ERCC-00144",45.3333333333333,0.234804514607438,4
"ERCC-00145",1467.66666666667,0.0772909832094399,0.667
"ERCC-00147",3.66666666666667,0.256485384177032,4
