"Feature","MnSignal","Pval","Fold"
"ERCC-00002",106403.333333333,0.717097260074013,0.5
"ERCC-00003",5834.33333333333,0.903860263518916,0.5
"ERCC-00004",30496.5,0.825782358315753,4
"ERCC-00009",3648.16666666667,0.699691298663988,1
"ERCC-00013",3.5,0.664157772438858,0.5
"ERCC-00014",12.3333333333333,0.373885975251288,0.5
"ERCC-00017",1.16666666666667,0.145887514920046,4
"ERCC-00019",144,0.486244053027819,4
"ERCC-00022",1168.83333333333,0.605710145319678,0.5
"ERCC-00025",468.666666666667,0.96929946652148,1
"ERCC-00028",23.8333333333333,0.90291447729218,4
"ERCC-00031",9.16666666666667,0.650656291935399,1
"ERCC-00033",12,0.973554721734702,4
"ERCC-00034",92.3333333333333,0.774347966396399,1
"ERCC-00035",533.833333333333,0.943163398395297,1
"ERCC-00039",16.8333333333333,0.0326198085643046,0.667
"ERCC-00040",5.16666666666667,0.731226665058858,0.667
"ERCC-00041",1.33333333333333,0.965443696471745,0.5
"ERCC-00042",2648.33333333333,0.677413129844167,1
"ERCC-00043",5030.83333333333,0.80458720451423,0.5
"ERCC-00044",574.666666666667,0.892438126080956,0.667
"ERCC-00046",19795.8333333333,0.631714909696554,0.5
"ERCC-00051",94.6666666666667,0.431611747821625,1
"ERCC-00053",152,0.739084937621307,1
"ERCC-00054",31.8333333333333,0.583366996948474,0.667
"ERCC-00058",11.8333333333333,0.175934913852622,0.667
"ERCC-00059",53.3333333333333,0.530379732033822,0.5
"ERCC-00060",1549.5,0.606035647392643,1
"ERCC-00062",473.5,0.559395020445099,4
"ERCC-00067",12,0.634116561665036,1
"ERCC-00069",11.6666666666667,0.970244263691416,0.5
"ERCC-00071",313.666666666667,0.697558047104885,0.667
"ERCC-00073",4.16666666666667,0.81000402581563,1
"ERCC-00074",81356,0.547097236352984,0.667
"ERCC-00076",1071.83333333333,0.660525242409889,0.667
"ERCC-00077",15,0.340719922356561,0.5
"ERCC-00078",220.166666666667,0.540456538329133,0.5
"ERCC-00079",331.5,0.407690349382568,0.5
"ERCC-00081",2,0.957907127499626,0.5
"ERCC-00084",192,0.973072218984433,0.667
"ERCC-00085",41.1666666666667,0.440585842934753,4
"ERCC-00092",2017,0.749478254269329,4
"ERCC-00095",752,0.594129639376997,4
"ERCC-00096",107372.833333333,0.647594515805317,1
"ERCC-00097",3.5,0.23166518682183,4
"ERCC-00099",100,0.9768747753067,0.667
"ERCC-00104",2,0.978130175460657,1
"ERCC-00108",4010.83333333333,0.628966066839546,4
"ERCC-00109",4.16666666666667,0.054382799411753,1
"ERCC-00111",3152,0.685295269614768,0.667
"ERCC-00112",736.833333333333,0.790666625586618,0.5
"ERCC-00113",24476.5,0.760452118112085,0.667
"ERCC-00116",454.333333333333,0.865643921910068,4
"ERCC-00120",3.33333333333333,0.32096917243553,0.667
"ERCC-00123",2.16666666666667,0.716737402338463,4
"ERCC-00126",27.3333333333333,0.494480133222369,1
"ERCC-00130",186996.833333333,0.630716966439646,4
"ERCC-00131",753.833333333333,0.625733440155107,4
"ERCC-00134",1.33333333333333,0.121746206273445,4
"ERCC-00136",9088.16666666667,0.891394465504784,4
"ERCC-00137",2.33333333333333,0.496284618491793,0.5
"ERCC-00138",1.5,0.434066557604099,1
"ERCC-00143",17.1666666666667,0.305005706881781,0.667
"ERCC-00144",107.333333333333,0.965308633596664,4
"ERCC-00145",3757.66666666667,0.631329914225595,0.667
"ERCC-00147",8.16666666666667,0.311163228907438,4
"ERCC-00148",41.5,0.263307641806949,1
"ERCC-00150",20,0.967919839367121,1
"ERCC-00154",22.8333333333333,0.955792404991914,4
"ERCC-00157",52.3333333333333,0.465451983112353,0.667
"ERCC-00158",7,0.743236692072627,1
"ERCC-00160",75.8333333333333,0.922333972766377,0.5
"ERCC-00162",357.166666666667,0.537125295173518,0.667
"ERCC-00163",66.1666666666667,0.451920186010599,0.5
"ERCC-00164",3.83333333333333,0.660968113861505,0.667
"ERCC-00165",256.666666666667,0.574843501688711,0.5
"ERCC-00168",3.83333333333333,0.456878029777337,0.5
"ERCC-00170",99,0.699139896960897,4
"ERCC-00171",16871.1666666667,0.4882812000584,1
