"Feature","MnSignal","Pval","Fold"
"ERCC-00002",47973.1666666667,0.119509234222366,0.5
"ERCC-00003",2858.83333333333,0.0366566222063258,0.5
"ERCC-00004",14310.5,0.0715867520226024,4
"ERCC-00009",1643.83333333333,0.111379985929311,1
"ERCC-00013",2,0.256836706531143,0.5
"ERCC-00014",4.66666666666667,0.456004374084233,0.5
"ERCC-00019",60.1666666666667,0.0962943788960494,4
"ERCC-00022",515.833333333333,0.10984451700934,0.5
"ERCC-00025",228.833333333333,0.379948645644773,1
"ERCC-00028",13.1666666666667,0.0658167322123184,4
"ERCC-00031",4.5,0.683704561139488,1
"ERCC-00033",5,0.590456700076937,4
"ERCC-00034",50.5,0.173184914638123,1
"ERCC-00035",253,0.379070712630206,1
"ERCC-00039",4.83333333333333,0.0736651998205215,0.667
"ERCC-00040",3.66666666666667,0.283951420657398,0.667
"ERCC-00042",1219.5,0.0417857294266781,1
"ERCC-00043",2363.5,0.0592351981664619,0.5
"ERCC-00044",267,0.365385534444909,0.667
"ERCC-00046",9020.66666666667,0.0178402260502352,0.5
"ERCC-00051",39.8333333333333,0.0480550821213038,1
"ERCC-00053",67.5,0.245704691224459,1
"ERCC-00054",13.8333333333333,0.299851571247795,0.667
"ERCC-00058",4.33333333333333,0.172969072611057,0.667
"ERCC-00059",25,0.0336267848610233,0.5
"ERCC-00060",707.333333333333,0.0268679407405721,1
"ERCC-00062",199.166666666667,0.158012044639345,4
"ERCC-00067",5.33333333333333,0.445254257249185,1
"ERCC-00069",5.33333333333333,0.884761822495486,0.5
"ERCC-00071",143.833333333333,0.101317829339795,0.667
"ERCC-00073",2.66666666666667,0.489057384986972,1
"ERCC-00074",35453.1666666667,0.0357584015869824,0.667
"ERCC-00076",483.833333333333,0.107065395911406,0.667
"ERCC-00077",5.16666666666667,0.787069470559238,0.5
"ERCC-00078",96,0.0546230506548986,0.5
"ERCC-00079",144.333333333333,0.0134077025801202,0.5
"ERCC-00084",89.1666666666667,0.571650573317835,0.667
"ERCC-00085",16.1666666666667,0.447608906230096,4
"ERCC-00092",934.5,0.0982993845965697,4
"ERCC-00095",341,0.0540048865121251,4
"ERCC-00096",47472.1666666667,0.0993516396366309,1
"ERCC-00097",2,0.258996562817107,4
"ERCC-00099",48,0.476875996170468,0.667
"ERCC-00108",1801.5,0.0535760949144337,4
"ERCC-00109",1.16666666666667,0.103632593596126,1
"ERCC-00111",1418.33333333333,0.100468745453708,0.667
"ERCC-00112",333.166666666667,0.305632675737491,0.5
"ERCC-00113",11241.3333333333,0.0944157520572513,0.667
"ERCC-00116",220.5,0.795907256970494,4
"ERCC-00120",1.83333333333333,0.322860525014926,0.667
"ERCC-00126",11.6666666666667,0.246498013052158,1
"ERCC-00130",82467.3333333333,0.0985478205895046,4
"ERCC-00131",346.666666666667,0.0562921907515144,4
"ERCC-00136",4273.33333333333,0.169791657114124,4
"ERCC-00137",1.5,0.143423799065609,0.5
"ERCC-00143",6.66666666666667,0.280754672405789,0.667
"ERCC-00144",49.3333333333333,0.745727790646242,4
"ERCC-00145",1689.5,0.0528547838500509,0.667
"ERCC-00147",3.83333333333333,0.103980861543709,4
"ERCC-00148",16.6666666666667,0.0607634147393269,1
"ERCC-00150",8.33333333333333,0.439105608547966,1
"ERCC-00154",11.1666666666667,0.570311920447359,4
"ERCC-00157",20,0.665148747938852,0.667
"ERCC-00158",1.83333333333333,0.145623406789043,1
"ERCC-00160",36.3333333333333,0.661379477096989,0.5
"ERCC-00162",154.333333333333,0.0595860921177537,0.667
"ERCC-00163",25.8333333333333,0.446892329436622,0.5
"ERCC-00164",1.66666666666667,0.423810614698319,0.667
"ERCC-00165",111.833333333333,0.0980371235609102,0.5
"ERCC-00168",2.33333333333333,0.869717695756378,0.5
"ERCC-00170",46.8333333333333,0.0540745005034037,4
"ERCC-00171",7129.83333333333,0.0409048412544474,1
"DPM1",1906,0.0868621330930422,NA
"SCYL3",520.666666666667,0.361196393788878,NA
"C1orf112",1160,0.017985161387397,NA
"FGR",2660.83333333333,0.904196284344476,NA
"CFH",8.5,0.586816265483733,NA
"FUCA2",3026.5,0.641174294777504,NA
"GCLC",384.666666666667,0.0155923265483304,NA
"NFYA",3231.16666666667,0.895024391968918,NA
"STPG1",123,0.337776359012655,NA
"NIPAL3",1251.5,0.536307177619312,NA
"LAS1L",4084.83333333333,0.241963725929198,NA
"SEMA3F",63.6666666666667,0.115259635955298,NA
"ANKIB1",1741.5,0.201668891751776,NA
"CYP51A1",6255.5,5.87373095805792e-09,NA
"KRIT1",1759.33333333333,0.498684693537572,NA
"RAD52",327.833333333333,0.753359357867593,NA
"BAD",389,0.00296522175384619,NA
"LAP3",4229.66666666667,0.00924382769176255,NA
"AOC1",126.333333333333,1.27943953800218e-05,NA
"HECW1",18.1666666666667,0.561980414429475,NA
"MAD1L1",1343.16666666667,0.752143502298096,NA
"LASP1",7716.5,0.00966611405111293,NA
"SNX11",1381.83333333333,0.0815941720635467,NA
"TMEM176A",1.5,0.973398418182943,NA
"M6PR",12628.5,0.433889890662413,NA
"KLHL13",21.3333333333333,0.975436601463116,NA
"CYP26B1",8.66666666666667,0.0881566121530284,NA
"ICA1",63,0.812299765589701,NA
"DBNDD1",78.5,0.0137867202078274,NA
"ALS2",640.666666666667,0.762182897625975,NA
"CASP10",586.333333333333,0.0700328948333784,NA
"CFLAR",3725.66666666667,0.946601575805437,NA
"NDUFAF7",762.166666666667,0.41339005059253,NA
"RBM5",3139.5,0.8207739028537,NA
"MTMR7",50.5,0.852363841105512,NA
"ARF5",1620.33333333333,0.700339803860793,NA
"SARM1",32.1666666666667,0.669341322401207,NA
"POLDIP2",5258,0.00881180922408556,NA
"PLXND1",3547.33333333333,0.00064257724693408,NA
"AK2",23480.3333333333,0.976967945297704,NA
"CD38",2567.83333333333,2.24751977320792e-05,NA
"FKBP4",11079.3333333333,0.1157686776276,NA
"KDM1A",5594.16666666667,0.0598150681848028,NA
"RBM6",3731.33333333333,0.905859337887574,NA
"CAMKK1",476.833333333333,0.263012403564376,NA
"RECQL",3295.33333333333,0.491351305296975,NA
"VPS50",713,0.123444321688034,NA
"HSPB6",6,0.58990180065728,NA
"ARHGAP33",330.5,0.00597666939153599,NA
"NDUFAB1",2669.16666666667,0.842081627511032,NA
"PDK4",1.33333333333333,0.78401098173268,NA
"SLC22A16",279.333333333333,0.423772467106887,NA
"ZMYND10",33,0.540399953422032,NA
"SLC25A13",1416.66666666667,0.0616206320727189,NA
"ST7",448.833333333333,0.245850421849065,NA
"CDC27",5039.5,0.312437512308101,NA
"HCCS",1520.5,0.366542773974403,NA
"DVL2",1605.83333333333,0.0104069638919355,NA
"UPF1",9214,0.393037920838158,NA
"SKAP2",4930.33333333333,0.420574954412816,NA
"SLC25A5",15216.6666666667,0.874592455941424,NA
"MCUB",43.3333333333333,0.0324717988015066,NA
"HOXA11",487.666666666667,0.972524427271509,NA
"POLR2J",1580.5,0.783978639730702,NA
"DHX33",2873.33333333333,0.10281727874074,NA
"THSD7A",401.666666666667,0.279620340514677,NA
"LIG3",2960.66666666667,0.239308278529603,NA
"RPAP3",1911.33333333333,0.629549472720104,NA
"ACSM3",1840.5,0.0336485456971825,NA
"REXO5",1092.16666666667,0.914474941778938,NA
"CIAPIN1",2050.33333333333,0.0838967806772302,NA
"SPPL2B",1783.66666666667,0.32714683678735,NA
"FAM214B",656.166666666667,0.0193609318078873,NA
"COPZ2",238.666666666667,0.123944559003292,NA
"PRKAR2B",941.833333333333,0.000154140288180743,NA
"MSL3",1257.66666666667,0.110836386967323,NA
"CREBBP",3128.83333333333,0.682979372958619,NA
"TSPOAP1",825.333333333333,5.53759079523201e-05,NA
"MPO",183.166666666667,9.17358933524827e-09,NA
"GCFC2",560.833333333333,0.670773537841395,NA
"WDR54",927.166666666667,0.00413655560733813,NA
"CROT",10.1666666666667,0.318000849248189,NA
"ABCB4",4,0.128135273773697,NA
"KMT2E",4934.16666666667,0.015875912255784,NA
"RHBDD2",448.666666666667,0.164362107105548,NA
"IBTK",3401.66666666667,0.132083471155591,NA
"ZNF195",1342,0.0401556722912998,NA
"MYCBP2",4019.33333333333,0.63616306522145,NA
"FBXL3",791.833333333333,0.473544319346361,NA
"ITGAL",51426.5,0.00569583721302999,NA
"PDK2",513,0.698241855187958,NA
"ITGA3",73.1666666666667,0.925113706030363,NA
"ZFX",1594.33333333333,0.661015864760504,NA
"LAMP2",12613.6666666667,0.865187131835316,NA
"ITGA2B",46.1666666666667,0.116901724899397,NA
"GDE1",2486.5,0.00247940598771051,NA
"REX1BD",1020.83333333333,0.900364587037022,NA
"CRLF1",100,0.672335419455329,NA
"OSBPL7",246.333333333333,0.961591055556163,NA
"YBX2",64,0.767867892558921,NA
"MAP3K14",317.5,0.767205321610529,NA
"TMEM132A",6.16666666666667,0.103553611179677,NA
"AP2B1",9070.66666666667,0.900247157508769,NA
"ZNF263",1710.83333333333,0.686069064603035,NA
"SPATA20",894.333333333333,0.360465690376377,NA
"CACNA1G",3.66666666666667,0.326699884967427,NA
"TNFRSF12A",105.166666666667,0.146467742458051,NA
"MAP3K9",29.5,0.955033511112598,NA
"RALA",1518.83333333333,0.563787346518886,NA
"BAIAP2L1",23.1666666666667,0.816007995759247,NA
"KDM7A",35.3333333333333,0.166718963334564,NA
"ETV1",16.6666666666667,0.724596462966941,NA
"AGK",322.666666666667,0.570967168290221,NA
"ALDH3B1",483.666666666667,0.942619113963202,NA
"PHTF2",1999.5,0.115145231994015,NA
"FARP2",2365.66666666667,0.288512632762547,NA
"GGCT",3236.83333333333,0.848502444277682,NA
"DBF4",2630.66666666667,0.71688374293014,NA
"TBXA2R",67.5,0.000438921388815928,NA
"IFRD1",805.5,0.824083307182385,NA
"COX10",1196.33333333333,0.136941605975236,NA
"GTF2IRD1",744.5,0.206500163261391,NA
"PAF1",3632.66666666667,0.132711443230116,NA
"VPS41",2468.33333333333,0.428843869107427,NA
"ARHGAP44",3516.33333333333,0.0227120357075535,NA
"ELAC2",5713.66666666667,0.0167355459636366,NA
"SCIN",2.33333333333333,0.40395060346557,NA
"ARSD",1375.5,0.905740055726207,NA
"PNPLA4",156.666666666667,0.906001499762773,NA
"ADIPOR2",9016.66666666667,0.000817403056945575,NA
"CDKL3",21.6666666666667,0.722045086289364,NA
"MARK4",1024.33333333333,0.000347390024666291,NA
"CCDC124",3914.16666666667,0.0487006160983301,NA
"CEACAM21",201.5,0.172309310981276,NA
"PAFAH1B1",6490,0.845065609112631,NA
"NOS2",172.833333333333,0.000102781499213291,NA
