"Feature","MnSignal","Pval","Fold"
"Sim0.5Fold1",0.666666666666667,0.0903895598315113,0.5
"Sim0.5Fold2",1.16666666666667,0.883025739290084,0.5
"Sim0.5Fold3",3.66666666666667,0.067982059275724,0.5
"Sim0.5Fold4",2,0.251109784540233,0.5
"Sim0.5Fold5",2.33333333333333,0.252932589540825,0.5
"Sim0.5Fold6",2.83333333333333,0.348872889010206,0.5
"Sim0.5Fold7",4.66666666666667,0.182592721289984,0.5
"Sim0.5Fold8",7.83333333333333,0.785307948313974,0.5
"Sim0.5Fold9",11,0.0294846000920647,0.5
"Sim0.5Fold10",10,0.0263860856902529,0.5
"Sim0.5Fold11",17.8333333333333,0.00228329023535659,0.5
"Sim0.5Fold12",16,0.0380124810472115,0.5
"Sim0.5Fold13",28.1666666666667,0.00283412493405674,0.5
"Sim0.5Fold14",36.1666666666667,0.000913224533338765,0.5
"Sim0.5Fold15",45.3333333333333,2.84358744340799e-06,0.5
"Sim0.5Fold16",52,0.211406283745253,0.5
"Sim0.5Fold17",74.5,0.000105790410469166,0.5
"Sim0.5Fold18",114.5,3.280427930963e-05,0.5
"Sim0.5Fold19",130.833333333333,0.000768338381842284,0.5
"Sim0.5Fold20",172.666666666667,0.000817642153615959,0.5
"Sim0.5Fold21",233.5,1.44856825184075e-05,0.5
"Sim0.5Fold22",262.5,1.06575927530567e-05,0.5
"Sim0.5Fold23",356.5,9.23855053838087e-07,0.5
"Sim0.5Fold24",446,5.5594182199179e-07,0.5
"Sim0.5Fold25",541.166666666667,2.39565788140916e-07,0.5
"Sim0.5Fold26",578.5,5.27374927309939e-08,0.5
"Sim0.5Fold27",667,3.72651538446981e-08,0.5
"Sim0.5Fold28",763.833333333333,9.99390491917269e-09,0.5
"Sim0.5Fold29",867.833333333333,1.73188607815287e-09,0.5
"Sim0.5Fold30",987.833333333333,2.15913215553071e-09,0.5
"Sim0.5Fold31",1140.83333333333,2.66281271711816e-09,0.5
"Sim0.5Fold32",1202.83333333333,2.63379206749592e-09,0.5
"Sim0.5Fold33",1326.5,4.80595752045366e-09,0.5
"Sim0.5Fold34",1465.16666666667,6.4719052455172e-09,0.5
"Sim0.5Fold35",1564.33333333333,3.57219004980494e-10,0.5
"Sim0.5Fold36",1737.16666666667,4.71473756918736e-10,0.5
"Sim0.5Fold37",1787,5.8702375710615e-10,0.5
"Sim0.5Fold38",2066.16666666667,7.02508997816352e-10,0.5
"Sim0.5Fold39",2312.83333333333,6.05726794385994e-09,0.5
"Sim0.5Fold40",2504.16666666667,5.11707059117527e-08,0.5
"Sim0.5Fold41",2976.83333333333,3.38087872831826e-09,0.5
"Sim0.5Fold42",3211.33333333333,4.9216350579777e-09,0.5
"Sim0.5Fold43",3577.66666666667,5.69200499668188e-10,0.5
"Sim0.5Fold44",4162.33333333333,2.10971216620031e-09,0.5
"Sim0.5Fold45",4686.5,4.75695079104285e-09,0.5
"Sim0.5Fold46",5820.5,6.18672553360785e-10,0.5
"Sim0.5Fold47",7354.66666666667,9.77903174868239e-10,0.5
"Sim0.5Fold48",9871.83333333333,5.89657187887361e-10,0.5
"Sim0.5Fold49",15384.6666666667,2.54212157585448e-09,0.5
"Sim4Fold1",1,0.457714461605397,4
"Sim4Fold2",1,0.113733547690438,4
"Sim4Fold3",1.16666666666667,0.354409000186986,4
"Sim4Fold4",2,0.283337358771119,4
"Sim4Fold5",3.16666666666667,0.0150967173543079,4
"Sim4Fold6",5.5,0.0101901528427455,4
"Sim4Fold7",5.83333333333333,0.00299993995690972,4
"Sim4Fold8",5,0.0040818319094839,4
"Sim4Fold9",7,0.00357954838217065,4
"Sim4Fold10",8.33333333333333,7.56831482816337e-05,4
"Sim4Fold11",14.6666666666667,1.73653777170679e-05,4
"Sim4Fold12",17.1666666666667,2.6881913470949e-05,4
