"Feature","MnSignal","Pval","Fold"
"Sim0.5Fold1",1.5,0.0707901235347873,0.5
"Sim0.5Fold2",2.66666666666667,0.101670978496509,0.5
"Sim0.5Fold3",1.5,0.32486559867117,0.5
"Sim0.5Fold4",3.5,0.961321419239184,0.5
"Sim0.5Fold5",3.16666666666667,0.155459117627659,0.5
"Sim0.5Fold6",5.16666666666667,0.0858588610403466,0.5
"Sim0.5Fold7",4.83333333333333,0.256592535011118,0.5
"Sim0.5Fold8",7.83333333333333,0.0290000732958398,0.5
"Sim0.5Fold9",7.83333333333333,0.49826094962362,0.5
"Sim0.5Fold10",11.8333333333333,0.495365179429694,0.5
"Sim0.5Fold11",18.3333333333333,0.0288374383910554,0.5
"Sim0.5Fold12",18.3333333333333,0.300018782036013,0.5
"Sim0.5Fold13",25.8333333333333,0.0200908744321023,0.5
"Sim0.5Fold14",29,0.00112697154732225,0.5
"Sim0.5Fold15",43.5,0.000168293282242897,0.5
"Sim0.5Fold16",57.8333333333333,6.98895720414807e-05,0.5
"Sim0.5Fold17",80.5,7.81072433273871e-05,0.5
"Sim0.5Fold18",90.6666666666667,0.0199568499112457,0.5
"Sim0.5Fold19",157.333333333333,0.000441206773532368,0.5
"Sim0.5Fold20",176.333333333333,1.00484296656475e-06,0.5
"Sim0.5Fold21",246,1.69739307189543e-06,0.5
"Sim0.5Fold22",280.333333333333,2.46914944656914e-05,0.5
"Sim0.5Fold23",361,2.11730402032028e-06,0.5
"Sim0.5Fold24",453.333333333333,4.31983148605425e-07,0.5
"Sim0.5Fold25",507.833333333333,6.26742509316101e-07,0.5
"Sim0.5Fold26",633.666666666667,2.66770735076412e-09,0.5
"Sim0.5Fold27",693.5,1.54851885803911e-08,0.5
"Sim0.5Fold28",791.166666666667,1.58219934782517e-09,0.5
"Sim0.5Fold29",935.666666666667,1.78733057840715e-09,0.5
"Sim0.5Fold30",1012.83333333333,7.35265280295598e-08,0.5
"Sim0.5Fold31",1123.16666666667,4.23814905808309e-09,0.5
"Sim0.5Fold32",1242.83333333333,9.29889892261722e-09,0.5
"Sim0.5Fold33",1453.66666666667,4.02766003428816e-10,0.5
"Sim0.5Fold34",1455.33333333333,3.26905651559717e-10,0.5
"Sim0.5Fold35",1688.5,7.71660157133575e-11,0.5
"Sim0.5Fold36",1729.83333333333,8.1762467792029e-10,0.5
"Sim0.5Fold37",1915.66666666667,1.10187732961382e-09,0.5
"Sim0.5Fold38",2119.33333333333,3.46990640564766e-10,0.5
"Sim0.5Fold39",2406.66666666667,2.46617992734983e-10,0.5
"Sim0.5Fold40",2810.83333333333,9.53643229822674e-10,0.5
"Sim0.5Fold41",2918.5,3.94589637504245e-10,0.5
"Sim0.5Fold42",3391.16666666667,1.20700678957259e-10,0.5
"Sim0.5Fold43",3877,4.67077503027545e-11,0.5
"Sim0.5Fold44",4323,9.55193865456084e-10,0.5
"Sim0.5Fold45",5031.83333333333,2.52388781326893e-09,0.5
"Sim0.5Fold46",6043.33333333333,2.90465789066834e-09,0.5
"Sim0.5Fold47",7459.83333333333,1.81551353230269e-09,0.5
"Sim0.5Fold48",10546.5,1.21375454983236e-10,0.5
"Sim0.5Fold49",16198.3333333333,2.24380554247043e-10,0.5
"Sim4Fold1",2,0.230812494645436,4
"Sim4Fold2",0.5,0.485243507403299,4
"Sim4Fold3",2.16666666666667,0.558835621621617,4
"Sim4Fold4",2.66666666666667,0.458564154582715,4
"Sim4Fold5",2.5,0.0983347906642891,4
"Sim4Fold6",3.83333333333333,0.0210483063937268,4
"Sim4Fold7",5.83333333333333,0.00310263592289329,4
"Sim4Fold8",3.5,0.140534320557611,4
"Sim4Fold9",6.16666666666667,0.00400101736823876,4
"Sim4Fold10",13.8333333333333,6.20827669933465e-05,4
"Sim4Fold11",9.83333333333333,0.0156506835311197,4
"Sim4Fold12",17.8333333333333,0.000985329534751439,4
"Sim4Fold13",21.5,9.3625287519917e-05,4
"Sim4Fold14",29.8333333333333,0.000140052340953001,4
"Sim4Fold15",37,6.47242173947239e-07,4
"Sim4Fold16",46.3333333333333,2.15035256228185e-07,4
"Sim4Fold17",67.1666666666667,1.1845017312995e-07,4
"Sim4Fold18",100.833333333333,1.13095061519424e-07,4
"Sim4Fold19",123.166666666667,7.78982500015866e-08,4
"Sim4Fold20",162.333333333333,1.51464175068482e-08,4
"Sim4Fold21",200,2.83665015963475e-09,4
"Sim4Fold22",273.833333333333,3.35243127470966e-10,4
"Sim4Fold23",319.5,3.42090392359645e-11,4
"Sim4Fold24",410.666666666667,1.42949125734339e-10,4
"Sim4Fold25",468.333333333333,1.01866547596806e-11,4
"Sim4Fold26",523,9.78631954848426e-11,4
"Sim4Fold27",622.166666666667,1.2925298755419e-11,4
"Sim4Fold28",688.333333333333,3.0744900880154e-11,4
"Sim4Fold29",778.666666666667,3.17686790168482e-12,4
"Sim4Fold30",851.833333333333,5.92407952225524e-13,4
"Sim4Fold31",1004.5,2.6652578074652e-11,4
"Sim4Fold32",1155.66666666667,1.21617637731616e-13,4
"Sim4Fold33",1231.33333333333,2.55238841329384e-12,4
"Sim4Fold34",1366,3.13877897430373e-13,4
"Sim4Fold35",1455.16666666667,5.36779239932879e-14,4
"Sim4Fold36",1642.66666666667,2.35482654907819e-12,4
"Sim4Fold37",1717.83333333333,1.13312416052576e-12,4
"Sim4Fold38",2044.16666666667,5.2305699845061e-13,4
"Sim4Fold39",2123.83333333333,8.66962137925172e-14,4
"Sim4Fold40",2392.66666666667,3.29413195745905e-13,4
"Sim4Fold41",2641,5.61821905790026e-13,4
"Sim4Fold42",2936.5,6.07103073449864e-15,4
"Sim4Fold43",3338.33333333333,8.59381092565006e-14,4
"Sim4Fold44",4042.33333333333,7.55947376437977e-14,4
"Sim4Fold45",4695.33333333333,2.06291329507784e-13,4
"Sim4Fold46",5431.16666666667,1.5475116433489e-13,4
"Sim4Fold47",6771.83333333333,1.3946553166165e-12,4
"Sim4Fold48",8994.66666666667,1.60893301108578e-12,4
"Sim4Fold49",13958.8333333333,6.68673060228048e-14,4
"Sim1Fold1",1.16666666666667,0.5786942893031,1
"Sim1Fold2",1.66666666666667,0.350055322523001,1
"Sim1Fold3",1.66666666666667,0.224354439004765,1
"Sim1Fold4",2.33333333333333,0.291290820517724,1
"Sim1Fold5",4.66666666666667,0.0453822626788044,1
"Sim1Fold6",2.83333333333333,0.134556266242312,1
"Sim1Fold7",4.66666666666667,0.828725727144213,1
"Sim1Fold8",8.16666666666667,0.584055545285753,1
"Sim1Fold9",8.5,0.372656805711328,1
"Sim1Fold10",9.33333333333333,0.172237854106038,1
"Sim1Fold11",18.3333333333333,0.987197953592395,1
"Sim1Fold12",15.5,0.925618127340037,1
"Sim1Fold13",20.6666666666667,0.47028101207868,1
"Sim1Fold14",32.5,0.50594385295928,1
"Sim1Fold15",46,0.408911584379423,1
"Sim1Fold16",51.5,0.203555134454116,1
"Sim1Fold17",70.6666666666667,0.930221875710139,1
"Sim1Fold18",103.5,0.865820539549095,1
"Sim1Fold19",127.833333333333,0.680083908134162,1
"Sim1Fold20",180.666666666667,0.846838489680374,1
"Sim1Fold21",213.5,0.776422691005395,1
"Sim1Fold22",269.166666666667,0.491950129520085,1
"Sim1Fold23",347.833333333333,0.0943101697602429,1
"Sim1Fold24",426.833333333333,0.281677219579021,1
"Sim1Fold25",489,0.662012660102243,1
"Sim1Fold26",590.333333333333,0.889408414636795,1
"Sim1Fold27",640.833333333333,0.648238090521071,1
"Sim1Fold28",733.166666666667,0.663336307706469,1
"Sim1Fold29",815.666666666667,0.0806254592875701,1
"Sim1Fold30",976.666666666667,0.148950848310454,1
"Sim1Fold31",1072.66666666667,0.366977800589043,1
"Sim1Fold32",1217.83333333333,0.951068421675296,1
"Sim1Fold33",1204.5,0.220510001767681,1
"Sim1Fold34",1412.66666666667,0.0442173767546929,1
"Sim1Fold35",1592.33333333333,0.35569572251288,1
"Sim1Fold36",1790.16666666667,0.942925325283088,1
"Sim1Fold37",1870.66666666667,0.132173711081059,1
"Sim1Fold38",2112.33333333333,0.160253713171214,1
"Sim1Fold39",2331.33333333333,0.011473345514553,1
"Sim1Fold40",2604.5,0.209324552465548,1
"Sim1Fold41",2847.66666666667,0.687835331251782,1
"Sim1Fold42",3276.16666666667,0.341456559571825,1
"Sim1Fold43",3554.5,0.466817617943205,1
"Sim1Fold44",4129.83333333333,0.551437238447279,1
"Sim1Fold45",4844.83333333333,0.960225256311252,1
"Sim1Fold46",5803.5,0.607310201636243,1
"Sim1Fold47",7392.83333333333,0.126865823308351,1
"Sim1Fold48",9853.5,0.463614487460412,1
"Sim1Fold49",16244.6666666667,0.777306569685672,1
"Sim0.667Fold1",1.66666666666667,0.843617626307085,0.667
"Sim0.667Fold2",2.83333333333333,0.868353956337464,0.667
"Sim0.667Fold3",2.16666666666667,0.282460097278167,0.667
"Sim0.667Fold4",4,0.208677787115248,0.667
"Sim0.667Fold5",2.5,0.575724299308009,0.667
"Sim0.667Fold6",3.83333333333333,0.535056444512719,0.667
"Sim0.667Fold7",5.33333333333333,0.124830035019227,0.667
"Sim0.667Fold8",6.83333333333333,0.979189402499468,0.667
"Sim0.667Fold9",7.66666666666667,0.772733805624563,0.667
"Sim0.667Fold10",11.3333333333333,0.125340824868246,0.667
"Sim0.667Fold11",17,0.00759220416054508,0.667
"Sim0.667Fold12",14.5,0.674565162124483,0.667
"Sim0.667Fold13",20.6666666666667,0.498966245337403,0.667
"Sim0.667Fold14",32,0.0319008778028014,0.667
"Sim0.667Fold15",48.6666666666667,0.000136977506235092,0.667
"Sim0.667Fold16",66.5,4.16064395593306e-05,0.667
"Sim0.667Fold17",67.6666666666667,0.00284643341460218,0.667
"Sim0.667Fold18",102.166666666667,0.000604731554705208,0.667
"Sim0.667Fold19",132.833333333333,0.00321730033026374,0.667
"Sim0.667Fold20",180.833333333333,1.77758689491256e-06,0.667
"Sim0.667Fold21",224.166666666667,0.000376087418067322,0.667
"Sim0.667Fold22",276.666666666667,0.000508813921600343,0.667
"Sim0.667Fold23",342.666666666667,2.2954639036895e-05,0.667
"Sim0.667Fold24",441.833333333333,2.62706528224197e-06,0.667
"Sim0.667Fold25",553.666666666667,0.000135426085895407,0.667
"Sim0.667Fold26",558,8.89290600046566e-06,0.667
"Sim0.667Fold27",672.5,3.06053161220968e-05,0.667
"Sim0.667Fold28",696.833333333333,0.000728430299433342,0.667
"Sim0.667Fold29",841.833333333333,8.81561069730816e-06,0.667
"Sim0.667Fold30",987.166666666667,7.21308080562353e-05,0.667
"Sim0.667Fold31",1084.83333333333,1.89948341023257e-06,0.667
"Sim0.667Fold32",1189.16666666667,8.57894007999533e-08,0.667
"Sim0.667Fold33",1349.66666666667,4.64287835845416e-07,0.667
"Sim0.667Fold34",1418.33333333333,3.23467813476383e-06,0.667
"Sim0.667Fold35",1574.5,1.38274116018454e-07,0.667
"Sim0.667Fold36",1721.33333333333,6.57818357771782e-07,0.667
"Sim0.667Fold37",1977.83333333333,8.44644947204635e-09,0.667
"Sim0.667Fold38",2141.83333333333,1.14367809776703e-05,0.667
"Sim0.667Fold39",2362,6.82778166131194e-07,0.667
"Sim0.667Fold40",2633.66666666667,1.42614543164475e-07,0.667
"Sim0.667Fold41",2977.33333333333,3.9508980938399e-08,0.667
"Sim0.667Fold42",3483.5,9.02735348086757e-07,0.667
"Sim0.667Fold43",3806.16666666667,3.30183141291293e-09,0.667
"Sim0.667Fold44",4191,2.71566585182541e-06,0.667
"Sim0.667Fold45",5048.5,9.62542735694439e-07,0.667
"Sim0.667Fold46",5965,9.09761783141142e-08,0.667
"Sim0.667Fold47",7382.66666666667,3.79689081967635e-06,0.667
"Sim0.667Fold48",10174.5,1.53545718030629e-08,0.667
"Sim0.667Fold49",15572.3333333333,6.27378372733317e-07,0.667
