,LMO2,MAX,HOXA9,LYL1,RUNX2,ELF2,IKZF1,FLI1,MEF2C,MYBL2,CEBPA,IRF8,MEF2D,MEIS1,IRF2BP2,ZEB2,GFI1,SP1,ZMYND8,SPI1,MYC,RUNX1,MYB
LMO2,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.3471727513111193,0.0,0.0,0.0,-2.072512870884634,0.0,0.0,-0.7820270323475677,0.0,-1.2722129199976857,-1.6137183874122643,0.0,-1.648473636916688
MAX,0,-2.59074341619204,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-1.5055840131378473,0.0,0.0,0.0,0.0,-1.3526315747425153,-1.8914420572962216,0.0,-0.9335588531518614
HOXA9,0,-0.9867247056108338,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-1.773467962084861,0.0,0.0,-0.70821026849652,0.0,-1.199063776166639,-1.720200499384,0.0,0.0
LYL1,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-1.8102708146123567,0.0,0.0,-1.082394513406593,0.0,-2.8971840278420675,-2.1455110906037307,0.818892324325363,-1.4088748291194824
RUNX2,0,-0.9679225530537785,0.0,0,-1.844661690528393,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-1.3567015780126628,0.0,0.0,0.0,0.0,0.0,-2.0257721505109143,0.0,0.0
ELF2,0,-1.0419972554463883,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-1.346107419204795,0.0,0.0,-0.7805361414121788,0.0,-1.2836844104025311,-1.7019347325838245,0.0,0.0
IKZF1,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,-0.4185992191403851,0.0,0.0,-1.81206401491789,0.0,0.0,0.0,0.0,-2.1681947120555454,-1.6681163933560363,0.0,0.0
FLI1,0,-0.9295883279077589,0.0,0,0.0,0,0,0,0.0,0,0.0,0.36008265123768574,0.0,0.0,-1.519045736000076,0.0,0.0,-0.902815914889631,0.0,-2.1985067841080967,-1.4875328244635568,0.0,0.0
MEF2C,0,-0.9834749031949401,0.0,0,0.0,0,0,0,-1.4194024209136644,0,0.8669231500735338,0.0,0.0,0.0,-1.5293765087678597,0.0,0.0,0.0,0.0,-1.7005996041510354,-1.9184954605333198,0.0,0.0
MYBL2,0,-0.9911548257839444,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-2.082277909654073,0.0,0.0,-0.9020654861676262,0.0,-1.7870222753780098,-2.7408018327680073,0.0,-1.2243320658322603
CEBPA,0,-1.0390816237805676,0.0,0,0.0,0,0,0,0.0,0,0.6658694592745786,0.417750108297412,0.0,0.0,-1.4594578433287164,0.0,-0.5146175665845499,-0.9200907513646862,0.0,-1.0786685068090294,-1.8575608457557635,-0.30126689852927085,-1.0240817215964537
IRF8,0,0.0,0.0,0,0.0,0,0,0,0.0,0,-1.8384951782089005,-0.7182606400491127,-1.0960957397004039,0.0,-2.3538263745610837,0.0,0.6537499243738826,0.0,0.0,-2.057055520076155,-1.9640170005286781,0.0,-1.4687291992794287
MEF2D,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,-1.102758327730643,-1.2875972704198793,0.0,-2.10314161704962,0.0,0.0,0.0,0.0,-2.236387832019133,-2.0109694069244917,0.0,-2.4881340872732696
MEIS1,0,-0.9036286867042735,0.0,0,0.0,0,0,0,0.0,0,0.4064371835985055,0.0,0.0,-1.1766447654614163,-1.7377876275053439,0.0,0.0,-0.7911195980063701,0.0,-1.3375728062615555,-1.568498015685913,0.0,0.0
IRF2BP2,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-2.5780220584158635,0.0,0.0,0.0,0.0,-1.414520414927108,-1.2469736735833787,0.0,-0.9913759734814809
ZEB2,0,-0.8916712793954417,0.0,0,0.0,0,0,0,0.0,0,-0.269948123549467,0.0,0.0,0.0,-1.711839159816391,0.0,0.0,-0.7582666112512338,0.0,-1.2243292515524709,-1.6818615832512864,0.0,-0.9148627184390155
GFI1,0,-0.8417115626529119,0.0,0,0.0,0,0,0,0.0,0,0.0,0.45920988046295574,0.0,0.0,-1.8715706978717905,0.0,-0.8215094553717814,-0.931031648392995,0.0,-1.2071447564041629,-1.4102587904347406,0.0,-1.229774309955101
SP1,0,-1.0210631991141677,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-1.8353151863780002,0.0,0.0,-1.4039181644873946,0.0,-1.414893338899836,-1.9182046401373232,0.0,-0.9185577958433329
ZMYND8,0,-0.9973214838098955,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-1.6259125103830725,0.0,0.0,-0.86479599381257,-0.16901878206626186,-1.1630312828076284,-1.9540804203949584,0.0,0.0
SPI1,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-1.4790617426135364,0.0,0.0,-0.8993333106638604,0.0,-2.785085952774161,-1.5683809799566677,0.0,0.0
MYC,0,0.0,0.9075760989519468,0,0.0,0,0,0,0.0,0,-0.8663608490154561,0.0,0.0,0.0,-1.7110339987783352,-0.9344057682343541,0.0,-0.959777631333209,0.0,-1.670780364735312,-1.3713899501315352,0.0,-1.2523257799332586
RUNX1,0,-0.8308080430160559,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-1.9408901659770248,0.0,0.0,-0.7056475685114636,0.0,-1.2033560391769604,-1.4580945597670931,-0.4813397725136726,0.0
MYB,0,0.0,0.0,0,0.0,0,0,0,0.0,0,-0.30539389077644946,0.0,0.0,0.0,-2.1129671754465233,0.0,0.0,-0.8571364664350003,0.0,-1.936175834992632,-1.829395239860487,0.0,0.0
