,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.00647431709424389,0.38098774400846297,7.325769793864198,0.052006513271487816,0.9585235035989365,0.9999796541556792,TSPAN6
DPM1,2160.7413717002205,0.4271930479017004,0.4234616451022129,1.008811666517252,0.3130649648872704,0.9999796541556792,DPM1
SCYL3,598.848073409075,0.35903389470876423,0.38925728921161024,0.9223562529450392,0.3563427807600837,0.9999796541556792,SCYL3
C1orf112,1269.168483105644,0.3768441634600787,0.4566955449719112,0.8251540169573064,0.4092841557241768,0.9999796541556792,C1orf112
FGR,3052.797654021943,0.25870402629805794,0.4200675505259685,0.6158629153195324,0.5379849991498897,0.9999796541556792,FGR
CFH,11.042966896193423,-0.5206194472333244,0.7579365901214341,-0.6868905051145671,0.4921517307085074,0.9999796541556792,CFH
FUCA2,3604.5547260485455,0.2510543418118693,0.4128084292941969,0.6081618591003867,0.5430801282836824,0.9999796541556792,FUCA2
GCLC,438.13001497615164,0.3492540731500858,0.4133908650663122,0.8448519371468496,0.3981935122500092,0.9999796541556792,GCLC
NFYA,3627.757396086648,0.3327036493160719,0.444947123426219,0.7477374991305921,0.454618507769645,0.9999796541556792,NFYA
STPG1,134.4270060508412,0.29465207781033603,0.4641157628322681,0.6348676373588792,0.5255147455545612,0.9999796541556792,STPG1
NIPAL3,1588.4692443894075,0.24694896156518495,0.41825698907270414,0.5904239929443443,0.5549064290037701,0.9999796541556792,NIPAL3
LAS1L,4636.481129446883,0.39873559720081453,0.4655203092851453,0.8565374898747479,0.3917005452143856,0.9999796541556792,LAS1L
ENPP4,0.016996484463534,0.3809877440084632,7.325769793864198,0.05200651327148785,0.9585235035989365,0.9999796541556792,ENPP4
SEMA3F,69.94819832145221,0.4898134830134523,0.40005667953167295,1.2243602171243668,0.22081636994796688,0.9999796541556792,SEMA3F
ANKIB1,2004.6663410445199,0.3997417155498043,0.4202975070925454,0.9510922829760804,0.3415575318207101,0.9999796541556792,ANKIB1
CYP51A1,5999.0127904659175,0.10905811916343636,0.5560363504693727,0.1961348733250551,0.8445046013604325,0.9999796541556792,CYP51A1
KRIT1,2045.7169017024967,0.4054722478477259,0.4186186253936851,0.9685958131136764,0.33274689318591993,0.9999796541556792,KRIT1
RAD52,392.34807795675925,0.43074488314900783,0.4406687481662943,0.9774799890879908,0.3283315798259334,0.9999796541556792,RAD52
MYH16,0.7280146796850208,0.436648569503706,1.52975234045146,0.28543742536444977,0.7753090382777689,0.9999796541556792,MYH16
BAD,449.95430012192236,0.3995878427171341,0.38841747287736206,1.028758669781313,0.3035930926821667,0.9999796541556792,BAD
LAP3,4982.02646367202,0.32275739677518145,0.42410069409719214,0.7610395391176001,0.4466334512686677,0.9999796541556792,LAP3
HS3ST1,0.0355084983799388,1.342732597828956,7.325769793353013,0.18328894241903085,0.8545713101014691,0.9999796541556792,HS3ST1
AOC1,216.8523461686501,-0.535002229807394,0.7107323839234342,-0.7527477879283304,0.4516014873277057,0.9999796541556792,AOC1
WNT16,0.6809102228659917,-0.4952854869278813,1.5297368588687847,-0.3237716892656537,0.7461108913230621,0.9999796541556792,WNT16
HECW1,22.237288125094747,0.6094675480679413,0.9843222547351492,0.6191748130615317,0.535801202484029,0.9999796541556792,HECW1
MAD1L1,1538.0428034666506,0.2697039739115392,0.3922467320437351,0.6875875612941179,0.4917125434400512,0.9999796541556792,MAD1L1
LASP1,10002.131615136715,0.04796212058536802,0.3831277578367561,0.1251857105216684,0.9003765296004052,0.9999796541556792,LASP1
SNX11,1528.9766357081232,0.364077895009948,0.3934547648639357,0.9253360933012292,0.3547911097136354,0.9999796541556792,SNX11
TMEM176A,2.843677858633659,-3.5919070641114237,1.3919378435959882,-2.5805082322009048,0.00986550041106851,0.9999796541556792,TMEM176A
M6PR,14600.453143695413,0.3963789867030864,0.4231378380774655,0.9367609110639727,0.3488815563687549,0.9999796541556792,M6PR
KLHL13,20.504168686853173,0.4468021438803774,0.6668978079378726,0.6699709289222929,0.5028763224353405,0.9999796541556792,KLHL13
CYP26B1,5.004853170248717,-0.07167163877767878,0.953117064110584,-0.0751970995761788,0.9400578920255122,0.9999796541556792,CYP26B1
ICA1,77.71450776363871,0.1536865177212712,0.4521592280575925,0.3398946835199741,0.7339358404847515,0.9999796541556792,ICA1
DBNDD1,103.94677081079563,-0.5952970538035214,0.5565656315415558,-1.0695900358681665,0.2848038821883587,0.9999796541556792,DBNDD1
ALS2,793.97918675737,0.17493601208583884,0.419276512130299,0.4172330360148431,0.6765079634138338,0.9999796541556792,ALS2
CASP10,691.9378724935181,0.1834443607388022,0.36737438486756746,0.4993390075492904,0.6175405793834536,0.9999796541556792,CASP10
CFLAR,4780.226776053738,0.16387365961651545,0.3398625503590341,0.4821762781553829,0.6296807268778457,0.9999796541556792,CFLAR
TFPI,0.157493427543976,0.9261808373595729,3.6553798697824655,0.2533747162684601,0.7999786638193741,0.9999796541556792,TFPI
NDUFAF7,872.4609671913774,0.4876278252397378,0.4377417218777607,1.1139624140645832,0.2652953115015492,0.9999796541556792,NDUFAF7
RBM5,3902.9134858482726,0.2808883021753973,0.4028637496177173,0.6972290320038373,0.4856594729237272,0.9999796541556792,RBM5
MTMR7,53.766595790808815,0.3192711567710178,0.4713461803915388,0.6773602291755182,0.4981774254804884,0.9999796541556792,MTMR7
ARF5,1971.163723203358,0.2517721825924483,0.37391493946208093,0.6733407949804067,0.5007305049594779,0.9999796541556792,ARF5
SARM1,50.70003634348111,0.8814022222570621,0.5236584945252861,1.6831622736418752,0.092343681884151,0.9999796541556792,SARM1
POLDIP2,5921.9724718801635,0.3498486529767162,0.4362890588526936,0.8018735420427705,0.4226261122786912,0.9999796541556792,POLDIP2
PLXND1,4204.927480260646,0.06363075507033135,0.4025414237415328,0.15807256425661154,0.874399619333342,0.9999796541556792,PLXND1
AK2,26211.255415298576,0.3853212017919771,0.43975281940127,0.8762222430241553,0.3809092267106778,0.9999796541556792,AK2
CD38,2718.653300576135,0.4619709608664243,0.6556511200964509,0.7045987518460506,0.4810599754790488,0.9999796541556792,CD38
FKBP4,12264.319706845372,0.4159501051054901,0.5017308103127149,0.8290304214051354,0.4070871932443771,0.9999796541556792,FKBP4
KDM1A,6182.331061324764,0.3450983086258144,0.4665227829635354,0.73972444911182,0.4594672097483448,0.9999796541556792,KDM1A
RBM6,4277.879054484575,0.3157278975609729,0.42665054706597405,0.7400152179159193,0.45929076047635203,0.9999796541556792,RBM6
CAMKK1,567.4051427920283,0.46721080978563106,0.4564037490053692,1.0236787292037224,0.30598704540578736,0.9999796541556792,CAMKK1
RECQL,3734.117134467196,0.4982580799089973,0.43974999152996297,1.1330485264490284,0.2571938755225468,0.9999796541556792,RECQL
VPS50,836.3819253354575,0.2582738695928353,0.4225565699479204,0.6112172616903514,0.5410557571773322,0.9999796541556792,VPS50
HSPB6,5.311640565271309,-0.5551454514649448,0.7835275681782709,-0.7085206366837576,0.4786220014222351,0.9999796541556792,HSPB6
ARHGAP33,396.8473894888915,0.2232565134449341,0.4632727709621999,0.4819115809056483,0.6298687588831221,0.9999796541556792,ARHGAP33
NDUFAB1,3082.0757709421227,0.370366045704542,0.44947755838775105,0.823992296819051,0.4099439349332567,0.9999796541556792,NDUFAB1
PDK4,2.8938323501142933,0.302430275465634,0.8508266026597135,0.3554546537687308,0.72224901070548,0.9999796541556792,PDK4
SLC22A16,337.34808475217017,0.44135198866495895,0.5738173270110555,0.7691506824374016,0.44180386366763147,0.9999796541556792,SLC22A16
ZMYND10,45.350474586307094,0.4243439258455283,0.4465337778007323,0.9503064425170848,0.3419565662887272,0.9999796541556792,ZMYND10
ABCB5,0.029569647446331313,0.3329985343382084,7.325759993870692,0.04545583456417098,0.9637439773970038,0.9999796541556792,ABCB5
ARX,1.5277088245628683,0.10238549336758354,1.3891624598574812,0.07370303785641286,0.9412466815060212,0.9999796541556792,ARX
SLC25A13,1558.1492113148327,0.3432500992264044,0.4646759855464775,0.7386869773843134,0.4600970952660227,0.9999796541556792,SLC25A13
