,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.006578199543252406,0.4245487603703717,7.372668747025606,0.057584136075779835,0.9540798862805979,0.9999611806549682,TSPAN6
DPM1,2199.2424235586363,0.4878129904473979,0.44521871039661876,1.0956704627548883,0.27322301332384846,0.9405599410141304,DPM1
SCYL3,609.7303546978766,0.35055030079668115,0.41165601699968746,0.8515612217978277,0.3944576701450763,0.9405599410141304,SCYL3
C1orf112,1291.193240651277,0.5976097216853798,0.47846586731727264,1.249012233696291,0.21166059934993364,0.9405599410141304,C1orf112
FGR,3105.5060926168985,0.3409045406072947,0.4486637630077324,0.759821872669087,0.44736106676990955,0.9458460503700172,FGR
CFH,11.29123062008396,-1.301516943090887,0.8085023393784274,-1.6097874795161222,0.1074442594813793,0.9405599410141304,CFH
FUCA2,3672.014748830664,0.4215753046325115,0.4276972434725183,0.9856862794104023,0.32428708443896503,0.9405599410141304,FUCA2
GCLC,445.94852106345485,0.39551623877108527,0.43607530265574757,0.9069906879897737,0.3644117215851566,0.9405599410141304,GCLC
NFYA,3691.3368505895387,0.45362647576218273,0.4675480811107208,0.9702242273875544,0.3319347369509981,0.9405599410141304,NFYA
STPG1,136.896665735748,0.5846176374669833,0.47587908077470625,1.2285003924006417,0.21925918217405374,0.9405599410141304,STPG1
NIPAL3,1618.1001270530567,0.28403203209321143,0.4347839848649055,0.6532716060861,0.5135811940964732,0.9773647132349381,NIPAL3
LAS1L,4718.3068020188875,0.5121296937798109,0.485423998737256,1.055015193134301,0.2914183762041214,0.9405599410141304,LAS1L
ENPP4,0.017276399737425095,1.4336712286467421,7.372677573097625,0.19445733445310376,0.8458178001863979,0.9999611806549682,ENPP4
SEMA3F,71.20578413818416,0.37343726085875417,0.4271793681479004,0.8741931111463713,0.38201309697126984,0.9405599410141304,SEMA3F
CFTR,0.0,0.0,,,0.0,,CFTR
ANKIB1,2040.6169052141581,0.4475595870896109,0.44146294772281913,1.0138100816801043,0.31067338371928316,0.9405599410141304,ANKIB1
CYP51A1,6100.366650498587,0.6375264933889039,0.5759894871151511,1.1068370302763015,0.26836439492675135,0.9405599410141304,CYP51A1
KRIT1,2082.956044318025,0.4383312543331249,0.4379581670686255,1.0008518787696017,0.31689842401426166,0.9405599410141304,KRIT1
RAD52,399.417600964332,0.48343222252343027,0.4599601504802907,1.0510306643273988,0.29324450650582556,0.9405599410141304,RAD52
MYH16,0.7413300964703357,2.1035586586047788,1.269588348441355,1.6568824542122416,0.09754324236456956,0.9405599410141304,MYH16
BAD,458.2366147558312,0.37745941761402213,0.40934359578308227,0.9221090094054969,0.3564717180259398,0.9405599410141304,BAD
LAP3,5071.073540082875,0.3448218405996715,0.4460128220906087,0.7731209138413964,0.43945082497703225,0.9445560501616428,LAP3
HS3ST1,0.036072436598398726,0.37656664895461117,7.372658484401063,0.051076100941247184,0.959264879816122,0.9999611806549682,HS3ST1
AOC1,220.5072569281303,-0.9517417729787597,0.725645286621298,-1.3115799007118165,0.18966191834363397,0.9405599410141304,AOC1
WNT16,0.6918131753874589,1.1106840158871985,1.3185511395258995,0.8423518683443388,0.3995910259645242,0.9405599410141304,WNT16
HECW1,22.593146106057358,0.11424839994122221,1.038766837909121,0.10998464310931103,0.9124215540446224,0.9999611806549682,HECW1
MAD1L1,1565.891756935548,0.41894981823865773,0.4129418786869361,1.0145491166234473,0.310320805067567,0.9405599410141304,MAD1L1
LASP1,10195.45895761722,0.22678662423177298,0.39726157739028056,0.5708748017404452,0.5680845129937871,0.9999611806549682,LASP1
SNX11,1556.412938033404,0.3696300001436413,0.4171878067313004,0.8860038433043422,0.3756154561844821,0.9405599410141304,SNX11
TMEM176A,2.925002230582625,-2.5975408103371644,1.3912574394117665,-1.867045405655062,0.06189524734656719,0.9405599410141304,TMEM176A
M6PR,14855.66342462436,0.41214053935037154,0.4492399190259438,0.9174174464370568,0.358923933989873,0.9405599410141304,M6PR
KLHL13,20.877445973103747,0.6676201925791364,0.6726574246867667,0.9925114450197647,0.3209480992287919,0.9405599410141304,KLHL13
CYP26B1,5.128501577141321,0.6020082284901399,0.9084696023302558,0.6626619393163713,0.5075470911163643,0.973400650370733,CYP26B1
ICA1,79.19920578068634,0.28296316910970953,0.46399322465492604,0.6098433211393347,0.5419656012029557,0.9954552150478483,ICA1
DBNDD1,107.45249514882899,-0.10928664214241521,0.5552904434078326,-0.19680987389539806,0.8439763239902267,0.9999611806549682,DBNDD1
ALS2,808.8784559211844,0.35404472409233984,0.4338575268733738,0.8160391422589558,0.4144777490057349,0.9405599410141304,ALS2
CASP10,705.6906409029465,0.2228136665205402,0.38027640131377466,0.5859255682202893,0.5579255344685647,0.9999611806549682,CASP10
CFLAR,4873.505090359028,0.21243595026081893,0.3560111248961943,0.5967115502998986,0.5506999797327481,0.9999611806549682,CFLAR
TFPI,0.15994503202567492,2.0534308373525487,3.6463706204151913,0.5631437533683112,0.5733369999712953,0.9999611806549682,TFPI
NDUFAF7,887.9534830362828,0.5371006978841433,0.4592870217686393,1.169422762733108,0.24223334320029827,0.9405599410141304,NDUFAF7
RBM5,3974.438568876242,0.4353592232024439,0.4210527932220933,1.0339777581591874,0.3011465612739885,0.9405599410141304,RBM5
MTMR7,54.709062299630354,0.698394548541924,0.4865093161744137,1.435521428517824,0.1511385665228306,0.9405599410141304,MTMR7
SLC7A2,0.0,0.0,,,0.0,,SLC7A2
ARF5,2006.6772028948478,0.2964122273630483,0.39835126551955596,0.7440976169021276,0.45681742094500316,0.9477737595770133,ARF5
SARM1,51.58564211959159,-0.09498956298408089,0.562958162150423,-0.16873289947734973,0.8660067397549978,0.9999611806549682,SARM1
POLDIP2,6027.802609627608,0.5040432372997748,0.45560873357946613,1.1063072328306474,0.2685935622633716,0.9405599410141304,POLDIP2
PLXND1,4288.837128795087,0.24793461552142748,0.41275973177878195,0.6006753964417918,0.5480562093021297,0.9988839419849845,PLXND1
AK2,26671.73087525223,0.5173642296492508,0.4618381515814827,1.1202284347398084,0.26261642974771787,0.9405599410141304,AK2
CD38,2767.509120144184,0.7000180544631662,0.6625740600838965,1.0565129192871336,0.29073394158376054,0.9405599410141304,CD38
FKBP4,12480.269262184434,0.577873565074783,0.5191483941266575,1.1131182752610005,0.26565763575736,0.9405599410141304,FKBP4
KDM1A,6295.787904985383,0.5688739317852967,0.4796110481065889,1.186115153166509,0.2355768271268607,0.9405599410141304,KDM1A
RBM6,4354.067913585504,0.4639519120927685,0.4474268902771304,1.0369334570065798,0.2997668701713246,0.9405599410141304,RBM6
CAMKK1,577.3647230486237,0.4655451891070205,0.47965015061691063,0.9705932303122415,0.33175087840935785,0.9405599410141304,CAMKK1
RECQL,3799.8707957831543,0.3190033500333997,0.46544470334084187,0.685373252168681,0.49310841823587476,0.964753574696629,RECQL
VPS50,851.5527711173551,0.41821507653498663,0.4408964064760858,0.9485563284074319,0.3428463113086693,0.9405599410141304,VPS50
HSPB6,5.398111084269755,0.8364640334265301,0.708566063598193,1.180502533777661,0.23780040329855118,0.9405599410141304,HSPB6
ARHGAP33,403.80385420581774,0.6220968346646703,0.4812105787862281,1.2927746439693903,0.19608901251021849,0.9405599410141304,ARHGAP33
NDUFAB1,3137.029601791414,0.465308665456038,0.46917644669367403,0.991756233150891,0.3213164524067202,0.9405599410141304,NDUFAB1
PDK4,2.941667248701908,-0.3631338402376323,0.9671607603326106,-0.3754637854752803,0.7073155746766243,0.9999611806549682,PDK4
SLC22A16,343.05995219241356,0.35973912479017095,0.5973742562475866,0.6022005820101397,0.5470406283200576,0.9984764312149966,SLC22A16
ZMYND10,46.10944842826399,0.4878312870281902,0.4840506195628264,1.0078104795502139,0.3135454540049204,0.9405599410141304,ZMYND10
ABCB5,0.030052570409205653,0.37656664910065507,7.372658484401092,0.05107610096105583,0.9592648798003376,0.9999611806549682,ABCB5
ARX,1.589466692312648,-0.9448520003613247,1.5600541556078438,-0.6056533338697989,0.5447449783836493,0.9973790667755533,ARX
SLC25A13,1585.507260843516,0.5363278972425206,0.4844896207541051,1.1069956388492483,0.26829581388595114,0.9405599410141304,SLC25A13
ST7,544.2685148709028,0.42502287466004435,0.42290118009451394,1.0050169984511659,0.3148886648064152,0.9405599410141304,ST7
CDC27,5635.06782485434,0.5230703835688489,0.46494425142504753,1.125017422982746,0.2605816512996873,0.9405599410141304,CDC27
SLC4A1,2.1180804457655955,-0.07940741776288729,1.0936276707464634,-0.07260918856294775,0.942117114607409,0.9999611806549682,SLC4A1
CALCR,0.0,0.0,,,0.0,,CALCR
HCCS,1718.2760506310872,0.38204543828283194,0.42485424392824006,0.8992388418917648,0.3685254553205914,0.9405599410141304,HCCS
