,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.01014070891471848,0.2009170117070942,7.325865673317176,0.027425702390215717,0.9781201984133504,,TSPAN6
DPM1,1923.1105388040376,0.08492774519587584,0.07633439530677476,1.112575069921834,0.2658909723925835,0.5624972567155353,DPM1
SCYL3,545.6832555161268,-0.10419857558081913,0.0870498898939349,-1.1969983616036606,0.2313071933492607,0.5258443374590912,SCYL3
C1orf112,1107.937641511208,0.13389228398459066,0.10241768738234186,1.30731602525596,0.19110540385510907,0.4831351293704403,C1orf112
FGR,2863.2822868769317,-0.8212457137916491,0.26317880189174875,-3.1204857985843617,0.0018055300370758906,0.03545988549340903,FGR
CFH,10.051278876330828,1.9390616930726976,0.5126651687099589,3.782316044509209,0.00015537591182373983,0.0064047991441822365,CFH
FUCA2,3254.039368827587,-0.3887769973234624,0.11412156591650703,-3.4066917519156483,0.0006575534335658495,0.017750309814379785,FUCA2
GCLC,394.74106038828654,0.16037515068122984,0.11041479674357522,1.4524787927987712,0.14636852171290432,0.4269567664111436,GCLC
NFYA,3189.184805593015,0.14963116761372372,0.08999844878698003,1.6625971850680463,0.09639309497102916,0.34467531208366353,NFYA
STPG1,118.65712219058192,-0.5087685762470948,0.17242023603199022,-2.9507474757933854,0.0031700597662347343,0.04962117064019995,STPG1
NIPAL3,1452.094360911976,-0.6660557934170955,0.1818350966132425,-3.662966093029748,0.00024931155046346935,0.00906801167914028,NIPAL3
LAS1L,4020.153334036886,0.14913275249012098,0.1047499129164488,1.4237028780069063,0.15453250025605406,0.4394911503207683,LAS1L
ENPP4,0.011030100989968705,0.2009170117070942,7.325865673317176,0.027425702390215717,0.9781201984133504,,ENPP4
SEMA3F,65.48084765749765,-0.13451341835612762,0.23528251195102026,-0.5717102271677966,0.5675183046278434,0.7911253741545343,SEMA3F
ANKIB1,1784.8336513145139,0.004591614566236895,0.05326886495230867,0.08619696647089709,0.931309842139792,0.973701568843092,ANKIB1
CYP51A1,4998.790040484395,0.018262958871477976,0.2529977319618408,0.07218625530695487,0.9424536833126236,0.9781322917165152,CYP51A1
KRIT1,1826.7593929286397,-0.13321943761232655,0.0738256973343909,-1.8045130953374384,0.07115090813208713,0.29457276980606223,KRIT1
RAD52,345.6942886677629,-0.12065901213881165,0.08803860864898516,-1.370523841646406,0.17052343822486968,0.4613386041897637,RAD52
