,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.00647431709424389,0.306713159457956,7.325769062316585,0.04186770792921582,0.9666041591545352,0.9997748105400278,TSPAN6
DPM1,2160.7413717002205,0.1605055202018078,0.4260603182403101,0.376720180993899,0.7063815636894075,0.9997748105400278,DPM1
SCYL3,598.848073409075,0.16604290551828862,0.3912207566192973,0.4244225356372577,0.6712576885084149,0.9997748105400278,SCYL3
C1orf112,1269.168483105644,0.14407522944478734,0.4585573211194393,0.3141924091257948,0.7533749076306163,0.9997748105400278,C1orf112
FGR,3052.797654021943,0.19935695196737832,0.4205500121133173,0.4740386309004826,0.6354723596647983,0.9997748105400278,FGR
CFH,11.042966896193423,0.4640847348442165,0.7165832017595714,0.6476355204875799,0.5172207175238002,0.9997748105400278,CFH
FUCA2,3604.5547260485455,0.13420043161204465,0.4135889904147869,0.32447776590342875,0.7455763526973735,0.9997748105400278,FUCA2
GCLC,438.13001497615164,0.10634795282960127,0.4154718862422573,0.25596907119629003,0.7979747194934487,0.9997748105400278,GCLC
NFYA,3627.757396086648,0.2638576984178981,0.4456165694741984,0.5921182390709456,0.5537714142133197,0.9997748105400278,NFYA
STPG1,134.4270060508412,0.4078455265585984,0.4623205198365386,0.8821705052217869,0.3776846093678593,0.9997748105400278,STPG1
NIPAL3,1588.4692443894075,0.06907711152688795,0.4192282817821875,0.16477206936810948,0.8691233889326591,0.9997748105400278,NIPAL3
LAS1L,4636.481129446883,0.21342866024108006,0.4671759736717393,0.4568485373159312,0.6477799158871376,0.9997748105400278,LAS1L
ENPP4,0.016996484463534,0.306713159457956,7.325769062316585,0.04186770792921582,0.9666041591545352,0.9997748105400278,ENPP4
SEMA3F,69.94819832145221,0.4728635743807138,0.3999233032031573,1.182385648931549,0.23705271489633326,0.9997748105400278,SEMA3F
ANKIB1,2004.6663410445199,0.21031344961147336,0.4222446703725928,0.4980843202257372,0.6184246116938326,0.9997748105400278,ANKIB1
CYP51A1,5999.0127904659175,0.7128938790996795,0.5502449343161782,1.2955937158887882,0.19511549527579936,0.9997748105400278,CYP51A1
KRIT1,2045.7169017024967,0.2398700248866904,0.4204359317520641,0.5705269382830592,0.5683203566098045,0.9997748105400278,KRIT1
RAD52,392.34807795675925,0.20159643273534375,0.44313742122029065,0.4549298323310118,0.6491597199737569,0.9997748105400278,RAD52
MYH16,0.7280146796850208,-0.6498216139877934,1.655117982996554,-0.3926134696520582,0.6946049895037512,0.9997748105400278,MYH16
BAD,449.95430012192236,0.1549389618816669,0.39111519733885736,0.3961466159736813,0.6919968707374691,0.9997748105400278,BAD
LAP3,4982.02646367202,0.008501020110867855,0.425791197446361,0.01996523216508901,0.9840711077469324,0.9997748105400278,LAP3
HS3ST1,0.0355084983799388,0.2587237210051298,7.325759285318524,0.035316983663882494,0.9718269807732404,0.9997748105400278,HS3ST1
AOC1,216.8523461686501,-1.2440045010823273,0.7051051563065526,-1.7642822350053582,0.0776844733944403,0.9997748105400278,AOC1
WNT16,0.6809102228659917,-0.5707423152608765,1.5310301082687654,-0.3727832079711689,0.7093098015685335,0.9997748105400278,WNT16
HECW1,22.237288125094747,0.4324416188169399,0.9868042317496208,0.4382243254573539,0.6612236765594005,0.9997748105400278,HECW1
MAD1L1,1538.0428034666506,0.17979728910303225,0.3930029157566771,0.4574960690987634,0.6473145270551692,0.9997748105400278,MAD1L1
LASP1,10002.131615136715,0.02107367964740309,0.3832112689524391,0.054992327613462164,0.9561445762223652,0.9997748105400278,LASP1
SNX11,1528.9766357081232,0.2843295599474173,0.39442384870908,0.7208731441519239,0.470987567519791,0.9997748105400278,SNX11
TMEM176A,2.843677858633659,0.060950547097988465,0.9436605640271232,0.06458948208864282,0.9485008593009828,0.9997748105400278,TMEM176A
M6PR,14600.453143695413,0.1696433803526668,0.4252328703998597,0.39894230235105255,0.6899357183775514,0.9997748105400278,M6PR
KLHL13,20.504168686853173,0.5305599205967965,0.6635628817566269,0.7995623853948305,0.4239643880551059,0.9997748105400278,KLHL13
CYP26B1,5.004853170248717,0.9654302629317164,0.8888264034243971,1.0861854004473608,0.27739697512289674,0.9997748105400278,CYP26B1
ICA1,77.71450776363871,0.040178508626844286,0.452860985984045,0.08872150587125173,0.9293032407196932,0.9997748105400278,ICA1
DBNDD1,103.94677081079563,0.391621001607215,0.5521408288632166,0.7092773820286208,0.4781523613821338,0.9997748105400278,DBNDD1
ALS2,793.97918675737,0.1489652754990521,0.4194274544445447,0.35516338742376674,0.7224671916016328,0.9997748105400278,ALS2
CASP10,691.9378724935181,0.2380732937019218,0.3668680427400479,0.6489344013826073,0.5163807777141913,0.9997748105400278,CASP10
CFLAR,4780.226776053738,0.0791187731546969,0.3403289258631728,0.23247736863397306,0.8161672629625308,0.9997748105400278,CFLAR
TFPI,0.157493427543976,-0.1597091206681467,3.6589734824342415,-0.04364861386256765,0.9651845003397894,0.9997748105400278,TFPI
NDUFAF7,872.4609671913774,0.1209321315619495,0.4413016102445838,0.274035101514642,0.7840576466681866,0.9997748105400278,NDUFAF7
RBM5,3902.9134858482726,0.16881206535653187,0.4037617755024697,0.4180981846200032,0.6758753322133807,0.9997748105400278,RBM5
MTMR7,53.766595790808815,-0.024659017504309638,0.4757563021897129,-0.05183119464905499,0.9586631992144078,0.9997748105400278,MTMR7
ARF5,1971.163723203358,0.17592783506315846,0.3745606787367488,0.4696911476572938,0.6385756933350695,0.9997748105400278,ARF5
SARM1,50.70003634348111,-0.15434701187613195,0.5421608291355817,-0.284688608216536,0.7758827189891164,0.9997748105400278,SARM1
POLDIP2,5921.9724718801635,0.21301172617199124,0.4375199842165346,0.4868617065650854,0.6263563376221273,0.9997748105400278,POLDIP2
PLXND1,4204.927480260646,0.2596129963810144,0.4015200537722774,0.6465754174466569,0.5179067721584858,0.9997748105400278,PLXND1
AK2,26211.255415298576,0.2805734940297153,0.4408786670643963,0.6363961674487953,0.5245182382610947,0.9997748105400278,AK2
CD38,2718.653300576135,0.1618514807328101,0.6576167430141079,0.2461182481318574,0.8055906975092612,0.9997748105400278,CD38
FKBP4,12264.319706845372,0.2447106662994947,0.5032424568996728,0.4862679270089498,0.6267772160863883,0.9997748105400278,FKBP4
KDM1A,6182.331061324764,0.2748104745714119,0.467193710869058,0.5882152695510792,0.5563878094682567,0.9997748105400278,KDM1A
RBM6,4277.879054484575,0.2938129163331204,0.42691368817412195,0.6882255698797954,0.4913107441612896,0.9997748105400278,RBM6
CAMKK1,567.4051427920283,0.2443346862188493,0.4589293486061447,0.5324015275138538,0.5944479274521766,0.9997748105400278,CAMKK1
RECQL,3734.117134467196,0.1484469367455758,0.44332140986699625,0.3348517203130621,0.7377369432150913,0.9997748105400278,RECQL
VPS50,836.3819253354575,0.02085878271758707,0.42375664466260654,0.04922349414531247,0.9607411883376568,0.9997748105400278,VPS50
HSPB6,5.311640565271309,0.64142510342367,0.6774371610782954,0.9468407407746808,0.3437199381439366,0.9997748105400278,HSPB6
ARHGAP33,396.8473894888915,0.5028545044918573,0.4599143772495733,1.093365481416517,0.2742333629907949,0.9997748105400278,ARHGAP33
NDUFAB1,3082.0757709421227,0.18642859853694466,0.451010449980901,0.413357603010838,0.6793446322758107,0.9997748105400278,NDUFAB1
PDK4,2.8938323501142933,-0.4537348323969757,0.9352847841265106,-0.4851301337279123,0.6275840378485669,0.9997748105400278,PDK4
SLC22A16,337.34808475217017,0.09517233243702332,0.5761950989212654,0.16517379723500253,0.8688071887451408,0.9997748105400278,SLC22A16
ZMYND10,45.350474586307094,0.1097378662724257,0.4520824360194143,0.24273861917456374,0.8082078882281489,0.9997748105400278,ZMYND10
ABCB5,0.029569647446331313,0.25872372100512925,7.325759285318524,0.03531698366388242,0.9718269807732404,0.9997748105400278,ABCB5
ARX,1.5277088245628683,-1.8514713184664189,1.6552520199923255,-1.118543458098304,0.2633349566943658,0.9997748105400278,ARX
SLC25A13,1558.1492113148327,0.19696031298915884,0.4658567135625921,0.4227916165099882,0.6724473048065911,0.9997748105400278,SLC25A13
ST7,534.2694700144664,0.1596341140301139,0.4085719350146673,0.3907123822011495,0.6960098452996177,0.9997748105400278,ST7
CDC27,5537.40511542838,0.27234140647575983,0.4450811899683237,0.6118915213989211,0.5406095315970367,0.9997748105400278,CDC27
SLC4A1,2.081424323570912,0.1167216457493745,1.0347805943755632,0.11279844866032687,0.91019034828429,0.9997748105400278,SLC4A1
HCCS,1688.073197104692,0.19222049022252008,0.403168863671516,0.4767741448881647,0.6335229586819408,0.9997748105400278,HCCS
DVL2,1778.9674933823126,0.3992739935439131,0.4479106788510158,0.8914143207483557,0.3727069377693717,0.9997748105400278,DVL2
PRSS22,0.9200731422566856,-2.120283647047441,7.323871493413385,-0.28950311989420985,0.7721963927358908,0.9997748105400278,PRSS22
UPF1,10844.157542889265,0.16849314752705796,0.4282106628192147,0.3934819054195147,0.6939635858374273,0.9997748105400278,UPF1
SKAP2,5269.603848036593,0.3364926133157181,0.3932947997242554,0.8555735126720155,0.3922337261175238,0.9997748105400278,SKAP2
SLC25A5,17077.805933782616,0.2284082431701687,0.4535021936511327,0.5036541087734565,0.6145044622185698,0.9997748105400278,SLC25A5
