,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.00647431709424389,-1.9432560276277917,7.325808868804287,-0.2652616335518685,0.7908079180935049,,TSPAN6
DPM1,2160.7413717002205,-2.0644700926081003,0.3783295331794991,-5.456803954103707,4.84781085462817e-08,1.6624630436009743e-07,DPM1
SCYL3,598.848073409075,-1.6277363291546612,0.3544425382602989,-4.592384246947439,4.382105760212709e-06,9.916834179782927e-06,SCYL3
C1orf112,1269.168483105644,-2.5036368954125563,0.39972633522057793,-6.263377403019974,3.7672735836828665e-10,2.569362533721008e-09,C1orf112
FGR,3052.797654021943,-0.66218563422966,0.4107858409901253,-1.6119972213102107,0.10696254439027712,0.13834272302843412,FGR
CFH,11.042966896193423,-3.9667836691656544,0.792405170665632,-5.006004271569174,5.557152420952363e-07,1.4793168886840352e-06,CFH
FUCA2,3604.5547260485455,-2.123742031008911,0.3615242912999248,-5.874410329033824,4.24351099146133e-09,1.9980489032234e-08,FUCA2
GCLC,438.13001497615164,-2.177868269970732,0.3612449938603547,-6.028784639193153,1.6519724530361331e-09,9.056326227495594e-09,GCLC
NFYA,3627.757396086648,-2.2552139435883745,0.3945169894581064,-5.716392459260249,1.0880927646021174e-08,4.527349285971339e-08,NFYA
STPG1,134.4270060508412,-2.1929648786797844,0.4181110655803132,-5.244933844637858,1.5633841320861807e-07,4.71181081369485e-07,STPG1
NIPAL3,1588.4692443894075,-1.7950705559410431,0.3797414656169791,-4.72708597420229,2.2776484516614143e-06,5.405706889616092e-06,NIPAL3
LAS1L,4636.481129446883,-2.782250569916658,0.3998479215842276,-6.958271932221563,3.4447182815541584e-12,4.985838001543426e-11,LAS1L
ENPP4,0.016996484463534,-1.9432560276277917,7.325808868804287,-0.2652616335518685,0.7908079180935049,,ENPP4
SEMA3F,69.94819832145221,-1.057143118392048,0.3801830444162089,-2.780616163499208,0.005425584480868403,0.008438390803334866,SEMA3F
ANKIB1,2004.6663410445199,-2.112322789773292,0.3724937944410318,-5.670759677870785,1.4216570512270526e-08,5.702677014517548e-08,ANKIB1
CYP51A1,5999.0127904659175,-2.970510285763404,0.4969864165927342,-5.9770452201265085,2.2722114242357513e-09,1.1821265877185511e-08,CYP51A1
KRIT1,2045.7169017024967,-1.9865293471629462,0.37535069366883694,-5.292462171165225,1.2068043825128605e-07,3.7413217151627433e-07,KRIT1
RAD52,392.34807795675925,-2.323473079353006,0.3889069936783881,-5.974366923507768,2.309853946865636e-09,1.1979101470974302e-08,RAD52
MYH16,0.7280146796850208,-1.8304001211779029,1.4927822479929147,-1.2261668596601576,0.22013588970036185,0.2680199399469884,MYH16
BAD,449.95430012192236,-1.545600919133293,0.3568315314185141,-4.331458357923299,1.4812496443344714e-05,3.0970055608829475e-05,BAD
LAP3,4982.02646367202,-2.364562116153793,0.3658726253599081,-6.462801402066575,1.0278214939984843e-10,8.617048467183517e-10,LAP3
HS3ST1,0.0355084983799388,-1.989011275449468,7.325804457393284,-0.27150755756825257,0.7860006878418144,,HS3ST1
AOC1,216.8523461686501,-0.16492743213599473,0.709133599908458,-0.2325759661610805,0.8160906918026728,0.8346871455616687,AOC1
WNT16,0.6809102228659917,-1.8496727359256664,1.37897147943865,-1.3413422710371274,0.17980935139069398,0.22302259419684656,WNT16
HECW1,22.237288125094747,-4.283943642388102,0.9971516048661077,-4.296180863052742,1.7376582777501723e-05,3.599230008902524e-05,HECW1
MAD1L1,1538.0428034666506,-1.6445487231003748,0.3563317598506399,-4.615217918800457,3.926830616214556e-06,8.960722330910237e-06,MAD1L1
LASP1,10002.131615136715,-1.6448911789247742,0.3449688033788903,-4.768231685918964,1.85849981495446e-06,4.476693713120448e-06,LASP1
SNX11,1528.9766357081232,-1.4485115192330602,0.3654463124227476,-3.96367802873716,7.380377788672072e-05,0.00014115874625862437,SNX11
TMEM176A,2.843677858633659,-3.967544679151119,1.2163407118755163,-3.261869507790649,0.0011068008023979693,0.0018593486019324488,TMEM176A
M6PR,14600.453143695413,-1.9438512098217284,0.3819394231942695,-5.0894228031365305,3.591550294448783e-07,9.965103107450292e-07,M6PR
KLHL13,20.504168686853173,-4.058748954970947,0.6853046497543593,-5.9225469379578355,3.169932860082422e-09,1.5589395315434856e-08,KLHL13
CYP26B1,5.004853170248717,-4.211537446623518,1.1450975577968416,-3.6778852753179225,0.00023517568770484165,0.0004251268154881485,CYP26B1
ICA1,77.71450776363871,-2.455530152543731,0.3952720602899058,-6.212253278774023,5.223014914477306e-10,3.382584385682145e-09,ICA1
DBNDD1,103.94677081079563,-0.5952297849630268,0.5561435317527177,-1.0702808735132217,0.2844929009600293,0.3371158652994567,DBNDD1
ALS2,793.97918675737,-1.8613899478739742,0.3778498945260548,-4.9262682743599955,8.381490359169059e-07,2.1573508928828244e-06,ALS2
CASP10,691.9378724935181,-1.4853946540754153,0.3331968164086093,-4.458009743567993,8.272414273200806e-06,1.7916281217456435e-05,CASP10
CFLAR,4780.226776053738,-0.4551846499793152,0.33270463864203564,-1.3681343663773156,0.1712700212471124,0.21332458100066812,CFLAR
TFPI,0.157493427543976,-1.4006581038396169,3.6214221365414745,-0.386770183378089,0.6989263528316352,0.7272026666522112,TFPI
NDUFAF7,872.4609671913774,-2.4206215584084982,0.3825870898592143,-6.326981810335645,2.5000281210920755e-10,1.819754166667226e-09,NDUFAF7
RBM5,3902.9134858482726,-1.7977125081078746,0.3629021354109543,-4.95371157315491,7.281110892432984e-07,1.8942438587757321e-06,RBM5
MTMR7,53.766595790808815,-1.9898363416579283,0.4309454270184299,-4.617374305199044,3.886259268315638e-06,8.874790874088409e-06,MTMR7
