,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.42155760240795637,-0.7039526062294158,3.5324897561353565,-0.19927944730958252,0.842044155410974,0.8939891987936007,TSPAN6
DPM1,1968.8487802676316,0.5889884373168446,0.5023012190288388,1.1725801471388202,0.24096421454987074,0.4979094823999123,DPM1
SCYL3,395.23535408311795,0.8457863097960938,0.48884260132419083,1.7301812638771736,0.08359789474929012,0.4979094823999123,SCYL3
C1orf112,718.4121585970083,0.36567379449475435,0.5334415750564968,0.6854992403920257,0.493028939806183,0.6245229741705928,C1orf112
FGR,580.5561397678846,1.6376144336378058,0.5236802438297206,3.1271266253272887,0.0017652388057675674,0.1565643664520081,FGR
CFH,56.974479522652636,0.2388593847289102,0.4667894376928462,0.5117069184544893,0.6088561433863651,0.71845778454422,CFH
FUCA2,2821.964290429179,0.8906803294658795,0.5092602955194723,1.748968724446383,0.08029642574946073,0.4979094823999123,FUCA2
GCLC,500.4990279370799,0.28918956356724784,0.37362624242591713,0.7740076331083423,0.43892627735093337,0.5854063224361593,GCLC
NFYA,2871.1118797577988,0.6107862445158307,0.43353903644567615,1.4088379434601714,0.15888309266945147,0.4979094823999123,NFYA
STPG1,99.79916130561055,0.39790352225932435,0.4758790245845029,0.8361442755472147,0.4030737428276642,0.5598931528249366,STPG1
NIPAL3,877.6934307760396,0.49641849839175256,0.4304466546484817,1.153263692564055,0.24880216776764777,0.4979094823999123,NIPAL3
LAS1L,3035.675691781443,0.4016115169175819,0.48045227756516923,0.8359030348505461,0.403209454970671,0.5599020113129841,LAS1L
ENPP4,0.007590655151668887,0.8182323594160426,4.541725084176569,0.18015893614229866,0.8570277951042024,,ENPP4
SEMA3F,57.166045015542124,1.0641411645877668,0.5143651419847978,2.068843857656314,0.038560741350257804,0.4979094823999123,SEMA3F
CFTR,0.04036028102924225,0.9158806622169093,4.5418844677951045,0.20165212671328278,0.8401886909964207,,CFTR
ANKIB1,880.2603592970473,0.491422222156964,0.41608767529038,1.1810545020686072,0.23758107267260845,0.4979094823999123,ANKIB1
CYP51A1,5324.746924047096,0.8648355590374197,0.603132623340449,1.4339061187695823,0.1515990555227356,0.4979094823999123,CYP51A1
KRIT1,961.7162230511708,0.6438885700904401,0.4963186899510154,1.2973288798654534,0.19451805161770827,0.4979094823999123,KRIT1
RAD52,206.24178945225864,0.5329768224506525,0.43781256814556374,1.2173630024103113,0.22346613316720737,0.4979094823999123,RAD52
MYH16,0.8521224110778595,-0.5037825590432065,1.6595596003268198,-0.30356400513967424,0.7614600779174067,0.8357959031719926,MYH16
BAD,401.8679846308276,0.8796198072371969,0.561569891389518,1.5663585614618931,0.11726469832942828,0.4979094823999123,BAD
LAP3,2935.5303738406283,0.30533730163144274,0.5160917718586,0.5916337331475607,0.5540958798734363,0.6731685992167786,LAP3
HS3ST1,0.0,0.0,,,0.0,,HS3ST1
AOC1,72.90096519603217,1.384662891592479,0.48605867516514023,2.8487566673345244,0.004389043491536586,0.26319078723305395,AOC1
WNT16,0.7505498610791684,1.6355551661335266,1.293836581386293,1.2641126318913445,0.20618960332761702,0.4979094823999123,WNT16
HECW1,6.566817961500773,-0.10028836347622827,0.9299676292338644,-0.10784070361551065,0.9141220543321222,0.9440759112239778,HECW1
MAD1L1,1446.039650077028,0.9039492529952723,0.5065046323671497,1.784681116874815,0.07431305554784269,0.4979094823999123,MAD1L1
LASP1,8121.9715349964345,1.0388672201621147,0.5378539566951188,1.9315042814698378,0.053420720360219394,0.4979094823999123,LASP1
SNX11,1243.1552333013071,0.789411494409927,0.492911979586275,1.6015262909059718,0.10926040170697107,0.4979094823999123,SNX11
TMEM176A,19.80718819324345,1.1990087069185251,0.5333545351671034,2.2480519576773976,0.024572877005754484,0.4979094823999123,TMEM176A
M6PR,11388.075986144491,0.6066990479963121,0.47206989255405346,1.2851890314670793,0.19872623560523017,0.4979094823999123,M6PR
KLHL13,98.77321888672306,0.05943441568387723,0.5364630655100041,0.1107893898107863,0.9117833592577341,0.9427826091359793,KLHL13
CYP26B1,0.624982427575697,-0.7826862595175638,1.908186763319848,-0.4101727747842944,0.681679210788975,0.7764733809530472,CYP26B1
ICA1,166.998428773867,0.7493437228461982,0.3861837364736784,1.940381357559505,0.05233336050908541,0.4979094823999123,ICA1
DBNDD1,184.48942511414597,1.0581786456351814,0.6190941489533923,1.7092370319184602,0.08740705184585561,0.4979094823999123,DBNDD1
ALS2,494.86937622550187,0.5477979222277964,0.48768064860261373,1.123271804607054,0.26132207476012265,0.498963732905132,ALS2
CASP10,450.5098717346471,0.9119253075403815,0.49331081008400146,1.8485816424438335,0.06451824548035473,0.4979094823999123,CASP10
CFLAR,4174.813303881135,0.7741517064482314,0.4939078897400757,1.5674009719821178,0.11702099692352023,0.4979094823999123,CFLAR
TFPI,0.8060013676035125,-0.2196279545498187,1.464792531623504,-0.1499379262306819,0.8808135891254577,0.9205985481650776,TFPI
NDUFAF7,425.42813231984513,0.43693511779318367,0.4645004566039305,0.9406559489472123,0.34688120025946617,0.5266401850873937,NDUFAF7
RBM5,2918.5409519009854,0.7402236624409798,0.4967905783100309,1.4900114751754214,0.13622121871265494,0.4979094823999123,RBM5
MTMR7,41.527195219037154,0.7442083735646666,0.537912736386851,1.3835113452852952,0.1665081310311922,0.4979094823999123,MTMR7
SLC7A2,0.05942257947778358,0.7677810085550654,4.541622525715786,0.16905434218887636,0.8657538975869914,,SLC7A2
ARF5,1806.323700611991,0.6581322398633096,0.5248771072148289,1.2538787285953017,0.20988608770661685,0.4979094823999123,ARF5
SARM1,23.731308215221315,0.10684046493686836,0.5513707532003196,0.1937724558597542,0.8463540552532403,0.8970666155090901,SARM1
POLDIP2,3511.2059672199352,0.42856338713789005,0.48262613413769195,0.8879821394330504,0.37455035877169385,0.5420689732405457,POLDIP2
PLXND1,5018.354215723056,1.0608481030494632,0.5075278957895741,2.0902261961366175,0.036597485409703354,0.4979094823999123,PLXND1
AK2,23320.980349521014,0.6624642025994184,0.4859461139082384,1.363246219362734,0.17280492521688293,0.4979094823999123,AK2
CD38,208.50085652840596,0.4547053386957034,0.37867278566019036,1.2007869482961535,0.22983385596773734,0.4979094823999123,CD38
FKBP4,7695.2996145108555,0.2732807998542626,0.5160925023186357,0.5295190273575007,0.5964454486645268,0.707622613114158,FKBP4
KDM1A,2999.037247893861,0.21876745211389756,0.45967376142395694,0.47591894615914004,0.6341321238736102,0.737828145106222,KDM1A
RBM6,2573.868543679491,0.5045730564354672,0.46158093916113035,1.0931410152084486,0.27433189017484355,0.4994561910287747,RBM6
CAMKK1,384.71316243969886,0.4227977411275588,0.5203996082557298,0.8124482309752077,0.4165344805329055,0.5685329521671291,CAMKK1
RECQL,2140.6150901033393,0.4932111446489224,0.4798219660408202,1.0279044719827668,0.3039947657607707,0.5074296383308943,RECQL
VPS50,454.3624069761649,0.535478410137391,0.44565962019113176,1.2015412343342622,0.22954132143285522,0.4979094823999123,VPS50
HSPB6,9.803065399304721,0.5737508160025545,0.7993003363428165,0.7178163074817915,0.4728705569860396,0.6094328636906454,HSPB6
ARHGAP33,326.66638082278456,0.7514043502605993,0.5580275136856039,1.3465363836592923,0.1781295948075659,0.4979094823999123,ARHGAP33
NDUFAB1,2220.7462687449492,0.5534714237182675,0.5038246713963339,1.0985397403909165,0.27196887440257606,0.4994561910287747,NDUFAB1
PDK4,0.19506400107096095,-0.07994650419172179,2.7214992198882997,-0.02937590560654399,0.9765647890505181,,PDK4
SLC22A16,237.1835380600066,0.7341397276953741,0.5516045617917156,1.3309167083585203,0.18321641884471335,0.4979094823999123,SLC22A16
ZMYND10,27.923867834358923,0.7366073689774305,0.6349409006737876,1.1601195767917238,0.24600012465216323,0.4979094823999123,ZMYND10
ABCB5,0.0,0.0,,,0.0,,ABCB5
ARX,3.80474316912192,2.5896195586468123,0.7393905817298706,3.5023702257447815,0.0004611383640551331,0.0661161463471228,ARX
SLC25A13,1007.2937593462435,0.4560070461967619,0.471001234037348,0.9681652896913703,0.33296182695509247,0.5200466113692078,SLC25A13
ST7,666.1316262442584,0.5161378090854715,0.5110757000341406,1.0099048126353742,0.31254089671007224,0.511211085502217,ST7
CDC27,3486.6960865601013,0.6134679049575991,0.503933048189789,1.2173599393039956,0.2234672980887146,0.4979094823999123,CDC27
SLC4A1,0.8108550618809764,1.364560698331929,1.5558278643314467,0.8770640567735898,0.3804518461303826,0.5457709568997574,SLC4A1
CALCR,0.028282468464168216,0.7677810098298125,4.541622525718823,0.16905434246944429,0.8657538973663067,,CALCR
HCCS,1079.5414775676663,0.6984955407940705,0.4939327228591842,1.4141511757932372,0.1573175198993264,0.4979094823999123,HCCS
DVL2,895.9113574193747,0.7133002388412809,0.540370270473683,1.3200212480527644,0.18682792391228736,0.4979094823999123,DVL2
PRSS22,0.04238554623948537,0.767781009144346,4.54162252571719,0.16905434231857522,0.8657538974849749,,PRSS22
UPF1,5997.889894373179,0.6605089403368519,0.5582319797272425,1.1832158749836994,0.23672360298357958,0.4979094823999123,UPF1
SKAP2,4037.269490985266,0.8224492898311158,0.4696259137597491,1.7512860038891802,0.07989665736677454,0.4979094823999123,SKAP2
SLC25A5,14398.394931621044,0.5977993531419095,0.5232536360111965,1.1424657412779409,0.25326047837408533,0.4980490456859521,SLC25A5
MCUB,111.9710259162108,0.7289838250384651,0.6123040220001403,1.1905586095240415,0.2338269085713567,0.4979094823999123,MCUB
HOXA11,40.284038892270345,0.8076770787358527,0.6195629937436355,1.3036238233913233,0.19236187382398273,0.4979094823999123,HOXA11
POLR2J,1419.5810981027519,0.7175279408771993,0.5320088228478718,1.3487143634878718,0.1774287301646903,0.4979094823999123,POLR2J
DHX33,1415.7210677785247,0.17436459309233845,0.47253299429406853,0.3689998268857967,0.71212785380775,0.7988433248468506,DHX33
MEOX1,0.01186764162365908,0.7691696933663561,4.541625836612833,0.16935998715825668,0.865513494436239,,MEOX1
THSD7A,840.8751841594315,0.6648629847944835,0.41909170069929136,1.5864379649730622,0.11263999399778751,0.4979094823999123,THSD7A
LIG3,1629.3810319412316,0.30308899969670927,0.5246966970953187,0.5776460979735285,0.5635030775228747,0.6805649620168279,LIG3
RPAP3,1235.2325366948587,0.5720423849674254,0.44133401522487875,1.296166543328742,0.19491811335800896,0.4979094823999123,RPAP3
ACSM3,1482.154406942211,0.1552049228026185,0.45559287984301483,0.34066582176634974,0.733355171439145,0.815828545273824,ACSM3
REXO5,958.1684040527819,0.9274721694035973,0.5062540589325757,1.8320291028562807,0.06694708480969384,0.4979094823999123,REXO5
CIAPIN1,1453.9554467180199,0.4447512912872693,0.4735046659975661,0.9392754142143035,0.34758935815671677,0.527270788487263,CIAPIN1
SPPL2B,1697.427912589336,0.6879321645221643,0.4946279774262275,1.3908072246575816,0.16428389171799634,0.4979094823999123,SPPL2B
FAM214B,398.3097432305874,0.8977227962150686,0.47261975933721123,1.8994609905307598,0.0575038909524743,0.4979094823999123,FAM214B
COPZ2,46.44830320339108,0.7483103194891312,0.5674474833605605,1.3187305282551567,0.18725921690474692,0.4979094823999123,COPZ2
PRKAR2B,322.89682441054293,0.46094469206337385,0.49311730556351585,0.9347566732354357,0.3499137127843716,0.5289034425993715,PRKAR2B
MSL3,1139.7871894863458,0.557218309092776,0.4895376145708609,1.1382543292025586,0.2550142985486934,0.4980490456859521,MSL3
CREBBP,1987.4565959950937,0.3763794586242139,0.48003156885516984,0.7840723049149528,0.43299768502692865,0.5813442833048301,CREBBP
TSPOAP1,1217.4273982150494,0.8604744659647209,0.535799406566642,1.6059638279156925,0.1082818578530435,0.4979094823999123,TSPOAP1
