,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.01014070891471848,0.6353786435574151,7.325865673317176,0.0867308618381633,0.930885444642508,,TSPAN6
DPM1,1923.1105388040376,-0.1486105757731831,0.07672414642812968,-1.9369466157879265,0.0527518693449286,0.17259240334336146,DPM1
SCYL3,545.6832555161268,0.061926918260986626,0.08927178841897307,0.6936896790993962,0.4878768398779759,0.6973778479338648,SCYL3
C1orf112,1107.937641511208,0.1200371355746837,0.10386314930257276,1.1557240116510723,0.2477940633474682,0.4717707346974858,C1orf112
FGR,2863.2822868769317,-0.5918152953950978,0.2695288782734405,-2.1957398375497768,0.028110570019703417,0.11009646571321936,FGR
CFH,10.051278876330828,-0.3914589173011788,0.6796000349485669,-0.5760136803565716,0.5646059347918087,0.7546320390691407,CFH
FUCA2,3254.039368827587,0.3316899979732588,0.115159874693515,2.880256676694154,0.003973515326820787,0.025071891246541862,FUCA2
GCLC,394.74106038828654,0.03326618200502768,0.11565717813287565,0.2876274740752277,0.7736319119200314,0.8852062916626002,GCLC
NFYA,3189.184805593015,-0.023479347363025854,0.0924023193946432,-0.254099112628844,0.7994189888979604,0.8979744208029727,NFYA
STPG1,118.65712219058192,-0.6435468866674575,0.18188183390600232,-3.538269176459077,0.00040275924749259286,0.004014299320839607,STPG1
NIPAL3,1452.094360911976,-0.6609191974461189,0.1828496332742827,-3.6145503034983415,0.0003008693970860018,0.0031696551563241927,NIPAL3
LAS1L,4020.153334036886,-0.0106964995450674,0.10667531041972501,-0.1002715577107854,0.9201287373256692,0.9620467688505584,LAS1L
ENPP4,0.011030100989968705,0.6353786435574151,7.325865673317176,0.0867308618381633,0.930885444642508,,ENPP4
SEMA3F,65.48084765749765,-0.18092356589328126,0.24507233924393165,-0.738245558235766,0.4603652427931989,0.6750951545577895,SEMA3F
ANKIB1,1784.8336513145139,-0.06413377845137942,0.05453309958985071,-1.1760523229696542,0.2395739681940665,0.4614801605331766,ANKIB1
CYP51A1,4998.790040484395,0.3476284218271817,0.24921034941542866,1.3949196838839633,0.16304006062201387,0.3647054663400552,CYP51A1
KRIT1,1826.7593929286397,-0.05313602786420722,0.07629789499044581,-0.6964284908628348,0.4861605256800017,0.695964831048725,KRIT1
RAD52,345.6942886677629,-0.16140628941159435,0.09273452551875244,-1.7405199251162973,0.08176776448063296,0.2311114170780189,RAD52
MYH16,0.6707926414535076,-0.2904220801684527,1.4423870488498585,-0.2013482306292418,0.8404262921153601,,MYH16
BAD,413.2517676313733,0.030658764184240506,0.13841232002094886,0.22150314494837076,0.8247006881010117,0.9121766598677644,BAD
LAP3,4500.48208782555,0.2174631211385384,0.16391443557165147,1.3266868191330186,0.18461230291881384,0.3935271294292932,LAP3
HS3ST1,0.025076171334878432,0.5916631624430752,7.325865673317176,0.0807635832851912,0.9356299697537952,,HS3ST1
AOC1,256.40054787795776,-1.4328822885152652,0.8315541566909591,-1.7231376657621411,0.08486363284249307,0.2364331484113756,AOC1
WNT16,0.6830272354807345,-1.3178907767301602,1.350221221483117,-0.9760554461457476,0.3290369885288945,,WNT16
HECW1,17.862865499198858,-1.8818667715870292,0.8803620689187092,-2.13760546714422,0.032548777650685534,0.12238141321565095,HECW1
MAD1L1,1402.4647105021875,0.2356124869065512,0.10000611062148074,2.3559809039903112,0.01847386735079121,0.08042252875800937,MAD1L1
LASP1,9265.189206609584,0.2951769792750181,0.15428912307198706,1.9131418560030096,0.05572989463875396,0.1791370077342431,LASP1
SNX11,1391.5776942060584,-0.209677977429732,0.09953435218899354,-2.1065890601427766,0.03515321584211732,0.1293485045511683,SNX11
TMEM176A,3.0219127351572417,-0.5346716993794811,1.0753107158023572,-0.4972253056927169,0.6190301781481823,0.791985019805609,TMEM176A
M6PR,13000.608286988874,-0.11857638193230273,0.07656228796023327,-1.548757032886631,0.12144013797964605,0.2999496477319052,M6PR
KLHL13,17.396989355536768,-1.963237039005459,0.6039067356780954,-3.2508944229625834,0.0011504257012822305,0.009411728895518551,KLHL13
CYP26B1,4.413409397206057,0.5014766365603833,0.8339967796279903,0.601293252935665,0.5476446826534538,0.7415651954586561,CYP26B1
ICA1,70.4565460771165,0.734935366505125,0.20879585682957116,3.5198752392151786,0.00043174983426252797,0.004229772280683491,ICA1
DBNDD1,118.79489034841959,-1.2053849576958724,0.6944703273867012,-1.735689647434971,0.08261872499124714,0.2326760656535237,DBNDD1
ALS2,714.8136886443574,0.032272147316938164,0.1288006368458008,0.2505589110989733,0.8021551526480495,0.8993939970382281,ALS2
CASP10,649.9458681426605,0.24883261056845066,0.17799547903562374,1.3979715210555972,0.16212161941269418,0.3636798074378543,CASP10
CFLAR,4709.1728700943795,0.18529491810565024,0.2803135517434477,0.6610273279803407,0.5085947881838504,0.713483462836888,CFLAR
TFPI,0.16028289281433422,0.1982347181111544,3.7864039404726673,0.052354350256250855,0.9582463474175444,,TFPI
NDUFAF7,769.209018630708,-0.08803086649948971,0.08457800568463515,-1.0408245711979685,0.29795697407998056,0.5275389215016155,NDUFAF7
RBM5,3528.069602482652,-0.045856372797308316,0.08775415703059852,-0.5225549916834015,0.6012839685376911,0.7799266024564374,RBM5
MTMR7,47.66818818726642,-0.31462395482595634,0.21965948899437052,-1.4323258069403026,0.15205060075153606,0.3491887697762672,MTMR7
ARF5,1831.8731316926126,-0.35073220121121484,0.1468610524388193,-2.388190710789888,0.01693155308084832,0.07540564635980393,ARF5
SARM1,44.960409578737924,-0.11664295943059674,0.35910176188400944,-0.3248186776323104,0.7453183076960972,0.8698328042832003,SARM1
POLDIP2,5226.088413351828,-0.06368818864111095,0.07284295050849339,-0.8743219240369045,0.3819429630599018,0.6086967276253166,POLDIP2
PLXND1,3914.640971299131,-0.7250776907837073,0.20742895884222065,-3.4955470770849915,0.0004730909895192287,0.004569761617617556,PLXND1
