,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.01004404056214996,-0.06923636047995177,7.372800216636657,-0.009390782124235586,0.9925073500548273,0.9992235354555874,TSPAN6
DPM1,1929.0773715866335,0.013679423369157333,0.07627002990731296,0.17935515936969254,0.8576588380422296,0.9992235354555874,DPM1
SCYL3,548.5188721292018,-0.0030970613491044744,0.08511016097639273,-0.0363888554970953,0.9709723003205483,0.9992235354555874,SCYL3
C1orf112,1107.9609071909044,0.0895671208359799,0.10713423724835282,0.8360270548092877,0.4031396829988474,0.9992235354555874,C1orf112
FGR,2859.768420437618,-0.35600354538479845,0.2760039933017718,-1.289849255896665,0.19710300221867488,0.9992235354555874,FGR
CFH,10.3996689837382,-0.5891269114565574,0.6541399544882235,-0.9006129459214427,0.36779414893208334,0.9992235354555874,CFH
FUCA2,3283.5097224021292,-0.09273129290014966,0.12480390290904818,-0.7430159693621786,0.4574720121530401,0.9992235354555874,FUCA2
GCLC,395.97966037065646,0.054243732187608786,0.10976821311080115,0.4941661219615064,0.6211888634045023,0.9992235354555874,GCLC
NFYA,3192.9287187185373,0.09130811791722954,0.09324855769858875,0.9791906724430915,0.32748577652738026,0.9992235354555874,NFYA
STPG1,119.50923336326713,-0.06587391405068296,0.1704038601915355,-0.38657524528282444,0.6990706872273598,0.9992235354555874,STPG1
NIPAL3,1464.3484040990356,-0.23285674108621923,0.19366098078357666,-1.202393688930272,0.22921103319563965,0.9992235354555874,NIPAL3
LAS1L,4028.9289533062674,0.14005977043071058,0.10500722564860913,1.333810788406119,0.1822658744138697,0.9992235354555874,LAS1L
ENPP4,0.010925000300689549,-0.06923636047995137,7.372800216636657,-0.00939078212423553,0.9925073500548273,0.9992235354555874,ENPP4
SEMA3F,65.71230867011674,-0.4013336521061583,0.228466040312891,-1.7566446705012262,0.07897839386687351,0.9992235354555874,SEMA3F
CFTR,0.0,0.0,,,0.0,,CFTR
ANKIB1,1791.8412587722873,-0.060643251431257615,0.05144874316938012,-1.178712009185671,0.23851287198777807,0.9992235354555874,ANKIB1
CYP51A1,4983.949508934557,0.1481438817681797,0.25873412103088705,0.5725718787221521,0.5669346047785784,0.9992235354555874,CYP51A1
KRIT1,1837.2651903472683,-0.02493076997803346,0.0747858608530618,-0.33336207798713563,0.7388609849670065,0.9992235354555874,KRIT1
RAD52,347.29285836520813,-0.015665539777063562,0.08502020328632806,-0.1842566727852403,0.8538121020226875,0.9992235354555874,RAD52
MYH16,0.6744541485348405,-0.07188037726421177,1.2981524264854931,-0.05537129215158081,0.9558426662829468,0.9992235354555874,MYH16
BAD,416.0141085754716,-0.19880768923910902,0.13349865584673348,-1.489211168293374,0.13643177078385146,0.9992235354555874,BAD
LAP3,4515.159429721982,-0.028196285058538245,0.1649780200999738,-0.170909343204942,0.8642950499439213,0.9992235354555874,LAP3
HS3ST1,0.024829470176391363,-0.1122993423383734,7.372800216636657,-0.015231572677769154,0.9878474332263596,0.9992235354555874,HS3ST1
AOC1,255.12361321363423,-1.1334119061205528,0.8300027165593278,-1.3655520439968796,0.17207960735187763,0.9992235354555874,AOC1
WNT16,0.6764920166108791,-1.9941497496129585,1.3483227582126882,-1.4789854561650853,0.13914420192228627,0.9992235354555874,WNT16
HECW1,17.691490657504833,1.3066714270120825,0.785925034180432,1.6625904128053235,0.09639445150763228,0.9992235354555874,HECW1
MAD1L1,1409.1318617738214,-0.23087091781600994,0.09883533756027268,-2.3359146992867617,0.019495687705412212,0.9992235354555874,MAD1L1
LASP1,9382.752189053857,-0.08765451645572396,0.16537673627570146,-0.5300293041797252,0.5960916133211118,0.9992235354555874,LASP1
SNX11,1396.7109368150802,-0.019062077962357295,0.09938487477109831,-0.19180059346314793,0.8478984060788781,0.9992235354555874,SNX11
TMEM176A,3.215432456056189,-0.38755220273369545,0.9857470286546236,-0.3931558416794196,0.6942043822124635,0.9992235354555874,TMEM176A
M6PR,13009.92540148689,0.03346527501375769,0.0818172813201966,0.4090245297052762,0.6825216597763099,0.9992235354555874,M6PR
KLHL13,17.512919903475556,0.09034517306788387,0.44480073049903823,0.20311381450862795,0.8390460743674452,0.9992235354555874,KLHL13
CYP26B1,4.643777990104778,-0.04326759318941933,0.8380379806365175,-0.051629632772199854,0.9588238072834302,0.9992235354555874,CYP26B1
ICA1,71.27720202596014,-0.23962742010723945,0.23047453709182444,-1.039713207067939,0.2984731628110411,0.9992235354555874,ICA1
DBNDD1,129.15133955720458,-0.8524473134478864,0.7300544926781862,-1.1676488837438768,0.24294842336667016,0.9992235354555874,DBNDD1
ALS2,721.585560037063,0.061309246615283114,0.1298706541103342,0.47207929331900206,0.6368701918254737,0.9992235354555874,ALS2
CASP10,660.3866336622951,-0.2372195896427802,0.18929059670913925,-1.2532032428810387,0.21013175008939075,0.9992235354555874,CASP10
CFLAR,4768.45291940748,-0.49562079004549736,0.27889313270745447,-1.7770992969030177,0.07555190384667779,0.9992235354555874,CFLAR
TFPI,0.15872895594483408,0.5049644432308432,3.8212615273382515,0.13214600456372916,0.8948688085693266,0.9992235354555874,TFPI
NDUFAF7,771.3247303569647,-0.0009198676092667507,0.08114741624605967,-0.01133575968059756,0.9909555660670883,0.9992235354555874,NDUFAF7
RBM5,3550.478219601062,-0.047133926169104265,0.0876246519253396,-0.537907142949505,0.5906411568280648,0.9992235354555874,RBM5
MTMR7,47.72624953275219,-0.14332437315452237,0.19203709667419377,-0.7463369090487948,0.45546392074219993,0.9992235354555874,MTMR7
SLC7A2,0.0,0.0,,,0.0,,SLC7A2
ARF5,1838.9421240470856,-0.0908897612732801,0.14951829486661333,-0.6078838803931232,0.543264491397657,0.9992235354555874,ARF5
SARM1,44.9851762738481,0.08511801898201699,0.339930176673403,0.2503985371789937,0.8022791607546522,0.9992235354555874,SARM1
POLDIP2,5244.643723261029,0.11048360986395761,0.07082045862718592,1.5600521657952968,0.1187475541526434,0.9992235354555874,POLDIP2
PLXND1,3980.789480123381,0.030712345697583805,0.2311174542536329,0.13288631010914245,0.8942832938285397,0.9992235354555874,PLXND1
AK2,23366.883620447617,-0.1316158160747506,0.15022766567142565,-0.8761090408115476,0.380970758333985,0.9992235354555874,AK2
CD38,2384.9212794608206,-0.5313066698272951,0.4826463926530987,-1.1008197262321007,0.2709751246204917,0.9992235354555874,CD38
FKBP4,10503.542108252743,0.2893345021158394,0.17620620693411027,1.6420221917836968,0.10058540512157456,0.9992235354555874,FKBP4
KDM1A,5407.416660727126,0.1560082129810655,0.11792446897464204,1.3229503116491697,0.18585190238752083,0.9992235354555874,KDM1A
RBM6,3806.7515696541286,0.02870077604931168,0.053779012070995495,0.5336798677413935,0.5935630402124179,0.9992235354555874,RBM6
CAMKK1,496.9335797275966,0.03436334429938256,0.11971610201677427,0.287040287150075,0.7740814728814948,0.9992235354555874,CAMKK1
RECQL,3312.1102090824133,-0.048304184715639,0.1274383839591193,-0.3790395265145107,0.7046585120874841,0.9992235354555874,RECQL
