,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.38424235507251153,-0.5297726063114232,2.5280339799279794,-0.20955913192532158,0.8340117793232443,,TSPAN6
DPM1,1589.7594798651573,-0.18143033687308596,0.07342198663893004,-2.4710627589704495,0.013471217502538805,0.03770804457962435,DPM1
SCYL3,319.88674373091663,0.06699123889161315,0.07893501952880005,0.8486884438809935,0.3960546782003382,0.5492547553026985,SCYL3
C1orf112,571.2029706791096,-0.6400020827952161,0.08525115209179311,-7.507254354827977,6.038033995276113e-14,2.63747439378466e-12,C1orf112
FGR,441.3833700625277,-0.5636331527893451,0.2110138706132956,-2.6710715800396847,0.00756095214399672,0.023196420393406723,FGR
CFH,50.359808240912955,0.46982735180624047,0.17826084741175086,2.635617179138742,0.008398442238905887,0.025377709700539784,CFH
FUCA2,2231.924464759438,-0.24787772491328114,0.08692993361843486,-2.8514657103190837,0.004351817968079041,0.01458622779802337,FUCA2
GCLC,475.51421069929506,0.9914668879407702,0.1400950754603196,7.077100209861355,1.4720209237011814e-12,5.069510781944149e-11,GCLC
NFYA,2486.381654552533,0.3170153315812264,0.08795823881844292,3.604157334659539,0.00031316731612797313,0.0015263810374214826,NFYA
STPG1,84.96698100421054,0.4183613839223265,0.12637513864266284,3.310472205338435,0.0009313870165326445,0.003916683300817511,STPG1
NIPAL3,766.7075051268641,0.40153264905436054,0.0961708488745245,4.1752012564456615,2.977227268033815e-05,0.00019895073308542002,NIPAL3
LAS1L,2519.2831256990603,0.013618111134725134,0.07511089639030001,0.18130673163532912,0.8561268225148408,0.9149920693199648,LAS1L
ENPP4,0.033885849622572496,0.7726505562826836,4.543055756641161,0.17007287554267903,0.8649528249068219,,ENPP4
SEMA3F,45.971691118997285,0.01222074633349183,0.1917474291205433,0.06373356028575057,0.9491823818151341,0.9717095535681929,SEMA3F
CFTR,0.04883917623256202,0.05131579743043353,4.543055756641161,0.011295436415328762,0.9909877373181715,,CFTR
ANKIB1,782.7802060940377,0.5023651154734289,0.10926019109331007,4.597878792326113,4.268141656638361e-06,3.6170194569566934e-05,ANKIB1
CYP51A1,3940.7068547194604,-1.053869552336392,0.15573707601684636,-6.766979188837428,1.314989827284019e-11,3.756429549661998e-10,CYP51A1
KRIT1,779.7840044789592,-0.07572977397146607,0.07578319056347574,-0.9992951393097533,0.3176517393846867,0.4698065413460813,KRIT1
RAD52,180.46816976928918,0.4932800831832372,0.11531122174609311,4.277815079172467,1.8873670510295084e-05,0.0001347873803744335,RAD52
MYH16,0.6181715031867103,-1.1816637143254232,1.3973843751695365,-0.8456253950757527,0.3977617540467499,,MYH16
BAD,304.83629831540986,-0.4341244679546798,0.1610365773353826,-2.6958128093504565,0.0070217114002556315,0.021821435248561,BAD
LAP3,2366.4521295189634,0.02065436131359241,0.1183185089464898,0.17456576741457633,0.8614208491428977,0.9180897727538179,LAP3
HS3ST1,0.0,0.0,,,0.0,,HS3ST1
AOC1,63.585326387828346,0.45981047487533605,0.33304375283574955,1.3806308359193433,0.16739249714512733,0.2902995422396248,AOC1
WNT16,0.7844332347059373,1.5036125679510453,1.0090951637761847,1.4900602261577616,0.1362084009671658,0.2463717109012977,WNT16
HECW1,5.064181831335301,-0.5696621898102362,0.7219831318596893,-0.7890242370938726,0.4300978408425954,0.581143930611185,HECW1
MAD1L1,1147.9957763235254,-0.09444992381309245,0.10456035523804658,-0.9033053072367984,0.3663638805892661,0.5193433960943811,MAD1L1
LASP1,6210.955576061588,-0.46406271583271497,0.1089541952364107,-4.259245959513387,2.0511766995338665e-05,0.00014474847760227947,LASP1
SNX11,1003.281170446037,0.007571046015370484,0.06534777915499602,0.11585774012936224,0.9077652885689089,0.948588794563762,SNX11
TMEM176A,16.348933462922954,-0.05755882474980708,0.2873736888569438,-0.20029260500066232,0.8412517457255035,0.9050353922401695,TMEM176A
M6PR,9444.827168135456,0.08270329813702888,0.040403039956123224,2.0469573137774475,0.040662275897650736,0.09351998244975551,M6PR
KLHL13,80.64451186,-0.5674115818113593,0.17869875039039734,-3.175240904436957,0.001497121532463242,0.005889497246037569,KLHL13
CYP26B1,0.44930005881995194,-1.4195074036175148,1.6427595413760314,-0.8640993206032376,0.3875333322030127,,CYP26B1
ICA1,153.41138332738458,0.7031283260807892,0.14996944292426675,4.6884772815743725,2.7524546510844427e-06,2.446720893859401e-05,ICA1
DBNDD1,133.45895487522594,-0.43105930765681577,0.28029639666705425,-1.5378696008313046,0.1240805014256914,0.22958551974250718,DBNDD1
ALS2,408.1620268057138,0.21417364521237814,0.08201813683689303,2.61129615317035,0.009019974428521921,0.026916402419529094,ALS2
CASP10,362.8500878686799,-0.052081350876660236,0.08803223017764276,-0.5916168518230628,0.5541071866965133,0.6901440409486495,CASP10
CFLAR,3375.730995630287,0.15475100664685687,0.09207159780207771,1.6807681232981135,0.09280796257389873,0.18277691887342182,CFLAR
TFPI,0.7988589070163605,1.4096633917714259,0.988369642420204,1.4262512032640005,0.15379584442003227,0.2706367669172093,TFPI
NDUFAF7,359.9124454471192,0.10516844077192106,0.0943497944625217,1.1146652875189549,0.26499388149426717,0.4122817341120005,NDUFAF7
RBM5,2354.2647897024654,0.20847559011535,0.09589813383426198,2.1739274976471643,0.029710580585875238,0.07262025179610304,RBM5
MTMR7,33.9802868206229,-0.1545741869636216,0.24618033762643277,-0.6278900600021955,0.5300759630162636,0.6698352618926771,MTMR7
SLC7A2,0.026948240602220324,-0.06890347205860793,4.543055756641161,-0.015166767864973478,0.9878991340137782,,SLC7A2
ARF5,1417.1684313809199,-0.1361699000481298,0.0910223965740242,-1.4960043371016853,0.13465252496573019,0.24431164399729743,ARF5
SARM1,20.65279691114391,0.8916326645206789,0.2564672758835203,3.4765942806895627,0.0005078256461513214,0.0023222962360707395,SARM1
POLDIP2,2904.1662257606,0.08658302582234449,0.07139839700464892,1.2126746461367595,0.22525423701983233,0.3633975320748188,POLDIP2
PLXND1,3953.3997103606334,-0.22239241265440188,0.12030117039896882,-1.8486304989124873,0.06451118563438642,0.13622273857981926,PLXND1
AK2,19040.095232442036,-0.14091347246977443,0.035928176500000304,-3.9220880711764825,8.778489098187394e-05,0.0005075873019441197,AK2
CD38,197.3478188937609,0.7400508996934839,0.19536441390868675,3.7880537447284715,0.00015183200997920333,0.0008140468494060285,CD38
FKBP4,6214.735567283855,-0.30687558898153683,0.11272530727304389,-2.722330915791793,0.006482319586986986,0.020380091500341375,FKBP4
KDM1A,2576.8745721024698,0.30793576667477013,0.12100491574685368,2.544820305639335,0.010933398606809776,0.03161998986957691,KDM1A
RBM6,2169.9165696123637,0.15267228951680564,0.06758607118282255,2.2589312686015153,0.023887660593639032,0.06062034062106896,RBM6
CAMKK1,306.426275693026,-0.0768263813292564,0.09907798129951897,-0.7754132686353935,0.43809549712954554,0.5887910661686538,CAMKK1
RECQL,1787.9406963008746,0.16844450488437726,0.11216297595216555,1.5017834847411167,0.1331530348781118,0.24224192996488203,RECQL
VPS50,391.2418906399309,0.3141690511404692,0.09386840903165106,3.3469092997467977,0.0008171794304304507,0.003498663496934739,VPS50
HSPB6,6.731702301007685,-1.9143238130847045,0.5930448254056063,-3.2279580414101483,0.0012467726016644977,0.005034358640093434,HSPB6
ARHGAP33,250.45551678177523,-0.42248560911201577,0.16502746551159672,-2.560092696099287,0.010464424722974701,0.030452552567078007,ARHGAP33
NDUFAB1,1790.326273916978,-0.17544081038917084,0.07740753647944622,-2.2664564507327407,0.023423450652374476,0.05964406988725932,NDUFAB1
PDK4,0.37365808887626106,3.4162544148172334,1.8131398785317578,1.8841648431358995,0.059542681422135924,,PDK4
SLC22A16,184.40395091583017,-0.7374314757510844,0.15174426650443384,-4.859699102565679,1.1756429684950846e-06,1.157793594658344e-05,SLC22A16
ZMYND10,20.446993584944963,-0.32843343634141636,0.28990101907188764,-1.1329157703304717,0.25724962667729845,0.4028850920114466,ZMYND10
ABCB5,0.0,0.0,,,0.0,,ABCB5
ARX,2.7904593440428607,-0.5260290453013267,0.7116158078357234,-0.7392037100766043,0.45978330832105296,0.6085403673094799,ARX
SLC25A13,845.1854443399258,-0.013795121709292382,0.08665645777503386,-0.15919323341262653,0.873516634835109,0.9261727126556062,SLC25A13
ST7,534.2655205634985,-0.14802607244324484,0.07023983576104309,-2.1074376219618682,0.035079663368387,0.08308366667922433,ST7
CDC27,2812.641033454753,-0.17477296250559163,0.07342092571249653,-2.380424392767423,0.017292709309314914,0.0464314357956613,CDC27
SLC4A1,0.6077077751687612,-1.24677212126125,1.4753253154710009,-0.8450828493126041,0.39806458334837563,,SLC4A1
CALCR,0.028688135020955807,-0.06890347205860832,4.543055756641161,-0.015166767864973563,0.987899134013778,,CALCR
HCCS,872.8798732988269,-0.042308817273100124,0.05638926263732825,-0.7502991756642118,0.45307453898756705,0.6029578168678351,HCCS
DVL2,696.6386228804868,-0.4281588370393218,0.10539188911944926,-4.062540681418608,4.854148474815783e-05,0.00030455810103444185,DVL2
PRSS22,0.04405519464331914,-0.06890347205860832,4.543055756641161,-0.015166767864973563,0.987899134013778,,PRSS22
UPF1,4531.537491335843,-0.28762689390538726,0.12221336105439977,-2.3534815786414582,0.018598529383193375,0.049361486844734424,UPF1
SKAP2,3346.809440230398,0.045107508224915945,0.0880811481026633,0.512113082044988,0.6085718693388829,0.734571640163183,SKAP2
SLC25A5,11342.654543961879,-0.367130534858207,0.04991556344922935,-7.3550313667525105,1.9088228858989255e-13,7.749371781952955e-12,SLC25A5
MCUB,83.82019673857822,-1.5125914406165348,0.17588419551947976,-8.599928129693781,7.9766035266916e-18,5.782702405442726e-16,MCUB
HOXA11,29.539144737468167,-0.7569444780936734,0.2379094571018237,-3.1816493859246044,0.0014643897980904609,0.005772579752399545,HOXA11
POLR2J,1106.9603456581071,-0.3454472692274085,0.09536732871151997,-3.622281067265334,0.0002920165804972076,0.0014362753933577024,POLR2J
DHX33,1193.270639570785,0.1382747447177842,0.09791914623300424,1.4121318458879482,0.15791114344515475,0.2766932943031075,DHX33
MEOX1,0.021597220334277595,-0.06890347205860832,4.543055756641161,-0.015166767864973563,0.987899134013778,,MEOX1
THSD7A,743.2535358510145,0.45517266470222095,0.12828100746062904,3.5482467257822154,0.00038780476777731005,0.0018382404087177668,THSD7A
LIG3,1298.4164555212,-0.04646527820797127,0.11748696770153857,-0.39549304162833354,0.6924790559291579,0.7996024902162938,LIG3
RPAP3,1065.5377331633317,0.2868378225668613,0.1005684246578807,2.852165811910073,0.004342244383688056,0.014567584016362769,RPAP3
ACSM3,1326.771667385469,0.7132855219375582,0.20699251884945846,3.44594831688732,0.0005690591826623273,0.002558245736752422,ACSM3
REXO5,758.8560334399035,-0.39237946167894155,0.07635874984942265,-5.138631295728428,2.767467977093296e-07,3.1706435907548293e-06,REXO5
CIAPIN1,1212.9226763804713,0.056652659781274144,0.07463131301359588,0.7591004029495435,0.44779249813507155,0.5981892043064823,CIAPIN1
SPPL2B,1379.551464836449,0.01564292413538984,0.10785882752116807,0.14503146840085762,0.8846860262625478,0.9330762300329704,SPPL2B
FAM214B,328.3968131040807,0.22718977807797724,0.09244927493852269,2.4574533248536006,0.013992599232861313,0.038946331208870644,FAM214B
COPZ2,36.209166058019186,-0.635118712190716,0.20489788363302705,-3.099684100828568,0.0019372714082088415,0.007304563128766466,COPZ2
PRKAR2B,268.9279990043892,0.05952253159395846,0.14160493471951152,0.4203422127333317,0.6742354765911678,0.7850483592580821,PRKAR2B
MSL3,931.6950922437534,0.10037659188096115,0.06209886999186183,1.616399652588134,0.10600793343812087,0.20295837589229224,MSL3
CREBBP,1703.2724481680398,0.5890246724515802,0.17316412633858533,3.401539827596096,0.0006700736390751835,0.0029508551732014337,CREBBP
TSPOAP1,955.3012861354324,0.002072549611451569,0.18374729323387246,0.011279347711607594,0.991000573428754,0.9945165994264946,TSPOAP1
MPO,346.13104073595974,-1.2129256419397103,0.3512042299226786,-3.453619115597637,0.0005531179731087881,0.0024969904521242882,MPO
GCFC2,423.89699037196755,0.05774619624780583,0.11573601844516383,0.49894749295498014,0.6178163748266496,0.7419855682039689,GCFC2
WDR54,370.5340607857279,-0.47729804760691635,0.11324022677907024,-4.214916034547659,2.4987113521823553e-05,0.00017196954794796313,WDR54
CROT,100.11356613160186,0.620117196629303,0.12355934021564156,5.0187804139051355,5.200054719374393e-07,5.583182584199488e-06,CROT
ABCB4,2.6980263350585663,0.43794987863797746,0.5848350888971192,0.7488433696135819,0.45395161623959185,0.6037990430618191,ABCB4
KMT2E,3488.265976378867,0.014770302582969208,0.06786513574236341,0.21764198098773052,0.8277080723574093,0.8960073681696913,KMT2E
RHBDD2,478.3606835634657,-0.35893686648198864,0.08477441869870495,-4.234023329109208,2.295471160790053e-05,0.0001598307482173994,RHBDD2
SOX8,0.08774554629976385,-0.30934626478788524,4.543055756641161,-0.06809211274496786,0.9457123089035799,,SOX8
IBTK,1979.7813983833048,0.42650891823257564,0.13324730956925784,3.200882026146197,0.0013700761497367788,0.0054493531322172386,IBTK
ZNF195,1681.5975933062534,0.21915331509917574,0.08049244949570873,2.722656801627827,0.006475929362529167,0.020367423481786048,ZNF195
MYCBP2,4204.511891390044,0.5370094340163978,0.19221559012618178,2.7937870890902907,0.005209476501086334,0.01691144074313144,MYCBP2
FBXL3,1251.428655382619,-0.2534405143395608,0.09380899331104764,-2.701665430938099,0.00689931485189904,0.021514689762274723,FBXL3
ITGAL,29347.47871625016,0.13719234849824194,0.1408359624227967,0.9741286681194649,0.3299926567944169,0.4825981776852746,ITGAL
PDK2,514.901781637931,0.5089456974013447,0.07628941732639682,6.671248978398539,2.5363549483371612e-11,6.763874540743335e-10,PDK2
ITGA3,77.11165838094996,1.0784378531907366,0.19621676311848815,5.496155558021856,3.881601382295879e-08,5.388024959785446e-07,ITGA3
ZFX,1273.6838693279358,0.1641432839588777,0.06879574492831803,2.3859511097656894,0.01703501554468317,0.04595405850656088,ZFX
LAMP2,10218.663844106737,0.2269331625954587,0.08961900915643059,2.5321989690752473,0.011334965139724712,0.03259014972851361,LAMP2
ITGA2B,227.82289796219146,-0.6471609079028101,0.23420346817597693,-2.763242205348314,0.005723028105580421,0.018320060655600108,ITGA2B
GDE1,2353.498268119594,0.014587821109965687,0.08826952321747801,0.16526452821121834,0.8687357772549208,0.92297826975101,GDE1
REX1BD,684.8787137468207,-0.4004943660958519,0.13446011789528073,-2.978536478807508,0.0028962855145686717,0.010352705669850396,REX1BD
CRLF1,70.64836636600637,-0.2995445781065411,0.15522072125901312,-1.9297976177207565,0.05363191879772185,0.11738743206087691,CRLF1
OSBPL7,261.0825465143803,0.5943874652440395,0.1397252464069625,4.25397328348831,2.1001036914242863e-05,0.00014765765726093983,OSBPL7
YBX2,17.83829918455182,-1.3959688412689637,0.3546225818417452,-3.9364916752310273,8.268148710950662e-05,0.00048237231595150466,YBX2
KRT33A,0.18396139860345445,0.9665987626415554,2.418048677413589,0.39974330197333163,0.6893455949208998,,KRT33A
MAP3K14,98.44668051952706,0.37417692251589124,0.14750888419013683,2.536639908641588,0.011192201070101328,0.0322441538259356,MAP3K14
ABCC8,0.031281983365309476,0.05131579743043404,4.543055756641161,0.011295436415328873,0.9909877373181714,,ABCC8
TMEM132A,8.247477290985566,1.2232890576571553,0.3672217424739551,3.331199970393681,0.0008647245962354753,0.003673961630989138,TMEM132A
AP2B1,5928.179703819888,0.3098823304510737,0.0807271272440884,3.8386393896330087,0.00012371797384361547,0.0006791695579693736,AP2B1
ZNF263,1435.9294642617053,0.11210071083081598,0.05414969865403559,2.0702000863759467,0.038433611192077596,0.08941250364828977,ZNF263
CX3CL1,0.0,0.0,,,0.0,,CX3CL1
SPATA20,667.2750929582365,0.36421635938702346,0.08177977095544643,4.453624106937745,8.443286638919159e-06,6.639948389603973e-05,SPATA20
CACNA1G,0.6244868092913994,-1.1302769549351275,1.510779817600707,-0.7481414179401323,0.4543748618995912,,CACNA1G
TNFRSF12A,50.27889250471346,-0.5663479911052804,0.19329520218390986,-2.9299640379404304,0.0033900123402177454,0.011773605659846413,TNFRSF12A
DLX6,0.05321073539460541,0.6524291599180452,4.543055756641161,0.14361020310268185,0.8858082832703011,,DLX6
MAP3K9,8.592882208872066,0.24087234584816905,0.3679530037285341,0.654628018815898,0.512707279880243,0.6556664250706873,MAP3K9
RALA,1174.355695203439,-0.004276161148381886,0.05365450224676994,-0.07969808626151809,0.9364773815555432,0.965171810228629,RALA
BAIAP2L1,6.935740124132038,0.48058552446147623,0.37696600098682637,1.2748776367189438,0.202352555669687,0.3349056110815136,BAIAP2L1
KDM7A,13.51921109687344,-0.023218921066986954,0.32509820039479304,-0.07142125375898833,0.9430624947485988,0.9681249858905652,KDM7A
ETV1,16.224899357697634,-0.5406374888224005,0.3060287713011824,-1.7666230744374185,0.0772913740093,0.15795934965817335,ETV1
AGK,526.3294749308182,0.06654631782246527,0.06436935374990573,1.0338198839313768,0.30122037420630243,0.45285061466482024,AGK
ALDH3B1,1214.5591902605356,-0.21041672242838128,0.16561043304516682,-1.2705523351357608,0.2038879531325205,0.33692967563916376,ALDH3B1
TTC22,0.0,0.0,,,0.0,,TTC22
PHTF2,799.7194639314744,0.09450396823136757,0.11470544222098335,0.8238839099656924,0.4100055236356343,0.5617885789576259,PHTF2
CCL26,0.05124174908688148,-0.18912486842324688,4.543055756641161,-0.04162944030497074,0.966794103609441,,CCL26
FARP2,1398.7647309886959,0.26390885803253233,0.1645327757805998,1.6039895806805566,0.10871634929601148,0.20701819785381106,FARP2
USH1C,0.0,0.0,,,0.0,,USH1C
GGCT,2932.3504322656863,-0.2688152290377609,0.08920072812638741,-3.0135990443584713,0.0025816875597099013,0.009377776243207292,GGCT
DBF4,1815.8780550370743,-0.5892621845566475,0.08145442928229517,-7.234255886987459,4.680884743200232e-13,1.782869433977413e-11,DBF4
TBXA2R,18.945037269533266,-2.834018030780867,0.6286909635366695,-4.507807802482543,6.550086814969754e-06,5.313202294253536e-05,TBXA2R
IFRD1,559.2987386659646,0.11796975180858735,0.08906110325717692,1.3245934251222162,0.18530603780237911,0.31346142119577275,IFRD1
LGALS14,0.05976292679897725,-0.1891248684232465,4.543055756641161,-0.04162944030497065,0.966794103609441,,LGALS14
COX10,789.0111305056502,0.10973073218784934,0.06784419775214574,1.617393024363367,0.10579347052611329,0.20266021321833672,COX10
GTF2IRD1,609.5426563042865,0.1288541431786957,0.07769558702849907,1.658448672656678,0.09722693936147864,0.18936150939642762,GTF2IRD1
PAF1,2089.5903713820294,-0.4180129219130045,0.06832617632935846,-6.117903040527563,9.481472432780605e-10,1.8590150608545062e-08,PAF1
VPS41,1601.5762123744892,0.44826011660850185,0.09193027130123563,4.876088259759947,1.0821020728252071e-06,1.074875599569725e-05,VPS41
ARHGAP44,1196.297242801259,0.45918235794327134,0.202997250139122,2.262012700312815,0.023696618634296656,0.06022832539431451,ARHGAP44
ELAC2,3124.6108204384254,0.1361717834076937,0.06828801714446404,1.9940802076537207,0.04614328984115837,0.1040007505733272,ELAC2
SCIN,0.1920964481313304,1.1953993890158996,2.6708034787166337,0.4475804373260399,0.6544560241618221,,SCIN
ARSD,1616.1327985899898,0.23662767316554265,0.09032865506989363,2.6196302046393494,0.008802516213372904,0.026344946183093857,ARSD
PNPLA4,107.3857596880896,0.3952261453160571,0.10522025600463868,3.756179278813325,0.00017252712337101624,0.0009075557886108276,PNPLA4
