,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.38424235507251153,-1.3354216747697234,2.6484830569352886,-0.5042213395599427,0.6141058463275024,,TSPAN6
DPM1,1589.7594798651573,-0.03322642478317237,0.08061677938426973,-0.4121527185400766,0.6802274900815553,0.9977121899345579,DPM1
SCYL3,319.88674373091663,-0.14734870695898103,0.07728591509528265,-1.9065402379893002,0.05658015031008715,0.61169429168572,SCYL3
C1orf112,571.2029706791096,0.16432725276280769,0.13259992519125857,1.2392710819842958,0.2152451242375643,0.8846651750084337,C1orf112
FGR,441.3833700625277,-0.09604869268265179,0.2323124441764135,-0.4134461803075616,0.6792797461602332,0.9977121899345579,FGR
CFH,50.359808240912955,0.03154167548945181,0.2055274227136212,0.15346699273994938,0.8780300179097384,0.9977121899345579,CFH
FUCA2,2231.924464759438,-0.12378855245441484,0.09572519096097905,-1.2931658972075115,0.19595368773799565,0.8618480718946905,FUCA2
GCLC,475.51421069929506,-0.07243641158114884,0.2335672875185329,-0.3101308079171884,0.7564614851380099,0.9977121899345579,GCLC
NFYA,2486.381654552533,0.08773643426963168,0.10567442946586182,0.8302522636090974,0.4063961715275183,0.9676394335833337,NFYA
STPG1,84.96698100421054,-0.1779664926705215,0.15234228650152526,-1.1682015332541282,0.24272548217788906,0.9012620004605021,STPG1
NIPAL3,766.7075051268641,-0.0046101635807332345,0.12295521200363423,-0.03749465765304012,0.9700905997286944,0.9979894175680825,NIPAL3
LAS1L,2519.2831256990603,0.1320596376021862,0.07167358999871123,1.8425146222557118,0.06539990966330425,0.6473713173117648,LAS1L
ENPP4,0.033885849622572496,-0.04921839484800438,4.543055756641161,-0.010833764207286165,0.9913560758941643,,ENPP4
SEMA3F,45.971691118997285,0.12483007574788878,0.19064924695010463,0.6547630150385982,0.5126203464779155,0.9823717566248016,SEMA3F
CFTR,0.04883917623256202,0.07100087464103697,4.543055756641161,0.01562844007301605,0.9875308165541827,,CFTR
ANKIB1,782.7802060940377,0.09324687305388062,0.14401258362520644,0.6474911476941219,0.5173141219102975,0.9823717566248016,ANKIB1
CYP51A1,3940.7068547194604,-0.10294563577990253,0.22711748223155498,-0.4532704165632899,0.6503540324522746,0.9977121899345579,CYP51A1
KRIT1,779.7840044789592,-0.09468975828453965,0.07585882230941456,-1.248236597957151,0.21194442501580812,0.8839765875245014,KRIT1
RAD52,180.46816976928918,0.05890227087802036,0.15026442822476627,0.39199078300763274,0.6950650240413152,0.9977121899345579,RAD52
MYH16,0.6181715031867103,0.8808116332076146,1.2081890653708143,0.7290346010020197,0.4659804972853358,,MYH16
BAD,304.83629831540986,-0.04041567460866446,0.17825420943442383,-0.22673054811383053,0.820633271673054,0.9977121899345579,BAD
LAP3,2366.4521295189634,-0.0892707428641024,0.11941403776382771,-0.7475732714160331,0.45471759180454496,0.9731153130209949,LAP3
HS3ST1,0.0,0.0,,,0.0,,HS3ST1
AOC1,63.585326387828346,0.003879123426355215,0.35256413661341973,0.011002603564890108,0.9912213696068242,0.9994333584423178,AOC1
WNT16,0.7844332347059373,-0.8600911648888722,1.316770061112339,-0.6531825033767185,0.5136386286211079,,WNT16
HECW1,5.064181831335301,-0.34439208939777854,0.7256793780448914,-0.4745788564718923,0.6350871795625583,,HECW1
MAD1L1,1147.9957763235254,-0.04168131677519067,0.10715612028619868,-0.3889774719714173,0.6972928114199525,0.9977121899345579,MAD1L1
LASP1,6210.955576061588,-0.134128733336659,0.13383059728948443,-1.0022277121466452,0.31623362644608904,0.9338774396483537,LASP1
SNX11,1003.281170446037,-0.026814339199413954,0.06571182656842253,-0.40805956248215813,0.6832299468256169,0.9977121899345579,SNX11
TMEM176A,16.348933462922954,-0.41771227504851954,0.2963005721749402,-1.4097585839351539,0.15861097965333182,0.8152721168546754,TMEM176A
M6PR,9444.827168135456,0.00456772098378672,0.04348547787759621,0.10504014688867011,0.9163439522989166,0.9977121899345579,M6PR
KLHL13,80.64451186,0.3608331820016256,0.18217807516524748,1.98066195218237,0.04762919630473215,0.5741636389938596,KLHL13
CYP26B1,0.44930005881995194,1.1962167744561263,1.5256100326564968,0.7840907891600527,0.43298683968725915,,CYP26B1
ICA1,153.41138332738458,0.09078731064150068,0.20188244355844912,0.4497038426980199,0.6529240001880183,0.9977121899345579,ICA1
DBNDD1,133.45895487522594,-0.8680707682432531,0.2658618691693858,-3.265119480861651,0.0010941791128512776,0.08131037875594269,DBNDD1
ALS2,408.1620268057138,-0.07961838858550342,0.09158225928371244,-0.8693647569760626,0.3846476533678942,0.9598477242803184,ALS2
CASP10,362.8500878686799,-0.1829798040838192,0.08429772863891384,-2.1706374185668316,0.029958591230168117,0.48221845893886617,CASP10
CFLAR,3375.730995630287,-0.2395853466670539,0.08800736077889508,-2.7223330474478735,0.006482277769383055,0.22995205149618747,CFLAR
TFPI,0.7988589070163605,1.0827311744082777,1.0253664452750735,1.055945588426014,0.29099307451897644,,TFPI
NDUFAF7,359.9124454471192,0.17279358118997354,0.09166859666281096,1.8849811983657667,0.05943237627678195,0.6270500622574943,NDUFAF7
RBM5,2354.2647897024654,-0.24578412430003946,0.09545478936060285,-2.574874722854736,0.010027639946011318,0.28517016982164123,RBM5
MTMR7,33.9802868206229,0.026154161956584064,0.24764753689089253,0.10561042635407657,0.915891451985028,0.9977121899345579,MTMR7
SLC7A2,0.026948240602220324,-0.049218394848004506,4.543055756641161,-0.010833764207286193,0.9913560758941643,,SLC7A2
ARF5,1417.1684313809199,-0.11385581626027874,0.09314726111423834,-1.2223206017903507,0.22158641141140767,0.8879882297943478,ARF5
SARM1,20.65279691114391,-0.4898625537502368,0.3284919982434611,-1.491246533765417,0.13589678053582,0.7840685914692672,SARM1
POLDIP2,2904.1662257606,-0.015961074217665152,0.0738415458803968,-0.21615303454667303,0.8288684611073159,0.9977121899345579,POLDIP2
