,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.38424235507251153,1.0644778985698193,2.529246968511006,0.4208675197885039,0.673851824024109,,TSPAN6
DPM1,1589.7594798651573,-0.002728794706311981,0.07997309610103251,-0.0341214088155923,0.9727803366576775,0.9879450023369012,DPM1
SCYL3,319.88674373091663,0.02888309540083852,0.07758347705675893,0.37228410605660367,0.7096813310757057,0.8580076886281293,SCYL3
C1orf112,571.2029706791096,0.21807772057721764,0.12837736154752877,1.698724120424296,0.08937117650325468,0.26403745426986547,C1orf112
FGR,441.3833700625277,-0.3545943069663026,0.22463604449663524,-1.578528093124494,0.11444433942289566,0.3072628528780987,FGR
CFH,50.359808240912955,0.11246781357418992,0.19686615782974753,0.5712907429800788,0.5678025756459518,0.768976300929044,CFH
FUCA2,2231.924464759438,-0.12234181742591418,0.09507489991069508,-1.2867940701576466,0.19816607433507127,0.42847337053920753,FUCA2
GCLC,475.51421069929506,-0.4762686599241537,0.2202073410661339,-2.1628191758653403,0.030555090125780032,0.13175179005602533,GCLC
NFYA,2486.381654552533,-0.20012493857941954,0.10029770150089956,-1.9953093200009637,0.0460091540366299,0.1726524327785781,NFYA
STPG1,84.96698100421054,-0.25954675359114626,0.14293245429113383,-1.8158699847305853,0.06939031856903936,0.22476103187170035,STPG1
NIPAL3,766.7075051268641,-0.39038880252838265,0.10214943845594551,-3.8217420323533893,0.0001325122699814826,0.002529380704971383,NIPAL3
LAS1L,2519.2831256990603,-0.00989663791179402,0.07522005026334527,-0.13156914781558782,0.8953250898163129,0.9542322459497568,LAS1L
ENPP4,0.033885849622572496,-0.4766785530834841,4.543055756641161,-0.10492465393731137,0.916435595931408,,ENPP4
SEMA3F,45.971691118997285,-0.5788955891049118,0.17097967320879598,-3.38575678758012,0.0007098226361342947,0.009122412323221274,SEMA3F
CFTR,0.04883917623256202,-0.3564592835944423,4.543055756641161,-0.07846244965700906,0.9374601989361127,,CFTR
