,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.00647431709424389,0.7559218735669407,7.325773513004284,0.1031866289921566,0.9178148517807605,0.9820914390050403,TSPAN6
DPM1,2160.7413717002205,0.7467321559108118,0.416177808368888,1.7942623102309432,0.07277131081961066,0.31219800396787634,DPM1
SCYL3,598.848073409075,0.7748255705746292,0.37934987402220305,2.0425091021099937,0.04110105747612267,0.31219800396787634,SCYL3
C1orf112,1269.1684831056439,0.7739080668191334,0.4486947959847755,1.724798401373464,0.08456380996074124,0.31219800396787634,C1orf112
FGR,3052.797654021943,0.43527404434134215,0.4174175143579961,1.0427785834784868,0.29705085247845653,0.5725838105272683,FGR
CFH,11.042966896193425,0.2871275621030989,0.7386284549312899,0.388730707822255,0.697475363939936,0.9820914390050403,CFH
FUCA2,3604.5547260485455,0.6561233374413471,0.4056661144870805,1.617397445855052,0.10579251672289744,0.3124867960544414,FUCA2
GCLC,438.1300149761516,0.7959754123450815,0.40337899095158275,1.9732693823923562,0.04846487929047049,0.31219800396787634,GCLC
NFYA,3627.757396086648,0.7851876150438114,0.4358292959095198,1.8015943912288541,0.07160924436331531,0.31219800396787634,NFYA
STPG1,134.42700605084121,0.6731581793892896,0.4580893046175591,1.4694911507512343,0.1416996202913749,0.3462107599500609,STPG1
NIPAL3,1588.4692443894078,0.5306101515976754,0.4139234261379452,1.281904135140307,0.1998762772040091,0.4304451662633155,NIPAL3
LAS1L,4636.481129446883,0.814651622036527,0.4568605968387132,1.7831514200908987,0.07456165800125741,0.31219800396787634,LAS1L
ENPP4,0.016996484463534,0.7559218735669407,7.325773513004284,0.1031866289921566,0.9178148517807605,0.9820914390050403,ENPP4
SEMA3F,69.94819832145221,0.3420174013144507,0.4067141582000821,0.8409281910127063,0.400388164214169,0.713659969944442,SEMA3F
ANKIB1,2004.6663410445196,0.6605427023901501,0.41483589208073485,1.5922988222571544,0.11131757745999753,0.3146593176372407,ANKIB1
CYP51A1,5999.0127904659175,0.7601097974078599,0.5484762021954244,1.3858573888261967,0.16579045443229026,0.37994856758715795,CYP51A1
KRIT1,2045.7169017024964,0.7049957864566854,0.412075254880944,1.7108423233527368,0.08711022421510171,0.31219800396787634,KRIT1
RAD52,392.34807795675925,0.7228101740389431,0.43458442741050524,1.6632215248619158,0.09626810047854206,0.31219800396787634,RAD52
MYH16,0.7280146796850208,0.7289599862599623,1.547747610389411,0.47098117378230486,0.6376541790394517,0.9820914390050403,MYH16
BAD,449.95430012192236,0.5779598647152664,0.38483571224725927,1.501835319129436,0.1331396443619965,0.3350485491102326,BAD
LAP3,4982.02646367202,0.7186958062172552,0.41626303524868347,1.7265424631997233,0.08424986686922241,0.31219800396787634,LAP3
HS3ST1,0.0355084983799388,0.7079338268847677,7.325763596139869,0.09663618237118599,0.9230153215752105,0.9820914390050403,HS3ST1
AOC1,216.85234616865006,-0.04370842050173532,0.7125950971908045,-0.06133696495252752,0.951090852434477,0.9822701574762933,AOC1
WNT16,0.6809102228659917,-1.1235096842418038,1.5320321182598373,-0.7333460381483028,0.46334740234333655,0.7923668967467027,WNT16
HECW1,22.237288125094747,1.8466957258642462,0.9458022954877359,1.9525177034085472,0.05087677119935078,0.31219800396787634,HECW1
MAD1L1,1538.0428034666509,0.516465035062864,0.38812293730165587,1.3306738288993687,0.18329635800853383,0.4055025651828137,MAD1L1
LASP1,10002.131615136717,0.68803479910941,0.3733259640952315,1.8429867335289318,0.06533094747592998,0.31219800396787634,LASP1
SNX11,1528.9766357081232,0.7462202463155913,0.38460608514282724,1.9402195522685894,0.052353013301329104,0.31219800396787634,SNX11
TMEM176A,2.843677858633659,0.8482811586873186,0.9085464544988753,0.9336684486377781,0.350474945097023,0.6471699453934835,TMEM176A
M6PR,14600.453143695413,0.7518765368691283,0.4152402204054678,1.8107025762941427,0.07018690385353747,0.31219800396787634,M6PR
KLHL13,20.504168686853177,0.7571213273396206,0.6641720066679684,1.139947663765539,0.2543081058667315,0.5108552812365809,KLHL13
CYP26B1,5.004853170248717,0.8599148920629922,0.9153028934351788,0.9394866969508722,0.3474809191913434,0.643212982896706,CYP26B1
ICA1,77.7145077636387,0.5008235706675581,0.44858712692063624,1.116446595571084,0.2642310177896096,0.5254819865064041,ICA1
DBNDD1,103.94677081079563,0.35242872671361086,0.5539781645200222,0.6361780107686413,0.5246604037135163,0.8674918846172724,DBNDD1
ALS2,793.97918675737,0.8225081026663118,0.40691365225131215,2.0213332684112704,0.043245277501867393,0.31219800396787634,ALS2
CASP10,691.937872493518,0.5952011027811507,0.36032927439791534,1.651825552546874,0.09857011806348459,0.31219800396787634,CASP10
CFLAR,4780.226776053738,0.3749021773225282,0.336888897011386,1.1128362515012105,0.2657787629019574,0.5273045265319478,CFLAR
TFPI,0.157493427543976,1.3017257340118344,3.6612040318439356,0.3555458047925919,0.722180736217066,0.9820914390050403,TFPI
NDUFAF7,872.4609671913774,0.7218215636427835,0.4323745470898891,1.6694358363623087,0.09503103650506728,0.31219800396787634,NDUFAF7
RBM5,3902.913485848273,0.7127532023025857,0.39426324133830093,1.8078104362029574,0.0706360089418372,0.31219800396787634,RBM5
MTMR7,53.76659579080881,0.6160597175275645,0.46792838466238623,1.3165683846515448,0.1879833420017359,0.4124219804201986,MTMR7
ARF5,1971.1637232033581,0.703266053998182,0.3645104128765257,1.9293442084366639,0.053688144946579336,0.31219800396787634,ARF5
SARM1,50.70003634348111,0.7971718831112065,0.5289609805705309,1.507052339194068,0.13179724197813222,0.33327191692542313,SARM1
POLDIP2,5921.9724718801635,0.8189182116821109,0.42619547153019416,1.9214615508276087,0.05467354521036995,0.31219800396787634,POLDIP2
PLXND1,4204.927480260646,0.8220612835834998,0.3891873493736205,2.112250783347841,0.034664944817635324,0.31219800396787634,PLXND1
AK2,26211.255415298576,0.5791769695159037,0.43609824384459367,1.3280882867354473,0.1841489425406676,0.4066744201553526,AK2
CD38,2718.6533005761344,0.1342052715519384,0.6577829392580344,0.2040266834882023,0.8383326470558938,0.9820914390050403,CD38
FKBP4,12264.319706845372,0.9443675725940979,0.4904226737489828,1.9256197218105409,0.05415187432995278,0.31219800396787634,FKBP4
KDM1A,6182.331061324764,0.841197852514279,0.45656288029455455,1.8424578274334844,0.0654082098338885,0.31219800396787634,KDM1A
RBM6,4277.879054484575,0.74059097068559,0.41820462032196326,1.7708818475401613,0.07658035155152591,0.31219800396787634,RBM6
CAMKK1,567.4051427920284,0.7308593153174295,0.45081988524105615,1.6211780785282677,0.10497945271782658,0.3124867960544414,CAMKK1
RECQL,3734.1171344671957,0.6648623782561499,0.43587340336580244,1.5253566130029979,0.12717017425231442,0.32809706486282836,RECQL
VPS50,836.3819253354575,0.6120769758940102,0.4167275371443572,1.4687701707650356,0.1418951373440851,0.3464070655908145,VPS50
HSPB6,5.311640565271308,0.613877445491876,0.7088291368841919,0.8660443166745428,0.3864658594526942,0.6949029219934576,HSPB6
ARHGAP33,396.8473894888915,0.7787483399824927,0.45378417409244654,1.7161205358030915,0.08613998334703851,0.31219800396787634,ARHGAP33
NDUFAB1,3082.075770942123,0.8026483375913993,0.44041601061809976,1.8224776534915847,0.06838254141833068,0.31219800396787634,NDUFAB1
PDK4,2.893832350114293,-0.0438821544176193,0.9408251400159707,-0.04664220007649284,0.962798397814742,0.9852137791872966,PDK4
SLC22A16,337.34808475217017,1.028201663107348,0.5621117558624599,1.8291765870111658,0.06737315866182779,0.31219800396787634,SLC22A16
ZMYND10,45.350474586307094,0.678465932547971,0.44336579140434457,1.5302622477908265,0.12595182891350679,0.3265463511823421,ZMYND10
ABCB5,0.02956964744633131,0.7079338268847677,7.325763596139869,0.09663618237118599,0.9230153215752105,0.9820914390050403,ABCB5
ARX,1.527708824562868,-1.415295765443499,1.6590444716391994,-0.8530788593298724,0.3936155741258481,0.7046960977952007,ARX
SLC25A13,1558.1492113148329,0.8531748771695901,0.45428850013036604,1.878046388858086,0.06037481935549648,0.31219800396787634,SLC25A13
ST7,534.2694700144663,0.7599765497745696,0.3977268991832161,1.910799976906969,0.05603029069159177,0.31219800396787634,ST7
CDC27,5537.40511542838,0.7325229821385103,0.43680765871143534,1.6769920754123748,0.09354403148429477,0.31219800396787634,CDC27
SLC4A1,2.081424323570912,0.3652242142655286,1.0624811573982722,0.34374653303016073,0.7310369129225134,0.9820914390050403,SLC4A1
HCCS,1688.073197104692,0.7534935294566661,0.392592067795479,1.9192785368480723,0.05494909280991152,0.31219800396787634,HCCS
DVL2,1778.9674933823126,0.7683006505707637,0.44011317393283544,1.7456888275014737,0.08086503753348712,0.31219800396787634,DVL2
PRSS22,0.9200731422566857,-1.690702506377094,7.323833958876229,-0.23084937696164207,0.8174318198016494,0.9820914390050403,PRSS22
UPF1,10844.157542889265,0.7480605623160322,0.41831374248015346,1.7882763255178578,0.07373143746199101,0.31219800396787634,UPF1
SKAP2,5269.603848036593,0.4186687764831287,0.39150724624332717,1.0693768263561596,0.2848999050734695,0.5547818956926502,SKAP2
SLC25A5,17077.805933782616,0.8074756815900491,0.443022562882252,1.822651370929527,0.06835620986387912,0.31219800396787634,SLC25A5
MCUB,62.921970847337874,0.34862702721174543,0.7871948276206765,0.44287260914236776,0.6578578805278057,0.9820914390050403,MCUB
HOXA11,536.2239196251438,0.11825876135197674,0.39754897354033714,0.29746966845074163,0.766107961550212,0.9820914390050403,HOXA11
POLR2J,1783.7163201597473,0.7547960389229619,0.41057531908919814,1.8383862931589934,0.06600550344011773,0.31219800396787634,POLR2J
DHX33,3145.2837148654517,0.8179237483789876,0.47281124830417803,1.7299160104854046,0.08364528232479398,0.31219800396787634,DHX33
MEOX1,0.2597647568062267,0.0032127287906716932,2.625677614660267,0.0012235808283292935,0.999023723991787,0.9995865606928571,MEOX1
THSD7A,474.98701742736495,0.8699940378047468,0.6802569933274113,1.2789196529230153,0.20092535117824503,0.43186716495447064,THSD7A
LIG3,3456.8541059115087,0.8494749550483061,0.425611724929803,1.9958918076996393,0.045945700625643786,0.31219800396787634,LIG3
RPAP3,2175.4450856823382,0.6883340066897476,0.42229367603286444,1.6299889052474916,0.10310384187357091,0.31219800396787634,RPAP3
ACSM3,2262.0880444176237,0.8184238371027241,0.5384291896980161,1.5200213004085943,0.12850562230831497,0.3294102244699292,ACSM3
REXO5,1226.2541074039827,0.7111211745352127,0.4432206964277793,1.6044403618031104,0.10861702028043387,0.31313473420304255,REXO5
CIAPIN1,2361.2260827975947,0.8528335704409146,0.43885314078772886,1.9433233835585697,0.051977097919395955,0.31219800396787634,CIAPIN1
SPPL2B,2230.8357505855406,0.7966261242883966,0.41762178864986355,1.90753008089885,0.05645197954735844,0.31219800396787634,SPPL2B
FAM214B,731.9460573607037,0.5373704344499656,0.3772855079449827,1.4243071179090374,0.15435758793008503,0.3630086423713656,FAM214B
COPZ2,266.30886605374127,0.6818218143640071,0.3991437515669434,1.7082111687514507,0.0875971668848541,0.31219800396787634,COPZ2
