,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.00647431709424389,-1.3975762995102499,7.325782504999591,-0.1907750193998324,0.848701860846379,,TSPAN6
DPM1,2160.7413717002205,-1.4615328300842647,0.3998959811468377,-3.6547824909188193,0.0002574001075692353,0.0005380904393488237,DPM1
SCYL3,598.848073409075,-1.4405527685975037,0.3628824685870498,-3.9697502450492115,7.194800788401059e-05,0.00018943516401159552,SCYL3
C1orf112,1269.1684831056439,-1.8372274973393414,0.4239956485836302,-4.3331281900572645,1.4700545377180911e-05,6.518217043460415e-05,C1orf112
FGR,3052.797654021943,-2.1778510971610534,0.3695703106402439,-5.892927636389791,3.794125890470102e-09,4.3144349253455076e-07,FGR
CFH,11.042966896193425,-1.907228751606626,0.7217619109534219,-2.642462455641701,0.008230558980837506,0.01295212586338657,CFH
FUCA2,3604.5547260485455,-1.48405491947225,0.38560180822468787,-3.848672095976013,0.00011875985031868838,0.00028104095079210095,FUCA2
GCLC,438.1300149761516,-1.2535209101480584,0.39378447204157835,-3.1832664798821817,0.0014562352456041728,0.0025767067118304485,GCLC
NFYA,3627.757396086648,-1.6179249054737246,0.41704283402907044,-3.879517338405928,0.00010466394090768668,0.0002543269695979436,NFYA
STPG1,134.42700605084121,-2.221408312293773,0.4239076913200524,-5.240311411610125,1.6030584098685051e-07,5.131902384554116e-06,STPG1
NIPAL3,1588.4692443894078,-1.7864809610202388,0.38183319267373533,-4.678694768547091,2.8870684679603794e-06,2.665258598772895e-05,NIPAL3
LAS1L,4636.481129446883,-1.8496311697705305,0.4333210544910658,-4.268500573882607,1.967913215697728e-05,7.797722184814608e-05,LAS1L
ENPP4,0.016996484463534,-1.397576299510249,7.325782504999591,-0.1907750193998323,0.848701860846379,,ENPP4
SEMA3F,69.94819832145221,-1.4545585889975767,0.37816840344614255,-3.8463250121971915,0.00011990269232168077,0.0002831929339527538,SEMA3F
ANKIB1,2004.6663410445196,-1.6371951237210625,0.3907491287878746,-4.189888097254963,2.7909205628286296e-05,9.726124285432956e-05,ANKIB1
CYP51A1,5999.0127904659175,-2.512278279143745,0.5118247862869499,-4.908473263612636,9.178813950348488e-07,1.4368384576506864e-05,CYP51A1
KRIT1,2045.7169017024964,-1.7762175427761577,0.38446717522007845,-4.619945881620212,3.838401503314145e-06,3.1256858524012177e-05,KRIT1
RAD52,392.34807795675925,-1.7749599908198843,0.4098244019877435,-4.331025634908308,1.4841639983587315e-05,6.559464084244166e-05,RAD52
MYH16,0.7280146796850208,-3.3071247148718226,1.61859092776278,-2.043212190397569,0.04103143751155023,0.05854011469579012,MYH16
BAD,449.95430012192236,-1.4535229507570369,0.3622704640353609,-4.0122590579594135,6.0140449302545835e-05,0.0001659982844023367,BAD
LAP3,4982.02646367202,-1.1534454085378236,0.4072600748264934,-2.8322084089122423,0.0046227707597997466,0.007553431671808701,LAP3
HS3ST1,0.0355084983799388,-1.4440566268994464,7.325776757897322,-0.19711993343814727,0.8437336848283266,,HS3ST1
