,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.00647431709424389,-1.1406599229353875,7.325755144569806,-0.15570543929261657,0.8762652095322693,,TSPAN6
DPM1,2160.7413717002205,-1.1747893603061053,0.4092872864322703,-2.8703294708874663,0.00410044303361347,0.03230508905403227,DPM1
SCYL3,598.848073409075,-0.933401953803686,0.37847122237931985,-2.4662428702919743,0.013653871991514226,0.0344288858679499,SCYL3
C1orf112,1269.1684831056439,-0.9904431357434108,0.44680849373571613,-2.2167061495685227,0.02664317828889714,0.0473398384329382,C1orf112
FGR,3052.797654021943,-0.6840757825979709,0.4139141204679214,-1.6526997963361028,0.09839197588240119,0.1279247074321161,FGR
CFH,11.042966896193425,-2.0062081307188335,0.7370291696885913,-2.7220199867618455,0.006488421813861898,0.03230508905403227,CFH
FUCA2,3604.5547260485455,-1.187596143265035,0.39573396765670726,-3.000996225563471,0.002690979005587256,0.03230508905403227,FUCA2
GCLC,438.1300149761516,-0.73457821627956,0.40680483412411356,-1.8057263696513617,0.07096109156110447,0.09742656178167901,GCLC
NFYA,3627.757396086648,-0.9129770868702848,0.4358881368809104,-2.0945215288566583,0.03621354730565797,0.05816542672422632,NFYA
STPG1,134.42700605084121,-0.8333656874435033,0.4551834072318537,-1.8308349430211488,0.06712518305005263,0.09314827569617902,STPG1
NIPAL3,1588.4692443894078,-0.9530272893842379,0.4068451730623769,-2.342481495382326,0.01915598387572782,0.039348920439092126,NIPAL3
LAS1L,4636.481129446883,-1.1352927622782372,0.45335329334612073,-2.504212010679004,0.012272447010827353,0.03372307111830527,LAS1L
ENPP4,0.016996484463534,-1.1406599229353875,7.325755144569806,-0.15570543929261657,0.8762652095322693,,ENPP4
SEMA3F,69.94819832145221,-1.0891571835788632,0.3886201666670168,-2.8026265155510846,0.005068833116065914,0.03230508905403227,SEMA3F
ANKIB1,2004.6663410445196,-1.0944629462098756,0.40752674688294527,-2.6856223660927965,0.007239486026343438,0.03230508905403227,ANKIB1
CYP51A1,5999.0127904659175,-1.4737041300081921,0.5383763591420966,-2.7373121144408,0.006194349243894594,0.03230508905403227,CYP51A1
KRIT1,2045.7169017024964,-1.0193185663166964,0.40758636247926566,-2.5008652402312657,0.012389031056139907,0.03381706925527298,KRIT1
RAD52,392.34807795675925,-1.1490419053242606,0.4278906052716111,-2.6853637148562446,0.007245091551837707,0.03230508905403227,RAD52
MYH16,0.7280146796850208,-0.5811399055957758,1.4349635937090213,-0.40498581855562954,0.685487935180462,,MYH16
BAD,449.95430012192236,-1.0195128859566136,0.37618360927885275,-2.710147015472122,0.006725339102393998,0.03230508905403227,BAD
LAP3,4982.02646367202,-0.9537879573782724,0.4136439111357914,-2.305818922269019,0.021120752458697368,0.04133456455902921,LAP3
HS3ST1,0.0355084983799388,-1.1886537152231944,7.3257458055108104,-0.16225702430584293,0.8711034557853492,,HS3ST1
AOC1,216.85234616865006,-1.9973351816603078,0.6896498330325583,-2.8961584357637533,0.003777616258356663,0.03230508905403227,AOC1
WNT16,0.6809102228659917,-0.4973436677914997,1.2884611514995146,-0.3859981864510931,0.6994980119269494,,WNT16
HECW1,22.237288125094747,-1.1145884067065066,0.9826656771275402,-1.13424985999775,0.25668975471986777,0.2939297846984947,HECW1
MAD1L1,1538.0428034666509,-0.9203318540760158,0.38091451543074584,-2.416111271147769,0.01568726662251185,0.03612880617699566,MAD1L1
