,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.00647431709424389,0.32317585825910766,7.325769224313411,0.04411493842674201,0.9648127852346339,0.9999769473134581,TSPAN6
DPM1,2160.7413717002205,0.4665009200538797,0.42276078457719,1.1034630861526926,0.2698261135020952,0.9911301636570343,DPM1
SCYL3,598.848073409075,0.33982244225628216,0.3893797189395397,0.8727276376432115,0.38281154972162634,0.9911301636570343,SCYL3
C1orf112,1269.1684831056439,0.3530274208518472,0.45684719945741953,0.7727472583199038,0.43967197236690964,0.9911301636570343,C1orf112
FGR,3052.797654021943,-0.07162327910372356,0.4209897249063018,-0.1701307059683333,0.8649073456480801,0.9999769473134581,FGR
CFH,11.042966896193425,-0.15119929334187596,0.7394969473424811,-0.20446236307700602,0.8379922006168722,0.9999769473134581,CFH
FUCA2,3604.5547260485455,0.35682701283137974,0.4116309624732873,0.8668614496037478,0.38601792803878565,0.9911301636570343,FUCA2
GCLC,438.1300149761516,0.3629669728598957,0.41305216039831993,0.8787436737042474,0.3795402727909535,0.9911301636570343,GCLC
NFYA,3627.757396086648,0.4860839591802048,0.4428895036474559,1.097528740638505,0.2724103240804155,0.9911301636570343,NFYA
STPG1,134.42700605084121,0.29083978838534963,0.46385994737534686,0.6269991406479583,0.5306597984642166,0.9999769473134581,STPG1
NIPAL3,1588.4692443894078,0.20469658270760685,0.4184597103694624,0.48916676476900994,0.6247236370135767,0.9999769473134581,NIPAL3
LAS1L,4636.481129446883,0.4600878893895875,0.4646389583196279,0.9902051499372773,0.3220738558740346,0.9911301636570343,LAS1L
ENPP4,0.016996484463534,0.323175858259108,7.325769224313411,0.04411493842674205,0.9648127852346338,0.9999769473134581,ENPP4
SEMA3F,69.94819832145221,0.2407008918735971,0.4047458271168635,0.5946964137670993,0.5520464194635992,0.9999769473134581,SEMA3F
ANKIB1,2004.6663410445196,0.36388658564770826,0.420649202965316,0.8650594915728677,0.38700613682035684,0.9911301636570343,ANKIB1
CYP51A1,5999.0127904659175,0.3226709725314912,0.5549129345446904,0.5814803592499511,0.5609167517135867,0.9999769473134581,CYP51A1
KRIT1,2045.7169017024964,0.3309653582191844,0.4194331934325683,0.7890776490783227,0.43006662445811406,0.9911301636570343,KRIT1
RAD52,392.34807795675925,0.4130074530701665,0.4407621296520964,0.937030260281578,0.34874299258915853,0.9911301636570343,RAD52
MYH16,0.7280146796850208,-0.6349949732025779,1.6568271040234344,-0.38325964831246295,0.7015272551581446,0.9999769473134581,MYH16
BAD,449.95430012192236,0.35783829424406854,0.3888937257010211,0.9201441694617933,0.3574974252142622,0.9911301636570343,BAD
LAP3,4982.02646367202,0.5278080994215791,0.42108436946129546,1.2534497542542797,0.2100420740939296,0.9911301636570343,LAP3
HS3ST1,0.0355084983799388,1.2849207120701382,7.325769223803159,0.17539737777913159,0.860767400878262,0.9999769473134581,HS3ST1
AOC1,216.85234616865006,-0.1341145331134227,0.7116258829761949,-0.18846213484046231,0.8505143956373925,0.9999769473134581,AOC1
WNT16,0.6809102228659917,-0.553736139247709,1.5312764344171035,-0.36161735843501996,0.7176379911933124,0.9999769473134581,WNT16
HECW1,22.237288125094747,2.14416580143438,0.9245099940712801,2.3192456708792095,0.02038171939913806,0.9911301636570343,HECW1
MAD1L1,1538.0428034666509,0.500147562996717,0.3888184959517584,1.2863265719200032,0.1983291126937537,0.9911301636570343,MAD1L1
LASP1,10002.131615136717,0.3412601045483648,0.38098572599139724,0.8957293705960799,0.37039731999320485,0.9911301636570343,LASP1
SNX11,1528.9766357081232,0.3953423179398184,0.3929069426216612,1.0061983514516368,0.3143201650292498,0.9911301636570343,SNX11
TMEM176A,2.843677858633659,-1.2273239914884444,1.1382778892995709,-1.0782287901978551,0.28093166675017417,0.9911301636570343,TMEM176A
M6PR,14600.453143695413,0.427829606384205,0.42261306394316334,1.0123435427962615,0.3113738223392449,0.9911301636570343,M6PR
KLHL13,20.504168686853177,0.49349663773118474,0.6647724419293619,0.7423542352311037,0.4578727397628315,0.9911301636570343,KLHL13
CYP26B1,5.004853170248717,-0.03589926366202216,0.9469923210393604,-0.0379087167492777,0.9697604630852547,0.9999769473134581,CYP26B1
ICA1,77.7145077636387,0.3569520893008875,0.4487015432973414,0.7955223123989698,0.42630973715521875,0.9911301636570343,ICA1
DBNDD1,103.94677081079563,0.3533564414406094,0.5525279531224413,0.6395268138810434,0.5224802758624494,0.9999769473134581,DBNDD1
ALS2,793.97918675737,0.4059698639166973,0.41680313845306066,0.974008654117696,0.330052242290278,0.9911301636570343,ALS2
CASP10,691.937872493518,0.2562592822761648,0.3665644878894837,0.699083764910214,0.48449968391975823,0.998669625129999,CASP10
CFLAR,4780.226776053738,0.2254810538195824,0.33927040707038225,0.664605721927306,0.5063027085169618,0.9999769473134581,CFLAR
TFPI,0.157493427543976,-0.143241769324124,3.6646869288949624,-0.039087041295316496,0.9688209926230152,0.9999769473134581,TFPI
NDUFAF7,872.4609671913774,0.3484124943239124,0.4395199768059263,0.7927113958639401,0.4279459892786028,0.9911301636570343,NDUFAF7
RBM5,3902.913485848273,0.4864410907086267,0.3999688407442001,1.2161974662914552,0.223909708680157,0.9911301636570343,RBM5
MTMR7,53.76659579080881,0.23376448025039107,0.4722576839771592,0.4949934922852353,0.6206047142104385,0.9999769473134581,MTMR7
ARF5,1971.1637232033581,0.5034952523617144,0.37004657266596586,1.360626714454697,0.17363168487541386,0.9911301636570343,ARF5
SARM1,50.70003634348111,0.7392930624432495,0.5274543059221787,1.401624850044026,0.16102730232518792,0.9911301636570343,SARM1
POLDIP2,5921.9724718801635,0.5126423096269238,0.43393499361562293,1.181380430638925,0.23745162851851595,0.9911301636570343,POLDIP2
PLXND1,4204.927480260646,0.6026290200257671,0.3959901158220638,1.5218284395173023,0.12805207351030407,0.9911301636570343,PLXND1
AK2,26211.255415298576,0.18265120616189848,0.44140018393603986,0.41379956966299125,0.6790208991635718,0.9999769473134581,AK2
CD38,2718.6533005761344,-0.6437320716949967,0.654660734681901,-0.9833063716701834,0.32545667513471455,0.9911301636570343,CD38
FKBP4,12264.319706845372,0.5588408812751483,0.4997455043404543,1.118250942572632,0.2634598325693561,0.9911301636570343,FKBP4
KDM1A,6182.331061324764,0.47546375921513634,0.46486512758994136,1.0227993690990391,0.3064027163975725,0.9911301636570343,KDM1A
RBM6,4277.879054484575,0.44079907047502753,0.4250047316236185,1.0371627364972407,0.2996600212365205,0.9911301636570343,RBM6
CAMKK1,567.4051427920284,0.3909859824131468,0.4573158890358661,0.8549582286271334,0.3925742730026844,0.9911301636570343,CAMKK1
RECQL,3734.1171344671957,0.2886483538982749,0.4422528066775209,0.6526772686119993,0.5139643600242847,0.9999769473134581,RECQL
VPS50,836.3819253354575,0.3165846500645314,0.42185401949108736,0.7504601957958112,0.4529775882287389,0.9911301636570343,VPS50
HSPB6,5.311640565271308,-0.4177190839263167,0.763033134978469,-0.5474455364747741,0.5840726781768304,0.9999769473134581,HSPB6
ARHGAP33,396.8473894888915,0.5535343204325374,0.45890908682431036,1.2061960338659703,0.22774191283612372,0.9911301636570343,ARHGAP33
NDUFAB1,3082.075770942123,0.4455057028418233,0.44842964111273675,0.9934796052650355,0.3204762845840949,0.9911301636570343,NDUFAB1
PDK4,2.893832350114293,0.3629495380469661,0.8394353002541022,0.43237345145849726,0.66547001038641,0.9999769473134581,PDK4
SLC22A16,337.34808475217017,0.7276343744844779,0.5694521070157019,1.2777797562252489,0.20132709419378886,0.9911301636570343,SLC22A16
ZMYND10,45.350474586307094,0.7159508422418017,0.4374589335895235,1.6366126904007698,0.10171142230610629,0.9911301636570343,ZMYND10
ABCB5,0.02956964744633131,0.2751864704243482,7.325759442222936,0.03756422424114507,0.9700351326973843,0.9999769473134581,ABCB5
ARX,1.527708824562868,-0.79681784879741,1.5269930760129788,-0.5218215205519618,0.6017946043209582,0.9999769473134581,ARX
SLC25A13,1558.1492113148329,0.3818660240886234,0.46414263052437343,0.8227342178355895,0.41065915216673216,0.9911301636570343,SLC25A13
ST7,534.2694700144663,0.3360216702380485,0.40680503146657304,0.8260017557468663,0.40880309583515073,0.9911301636570343,ST7
CDC27,5537.40511542838,0.34058446653981683,0.44428710717862224,0.7665864280929662,0.4433274472930622,0.9911301636570343,CDC27
SLC4A1,2.081424323570912,1.1221686610041652,0.924826215038574,1.2133832743456134,0.22498331798035115,0.9911301636570343,SLC4A1
HCCS,1688.073197104692,0.4038403064620637,0.4008019431142008,1.0075807101239456,0.3136557932596007,0.9911301636570343,HCCS
DVL2,1778.9674933823126,0.42175713336534115,0.4474882348570264,0.9424988201088541,0.34593731492208024,0.9911301636570343,DVL2
PRSS22,0.9200731422566857,-2.1045897662918844,7.323869958403582,-0.28736034067303834,0.7738364246941238,0.9999769473134581,PRSS22
UPF1,10844.157542889265,0.4772650063588658,0.4247744984111269,1.1235726441772755,0.26119436668009155,0.9911301636570343,UPF1
SKAP2,5269.603848036593,0.3230219878328952,0.39330849788424543,0.8212941992622894,0.41147871103536354,0.9911301636570343,SKAP2
SLC25A5,17077.805933782616,0.40628887541882014,0.45168423567335175,0.8994975766934656,0.3683876860044403,0.9911301636570343,SLC25A5
MCUB,62.921970847337874,-0.00378288662684767,0.7875517973254532,-0.0048033496205512494,0.996167496234991,0.9999769473134581,MCUB
HOXA11,536.2239196251438,0.6186915544344013,0.3902059568579151,1.585551280191461,0.11284113552360657,0.9911301636570343,HOXA11
POLR2J,1783.7163201597473,0.4490962776974679,0.4177493447394919,1.0750376591913602,0.28235786817845504,0.9911301636570343,POLR2J
DHX33,3145.2837148654517,0.49094816713342104,0.4799572721458695,1.02289973634197,0.30635525418204007,0.9911301636570343,DHX33
MEOX1,0.2597647568062267,-0.4283201334237711,2.6246480059864132,-0.1631914574628063,0.8703676920033382,0.9999769473134581,MEOX1
THSD7A,474.98701742736495,1.0846603159315236,0.6747051074690201,1.607606499379178,0.10792138787275757,0.9911301636570343,THSD7A
LIG3,3456.8541059115087,0.45478383771777353,0.43519453854501,1.0450127412863603,0.2960170808118672,0.9911301636570343,LIG3
RPAP3,2175.4450856823382,0.28634443079601524,0.42947888903246334,0.6667252759293859,0.5049476306012419,0.9999769473134581,RPAP3
ACSM3,2262.0880444176237,0.6218042270437815,0.5427889070470776,1.1455728349839889,0.25197194262511646,0.9911301636570343,ACSM3
REXO5,1226.2541074039827,0.5361910696296338,0.44726953351368137,1.1988097320588738,0.23060193749596575,0.9911301636570343,REXO5
CIAPIN1,2361.2260827975947,0.4713608762673694,0.4479523794804098,1.0522566635634611,0.29268180857488346,0.9911301636570343,CIAPIN1
SPPL2B,2230.8357505855406,0.5492615226429987,0.42417049401482104,1.2949074261252287,0.195352166413814,0.9911301636570343,SPPL2B
FAM214B,731.9460573607037,0.24315924023842864,0.3820081765697559,0.6365288890459836,0.5244317576662195,0.9999769473134581,FAM214B
COPZ2,266.30886605374127,0.4209945988231217,0.4044806085680828,1.040827643909805,0.2979555477429223,0.9911301636570343,COPZ2
PRKAR2B,1150.5763131939143,-0.09840301409795628,0.5389365538412593,-0.1825873813839325,0.8551217860936657,0.9999769473134581,PRKAR2B
MSL3,1533.748664840857,0.5352214860995371,0.4215284459948095,1.269716174993627,0.20418574901824596,0.9911301636570343,MSL3
CREBBP,3669.9520731970906,0.3593924122395598,0.3829227941539822,0.9385505844163451,0.34796153409709807,0.9911301636570343,CREBBP
TSPOAP1,1656.764874086102,0.8171970382366333,0.6696669252036451,1.2203037173862579,0.2223497611204924,0.9911301636570343,TSPOAP1
