,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.00647431709424389,-0.294534352791832,7.325763203310358,-0.04020527890646781,0.9679294690759648,0.996502527491887,TSPAN6
DPM1,2160.7413717002205,-0.13734745446795654,0.4261797048497909,-0.3222759153122163,0.7472436773885434,0.996502527491887,DPM1
SCYL3,598.848073409075,-0.2875415447831295,0.39042138470730314,-0.7364902539821119,0.4614323965672753,0.996502527491887,SCYL3
C1orf112,1269.1684831056439,-0.15002608129496237,0.4585145843832634,-0.327200238345218,0.743516440628153,0.996502527491887,C1orf112
FGR,3052.797654021943,-0.024535606142410588,0.42114825128608463,-0.05825883419314884,0.9535424573460115,0.996502527491887,FGR
CFH,11.042966896193425,0.17077543080865054,0.712021109435666,0.23984602218325213,0.8104496275298443,0.996502527491887,CFH
FUCA2,3604.5547260485455,-0.19347678021578066,0.41335570932106297,-0.4680636455549783,0.6397390761041728,0.996502527491887,FUCA2
GCLC,438.1300149761516,-0.11651234898140739,0.415100440471762,-0.28068471536428874,0.7789522330395489,0.996502527491887,GCLC
NFYA,3627.757396086648,-0.22458027996453053,0.4460184753683947,-0.503522370410857,0.6145970563665959,0.996502527491887,NFYA
STPG1,134.42700605084121,-0.43488550271599513,0.46376272475906655,-0.9377327661293312,0.34838176062225,0.996502527491887,STPG1
NIPAL3,1588.4692443894078,-0.24725638651238982,0.41842828709352853,-0.5909169961473523,0.5545760374442105,0.996502527491887,NIPAL3
LAS1L,4636.481129446883,-0.13044856825514087,0.46761263351931026,-0.2789671597907201,0.7802700273449934,0.996502527491887,LAS1L
ENPP4,0.016996484463534,-0.294534352791832,7.325763203310358,-0.04020527890646781,0.9679294690759648,0.996502527491887,ENPP4
SEMA3F,69.94819832145221,-0.039076910227149216,0.4036433988692181,-0.09681047760627513,0.9228769030953103,0.996502527491887,SEMA3F
ANKIB1,2004.6663410445196,-0.18152575155258655,0.4224777590014236,-0.42966936764113745,0.6674361692555797,0.996502527491887,ANKIB1
CYP51A1,5999.0127904659175,-0.37078012821065953,0.5550226019313869,-0.668045097479645,0.504104805950077,0.996502527491887,CYP51A1
KRIT1,2045.7169017024964,-0.2153213650846551,0.4207135753384348,-0.5118003737137411,0.6087907287807458,0.996502527491887,KRIT1
RAD52,392.34807795675925,-0.08746651753575452,0.44335844454427364,-0.1972817222995741,0.8436070817627993,0.996502527491887,RAD52
MYH16,0.7280146796850208,1.4079763506105296,1.291633060144773,1.090074568432552,0.2756802978901015,0.996502527491887,MYH16
BAD,449.95430012192236,-0.14096799739471322,0.39094992991479127,-0.36057813701472624,0.7184148354542885,0.996502527491887,BAD
LAP3,4982.02646367202,-0.26110886940001543,0.4248948364280005,-0.6145258709074969,0.5388678827110809,0.996502527491887,LAP3
