,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.00647431709424389,-0.40910792138470947,7.319121667459822,-0.05589576727540515,0.9554248427850708,,TSPAN6
DPM1,2160.7413717002205,-1.4919683498374512,0.39963163117343314,-3.7333590072852942,0.00018894298048415138,0.0009324491963574092,DPM1
SCYL3,598.848073409075,-1.2101029336486968,0.3701848186131036,-3.2689156140501496,0.0010796049415419124,0.003011833663368837,SCYL3
C1orf112,1269.1684831056439,-1.8848548385753732,0.4231900948816444,-4.45392002641867,8.431651746184471e-06,9.460065418575469e-05,C1orf112
FGR,3052.797654021943,-1.9338015516853417,0.37937278928567303,-5.097364930485729,3.444139902581676e-07,7.340926696565733e-06,FGR
CFH,11.042966896193425,0.35324116549475243,0.6863618350036479,0.5146573534247793,0.6067924794045028,0.6422452227370774,CFH
FUCA2,3604.5547260485455,-0.9296725133257843,0.40074508845089957,-2.3198600310224147,0.020348450356612282,0.031245369193434697,FUCA2
GCLC,438.1300149761516,-1.524890319404438,0.38671407253875706,-3.9431984189083558,8.040208041937944e-05,0.0005100598776945627,GCLC
NFYA,3627.757396086648,-1.7818154033275366,0.4129039221921543,-4.315326901879919,1.593668892403529e-05,0.00015287323313303042,NFYA
STPG1,134.42700605084121,-0.9844743853572893,0.4507283854244179,-2.1841854588995586,0.028948622991201812,0.04262510099866654,STPG1
NIPAL3,1588.4692443894078,-0.9975599507673045,0.4048052061214299,-2.4642962483740027,0.013728259144239504,0.022268144388926898,NIPAL3
LAS1L,4636.481129446883,-1.6104077317816867,0.44081501719838895,-3.653250612959318,0.00025894127632421394,0.0011525270875480992,LAS1L
ENPP4,0.016996484463534,-1.5289095836870896,7.325781910876879,-0.2087025797774647,0.8346804261184858,,ENPP4
SEMA3F,69.94819832145221,-1.2128299716420434,0.3822970537718593,-3.1724805610608113,0.001511426772626734,0.0038193880147610474,SEMA3F
ANKIB1,2004.6663410445196,-1.3132634856857066,0.4008791195049656,-3.2759588159827806,0.001053039153676332,0.0029623742301006653,ANKIB1
CYP51A1,5999.0127904659175,-2.6095205681303395,0.5100099140936806,-5.116607532556736,3.110799660655227e-07,6.743867896735403e-06,CYP51A1
KRIT1,2045.7169017024964,-1.0415714430913452,0.4060245277484341,-2.56529192673967,0.010308903078231355,0.017392822390490045,KRIT1
RAD52,392.34807795675925,-1.2261832442295393,0.4245434221905148,-2.8882398834559893,0.0038740430011599816,0.007745114459364877,RAD52
MYH16,0.7280146796850208,-3.435193048928562,1.615488041196625,-2.126411933315238,0.033468975004120424,0.048521370595961635,MYH16
BAD,449.95430012192236,-1.1015312236736743,0.37272662760378944,-2.955332788417275,0.003123319502751357,0.0065349729733599204,BAD
LAP3,4982.02646367202,-1.483032980986088,0.399197966712803,-3.7150313995788307,0.00020317846308802627,0.0009819843865009376,LAP3
HS3ST1,0.0355084983799388,-1.5761305386255495,7.325773989890716,-0.21514867108930041,0.8296514082645896,,HS3ST1
