,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.00647431709424389,-0.10949849583667846,7.325764994585321,-0.014947039103439965,0.9880744323277207,,TSPAN6
DPM1,2160.7413717002205,-0.010178205618054522,0.4259024113886119,-0.023897976028991026,0.9809339887179405,0.9973899782665718,DPM1
SCYL3,598.848073409075,-0.2525195911621915,0.39023142328136773,-0.6471021452829488,0.5175658369647386,0.9243052282852682,SCYL3
C1orf112,1269.1684831056439,-0.32071853518106075,0.4569186819585789,-0.7019160035354713,0.4827315479524484,0.9214780376103472,C1orf112
FGR,3052.797654021943,-0.3035287431802036,0.41937401101332433,-0.7237662211036724,0.4692092703796968,0.9207547091501285,FGR
CFH,11.042966896193425,-4.1004400173790145,1.1841364361166693,-3.462810443386281,0.0005345648491948354,0.01927138628315172,CFH
FUCA2,3604.5547260485455,-0.2975245793523189,0.41209681859416847,-0.7219773750433149,0.47030838780642803,0.9207547091501285,FUCA2
GCLC,438.1300149761516,-0.019121309302418173,0.41472530111861505,-0.04610596279234315,0.9632257934434112,0.9944573073929768,GCLC
NFYA,3627.757396086648,-0.3403164006182375,0.44458752937650914,-0.7654654665988905,0.4439944224655593,0.9158697220044536,NFYA
STPG1,134.42700605084121,-0.005857689357077113,0.46408515225775315,-0.012622014146713637,0.9899293571879598,0.998946538976382,STPG1
NIPAL3,1588.4692443894078,0.7225113675475658,0.40938845965951165,1.7648552383437444,0.07758809820419435,0.5503597686962195,NIPAL3
LAS1L,4636.481129446883,-0.30684254408979106,0.46621978633821204,-0.6581499822214684,0.510441761239983,0.9243052282852682,LAS1L
ENPP4,0.016996484463534,-0.10949849583667866,7.325764994585321,-0.014947039103439991,0.9880744323277207,,ENPP4
SEMA3F,69.94819832145221,-0.7015484725466703,0.4047682110779034,-1.7332103988068552,0.08305827941524269,0.56734309795765,SEMA3F
ANKIB1,2004.6663410445196,-0.21636665095292548,0.4217325784792572,-0.5130422974035604,0.6079217335764242,0.9347864400796386,ANKIB1
CYP51A1,5999.0127904659175,0.03206875665602642,0.5555335972995479,0.057726043594685965,0.9539668484934958,0.9931484807233447,CYP51A1
KRIT1,2045.7169017024964,-0.4288894696059069,0.4184153386472717,-1.0250328560910262,0.30534768493128867,0.8778214894023809,KRIT1
RAD52,392.34807795675925,-0.3035573438598189,0.44207895450469037,-0.6866586630434094,0.4922978517593584,0.9230805320087887,RAD52
MYH16,0.7280146796850208,-2.051127931483713,1.6440330522224142,-1.2476196440886547,0.21217038108861197,0.8183172716205153,MYH16
BAD,449.95430012192236,0.35681965443205566,0.3880346519824601,0.9195561597632382,0.35780474532931483,0.886454049417773,BAD
LAP3,4982.02646367202,-0.4065055608966505,0.4231510150327323,-0.960663088248071,0.3367215963437534,0.8861854349957974,LAP3
HS3ST1,0.0355084983799388,-0.15748920574962497,7.325755345495358,-0.021498016016391515,0.9828483860878657,,HS3ST1
AOC1,216.85234616865006,1.9336954263454722,0.6585665961285074,2.9362185050274645,0.003322402059193929,0.07674666924174942,AOC1
WNT16,0.6809102228659917,0.6919344218958503,1.2585157836708607,0.5498019419967892,0.5824552265253073,0.932029083889497,WNT16
HECW1,22.237288125094747,-1.4337315351126996,1.0033309403402269,-1.4289717155802302,0.1530123630990327,0.7351107873748942,HECW1
MAD1L1,1538.0428034666509,0.020681197175719264,0.39291539831978983,0.0526352422535679,0.9580225366210267,0.9938506132439491,MAD1L1
LASP1,10002.131615136717,-0.3251064368602079,0.38107656655962985,-0.8531262884917803,0.3935892745209503,0.9009950653846871,LASP1
SNX11,1528.9766357081232,-0.009129308195038046,0.3952184958689501,-0.023099395120579628,0.9815709881823099,0.9975794877186598,SNX11
TMEM176A,2.843677858633659,-3.097767938798552,1.3889265325479287,-2.2303324662650255,0.025725379339941252,0.3017309617549143,TMEM176A
M6PR,14600.453143695413,-0.24319535671927528,0.4243834568739675,-0.573055694749899,0.5666069844018201,0.9307927832567222,M6PR
KLHL13,20.504168686853177,-2.8643165259597496,0.7750575101660039,-3.6956180520672106,0.00021935252741043276,0.009890373453455498,KLHL13
CYP26B1,5.004853170248717,-2.464984689860884,1.1866517453715009,-2.0772604089409397,0.03777753104907156,0.37571216855113215,CYP26B1
ICA1,77.7145077636387,-0.12986381856226056,0.45037105436695984,-0.28834850131475864,0.7730799842507712,0.9569019162250609,ICA1
DBNDD1,103.94677081079563,0.581100593821266,0.547349578366742,1.0616626316863804,0.28838886937983443,0.8702236201669168,DBNDD1
ALS2,793.97918675737,-0.4621775539623724,0.4165796543323242,-1.109457817144552,0.2672327322344925,0.8580053755620337,ALS2
CASP10,691.937872493518,-0.5163701107619615,0.3636591688177001,-1.4199287548303625,0.15562842358457452,0.7384574604543042,CASP10
CFLAR,4780.226776053738,-0.030362802009584643,0.3399177301365524,-0.08932397259003595,0.9288244428455967,0.9880448620004578,CFLAR
TFPI,0.157493427543976,-0.5767637429695232,3.620290207913317,-0.15931422892806194,0.8734213108695738,,TFPI
NDUFAF7,872.4609671913774,-0.2181950958029367,0.4403127657922779,-0.49554569559282885,0.620214974564472,0.9364989540851983,NDUFAF7
RBM5,3902.913485848273,-0.4053471044149603,0.40139750730867135,-1.0098396154295293,0.3125721368659891,0.8790920188190104,RBM5
MTMR7,53.76659579080881,-0.012795023171644025,0.47086134762846243,-0.027173653637291243,0.9783212292960014,0.9973899782665718,MTMR7
ARF5,1971.1637232033581,0.3119900160924535,0.37267524190881274,0.8371632483404737,0.4025008124472957,0.9030403960419674,ARF5
SARM1,50.70003634348111,-1.3773404630743191,0.5404929983465739,-2.5483039878180684,0.010824809928793422,0.17368773296353995,SARM1
