,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.006578199543252406,0.780376261820987,7.372672135015246,0.10584714029459188,0.9157036342933338,0.9797120398859991,TSPAN6
TNMD,0.0,0.0,,,0.0,,TNMD
DPM1,2199.2424235586363,0.7656857167098083,0.4389468085764728,1.7443701645604093,0.08109456401330448,0.3354309466849244,DPM1
SCYL3,609.7303546978766,0.7932302129890695,0.4019002769251405,1.973699095352501,0.048415968105573415,0.3354309466849244,SCYL3
C1orf112,1291.193240651277,0.7935823318115653,0.4738138753133403,1.6748820014752783,0.09395738565085636,0.3354309466849244,C1orf112
FGR,3105.5060926168985,0.4551443359791157,0.4467897559050312,1.0186991307738495,0.30834582538509975,0.5898189822159676,FGR
CFH,11.29123062008396,0.3005029415093579,0.7388682665407642,0.4067070614850649,0.6842231534767549,0.9797120398859991,CFH
FUCA2,3672.014748830664,0.6736792411013215,0.42250165515872806,1.594500833016215,0.11082390431113537,0.3354309466849244,FUCA2
GCLC,445.94852106345485,0.8148440515037905,0.4269228817327732,1.9086445968802193,0.05630795472966247,0.3354309466849244,GCLC
NFYA,3691.3368505895387,0.8045978915041528,0.4601312385483814,1.7486269657380626,0.08035552195171583,0.3354309466849244,NFYA
STPG1,136.896665735748,0.691433420460299,0.47446121299813077,1.4573023073711675,0.14503295019932047,0.3584766131408305,STPG1
NIPAL3,1618.1001270530567,0.5483184171176516,0.4308054444365084,1.2727750407956187,0.2030978804019613,0.4383431309025948,NIPAL3
LAS1L,4718.3068020188875,0.8338638401933064,0.4783875648103631,1.7430717299766292,0.08132108601348893,0.3354309466849244,LAS1L
ENPP4,0.017276399737425095,0.7803762616897,7.372672135015225,0.10584714027678492,0.9157036343074624,0.9797120398859991,ENPP4
SEMA3F,71.20578413818416,0.3604731034554905,0.43052574996390086,0.8372858150429232,0.40243193067565175,0.7164446365665765,SEMA3F
CFTR,0.0,0.0,,,0.0,,CFTR
ANKIB1,2040.6169052141581,0.6793191043776226,0.436707073349424,1.555548663701347,0.11981545417501929,0.33646168960805023,ANKIB1
CYP51A1,6100.366650498587,0.7805405897621347,0.5729652863917629,1.3622825122226392,0.17310874441275745,0.3953358820224077,CYP51A1
KRIT1,2082.956044318025,0.7233483660149915,0.4319369410470483,1.67466196399303,0.09400057422442841,0.3354309466849244,KRIT1
RAD52,399.417600964332,0.7415202209066529,0.4546738406343445,1.630883843838719,0.10291483140179503,0.3354309466849244,RAD52
MYH16,0.7413300964703357,0.7597372268758301,1.549436940067666,0.49033116949093225,0.6238995741266247,0.9797120398859991,MYH16
BAD,458.2366147558312,0.5960708525917757,0.40537546931843416,1.4704166820798543,0.1414489359828612,0.3541311491196447,BAD
LAP3,5071.073540082875,0.7375641129411755,0.4385937543616353,1.6816566711367922,0.09263543455815795,0.3354309466849244,LAP3
HS3ST1,0.036072436598398726,0.7325011815069532,7.372662064444174,0.09935369003816895,0.920857450763558,0.9797120398859991,HS3ST1
AOC1,220.5072569281303,-0.02304169760289033,0.7298139213243612,-0.03157201709865657,0.9748133593811606,0.9885383288017371,AOC1
WNT16,0.6918131753874589,-1.0899028741710624,1.5640079448898632,-0.6968653054047068,0.4858870920540148,0.8201880663983115,WNT16
HECW1,22.593146106057358,1.8685012895667759,0.9933111096583945,1.8810836518373024,0.05996054048756685,0.3354309466849244,HECW1
MAD1L1,1565.891756935548,0.5349879590389172,0.4106386018563711,1.3028194539441758,0.1926364075238087,0.42300638138263763,MAD1L1
LASP1,10195.45895761722,0.7046036059917834,0.3884745873877601,1.813770138041168,0.06971312173919125,0.3354309466849244,LASP1
SNX11,1556.412938033404,0.7649710258954842,0.40866813757407394,1.8718636359479526,0.06122547160756639,0.3354309466849244,SNX11
TMEM176A,2.925002230582625,0.8502002826675406,0.9013821964086385,0.9432184106308943,0.3455691983015757,0.6411706057843946,TMEM176A
M6PR,14855.66342462436,0.7713702215033038,0.4416747432309351,1.7464666778557074,0.08072989242231234,0.3354309466849244,M6PR
KLHL13,20.877445973103747,0.7766323590865291,0.6751746754688749,1.1502687931048317,0.2500331798864036,0.5064544177611847,KLHL13
CYP26B1,5.128501577141321,0.8691868107829375,0.9107914271713354,0.9543203689151859,0.3399215006212366,0.633433312956609,CYP26B1
ICA1,79.19920578068634,0.5180166565297734,0.4619544823526836,1.1213586539772733,0.2621352280631804,0.5243892754485924,ICA1
DBNDD1,107.45249514882899,0.3469486335742571,0.553152084839706,0.6272210538170472,0.5305143442607564,0.874285526264926,DBNDD1
ALS2,808.8784559211844,0.839977897078317,0.4232997323711102,1.9843572599802681,0.047216027070711084,0.3354309466849244,ALS2
CASP10,705.6906409029465,0.6110209378347533,0.37360897947669686,1.6354557074366693,0.1019535525534988,0.3354309466849244,CASP10
CFLAR,4873.505090359028,0.39127382739079725,0.3534320927132682,1.1070693223895467,0.2682639578259358,0.533145422037735,CFLAR
TFPI,0.15994503202567492,1.32806990953842,3.713484233235172,0.357634454901512,0.720616890165535,0.9797120398859991,TFPI
NDUFAF7,887.9534830362828,0.7408918252197719,0.45473316459813806,1.629289180775986,0.10325181543536822,0.3354309466849244,NDUFAF7
RBM5,3974.438568876242,0.7309226647894346,0.41447308494656127,1.7634985028851118,0.07781644956274833,0.3354309466849244,RBM5
MTMR7,54.709062299630354,0.6358595161703822,0.49140662179641115,1.2939579728207602,0.19567993801106182,0.42759570544090747,MTMR7
SLC7A2,0.0,0.0,,,0.0,,SLC7A2
ARF5,2006.6772028948478,0.7219255463209331,0.3897452266901277,1.8523011877574833,0.06398258526060038,0.3354309466849244,ARF5
SARM1,51.58564211959159,0.8169362148820375,0.5494802035698395,1.4867436707903237,0.13708252388814307,0.3493945350472434,SARM1
POLDIP2,6027.802609627608,0.8377710454026277,0.4477483598704586,1.8710756319576682,0.06133459863252985,0.3354309466849244,POLDIP2
PLXND1,4288.837128795087,0.8376230188301969,0.4004985686336997,2.0914507177584842,0.03648767979478858,0.3354309466849244,PLXND1
AK2,26671.73087525223,0.598543746037456,0.4599299747306298,1.3013801642043639,0.19312835983613844,0.4236983403861596,AK2
CD38,2767.509120144184,0.15296149413274374,0.6676153561794722,0.22911620099347108,0.8187786017871068,0.9797120398859991,CD38
FKBP4,12480.269262184434,0.9636234827392185,0.5101217906153667,1.8890067048043306,0.05889093030038592,0.3354309466849244,FKBP4
KDM1A,6295.787904985383,0.8592794621874125,0.4726676763105177,1.8179357405918979,0.06907395486202458,0.3354309466849244,KDM1A
RBM6,4354.067913585504,0.7595552303360279,0.44097100967125413,1.7224606916955374,0.0849860975817384,0.3354309466849244,RBM6
CAMKK1,577.3647230486237,0.7502638856709963,0.4740689379812035,1.5826050296945289,0.11351151639502714,0.33544213405466006,CAMKK1
RECQL,3799.8707957831543,0.6841605896779714,0.45938944808109305,1.489282334489322,0.13641303755981216,0.348788381515991,RECQL
VPS50,851.5527711173551,0.6305351702821317,0.43690672068819203,1.4431802955306947,0.1489696887508453,0.36329247245412266,VPS50
HSPB6,5.398111084269755,0.6377799532856997,0.7445817769070556,0.8565613248486905,0.3916873675382092,0.7033015910071195,HSPB6
ARHGAP33,403.80385420581774,0.7982074681108686,0.4770341341623219,1.6732711790373895,0.09427392348884601,0.3354309466849244,ARHGAP33
NDUFAB1,3137.029601791414,0.8215833247424132,0.4614523079414061,1.78042954949688,0.07500568940724943,0.3354309466849244,NDUFAB1
PDK4,2.941667248701908,-0.017510407930213932,0.968309828237562,-0.018083476403502937,0.985572259717274,0.9938209079944075,PDK4
