,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.006578199543252406,0.5787486803072526,7.3726703432807765,0.07849919409928673,0.9374309712617882,0.999658833358912,TSPAN6
TNMD,0.0,0.0,,,0.0,,TNMD
DPM1,2199.2424235586363,0.46386459876389347,0.44562396884172756,1.0409327845842251,0.2979067447302005,0.8552251776985894,DPM1
SCYL3,609.7303546978766,0.3784469065993249,0.41149269704738006,0.9196928871759534,0.35773327064862853,0.8552251776985894,SCYL3
C1orf112,1291.193240651277,0.4562127361745617,0.48071225978027826,0.9490349515593492,0.34260283598146624,0.8552251776985894,C1orf112
FGR,3105.5060926168985,0.5779521973637128,0.44516414011135996,1.2982901031047454,0.19418766596504894,0.8552251776985894,FGR
CFH,11.29123062008396,-0.4426117959650018,0.7652754303350544,-0.5783692751918308,0.5630148329289666,0.9828909307241496,CFH
FUCA2,3672.014748830664,0.45680634486549826,0.4272122083853507,1.0692726843926081,0.2849468153108971,0.8552251776985894,FUCA2
GCLC,445.94852106345485,0.335976425982803,0.43709067543640856,0.7686652790004062,0.44209204193597657,0.881847894089085,GCLC
NFYA,3691.3368505895387,0.4539470897304138,0.46756139344762226,0.9708823185404131,0.3316068839729004,0.8552251776985894,NFYA
STPG1,136.896665735748,0.7184322630973803,0.4736242062643572,1.5168824853018206,0.1292963564135013,0.8552251776985894,STPG1
NIPAL3,1618.1001270530567,0.5236372082414626,0.4316904096174288,1.2129924514781754,0.22513270653901785,0.8552251776985894,NIPAL3
LAS1L,4718.3068020188875,0.49449020416386924,0.4856837030159623,1.0181321734561424,0.30861514732082307,0.8552251776985894,LAS1L
ENPP4,0.017276399737425095,0.5787486800662262,7.372670343280724,0.0784991940665954,0.9374309712877918,0.999658833358912,ENPP4
SEMA3F,71.20578413818416,0.27911935211424765,0.4306519081206521,0.648132161615894,0.5168994739619446,0.9422006710977391,SEMA3F
CFTR,0.0,0.0,,,0.0,,CFTR
ANKIB1,2040.6169052141581,0.4439200116307189,0.4415632379907042,1.005337341149003,0.3147344402915357,0.8552251776985894,ANKIB1
