,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.006578199543252406,-0.2706221262919788,7.3726616467001005,-0.03670616383339732,0.9707192939284048,0.9990980390271763,TSPAN6
TNMD,0.0,0.0,,,0.0,,TNMD
DPM1,2199.2424235586363,-0.1187537461120348,0.44879059254620796,-0.26460836765380236,0.791311173392762,0.9990980390271763,DPM1
SCYL3,609.7303546978766,-0.2694467893183955,0.41284044265372655,-0.6526656826215941,0.5139718309227198,0.9990980390271763,SCYL3
C1orf112,1291.193240651277,-0.130747770530805,0.48343517150847776,-0.27045564376879877,0.7868097368880236,0.9990980390271763,C1orf112
FGR,3105.5060926168985,-0.005081002762304963,0.45039681591575026,-0.011281169366116032,0.9909991200512165,0.9994660678706879,FGR
CFH,11.29123062008396,0.18373117013915033,0.7122748821766819,0.257949809457938,0.7964456428498318,0.9990980390271763,CFH
FUCA2,3672.014748830664,-0.1762592213460587,0.43024063264002155,-0.4096759068628769,0.6820437061758382,0.9990980390271763,FUCA2
GCLC,445.94852106345485,-0.09796326592842536,0.43837059633921965,-0.22347134307479757,0.8231686841127442,0.9990980390271763,GCLC
NFYA,3691.3368505895387,-0.20556743448577797,0.47012637838854765,-0.4372599452734423,0.6619228404128588,0.9990980390271763,NFYA
STPG1,136.896665735748,-0.4169593518594042,0.4803951604274578,-0.8679507751251946,0.38542128085947447,0.9990980390271763,STPG1
NIPAL3,1618.1001270530567,-0.2299005360531817,0.43546455748863927,-0.5279431634552245,0.5975387850425127,0.9990980390271763,NIPAL3
LAS1L,4718.3068020188875,-0.11162642773230193,0.48898801571456335,-0.22828049797740146,0.8194281846829976,0.9990980390271763,LAS1L
ENPP4,0.017276399737425095,-0.2706221265739544,7.372661646700041,-0.03670616387164373,0.9707192938979091,0.9990980390271763,ENPP4
SEMA3F,71.20578413818416,-0.020376012496183756,0.4277828380073411,-0.04763167356385178,0.9620097888163642,0.9990980390271763,SEMA3F
CFTR,0.0,0.0,,,0.0,,CFTR
ANKIB1,2040.6169052141581,-0.16311266741422215,0.4443239026965418,-0.3671030669840478,0.7135421396514083,0.9990980390271763,ANKIB1
CYP51A1,6100.366650498587,-0.3507561632851563,0.5795925618966595,-0.6051771301849377,0.5450613098195954,0.9990980390271763,CYP51A1
KRIT1,2082.956044318025,-0.19729506095923524,0.44056653119010175,-0.4478212641942691,0.6542821957096603,0.9990980390271763,KRIT1
RAD52,399.417600964332,-0.06908759214243672,0.46337106445197707,-0.149097769460736,0.8814764859311188,0.9990980390271763,RAD52
MYH16,0.7413300964703357,1.4401014472700604,1.2937542559562036,1.1131182298648306,0.265657655251624,0.9990980390271763,MYH16
BAD,458.2366147558312,-0.12315216485640292,0.41150933191495476,-0.2992694340206466,0.7647344745698608,0.9990980390271763,BAD
LAP3,5071.073540082875,-0.24261978096744857,0.4472043528033769,-0.5425255354661578,0.5874565212132032,0.9990980390271763,LAP3
HS3ST1,0.036072436598398726,-0.3186065178554011,7.372651607678062,-0.04321464444672747,0.9655304314139277,0.9990980390271763,HS3ST1
AOC1,220.5072569281303,0.1673311986882478,0.7274784598454103,0.23001533093338022,0.8180798567252765,0.9990980390271763,AOC1
WNT16,0.6918131753874589,0.9145978031536162,1.2479536404711822,0.7328780280718578,0.46363282521566596,0.9990980390271763,WNT16
HECW1,22.593146106057358,-0.5298093274254659,1.037592070125406,-0.510614279618995,0.609621174902886,0.9990980390271763,HECW1
MAD1L1,1565.891756935548,-0.19696500300548941,0.41545031719980907,-0.47410001834409465,0.635428585530677,0.9990980390271763,MAD1L1
LASP1,10195.45895761722,-0.2509420375999112,0.39737703291262183,-0.6314960775679508,0.5277162131230464,0.9990980390271763,LASP1
SNX11,1556.412938033404,-0.08265607260245608,0.4194093980940617,-0.1970773019824383,0.8437670454793519,0.9990980390271763,SNX11
TMEM176A,2.925002230582625,0.32840459325651594,0.8676528241632429,0.37849769413616163,0.7050609064042588,0.9990980390271763,TMEM176A
