,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.01004404056214996,-0.16708297593515659,7.372800216636657,-0.02266207831837561,0.9819198251792496,,TSPAN6
TNMD,0.0,0.0,,,0.0,,TNMD
DPM1,1929.0773715866335,-0.1641341480389463,0.07385800977441755,-2.22229313435681,0.026263501836055064,0.9998401610491491,DPM1
SCYL3,548.5188721292018,0.0052663534331670245,0.08463679802036407,0.06222297577821778,0.9503852659135296,0.9998401610491491,SCYL3
C1orf112,1107.9609071909044,0.048704912112036494,0.10743563664161467,0.4533403778720746,0.6503036618300275,0.9998401610491491,C1orf112
FGR,2859.768420437618,0.43373194518527636,0.27363979954485773,1.5850470067099094,0.11295565452031006,0.9998401610491491,FGR
CFH,10.3996689837382,-0.751033360376762,0.6556307891793495,-1.145512646403973,0.2519968597968991,0.9998401610491491,CFH
FUCA2,3283.5097224021292,-0.023154209743532116,0.12516819059232195,-0.18498477635541086,0.8532409762088562,0.9998401610491491,FUCA2
GCLC,395.97966037065646,-0.1779478761058666,0.10870284757272612,-1.6370120937891075,0.10162794263356723,0.9998401610491491,GCLC
NFYA,3192.9287187185373,-0.011115848471042586,0.09390733096382013,-0.11837040151130705,0.9057741770439615,0.9998401610491491,NFYA
STPG1,119.50923336326713,0.05227758212294771,0.16828498833530361,0.31064911160575975,0.7560673873720297,0.9998401610491491,STPG1
NIPAL3,1464.3484040990356,0.01876324355141516,0.19520615727285903,0.09612014197476318,0.9234251543914823,0.9998401610491491,NIPAL3
LAS1L,4028.9289533062674,0.00216561110184442,0.10640129894672641,0.02035323932397395,0.9837615857277761,0.9998401610491491,LAS1L
ENPP4,0.010925000300689549,-0.1670829759351564,7.372800216636657,-0.022662078318375585,0.9819198251792496,,ENPP4
SEMA3F,65.71230867011674,-0.17491820305164388,0.22627846225162979,-0.7730218833515341,0.43950942978466034,0.9998401610491491,SEMA3F
CFTR,0.0,0.0,,,0.0,,CFTR
ANKIB1,1791.8412587722873,0.0553382979804488,0.051023804108784016,1.0845584516290903,0.27811726533781134,0.9998401610491491,ANKIB1
CYP51A1,4983.949508934557,0.07692596938725227,0.2591723957447736,0.29681389935912394,0.7666085932715581,0.9998401610491491,CYP51A1
KRIT1,1837.2651903472683,0.041212382187408456,0.07444063414022367,0.5536275001335531,0.5798338016087845,0.9998401610491491,KRIT1
RAD52,347.29285836520813,0.17553149900327003,0.08015514042627216,2.1898969681766873,0.02853170991734636,0.9998401610491491,RAD52
MYH16,0.6744541485348405,-0.16427053548408613,1.2962992092512384,-0.12672269975306952,0.8991598788732439,,MYH16
BAD,416.0141085754716,-0.09913967327007457,0.13417082465301658,-0.7389063421683725,0.4599638709333773,0.9998401610491491,BAD
LAP3,4515.159429721982,-0.24421051827022122,0.16264996429935202,-1.5014483361383322,0.13323963987423476,0.9998401610491491,LAP3
HS3ST1,0.024829470176391363,-0.21014595779357859,7.372800216636657,-0.02850286887190923,0.9772610799312637,,HS3ST1
AOC1,255.12361321363423,-1.2495485075881911,0.8287377507378109,-1.5077731242190182,0.1316126028920604,0.9998401610491491,AOC1
WNT16,0.6764920166108791,-0.1989918915187096,1.2261583664838964,-0.16228889918137915,0.8710783559700132,,WNT16
HECW1,17.691490657504833,0.514060666207484,0.8105943803787979,0.6341774365216533,0.5259650310582552,0.9998401610491491,HECW1
MAD1L1,1409.1318617738214,0.13696065841298014,0.10036411384853239,1.3646377491030166,0.1723669340241966,0.9998401610491491,MAD1L1
LASP1,9382.752189053857,-0.06110745700033161,0.16553017050080232,-0.3691620495251977,0.7120069412058886,0.9998401610491491,LASP1
SNX11,1396.7109368150802,0.010601619402923286,0.09921735077936059,0.10685247408489221,0.9149060174308312,0.9998401610491491,SNX11
TMEM176A,3.215432456056189,-0.913681865737125,1.024970219001405,-0.8914228421458873,0.3727023679418599,0.9998401610491491,TMEM176A
M6PR,13009.92540148689,-0.03879966719934522,0.0817855482598337,-0.47440737422311086,0.6352094354814838,0.9998401610491491,M6PR
KLHL13,17.512919903475556,-0.4283014602123935,0.45462487969293686,-0.9420985945636703,0.346142163993466,0.9998401610491491,KLHL13
CYP26B1,4.643777990104778,-3.887970323513037,1.3671274945230327,-2.8438973973451414,0.004456539627037882,0.704376468437359,CYP26B1
ICA1,71.27720202596014,-0.18206319212794625,0.22880833102339562,-0.7957017618791613,0.42620540254806316,0.9998401610491491,ICA1
DBNDD1,129.15133955720458,-1.2585982157812925,0.7265883177637135,-1.732202658659575,0.08323748584849167,0.9998401610491491,DBNDD1
ALS2,721.585560037063,-0.083322770438348,0.1298216824872091,-0.641824761796301,0.5209869700939369,0.9998401610491491,ALS2
CASP10,660.3866336622951,-0.08507100180035364,0.19049609954918745,-0.44657608214381156,0.6551811680730579,0.9998401610491491,CASP10
CFLAR,4768.45291940748,-0.11016521289945606,0.2837304206899094,-0.3882742380305292,0.697813099789047,0.9998401610491491,CFLAR
TFPI,0.15872895594483408,-0.5977335730320262,3.819846145909981,-0.1564810597599688,0.8756538474536391,,TFPI
NDUFAF7,771.3247303569647,-0.017210781148230596,0.08084993629458377,-0.21287315657889475,0.8314259004532873,0.9998401610491491,NDUFAF7
RBM5,3550.478219601062,0.0402869947607156,0.08755159125423335,0.46015148535370126,0.6454074910441125,0.9998401610491491,RBM5
MTMR7,47.72624953275219,0.22053741169277533,0.17992447929790284,1.2257221060377739,0.22030326844646583,0.9998401610491491,MTMR7
SLC7A2,0.0,0.0,,,0.0,,SLC7A2
ARF5,1838.9421240470856,-0.07178454969242759,0.1495751609419768,-0.4799229313232981,0.6312821948890192,0.9998401610491491,ARF5
SARM1,44.9851762738481,0.20432929727136784,0.33644346128213354,0.6073213504958627,0.5436376719858911,0.9998401610491491,SARM1
POLDIP2,5244.643723261029,-0.06352001875738464,0.07174436281372845,-0.885365989273654,0.37595926963778525,0.9998401610491491,POLDIP2
PLXND1,3980.789480123381,0.1679335305489865,0.23025400107766736,0.7293403361635421,0.46579350437465367,0.9998401610491491,PLXND1
AK2,23366.883620447617,0.017686339094588797,0.15098512814969026,0.11713961044596484,0.9067494211926762,0.9998401610491491,AK2
CD38,2384.9212794608206,0.20121812379712925,0.48516436395737017,0.4147421755296307,0.678330654115202,0.9998401610491491,CD38
FKBP4,10503.542108252743,-0.05633529190240209,0.1795745997437945,-0.31371525807534956,0.7537373111343812,0.9998401610491491,FKBP4
KDM1A,5407.416660727126,-0.008439267107227052,0.11945190918605718,-0.07064991396731993,0.9436763840294884,0.9998401610491491,KDM1A
RBM6,3806.7515696541286,0.09528770237172249,0.05241869687323203,1.817818985507475,0.06909180387195105,0.9998401610491491,RBM6
CAMKK1,496.9335797275966,0.11129478608205697,0.11843370725262135,0.9397222181406774,0.34736006542572373,0.9998401610491491,CAMKK1
RECQL,3312.1102090824133,-0.05374353251715836,0.12736884079274755,-0.42195196393919404,0.6730600798295474,0.9998401610491491,RECQL
VPS50,750.4437704927046,0.015913913407685536,0.08121427293259882,0.19594971220012988,0.8446495267053613,0.9998401610491491,VPS50
HSPB6,4.721171372516533,-0.027980435862270923,0.5250153951703725,-0.053294505493864615,0.9574972579628417,0.9998401610491491,HSPB6
ARHGAP33,352.57154121090343,0.5223775931847998,0.18598293109896077,2.808739436990832,0.004973588266125938,0.7207706352454474,ARHGAP33
NDUFAB1,2714.2071018743086,-0.0840799504918794,0.10528806013252479,-0.7985706108180642,0.42453943451574255,0.9998401610491491,NDUFAB1
