,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.42155760240795637,-3.103284340565946,3.3246717653301454,-0.9334107423557298,0.35060793604339996,0.43700596409864945,TSPAN6
TNMD,0.0,0.0,,,0.0,,TNMD
DPM1,1968.8487802676316,-2.8748289437564245,0.3256854603606433,-8.827010393933529,1.0751081333484697e-18,1.1839728608437836e-17,DPM1
SCYL3,395.23535408311795,-2.6406501980155586,0.3454731086205936,-7.643576684041074,2.1126920635370475e-14,6.225230539395136e-14,SCYL3
C1orf112,718.4121585970083,-3.3154494858024854,0.31904115317333226,-10.391917947968395,2.6987089540419627e-25,4.0328618426509354e-23,C1orf112
FGR,580.5561397678846,-3.31837446567378,0.4153644842647901,-7.989066449789083,1.3596439816323234e-15,5.0642931141064505e-15,FGR
CFH,56.974479522652636,-2.139047849898912,0.31900867145749007,-6.7052968815111145,2.009972981115036e-11,4.445248412992423e-11,CFH
FUCA2,2821.964290429179,-2.9638039749585894,0.34741921259423025,-8.530915584165395,1.4519395841052994e-17,9.899435610831713e-17,FUCA2
GCLC,500.4990279370799,-1.6038965146702495,0.25668503882584226,-6.248500193104259,4.144127127821586e-10,8.56503725621459e-10,GCLC
NFYA,2871.1118797577988,-2.321666645192608,0.27936280926012674,-8.31057881806595,9.523638348248539e-17,4.853499353345483e-16,NFYA
STPG1,99.79916130561055,-2.2413649917855016,0.3351894439255663,-6.686860318558329,2.280093153855344e-11,5.0233534996434195e-11,STPG1
NIPAL3,877.6934307760396,-2.2292658874933955,0.2781511527220553,-8.014584392972143,1.1051005884082448e-15,4.194266194005316e-15,NIPAL3
LAS1L,3035.675691781443,-2.650461542034446,0.3058525185966113,-8.665815649306909,4.482918440311684e-18,3.730919538040154e-17,LAS1L
ENPP4,0.007590655151668887,-1.8018327225622845,4.542728561099632,-0.3966410711817052,0.6916321612303582,0.7063814758550693,ENPP4
SEMA3F,57.166045015542124,-2.695759395002833,0.39135018298024304,-6.888356035696362,5.6440811300290495e-12,1.298221135519882e-11,SEMA3F
CFTR,0.04036028102924225,-2.523167481412629,4.542728561099634,-0.5554299464465161,0.5786006140775123,0.6124787760136357,CFTR
ANKIB1,880.2603592970473,-2.1174002015725804,0.2686362644826657,-7.882034116466841,3.220940467056267e-15,1.1053724617393245e-14,ANKIB1
CYP51A1,5324.746924047096,-3.839337192247513,0.40940886388540354,-9.377757862424227,6.739050285245741e-21,2.0683279280452838e-19,CYP51A1
KRIT1,961.7162230511708,-2.7713992113231685,0.33008739357558764,-8.395955935495422,4.621189374886115e-17,2.6412709351352227e-16,KRIT1
RAD52,206.24178945225864,-2.1392010728676194,0.2993736705608574,-7.1455885511239625,8.961110096351334e-13,2.191411398083391e-12,RAD52
MYH16,0.8521224110778595,-3.7710060839219346,1.512006172116076,-2.4940414619104057,0.012629779067755163,0.01872068011606298,MYH16
BAD,401.8679846308276,-3.1988455128489695,0.4029569063156277,-7.938430791761591,2.047551146082038e-15,7.331690892706224e-15,BAD
LAP3,2935.5303738406283,-2.6951634615247717,0.35575723496751366,-7.575850036530904,3.56783751386333e-14,1.0182547025242003e-13,LAP3
HS3ST1,0.0,0.0,,,0.0,,HS3ST1
AOC1,72.90096519603217,-2.177345763755436,0.4251135364972054,-5.121798241702777,3.0263560636187446e-07,5.585935977024873e-07,AOC1
WNT16,0.7505498610791684,-1.01533194635356,1.1790891639360803,-0.8611154927114589,0.3891744371892863,0.4803344295073831,WNT16
HECW1,6.566817961500773,-3.2565892535014536,0.7910174785734537,-4.116962446107374,3.838985974179284e-05,6.53984832874077e-05,HECW1
MAD1L1,1446.039650077028,-2.818118351057617,0.3591538273883223,-7.846549684713861,4.276393762691166e-15,1.433417562903196e-14,MAD1L1
LASP1,8121.9715349964345,-3.2157477880205976,0.378152705066318,-8.503833887573647,1.834299542723506e-17,1.208753739973338e-16,LASP1
SNX11,1243.1552333013071,-2.701452896697043,0.3417629457400067,-7.904463987012069,2.6908895721816287e-15,9.394439403930273e-15,SNX11
TMEM176A,19.80718819324345,-2.675024311616968,0.42296849822996585,-6.324405535663724,2.5420930593922905e-10,5.302240214250121e-10,TMEM176A
M6PR,11388.075986144491,-2.594609408568462,0.30908451708744017,-8.394498155449325,4.678883628057436e-17,2.6671444070995686e-16,M6PR
KLHL13,98.77321888672306,-3.2011102195414907,0.32686508297709194,-9.793368537213373,1.2022248468309896e-22,7.315910015084148e-21,KLHL13
CYP26B1,0.624982427575697,-3.9979992167756984,1.718997167729699,-2.325774173354751,0.020030601118860823,0.02918497519391687,CYP26B1
ICA1,166.998428773867,-1.8869359807862094,0.2667226237814079,-7.074525415334265,1.499610818447927e-12,3.5987513774264384e-12,ICA1
DBNDD1,184.48942511414597,-3.253593903894647,0.5264835909953856,-6.1798581371611325,6.415922846816469e-10,1.3143011828577446e-09,DBNDD1
ALS2,494.86937622550187,-2.4895359437827373,0.34050977435783725,-7.311202588758926,2.647619966577484e-13,6.81340109328185e-13,ALS2
CASP10,450.5098717346471,-2.761657451065792,0.3454247916535326,-7.994960170188898,1.2961576197705223e-15,4.843871092181355e-15,CASP10
CFLAR,4174.813303881135,-2.570125868137798,0.35551669559618654,-7.2292691172430175,4.856003073733334e-13,1.218827347442519e-12,CFLAR
TFPI,0.8060013676035125,-1.0967465078497454,1.1550334371670508,-0.949536587044384,0.3423477729642602,0.42772638731395646,TFPI
NDUFAF7,425.42813231984513,-2.5388248741773713,0.29230725409280395,-8.68546653779357,3.771910699165609e-18,3.2503132670802624e-17,NDUFAF7
RBM5,2918.5409519009854,-2.5228397825775826,0.36191403594040217,-6.9708260306130505,3.1508541211369587e-12,7.38117041910554e-12,RBM5
MTMR7,41.527195219037154,-2.8033965302231616,0.38946949643613166,-7.19798740562699,6.11077872184384e-13,1.5171566393423227e-12,MTMR7
SLC7A2,0.05942257947778358,-2.653768563372805,4.54261602506817,-0.5841938981256908,0.5590898663555279,0.6030181734283664,SLC7A2
ARF5,1806.323700611991,-2.8742502897336433,0.36504778932408355,-7.873627436713307,3.44503826714714e-15,1.175105439549424e-14,ARF5
SARM1,23.731308215221315,-1.7827311961457832,0.43572858621087285,-4.091379938251337,4.28813932407108e-05,7.292369459856113e-05,SARM1
POLDIP2,3511.2059672199352,-2.592767192354802,0.31743340799238745,-8.16790900728691,3.137804358064572e-16,1.3732474272152477e-15,POLDIP2
PLXND1,5018.354215723056,-2.9460655194878513,0.3616456594244299,-8.146276452416448,3.7530158710290025e-16,1.6082115740628998e-15,PLXND1
AK2,23320.980349521014,-2.819090077333996,0.3088435092602732,-9.127891611146831,6.984625971975163e-20,1.3495417661563467e-18,AK2
CD38,208.50085652840596,-1.8042598108978298,0.24162334963569101,-7.467241115638091,8.189362921885972e-14,2.2263563379234274e-13,CD38
FKBP4,7695.2996145108555,-2.984280322375729,0.3245202356572362,-9.195976073207886,3.7160534059229515e-20,8.169435471810689e-19,FKBP4
KDM1A,2999.037247893861,-2.343222788137209,0.3024801156017995,-7.746700253255487,9.431123012382611e-15,2.963117038527822e-14,KDM1A
RBM6,2573.868543679491,-2.503947518587341,0.29658746152755777,-8.442526550822123,3.1055085397057e-17,1.8883379379601153e-16,RBM6
CAMKK1,384.71316243969886,-2.7929342078085737,0.3550254686575948,-7.866855914222385,3.636650824868805e-15,1.2347564369568213e-14,CAMKK1
RECQL,2140.6150901033393,-2.511757432081518,0.3244624054811257,-7.741289559747252,9.841347972240416e-15,3.082160325939361e-14,RECQL
VPS50,454.3624069761649,-2.3314935167790765,0.2917125260241088,-7.992435390266335,1.322988502031453e-15,4.934768012869611e-15,VPS50
HSPB6,9.803065399304721,-4.668971676837531,0.7407583140570435,-6.302962232399579,2.9201006654632103e-10,6.072441149573002e-10,HSPB6
ARHGAP33,326.66638082278456,-3.1584483097112592,0.3934208373253911,-8.02816732124172,9.893948379641131e-16,3.797236917940617e-15,ARHGAP33
NDUFAB1,2220.7462687449492,-2.868251463680819,0.3271475762767627,-8.767454420185937,1.827509755852353e-18,1.8107147648103192e-17,NDUFAB1
PDK4,0.19506400107096095,0.810893815890773,2.4074100306130743,0.33683244880568586,0.7362432103701878,0.7494153492003149,PDK4
SLC22A16,237.1835380600066,-3.432477606907151,0.35712206031569754,-9.611496987536489,7.150177519148132e-22,3.3630048088567043e-20,SLC22A16
ZMYND10,27.923867834358923,-3.1259360670872973,0.5017168860194966,-6.230478092710286,4.650138562956246e-10,9.589869998249623e-10,ZMYND10
ABCB5,0.0,0.0,,,0.0,,ABCB5
ARX,3.80474316912192,-3.2500978282841526,0.839364209708229,-3.87209484356489,0.00010790394605744578,0.00018024195757781054,ARX
SLC25A13,1007.2937593462435,-2.6636441867569154,0.289679601889516,-9.19513893757984,3.745103009839913e-20,8.225639736309785e-19,SLC25A13
ST7,666.1316262442584,-2.855223813430868,0.3381432407650949,-8.443829327981057,3.0710749820339035e-17,1.8707727399587848e-16,ST7
CDC27,3486.6960865601013,-2.8751026690995447,0.329766630991253,-8.718597938357828,2.816678479420637e-18,2.5757008356932863e-17,CDC27
SLC4A1,0.8108550618809764,-3.880445354665877,1.5759393052990116,-2.462306347470418,0.013804669861193424,0.02039432236845438,SLC4A1
CALCR,0.028282468464168216,-2.6537685633728056,4.54261602506817,-0.5841938981256909,0.5590898663555279,0.6030181734283664,CALCR
HCCS,1079.5414775676663,-2.7451038148613933,0.33256742411055945,-8.254277526438683,1.5282386361275024e-16,7.333992365367166e-16,HCCS
DVL2,895.9113574193747,-3.159162804878297,0.36431396082159123,-8.671539234329193,4.2631767783454355e-18,3.5807880231506575e-17,DVL2
PRSS22,0.04238554623948537,-2.6537685633728056,4.54261602506817,-0.5841938981256909,0.5590898663555279,0.6030181734283664,PRSS22
UPF1,5997.889894373179,-3.066269230164456,0.3973849675478204,-7.716117821682493,1.199264582231941e-14,3.6978381662131516e-14,UPF1
SKAP2,4037.269490985266,-2.6328679745230694,0.3162727052215145,-8.324676556198654,8.455930976451488e-17,4.389907350153827e-16,SKAP2
SLC25A5,14398.394931621044,-3.0783763058360996,0.33852888273061876,-9.09339339380885,9.599516900355534e-20,1.7328302257973588e-18,SLC25A5
MCUB,111.9710259162108,-4.2399071885395205,0.3915504883285135,-10.82850696123308,2.5223443562976087e-27,1.1452898576258238e-24,MCUB
HOXA11,40.284038892270345,-3.519315821197489,0.46525204996607383,-7.564320934113278,3.8989602553461935e-14,1.1079353783725957e-13,HOXA11
POLR2J,1419.5810981027519,-3.07403818661149,0.3598097399330906,-8.54351020954333,1.3020500731613307e-17,9.028694354599759e-17,POLR2J
DHX33,1415.7210677785247,-2.5200267163108894,0.30158880027678214,-8.355836536363894,6.497062708978512e-17,3.5232463854315946e-16,DHX33
MEOX1,0.01186764162365908,-2.6241041609531677,4.5426407724017865,-0.5776605046332445,0.5634933490439162,0.6039541976898029,MEOX1
THSD7A,840.8751841594315,-2.1684127933559942,0.2789436509184105,-7.77365889568228,7.625089911129431e-15,2.4376571101369382e-14,THSD7A
LIG3,1629.3810319412316,-2.771713300196946,0.36133688936649383,-7.670717775470955,1.7103650638523167e-14,5.122850377092103e-14,LIG3
RPAP3,1235.2325366948587,-2.3540506175822045,0.28515099046503534,-8.255453062755024,1.5132708849055747e-16,7.269550124823097e-16,RPAP3
ACSM3,1482.154406942211,-1.9300927024374988,0.33758461833834735,-5.717359730244123,1.0819191907928663e-08,2.1012744931981877e-08,ACSM3
REXO5,958.1684040527819,-3.088100253219918,0.33244474543318886,-9.289063207168455,1.5565221070372478e-20,4.0564065639355913e-19,REXO5
CIAPIN1,1453.9554467180199,-2.6041395071103333,0.3013559598120545,-8.641407021564952,5.55249255443843e-18,4.4682993082087856e-17,CIAPIN1
SPPL2B,1697.427912589336,-2.679728228922814,0.3400251941027652,-7.880969632247087,3.2485025882967804e-15,1.1141835359133539e-14,SPPL2B
FAM214B,398.3097432305874,-2.4745374691116617,0.34277436459659427,-7.219143917089324,5.231586637957714e-13,1.3080905655916508e-12,FAM214B
COPZ2,46.44830320339108,-3.329920461908564,0.39578152095292934,-8.413531925116317,3.9784592670262834e-17,2.3367015361631236e-16,COPZ2
PRKAR2B,322.89682441054293,-2.614680988613232,0.3316709380903353,-7.883358740044587,3.186964060845967e-15,1.0946669834249946e-14,PRKAR2B
