,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.42155760240795637,2.338313885858812,3.3354028120782573,0.7010589177988463,0.4832662471062583,,TSPAN6
TNMD,0.0,0.0,,,0.0,,TNMD
DPM1,1968.8487802676316,0.9149331007258278,0.48431122041156377,1.8891428944147217,0.058872684134693994,0.10972891862431867,DPM1
SCYL3,395.23535408311795,0.9732540358794123,0.47795029921713816,2.0363080376214016,0.041719433236772074,0.09632401601749145,SCYL3
C1orf112,718.4121585970083,1.1214751851263702,0.49849700996378193,2.2497129625869783,0.024467172130063528,0.0829985731029268,C1orf112
FGR,580.5561397678846,0.4600813642427798,0.5858208791671736,0.7853618411430638,0.4322414470597838,0.45858294089566815,FGR
CFH,56.974479522652636,1.2527998130482874,0.4033218472796106,3.1062036968698097,0.001895061237470281,0.036662146247982745,CFH
FUCA2,2821.964290429179,0.7426427248193402,0.5124229692328568,1.4492768072655742,0.14726029532262705,0.1813742019522413,FUCA2
GCLC,500.4990279370799,0.7178502507988314,0.35059675830964726,2.047509663979339,0.0406080689829528,0.095595818599086,GCLC
NFYA,2871.1118797577988,0.8443030947861899,0.4176628939045165,2.02149414541769,0.043228637790306085,0.0976318457303859,NFYA
STPG1,99.79916130561055,0.7570188418167261,0.45836978245336985,1.6515461332657502,0.09862710881751151,0.14040879415605295,STPG1
NIPAL3,877.6934307760396,0.6605993158514184,0.4202774870763626,1.5718170403245757,0.11599298845429525,0.15426300749672278,NIPAL3
LAS1L,3035.675691781443,0.9639407962159501,0.45242616236827765,2.130603568922914,0.03312181530389771,0.09132491126470152,LAS1L
ENPP4,0.007590655151668887,0.6998561136020356,4.541688513034565,0.1540960177241264,0.8775340281742322,,ENPP4
SEMA3F,57.166045015542124,0.3240003923285317,0.541701133751017,0.5981165113777527,0.549762193795446,0.57322760229469,SEMA3F
CFTR,0.04036028102924225,0.7971922617490528,4.541855981933455,0.17552125494954382,0.860670070984553,,CFTR
ANKIB1,880.2603592970473,0.8008992769345428,0.39716537564157917,2.016538515324438,0.04374369497151958,0.09819671660485843,ANKIB1
CYP51A1,5324.746924047096,1.0922928507788787,0.5891023497545831,1.8541648174276033,0.06371558382921362,0.11334475191578862,CYP51A1
KRIT1,961.7162230511708,0.9471070870817831,0.47812152868117513,1.9808919495723873,0.04760339208716034,0.10096443579837662,KRIT1
RAD52,206.24178945225864,0.6087550806421146,0.43133982927591347,1.4113120081306347,0.15815263529858403,0.19165562859621904,RAD52
MYH16,0.8521224110778595,1.1747717688672699,1.5110002376972496,0.7774795394192732,0.4368759013246467,,MYH16
BAD,401.8679846308276,0.9133571377285015,0.5562921617440482,1.6418659124460935,0.1006177955689617,0.14188035971097882,BAD
LAP3,2935.5303738406283,1.504919542420043,0.4417221498673985,3.406937014301429,0.0006569628563253761,0.02507017155518584,LAP3
HS3ST1,0.0,0.0,,,0.0,,HS3ST1
