,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.0,0.0,,,0.0,,TSPAN6
TNMD,0.07105420543316866,-0.9208633645373158,4.753427266548516,-0.19372619226084395,0.8463902818910098,,TNMD
DPM1,1247.527391261962,-0.8284358301318102,0.39383611707473726,-2.1035039556176613,0.0354217398770229,0.08132608076070873,DPM1
SCYL3,177.2272410732914,-0.5365022634754434,0.3567842795817893,-1.5037160945104238,0.13265448334589325,0.1993766867596474,SCYL3
C1orf112,433.36495496032194,-0.9250003009243891,0.41875420377761596,-2.208933767302837,0.027179248082924976,0.06935173259777858,C1orf112
FGR,560.1450891489325,0.03690975997269711,0.32464580193675563,0.11369239876968289,0.9094816383530665,0.9285114508963281,FGR
CFH,22.92410265993884,-0.658607547809186,0.46735580328719056,-1.4092208616578812,0.1587698709394939,0.22816577391418633,CFH
FUCA2,1810.8997892827538,-0.4157411638895904,0.3392348283540131,-1.2255261816918697,0.22037703164715355,0.29471827686899443,FUCA2
GCLC,399.3552492838817,-1.0867621660404916,0.33151202318790574,-3.278198345839479,0.0010447195891961185,0.01279000279610834,GCLC
NFYA,1441.6329982157256,-1.308972958680192,0.39772920756531,-3.291115999986622,0.00099790754485476,0.012496925355529282,NFYA
STPG1,55.474035495065706,-0.023611705543814497,0.3662003160925769,-0.06447756734826346,0.9485899685998764,0.9591031168698444,STPG1
NIPAL3,684.1051524893924,-0.25449581944212263,0.33009205306285744,-0.7709843877812488,0.44071618552070463,0.5160202500019755,NIPAL3
LAS1L,2474.7544734812723,-0.9693029438766166,0.3645002027888148,-2.6592658562613045,0.007831114122687983,0.035253981056476466,LAS1L
ENPP4,0.0,0.0,,,0.0,,ENPP4
SEMA3F,33.7342270654204,-0.0008065961462616886,0.44107700938561933,-0.0018286968694768394,0.9985409118146866,0.9985409118146866,SEMA3F
CFTR,0.03552710271658433,-0.8141564702920587,4.753458281774442,-0.17127666259608745,0.8640062298507583,,CFTR
ANKIB1,570.4038923545689,-1.1967503765738783,0.38114798256689764,-3.1398575653324605,0.0016902999611444285,0.01624232399211372,ANKIB1
CYP51A1,1935.8695170501726,-1.2418840379432263,0.4037181472751974,-3.0761164597753075,0.00209715915726269,0.018045101294083057,CYP51A1
KRIT1,366.02885482965905,-1.0082960956946643,0.42451083401935635,-2.375195200904317,0.01753967174937602,0.053802643142845566,KRIT1
RAD52,112.85003000009071,-0.3916435513092881,0.3801414914281414,-1.0302573124494645,0.3028892320361203,0.379905321950447,RAD52
MYH16,0.28031201896447777,-1.589170262204058,3.2057868422595375,-0.49571925408613937,0.6200925007128374,,MYH16
BAD,238.07369394633398,-0.25201094191281503,0.32290016101717506,-0.7804608740947967,0.43511964880606424,0.510651887904451,BAD
LAP3,2027.9584241547889,-1.1282505957002418,0.33455397332893416,-3.372402319642886,0.0007451551294802929,0.010696331071895313,LAP3
HS3ST1,0.07105420543316866,-0.9208633645373158,4.753427266548516,-0.19372619226084395,0.8463902818910098,,HS3ST1
AOC1,60.920737182388024,0.9313492935691727,0.3527582359468831,2.6401914928200614,0.008285919407055115,0.03625270872205858,AOC1
WNT16,0.16786383599646487,-1.136888456701397,3.9897075457116484,-0.2849553366194436,0.7756783600834016,,WNT16
HECW1,2.7786627151758796,-4.354258389892989,1.4614654061135113,-2.979378349756707,0.0028883389319469574,0.021378790217695367,HECW1
MAD1L1,1106.6196798360638,-0.1485797256342286,0.30363349736690665,-0.48933904500888076,0.6246016826511278,0.6877248714605699,MAD1L1
LASP1,4741.612653496112,-0.3614597221209688,0.2992268822565033,-1.2079787731475218,0.22705542734487394,0.3014522650221333,LASP1
SNX11,709.7162233765982,-0.6840045612845898,0.325572688777933,-2.10092733469771,0.03564734548612986,0.08167604319402981,SNX11
TMEM176A,13.810593790017252,-0.11138571120695775,0.447620891009943,-0.2488393938800402,0.8034850174218373,0.8416668121903785,TMEM176A
M6PR,7048.310294847079,-0.7574294607884877,0.3416806994968654,-2.2167756677618145,0.026638425046417936,0.0685026844800396,M6PR
