,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.0,0.0,,,0.0,,TSPAN6
TNMD,0.04222913975337139,-0.2507265395721584,4.7535951839357615,-0.05274461326018262,0.9579353922338543,,TNMD
DPM1,1089.5764526402888,-0.007351248347931373,0.12526638315000926,-0.05868492538120216,0.9532030664463985,0.9793059732914041,DPM1
SCYL3,161.43442220206202,-0.2235376374772158,0.11809229374210507,-1.8929062210052987,0.05837034181185109,0.25407231194686136,SCYL3
C1orf112,373.26504312737626,0.09335654697827364,0.1520594846234261,0.6139475430254828,0.5392499918418088,0.7527295445268322,C1orf112
FGR,569.2486700624812,-0.5825576915526571,0.29976362666255163,-1.9433901905932403,0.05196903158436833,0.24120994638373258,FGR
CFH,20.66840205220963,-0.2776329472239825,0.3119971739312786,-0.8898572500696263,0.37354254120422753,0.6236749213398263,CFH
FUCA2,1671.0496111234088,0.0681191227386082,0.12027761100118893,0.5663491498674251,0.5711564549095478,0.7773367496419848,FUCA2
GCLC,377.8437312401941,-0.5784801038371649,0.21751714789544793,-2.6594689634088886,0.00782639404712795,0.11516233052585895,GCLC
NFYA,1244.7961322639653,-0.21572615472177506,0.15146765251247776,-1.4242391107500907,0.15437726678438987,0.4051694894419187,NFYA
STPG1,52.18103669333399,-0.055607251757504375,0.22250534825720922,-0.24991422540200756,0.8026536819498333,0.910183216056396,STPG1
NIPAL3,638.8077438689943,-0.04082858107980386,0.12197798636623457,-0.334720897566037,0.7378356359209155,0.873901405425748,NIPAL3
LAS1L,2198.734067162203,0.038427706766334495,0.08166004749189673,0.470581489315785,0.6379396289340667,0.8172549900091481,LAS1L
ENPP4,0.0,0.0,,,0.0,,ENPP4
SEMA3F,30.888053184283596,0.12505267021694713,0.30087701663610944,0.41562719417744676,0.6776828242068138,0.8407954479028945,SEMA3F
CFTR,0.021114569876685696,-0.14767980457675814,4.7535951839357615,-0.031066971179166743,0.9752161301290183,,CFTR
ANKIB1,506.3869316044639,-0.37712393293143714,0.1664753668923051,-2.2653437560849654,0.02349159288550286,0.1727761725539921,ANKIB1
CYP51A1,1671.6630147140086,0.2880888269566159,0.1847118100522147,1.5596665252491348,0.11883870663872502,0.35759997999696425,CYP51A1
KRIT1,315.44307153482595,-0.12489468276132577,0.1840077181627757,-0.6787469787046773,0.4972981941140505,0.7228170261283257,KRIT1
RAD52,103.82929848662694,-0.30622451194981215,0.1919771651104548,-1.595109042128134,0.11068785382565717,0.3460460261686149,RAD52
MYH16,0.24552904244582685,-0.8759436303602653,3.3903853085561435,-0.2583610860245562,0.7961282461460905,,MYH16
BAD,231.8605297539398,0.33280833481618194,0.2308733526222075,1.4415190451224442,0.14943810079351452,0.3988077485101154,BAD
LAP3,1834.7400569259107,-0.15302054496039574,0.10542042064343117,-1.4515266020230073,0.14663328023733613,0.3959281400922087,LAP3
HS3ST1,0.04222913975337139,-0.2507265395721584,4.7535951839357615,-0.05274461326018262,0.9579353922338543,,HS3ST1
AOC1,73.72491241208068,-0.6620569583246795,0.5671932390336258,-1.1672511461044226,0.2431089614946141,0.505955951670138,AOC1
WNT16,0.12630588662068462,0.36755780343485595,4.447164592811782,0.0826499212619568,0.9341299056028244,,WNT16
HECW1,1.9404519964843066,-1.1518287124787918,1.2376137467644277,-0.9306851313587061,0.352016463146237,,HECW1
MAD1L1,1060.8370464793732,0.26016905387938094,0.15903269644548937,1.635946944838211,0.10185069173814193,0.3316656736224757,MAD1L1
LASP1,4518.7639938789935,0.11081371175563698,0.15059777298254043,0.7358257002145987,0.4618367786354761,0.6963728983185262,LASP1
SNX11,657.509609669405,-0.0427445527273188,0.12153626520103689,-0.35170204265051025,0.7250617285086697,0.8677451351823895,SNX11
TMEM176A,14.022328930856704,-0.4334713309905442,0.441096577169972,-0.982712978122953,0.3257487214693551,0.5837835085431302,TMEM176A
M6PR,6378.871045694612,-0.03476908811457311,0.03966417226512598,-0.8765867564856059,0.3807111350800644,0.6290957367538187,M6PR
KLHL13,69.51406209306909,-0.22693666049287228,0.25131210565188655,-0.9030072781580257,0.3665220321887908,0.617400780207257,KLHL13
CYP26B1,0.11761587884965129,-0.662979598908713,4.753594427157204,-0.13946911312440158,0.8890794615254937,,CYP26B1
ICA1,93.24274874054666,-0.12298982402733737,0.18156196087513485,-0.677398632590892,0.49815306569594076,0.723397651877996,ICA1
DBNDD1,74.00898388916221,0.16388942969644957,0.487924553027802,0.3358909255118201,0.7369531203062147,0.8734134718725393,DBNDD1
ALS2,312.19094613208154,-0.2472487825721499,0.1456252810134163,-1.6978424408971349,0.08953750326533763,0.3115588591126223,ALS2
CASP10,265.8308184232391,-0.1931697056799928,0.19049247169439812,-1.0140542771154217,0.31055685377361664,0.5691217737589427,CASP10
CFLAR,2435.4968674124107,-0.04983009556510708,0.15730653703760777,-0.31677066003426185,0.7514176284705376,0.8821078105093689,CFLAR
TFPI,1.3983580731143634,-2.3471512167048463,1.507985735707755,-1.5564810469531656,0.11959374610238294,,TFPI
NDUFAF7,274.5469278448941,-0.05752489118874616,0.1241768253271546,-0.46324981362014894,0.6431853141798862,0.8200748004553,NDUFAF7
RBM5,1628.826872799043,-0.1954664862054455,0.08386545711001456,-2.3307150874886773,0.019768388091492894,0.16083322884957243,RBM5
MTMR7,16.518890019997897,0.30334256311921415,0.3638032462611626,0.8338093907536337,0.40438840269162557,0.6506480046809716,MTMR7
SLC7A2,0.05494772526067624,-0.2507265395721588,4.7535951839357615,-0.0527446132601827,0.9579353922338542,,SLC7A2
ARF5,1135.9090882548246,0.06707326730432325,0.14644977771983014,0.4579950092695917,0.6469560268113108,0.8222059756844969,ARF5
SARM1,19.50911855469468,-0.06507213399238845,0.5352479479547584,-0.12157381311042158,0.9032365537313557,0.9577629378235236,SARM1
POLDIP2,2469.608032938135,0.007538782110183557,0.10198915051079137,0.0739174909529802,0.9410760381539093,0.974139656129202,POLDIP2
PLXND1,2397.959163498031,0.19048194417875342,0.14201211774659003,1.34130767994499,0.17982057734559007,0.43611779762475456,PLXND1
AK2,13349.69951893303,0.019849055121366036,0.12600280968312563,0.15752867075966667,0.8748282139693899,0.9458173889512386,AK2
CD38,289.5880465207058,-0.5895639899413051,0.474121704611407,-1.2434866073564703,0.21368857311161796,0.47607263896420643,CD38
FKBP4,5234.550645970784,0.4662473032995337,0.11206804814112832,4.160394608750428,3.176981964064041e-05,0.018762966663220037,FKBP4
KDM1A,1922.793296989833,-0.1836687200822872,0.14455763897701493,-1.2705569998379058,0.20388629270012243,0.4650798105780707,KDM1A
RBM6,1967.169378366912,-0.06389431579727288,0.06326169128385956,-1.0100001201449815,0.3124952324807883,0.570603162411993,RBM6
CAMKK1,261.1458682767666,0.2475409196944646,0.1416419251594642,1.747652888901196,0.08052415116736819,0.2979834353210745,CAMKK1
RECQL,1016.4077211169507,-0.3702225644293843,0.20069468472456775,-1.8447053789066494,0.0650804080012652,0.2664953486165896,RECQL
VPS50,217.43978598770872,-0.3559141223562343,0.20530019582702505,-1.733627778202942,0.08298414844295075,0.302470478664973,VPS50
HSPB6,4.469195431094578,0.7736135218402042,0.5935329964467279,1.303404404593434,0.19243673357293142,,HSPB6
ARHGAP33,195.49287281808128,0.09342102311343337,0.16894275793607866,0.552974417221129,0.5802809281982173,0.783681312948604,ARHGAP33
NDUFAB1,1451.0295497104148,0.30022061222598756,0.11182600037886678,2.6847120634632318,0.007259231503893116,0.11162034902968432,NDUFAB1
PDK4,1.937771317617062,-3.746424576792593,3.092824971853707,-1.2113277055400733,0.22576983447360213,,PDK4
SLC22A16,123.05871441462725,0.5928199837668702,0.3297155701600825,1.797973882395199,0.07218114671188153,0.2815519781529501,SLC22A16
ZMYND10,18.11151602363151,0.5602705311781728,0.3731865530886317,1.5013148961053502,0.13327413394527798,0.37907855130275764,ZMYND10
ABCB5,0.0,0.0,,,0.0,,ABCB5
ARX,0.6954681318603166,-1.9914057432264296,2.077465389330442,-0.9585746908006256,0.3377730476715214,,ARX
SLC25A13,580.064975231923,0.044020414249653125,0.10671419637670902,0.412507573915075,0.6799674304698946,0.8422132339461715,SLC25A13
ST7,407.17283211659486,0.1293974045455201,0.08802691184995393,1.4699755089225912,0.14156838717123046,0.39013244341155484,ST7
CDC27,1283.7370021655208,-0.14827859895698475,0.17316368454978842,-0.856291544861136,0.3918365368965009,0.6385730483827163,CDC27
SLC4A1,0.11293822143863529,-0.5598667445583593,4.7535951839357615,-0.11777753950323026,0.9062439265431591,,SLC4A1
CALCR,0.0,0.0,,,0.0,,CALCR
HCCS,596.678229525495,-0.03902484093688317,0.08136549784975661,-0.47962394341817344,0.6314948178562602,0.8120475404128138,HCCS
DVL2,541.7200627222447,0.20924671329870592,0.10712583631484089,1.953279624195732,0.05078647054413961,0.23899623751539514,DVL2
PRSS22,0.0,0.0,,,0.0,,PRSS22
