,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.0,0.0,,,0.0,,TSPAN6
TNMD,0.07105420543316866,-0.4572900994847439,4.753339984629836,-0.09620395363332193,0.9233585908369332,,TNMD
DPM1,1247.527391261962,-1.116615852570797,0.3780787170650796,-2.9533951586557863,0.0031429934905105256,0.007686511242159392,DPM1
SCYL3,177.2272410732914,-1.02660833169712,0.3372132480551437,-3.044389085001907,0.0023315338511599375,0.006031231102237496,SCYL3
C1orf112,433.36495496032194,-1.331043756801899,0.3989989499257954,-3.335958044625036,0.0008500599148035146,0.0027280053529408895,C1orf112
FGR,560.1450891489325,0.13136430359699838,0.32087127446415714,0.4093987653347025,0.6822470455826473,0.7277564486225377,FGR
CFH,22.92410265993884,-0.39507909298628713,0.47558595990120284,-0.8307206820578975,0.40613143985101147,0.46671458281221206,CFH
FUCA2,1810.8997892827538,-1.0306943782917555,0.30922870798864244,-3.333113490645285,0.0008587990324347416,0.0027492276838043395,FUCA2
GCLC,399.3552492838817,-0.27116538030623066,0.3584483136162062,-0.7564978547969118,0.4493507580992144,0.5090122471450635,GCLC
NFYA,1441.6329982157256,-1.4436500596385387,0.387159283312796,-3.7288271826667696,0.000192373020012619,0.0008665223313726304,NFYA
STPG1,55.474035495065706,-1.0977134436908462,0.34606222684090765,-3.172011732431835,0.0015138689090209566,0.004271272993309128,STPG1
NIPAL3,684.1051524893924,-0.9536485853429055,0.3005866967068292,-3.1726240575211695,0.001510680022800109,0.004264366682190719,NIPAL3
LAS1L,2474.7544734812723,-1.2856323470439808,0.34387584599526283,-3.73865266204737,0.00018500913223033376,0.0008391029701376882,LAS1L
ENPP4,0.0,0.0,,,0.0,,ENPP4
SEMA3F,33.7342270654204,-1.6684682373968218,0.42407884543753005,-3.934334983569935,8.342736237784588e-05,0.0004645030464422479,SEMA3F
CFTR,0.03552710271658433,-0.3466844776206481,4.75341019422653,-0.07293384400987095,0.9418587620243848,,CFTR
ANKIB1,570.4038923545689,-0.7276665817709747,0.3972162261058746,-1.8319155511462448,0.06696400327544413,0.09857139674120738,ANKIB1
CYP51A1,1935.8695170501726,-1.3779814966043031,0.39324477683600245,-3.504131720938209,0.000458098707047084,0.0016791162066022048,CYP51A1
