,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.006578199543252406,-0.42548048326930626,7.372660086192542,-0.057710579125456046,0.9539791668189807,,TSPAN6
DPM1,2199.2424235586363,-0.8733485829764058,0.43955742356737554,-1.9868816590297869,0.04693551256905928,0.13484405171864655,DPM1
SCYL3,609.7303546978766,-0.5916919098162331,0.40831993938650835,-1.4490889440893753,0.14731274515070886,0.21918283207057915,SCYL3
C1orf112,1291.193240651277,-1.0162267627588282,0.472589728242258,-2.1503361203777414,0.03152863723724931,0.12479392407401851,C1orf112
FGR,3105.5060926168985,-0.2595482665474708,0.44849831845326643,-0.5787051051664439,0.5627881706826041,0.6233973488074603,FGR
CFH,11.29123062008396,-0.16109578560887536,0.7143274541345082,-0.22552092135960514,0.821574051645356,0.851388364683423,CFH
FUCA2,3672.014748830664,-0.8615670806168839,0.42082264812693176,-2.047340095528821,0.0406247036852847,0.13101495725247725,FUCA2
GCLC,445.94852106345485,-0.9612559376746954,0.4278791674814671,-2.246559334339012,0.024668203537158692,0.11776255463666092,GCLC
NFYA,3691.3368505895387,-1.1571026480456221,0.45619798365837255,-2.5364045644535937,0.011199726479422741,0.08670726512738385,NFYA
STPG1,136.896665735748,-1.3613036770874807,0.4682652234930668,-2.907121026269499,0.003647720388570827,0.0469214548918046,STPG1
NIPAL3,1618.1001270530567,-0.9800921096712151,0.4242808903075123,-2.3100076672339855,0.020887729645556397,0.11128313494338832,NIPAL3
LAS1L,4718.3068020188875,-1.095333087655777,0.4765459370448207,-2.298483739989913,0.02153427228146003,0.11216539004627499,LAS1L
ENPP4,0.017276399737425095,-0.4254804835515579,7.372660086192484,-0.05771057916374005,0.9539791667884853,,ENPP4
SEMA3F,71.20578413818416,-1.0283469222363382,0.42250198637790026,-2.433945769231365,0.014935232556920924,0.09802455601295446,SEMA3F
CFTR,0.0,0.0,,,0.0,,CFTR
ANKIB1,2040.6169052141581,-0.903630367693153,0.43449555207859836,-2.0797229416279275,0.03755095258356743,0.12877189110862666,ANKIB1
CYP51A1,6100.366650498587,-1.6433268070685285,0.5608654122665699,-2.929984219257726,0.003389792181876718,0.04473955967105524,CYP51A1
KRIT1,2082.956044318025,-0.9444549345799689,0.43001199535537515,-2.196345554963978,0.028067219421261797,0.12151763078844849,KRIT1
RAD52,399.417600964332,-0.7852203764863379,0.45620542339957504,-1.7211991269963263,0.08521469620150443,0.1605352067339365,RAD52
MYH16,0.7413300964703357,0.5463676274463132,1.3781549662004497,0.3964486148844637,0.6917741082434072,,MYH16
BAD,458.2366147558312,-0.7504919377783229,0.40403892445755485,-1.8574743480121398,0.06324369744654947,0.14357927615370594,BAD
LAP3,5071.073540082875,-0.45997342959033627,0.4443473450335185,-1.0351663731796101,0.3005912198894689,0.37391776489656253,LAP3
HS3ST1,0.036072436598398726,-0.4734653763171199,7.372650096341189,-0.06421915730845353,0.9487957235531754,,HS3ST1
AOC1,220.5072569281303,0.37389914772594224,0.7260664200116338,0.5149654872070123,0.6065771374411564,0.6639880485538613,AOC1
WNT16,0.6918131753874589,1.1212621186131675,1.1972165728280706,0.9365574650913133,0.3489862401196315,,WNT16
HECW1,22.593146106057358,-0.9559061602153643,1.0374515693730209,-0.9213983461349062,0.356842491925188,0.4287460356622554,HECW1
MAD1L1,1565.891756935548,-0.9368294503888811,0.40436940880095174,-2.316766377473498,0.020516461513134746,0.11054816202123853,MAD1L1
LASP1,10195.45895761722,-0.6391710773772913,0.39166975945584653,-1.6319132686304465,0.10269775843127957,0.1759738831576727,LASP1
SNX11,1556.412938033404,-0.7473978903683781,0.41160416328355565,-1.815817129754086,0.06939842872100517,0.14805375190058506,SNX11
TMEM176A,2.925002230582625,-0.49732370152052996,0.9145842729566691,-0.5437702311595424,0.586599596430752,,TMEM176A
M6PR,14855.66342462436,-0.9109880775565534,0.4416282646637821,-2.06279387088166,0.039132216617733265,0.129475764296752,M6PR
KLHL13,20.877445973103747,-0.47319594540202214,0.679067978528784,-0.6968314813300603,0.4859082620018757,0.5526595092332145,KLHL13
CYP26B1,5.128501577141321,-5.1301057551756495,1.4139580560899556,-3.6281880732459815,0.0002854173184244139,0.0075722371675233865,CYP26B1
ICA1,79.19920578068634,-1.1240454134343998,0.4568068524643248,-2.460657950664574,0.013868251230802047,0.09499250058319614,ICA1
DBNDD1,107.45249514882899,-0.5686424210687806,0.5495782122901733,-1.0346888001603336,0.3008142681496437,0.374165589257805,DBNDD1
ALS2,808.8784559211844,-0.5847634687063652,0.43075552236109377,-1.3575298245768503,0.17461292355880992,0.24658070287849926,ALS2
CASP10,705.6906409029465,-0.5496289180956824,0.37583486252277026,-1.4624213262344248,0.1436257888991171,0.2156094017292746,CASP10
CFLAR,4873.505090359028,-1.0520556492887267,0.3396393069723279,-3.0975674125210806,0.0019511601350200986,0.031317955060862886,CFLAR
TFPI,0.15994503202567492,0.12074560346486497,3.6900762769166846,0.032721709364164235,0.9738965115905179,,TFPI
NDUFAF7,887.9534830362828,-0.858626341871547,0.4548816555531671,-1.8875818169176306,0.059082113029991515,0.1412942951178834,NDUFAF7
RBM5,3974.438568876242,-0.6085228716071539,0.4185249028190019,-1.4539705224430093,0.14595447890946217,0.2177187810572716,RBM5
MTMR7,54.709062299630354,-1.1992870066567096,0.4912899224641528,-2.4410983246745026,0.014642667431603775,0.09707768615555855,MTMR7
SLC7A2,0.0,0.0,,,0.0,,SLC7A2
ARF5,2006.6772028948478,-0.357899250073037,0.397088870453339,-0.9013076837546192,0.3674247495278156,0.43863353964611973,ARF5
SARM1,51.58564211959159,0.32734724942956583,0.5507337376871811,0.594383868335846,0.5522553954804945,0.613417485248702,SARM1
POLDIP2,6027.802609627608,-0.7033094813933609,0.45275533336788015,-1.5533985567032436,0.1203279475090815,0.19264737447274558,POLDIP2
PLXND1,4288.837128795087,-1.0603641946020914,0.39927727361779564,-2.655708863653269,0.007914190716796594,0.07347593885032642,PLXND1
AK2,26671.73087525223,-1.38962121422184,0.44590382772011233,-3.1164146343549355,0.0018306467401345771,0.02996673883092369,AK2
CD38,2767.509120144184,-6.4269694807117554,0.5237405003896057,-12.271286020330281,1.2918502048361421e-34,8.626927360192494e-31,CD38
FKBP4,12480.269262184434,-0.9547646983973352,0.5141338913840835,-1.8570351311154445,0.06330615607821302,0.14357927615370594,FKBP4
KDM1A,6295.787904985383,-1.0119366325118653,0.47302368262307715,-2.1392938021629964,0.03241188134067283,0.12542995819050293,KDM1A
RBM6,4354.067913585504,-0.8804291805961466,0.4412192977773773,-1.9954457681957016,0.04599428341007953,0.13407112088592765,RBM6
CAMKK1,577.3647230486237,-0.7137049909098039,0.47648613338268436,-1.4978504953398086,0.13417209805321348,0.20595259695306598,CAMKK1
RECQL,3799.8707957831543,-0.5859817487018009,0.4620193118252839,-1.2683057476251,0.2046887853128065,0.2768232741950682,RECQL
VPS50,851.5527711173551,-0.9798045910228459,0.43233620553731933,-2.2663024249961157,0.023432873058493765,0.1152236025487668,VPS50
HSPB6,5.398111084269755,-1.273446337213956,0.8006028953250958,-1.5906092079480372,0.11169755093626701,0.18451006888988322,HSPB6
ARHGAP33,403.80385420581774,-1.2691388586922285,0.47221275179573274,-2.6876420720659104,0.007195848364298907,0.07011800279203974,ARHGAP33
NDUFAB1,3137.029601791414,-0.7591697642435061,0.4651893042034922,-1.631958769007757,0.10268817225891731,0.1759738831576727,NDUFAB1
PDK4,2.941667248701908,2.063185326240525,0.682112644491378,3.0246988424895034,0.002488808117081018,,PDK4
SLC22A16,343.05995219241356,-2.1848517958375377,0.5729488852956693,-3.8133450503355957,0.00013709849301293781,0.00436768545894767,SLC22A16
ZMYND10,46.10944842826399,-0.6720061038022067,0.48561820482689927,-1.383815715973305,0.16641488955978292,0.2382165745010892,ZMYND10
ABCB5,0.030052570409205653,-0.47346537617031126,7.37265009634122,-0.06421915728854066,0.9487957235690309,,ABCB5
ARX,1.589466692312648,-0.9494166475340283,1.3991474453588642,-0.6785679741497971,0.4974116406767977,,ARX
SLC25A13,1585.507260843516,-0.7764569550851516,0.4813849500353271,-1.6129647489564645,0.1067521665306341,0.1801299449430747,SLC25A13
ST7,544.2685148709028,-0.9354937086393962,0.41515902324393966,-2.253338254169939,0.024237829498297062,0.11677761118803069,ST7
CDC27,5635.06782485434,-1.1158127761797605,0.45533895479779973,-2.4505102504907676,0.014265390080197036,0.09576263051028931,CDC27
SLC4A1,2.1180804457655955,-1.9770951364904579,1.3091624938341986,-1.5101984251779603,0.13099280042319575,,SLC4A1
CALCR,0.0,0.0,,,0.0,,CALCR
HCCS,1718.2760506310872,-0.5470988493498662,0.42248671186408393,-1.2949492468910373,0.19533773825233688,0.26743153042112994,HCCS
DVL2,1810.6435243597296,-1.0299966281575132,0.45970088678070997,-2.240580033183295,0.025053291263765227,0.11802722267214397,DVL2
PRSS22,0.9348650893448647,-2.820529679604169,7.370893186042815,-0.3826577876538755,0.7019735170133432,,PRSS22
UPF1,11041.819010831585,-0.787225543125099,0.4396087906379937,-1.7907411314105377,0.0733348459562194,0.15082852666414892,UPF1
SKAP2,5362.064181898359,-0.5283257785663757,0.4184683546453965,-1.2625226560179699,0.20676077915806512,0.27876940488081126,SKAP2
SLC25A5,17379.712419513984,-0.7983922650600859,0.468306671966344,-1.70484922136122,0.088222548820477,0.16309126080207295,SLC25A5
MCUB,64.05090210027466,-2.180092842826642,0.7871967808210066,-2.769438209024324,0.005615305440035355,0.06041967676951944,MCUB
HOXA11,546.4967659989001,-0.4457889016498772,0.4090965858636223,-1.0896910828742208,0.2758492454422146,0.3495633571821383,HOXA11
POLR2J,1815.9899625047028,-0.7046125199366764,0.435019509666454,-1.619726251994835,0.10529109434635207,0.1783351588271116,POLR2J
DHX33,3201.3871395895644,-0.9456104462660249,0.4922608346297826,-1.920954054728314,0.05473750010031773,0.13898889808445894,DHX33
MEOX1,0.2656135516508258,-1.1804655567344655,2.534362511494056,-0.46578401920826956,0.6413701050845033,,MEOX1
THSD7A,482.78200048175853,-4.582163574289499,0.65073368459697,-7.041534321567276,1.9013436664151126e-12,5.742789158599185e-10,THSD7A
LIG3,3518.1305744415513,-1.066373074153934,0.4482471379300066,-2.378984680367211,0.017360397441193144,0.1041491223114513,LIG3
RPAP3,2214.020342577374,-1.022416918015862,0.44181330162659255,-2.314137927155435,0.020660157560539596,0.11070912133941825,RPAP3
ACSM3,2300.858965151134,-2.8034977898474636,0.5218920334163485,-5.371796483451826,7.795606358519372e-08,7.899212481735823e-06,ACSM3
REXO5,1247.7619561326524,-1.3000264911099029,0.45847488862544017,-2.8355456827908943,0.004574747191181754,0.05406397073405851,REXO5
CIAPIN1,2403.8163723967346,-0.9159887130939631,0.46076720491391165,-1.9879642112660854,0.046815648236192525,0.1347945428671215,CIAPIN1
SPPL2B,2271.809614086764,-1.1407933312462037,0.43247178313734363,-2.6378445385971285,0.008343482157438823,0.07566984819197971,SPPL2B
FAM214B,744.7663514524529,-0.26676381132476973,0.4108198584269134,-0.6493449765214506,0.5161154206238059,0.5803757998365787,FAM214B
COPZ2,271.4245469810618,0.06403611880090058,0.42035888262528537,0.15233678042194104,0.8789213168552229,0.8992293691715015,COPZ2
PRKAR2B,1174.512972789692,1.762653071175066,0.4920664723376019,3.582144222916548,0.0003407855554500704,0.008717227905372648,PRKAR2B
MSL3,1560.761449538913,-0.530998354008532,0.44680744505615183,-1.188427721793668,0.23466494006105076,0.3073934569306808,MSL3
CREBBP,3736.7431672168163,-0.39824007988171123,0.40445565366672853,-0.9846322489779339,0.3248047429915763,0.3970492675906798,CREBBP
TSPOAP1,1684.587278286453,-3.9503618556532176,0.6303878104689395,-6.266558125092204,3.691156449233801e-10,7.24666289895826e-08,TSPOAP1
MPO,436.5967377238829,-7.249735674337209,0.9498118940423562,-7.63281205448235,2.296876181680426e-14,8.798716416944577e-12,MPO
GCFC2,647.856056271256,-1.1483503938581876,0.4804684263343586,-2.3900642184114074,0.01684542702393324,0.1027476046407701,GCFC2
WDR54,980.6242902247991,-0.5172541332742057,0.4833288804668578,-1.070190824878039,0.2845334234114364,0.35831317736529983,WDR54
CROT,13.993260041376871,-1.3737785355746932,0.5928785861192731,-2.317132997780968,0.020496487991617122,0.11054816202123853,CROT
