,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
TSPAN6,0.0,0.0,,,0.0,,TSPAN6
TNMD,0.04222913975337139,-0.49935322622274614,4.7535951839357615,-0.1050474865655902,0.9163381283043908,,TNMD
DPM1,1089.5764526402888,-0.005932232343507901,0.1251318309356213,-0.04740786016756965,0.9621881645579985,0.989840534948905,DPM1
SCYL3,161.43442220206202,-0.055947505009732806,0.12057765308445201,-0.46399563748804634,0.6426508711795705,0.8990238749451032,SCYL3
C1orf112,373.26504312737626,-0.04255611113859138,0.1524854714308214,-0.27908305453151294,0.7801810872090265,0.9414759498761605,C1orf112
FGR,569.2486700624812,-0.7204380047913853,0.2937008846118006,-2.452965048925967,0.014168410437525153,0.2774527063238423,FGR
CFH,20.66840205220963,-0.2893353569172865,0.3052722949219652,-0.9477943518957311,0.34323415644925415,0.7553511612498252,CFH
FUCA2,1671.0496111234088,-0.22327072646155702,0.1150011356227105,-1.9414654059943506,0.052201851565879004,0.44614932641980487,FUCA2
GCLC,377.8437312401941,0.06558227870412218,0.23269561588433296,0.2818371908507355,0.7780683522153715,0.9410182062315317,GCLC
NFYA,1244.7961322639653,0.27448077120100073,0.1478659362824375,1.856281291701405,0.06341347427410862,0.47669445218057716,NFYA
STPG1,52.18103669333399,-0.23373315678070392,0.21863271374961402,-1.0690676284079952,0.28503919704474395,0.7237483681003599,STPG1
NIPAL3,638.8077438689943,-0.2534122954767684,0.11464573458682935,-2.210394450260522,0.02707779863339196,0.35739248453802397,NIPAL3
LAS1L,2198.734067162203,0.12556515200337273,0.07854041638276009,1.5987329554180305,0.10987995171768379,0.5543215481227507,LAS1L
ENPP4,0.0,0.0,,,0.0,,ENPP4
SEMA3F,30.888053184283596,-0.30103911541248046,0.2999449139281859,-1.0036480081291077,0.31554830565319725,0.7385483461351197,SEMA3F
CFTR,0.021114569876685696,-0.3963064912273458,4.7535951839357615,-0.0833698444845743,0.9335574656313265,,CFTR
ANKIB1,506.3869316044639,0.18324681791962477,0.17285560912653813,1.060114964423745,0.28909230068418534,0.7256379129150244,ANKIB1
CYP51A1,1671.6630147140086,-0.01823141151914352,0.19092664445506347,-0.09548908991292972,0.923926355650338,0.9823036871918768,CYP51A1
KRIT1,315.44307153482595,0.1251997485561415,0.1828290529759943,0.6847913201879374,0.4934756133451816,0.8347072542790309,KRIT1
RAD52,103.82929848662694,-0.05782176131994148,0.19450843918466681,-0.2972712215589029,0.7662594509375613,0.9380516237043158,RAD52
MYH16,0.24552904244582685,-1.1261379786099988,3.388958944688309,-0.33229614078832476,0.7396656537051252,,MYH16
