,IL-9 Signaling Pathway ,selenium ,Electron Transport Chain ,Triacylglyceride Synthesis ,Oxidative Stress ,mRNA processing ,Senescence and Autophagy ,Glycolysis and Gluconeogenesis ,Androgen Receptor Signaling Pathway ,Striated Muscle Contraction ,One Carbon Metabolism ,Hedgehog Signaling Pathway ,Delta-Notch Signaling Pathway ,Myometrial Relaxation and Contraction Pathways ,Id Signaling Pathway ,SIDS Susceptibility Pathways ,Regulation of Actin Cytoskeleton ,selenium ,Integrin-mediated cell adhesion ,Hypothetical Network for Drug Addiction ,IL-5 Signaling Pathway ,Urea cycle and metabolism of amino groups ,IL-4 signaling Pathway ,Inflammatory Response Pathway ,IL-3 Signaling Pathway ,Calcium Regulation in the Cardiac Cell ,Oxidative phosphorylation ,p38 MAPK Signaling Pathway ,Hypothetical Network for Drug Addiction ,Prostaglandin Synthesis and Regulation ,Apoptosis ,G13 Signaling Pathway ,EGFR1 Signaling Pathway ,SIDS Susceptibility Pathways ,Eukaryotic Transcription Initiation ,"GPCRs, Class A Rhodopsin-like ",Eukaryotic Transcription Initiation ,Apoptosis ,Fatty Acid Biosynthesis ,ErbB signaling pathway ,Endochondral Ossification ,Interferon type I ,TNF-alpha-NF-kB Signaling Pathway ,Matrix Metalloproteinases ,TGF Beta Signaling Pathway ,MAPK Cascade ,estrogen signalling ,Glycogen Metabolism ,G1 to S cell cycle control ,Oxidative phosphorylation ,Fatty Acid Beta Oxidation ,Toll-like receptor signaling pathway (for GenMAPP) ,Nuclear receptors in lipid metabolism and toxicity ,Translation Factors ,Selenium metabolism-Selenoproteins ,Complement and Coagulation Cascades KEGG ,Proteasome Degradation ,DNA Replication ,TGF-beta Receptor Signaling Pathway ,G Protein Signaling Pathways ,Ovarian Infertility Genes ,Peptide GPCRs ,Wnt Signaling Pathway NetPath ,Diurnally regulated genes with circadian orthologs ,Cell cycle ,Wnt Signaling Pathway and Pluripotency ,Endochondral Ossification ,Glutathione metabolism ,IL-2 Signaling Pathway ,ErbB signaling pathway ,FAS pathway and Stress induction of HSP regulation ,TCA Cycle ,Toll-like receptor signaling pathway ,Proteasome Degradation ,Senescence and Autophagy ,T Cell Receptor Signaling Pathway ,B Cell Receptor Signaling Pathway ,ErbB signaling pathway ,Type II interferon signaling (IFNG) ,Insulin Signaling ,Wnt Signaling Pathway and Pluripotency ,Adipogenesis ,Kit Receptor Signaling Pathway ,Senescence and Autophagy ,IL-7 Signaling Pathway ,Selenium metabolism-Selenoproteins ,Tryptophan metabolism ,estrogen signalling ,estrogen signalling ,Oxidative phosphorylation ,Signal Transduction of S1P ,Folic Acid Network ,Folic Acid Network ,"GPCRs, Other ",Selenium metabolism-Selenoproteins ,Translation Factors ,Signaling of Hepatocyte Growth Factor Receptor ,Alpha6-Beta4 Integrin Signaling Pathway ,EPO Receptor Signaling ,Cytoplasmic Ribosomal Proteins ,MAPK signaling pathway ,Wnt Signaling Pathway ,Oxidative phosphorylation ,IL-6 Signaling Pathway 
IRF2BP2,-0.2843261976625247,-0.2117402459571696,-0.1899048342801084,-0.1713679078748027,0.13877766065283964,-0.3517938210724335,-0.16448000595821155,-0.40890224521408813,-0.16586888114544837,-0.35312136475383077,-0.2534355164629604,-0.4012366113220321,-0.18263213880648402,-0.17866706971465696,-0.30698721350028907,-0.41578105581288055,-0.2308039437447778,-0.2117402459571696,-0.24376206230488517,-0.35457206417343423,-0.15466362002193487,-0.3721905454505819,-0.23160490307386292,-0.5275756400022777,-0.19264627487168223,-0.27073292525483494,-0.18387793517588616,-0.27899436857447363,-0.35457206417343423,-0.3670955497015957,-0.11212951457828722,-0.2334985309152899,-0.20286929108627036,-0.3706526201242999,-0.29654805310290344,-0.33312416828226604,-0.29654805310290344,-0.11212951457828722,-0.4681960563337307,-0.2994099790569217,-0.45455097260070926,0.2553073554681215,-0.239122194833193,-0.47160124162223005,-0.2929842700537699,-0.3518375260065287,-0.23693792771762157,-0.23716687015702315,-0.1863927420825248,-0.18387793517588616,-0.21080222965079942,-0.18959406974307488,0.0,-0.34230532863731417,0.15973612076790394,-0.36393136905938633,0.18298890965412967,-0.44708362080914,-0.2511619391209179,-0.20225330972154978,-0.3994249425652121,0.4396780653633231,-0.24479061302511804,-0.13227486223040133,-0.3098418199422349,-0.2811830845843648,-0.45455097260070926,-0.3670205187167128,-0.23688390759949887,-0.17526536201325488,-0.3240480640374586,-0.28032564033399665,-0.18959406974307488,0.18298890965412967,-0.16448000595821155,-0.1780335641207972,-0.14157014889125974,-0.17526536201325488,0.32677007453947526,-0.24109223652649658,-0.2811830845843648,-0.2191577384220393,-0.20385778111043285,-0.16448000595821155,-0.30172548882249967,0.15973612076790394,-0.14035909421022263,-0.23693792771762157,-0.23693792771762157,-0.18387793517588616,-0.3701092593374509,-0.3419463273679197,-0.3419463273679197,-0.27458355526556155,0.15973612076790394,-0.34230532863731417,-0.2298954865147163,-0.2169706268924757,-0.22492447016571307,0.44620185551611224,-0.2520015104105443,-0.3250588397186192,-0.18387793517588616,-0.19270174414673624
MYB,0.2554262018837207,0.3497604375789721,-0.2873900400750209,0.3364612196289507,-0.4136662257307178,-0.43718626149593454,0.2527327867905658,0.1346739648078841,-0.1691312363120788,0.3277392321780236,-0.3495762595780725,-0.2767655248446473,-0.20403717427625231,0.2190407678884948,0.3618787523041911,0.3871674299851573,0.12886095530910255,0.3497604375789721,-0.23092661898357011,-0.14096753071518703,0.21454900712659883,-0.4718889674499244,0.17720688712765423,0.6223737647687166,-0.16236641652184475,0.23768603516219994,-0.3230864893074621,-0.3642903821089618,-0.14096753071518703,0.4412047115559019,0.19717739377404042,-0.25253697339457215,-0.10110677350242565,0.3527243104042514,-0.39463805204295205,0.5760662857118636,-0.39463805204295205,0.19717739377404042,-0.45609282716292765,-0.21081495439567977,0.3813159537210797,-0.1754401402700172,-0.27871706147682224,0.5908105043631501,-0.30945072981441135,0.1928383448673343,-0.2703637808328035,-0.21889447065190507,-0.3791962851612144,-0.3230864893074621,-0.2542058033308874,0.3352528340071719,-0.33957176319670546,-0.4203905247441262,-0.13516188267852045,0.5595994077752047,-0.2769540202842031,-0.5171697099678403,-0.22233671346875403,0.13464449342467708,-0.3692885812302848,0.6703273641857502,0.20802940748657825,-0.21126930284224485,-0.3501145518800261,-0.20938952228608246,0.3813159537210797,0.2730387016734672,-0.23449716625105593,0.16857281844763927,-0.39885066279749176,0.1390972662637586,0.3352528340071719,-0.2769540202842031,0.2527327867905658,0.10960693644414997,0.17525276822564895,0.16857281844763927,0.4229259266922779,-0.16882616781729423,-0.20938952228608246,0.20984176112433583,-0.10975206977459827,0.2527327867905658,-0.13037505165313978,-0.13516188267852045,-0.23127428276244097,-0.2703637808328035,-0.2703637808328035,-0.3230864893074621,-0.39675532853881207,0.22835379932204353,0.22835379932204353,-0.3567900680429997,-0.13516188267852045,-0.4203905247441262,-0.15376855777827003,0.17862240611835975,-0.17454962101590868,0.3046311807933018,0.12729018819790988,-0.1837560895792888,-0.3230864893074621,-0.1006143099468119
MAX,-0.2828436001556235,-0.4218506536863765,-0.4573769883044544,0.2992397549781494,-0.2783227535271451,-0.45778608265792253,-0.2660469484875175,-0.5002639282809328,-0.3049086537664483,0.28878136351219863,-0.4616595143818676,-0.4368829883480276,-0.3012485197400085,-0.24026939762759225,-0.2582142718967105,-0.26355256986118464,-0.2935537552237321,-0.4218506536863765,-0.32193080317103884,-0.20246926162119813,-0.19501363176557465,-0.5433713436770333,-0.16097077219562608,-0.4108666458456087,-0.14351223172835847,-0.2879997414907714,-0.45161354226318823,-0.3697841604390665,-0.20246926162119813,-0.3430254774349544,-0.170901272831292,-0.3932105409806007,-0.2353124257829307,-0.2832236451924571,-0.43042676865893426,-0.38197080821783574,-0.43042676865893426,-0.170901272831292,-0.4903728299526983,0.3317212376434546,-0.46364964444504353,-0.25538387511407146,-0.31514312063449346,-0.5746571559556538,-0.19563083926826416,-0.31398168209005406,-0.31587849909578103,-0.2619243102816178,-0.24742544390380117,-0.45161354226318823,-0.3004979164727659,-0.4400812634209973,-0.4522749054009045,-0.43224042444480104,-0.3555878429047351,-0.6293458807731673,-0.42929820136767816,-0.4370470884690629,-0.3122509538255705,0.1449051336588451,-0.41659266383635823,0.36464156376230733,-0.26612814195829443,-0.17113360086285495,-0.3735837718679971,-0.26579785986582216,-0.46364964444504353,0.4284760892472295,-0.266843660038226,0.20729652400227766,-0.2878687125298867,-0.3790686759001625,-0.4400812634209973,-0.42929820136767816,-0.2660469484875175,-0.15372528663358487,-0.1837609681624043,0.20729652400227766,-0.5753034140027526,-0.15882197644425852,-0.26579785986582216,-0.21661207124609352,-0.21229556709143052,-0.2660469484875175,-0.1789088058837664,-0.3555878429047351,-0.34135508721911273,-0.31587849909578103,-0.31587849909578103,-0.45161354226318823,-0.43492068801207034,-0.41101780061216103,-0.41101780061216103,0.36728986881466674,-0.3555878429047351,-0.43224042444480104,-0.21343676740529635,-0.3310777536954674,0.18869094083144694,-0.25352192430543546,-0.2608404923866649,-0.22176910017747217,-0.45161354226318823,-0.1838206569587386
SPI1,-0.2629377350279085,0.4733565390429605,-0.33832681012341337,0.26474272718422964,0.1664243502866492,-0.4050381725598256,0.3860888991634403,-0.44322524096484417,-0.22854057577699485,-0.42531229871482257,-0.26862400000898995,-0.31387596955394664,-0.117561502013629,-0.3179322280078257,-0.2675338271102968,0.3345807798418991,-0.27327982669321493,0.4733565390429605,-0.28507090547416686,-0.21649596639874855,-0.3073745451616858,-0.43081262334458836,-0.2808337042431103,-0.3434135334151785,-0.243241751093865,-0.3348567596846266,-0.32281313211146484,-0.3976261576325294,-0.21649596639874855,0.4751570115686373,0.1772359975934652,-0.4343298014809285,-0.275958958838795,0.3023556789070804,-0.3536547119213254,-0.5229825537315442,-0.3536547119213254,0.1772359975934652,-0.3622017759375592,-0.23119537092315134,0.26983742901845387,-0.3888018567578389,-0.28281127388453986,0.4420653671523815,0.2676550136319524,-0.28889612041070933,-0.31934249029087297,-0.21585806903571014,-0.30532348570149204,-0.32281313211146484,-0.23512140514699006,-0.3363784113515036,0.0,-0.40323016203347284,0.16752946647628714,-0.4804824198471556,-0.4122270321330646,-0.629236300480782,-0.1840515142911183,0.17218721021691363,-0.4697364131875843,-0.5587976462624307,-0.25581414684147835,-0.28112426634333415,-0.4873666228941769,-0.17075306783263006,0.26983742901845387,0.340883213579361,-0.3661754256648728,-0.15407313857686505,-0.372945727510731,-0.39117385713715225,-0.3363784113515036,-0.4122270321330646,0.3860888991634403,-0.393111090466337,-0.3603389481931295,-0.15407313857686505,-0.6602293103790283,-0.24166022757606978,-0.17075306783263006,0.2437699440853742,-0.27278178196211034,0.3860888991634403,-0.16390503830712178,0.16752946647628714,-0.28517956604185224,-0.31934249029087297,-0.31934249029087297,-0.32281313211146484,-0.43494009865590494,0.4721790191705343,0.4721790191705343,-0.5656256387642098,0.16752946647628714,-0.40323016203347284,-0.39015278240895673,-0.20072162255106427,-0.25425323843630865,-0.3831942553467969,-0.19799284481324447,0.1959206322332964,-0.32281313211146484,-0.23359980717596693
MYC,0.20647905759161916,-0.26232864311917664,-0.3692984807015039,-0.24311505419163093,-0.2640049985919394,-0.46027663262259577,0.1228550675752519,-0.4487499813333851,-0.20090829975501276,0.2343064965587957,-0.5154405939636248,-0.31949036024045147,-0.19672432324878808,-0.27732003247853126,-0.3187475049117565,-0.4265880833523411,-0.20804981320197552,-0.26232864311917664,-0.1527063316958402,-0.18061695690473178,-0.16304218066753026,-0.6265588164416901,-0.17676674126622322,-0.42178698118951136,-0.17829229129308266,-0.29554340331211126,-0.3780910141954551,-0.23726161205647972,-0.18061695690473178,-0.35640589294487496,-0.13762391330447166,-0.256026518061349,-0.16354385898324658,-0.4099762016049756,-0.43283384646236533,-0.25451462483504206,-0.43283384646236533,-0.13762391330447166,-0.5541939755867922,-0.1156038924209915,-0.29351191334634447,0.20644528054964417,-0.3001230479647019,-0.4033017151269434,-0.1428164490347154,-0.19039190054274163,-0.254543555639614,-0.250305505542712,-0.3595690973552017,-0.3780910141954551,-0.3444761846814755,-0.2580474575281611,-0.28200489180605864,-0.5419815340827858,-0.3723834282362193,-0.2922262606941251,-0.4251746341318021,-0.5815385762729112,-0.258073943719701,-0.2425504615952333,-0.30412740490276907,0.5199036966053,-0.20697976947193122,-0.19393425892479724,-0.3765360718770002,-0.18399397073748758,-0.29351191334634447,0.306924754634609,-0.2299638896714801,0.14417062309334494,-0.3356227002482848,-0.4629503925154016,-0.2580474575281611,-0.4251746341318021,0.1228550675752519,-0.16433832438921192,-0.1828542826974783,0.14417062309334494,0.14932154220141827,-0.18439695987613644,-0.18399397073748758,-0.23019501229956152,-0.2108014275451998,0.1228550675752519,-0.21633695709526998,-0.3723834282362193,-0.36953628614873396,-0.254543555639614,-0.254543555639614,-0.3780910141954551,-0.19931271477662324,-0.2612998584210131,-0.2612998584210131,-0.19005517845346978,-0.3723834282362193,-0.5419815340827858,-0.19189123792381335,-0.20171975497131878,-0.2404297597691423,-0.6762080345581749,-0.1767952835154413,-0.19551629398187925,-0.3780910141954551,-0.18924737145270165
FLI1,0.33472257366256386,0.15869382530940668,-0.27539455421487546,0.0,-0.32367833614635483,0.23301553704355366,0.17158601500417578,0.24463711803388458,0.18068474457821218,0.28970221410179753,0.26284920969173425,0.28747798859797535,0.22156903897017918,0.14911332226624852,0.18047460714758215,0.2555244837791109,0.08275191622040987,0.15869382530940668,0.10410487023492032,0.38079562845019066,0.20812683719993258,0.200164951617188,0.15795157073970637,-0.39906338286735776,0.17520460404500152,0.16093840473490756,-0.2829798477072334,0.17819907124661902,0.38079562845019066,0.39720459352872906,0.1770510325085451,-0.22508329239100677,0.15949617899143168,0.25630371794710965,-0.2761307901907396,0.2556356894832374,-0.2761307901907396,0.1770510325085451,0.2645380882304231,0.1165207613353054,0.15827077358492803,0.20127313719763268,0.20855534749566634,-0.4232394437979406,0.18729307975466838,0.2309263571199793,0.19968963895897587,0.3125654720552913,0.20392121398318638,-0.2829798477072334,-0.14212657189775968,-0.17927873847058576,0.0,-0.29448320976887693,0.2206317685839771,0.31155889785980934,-0.3254245962011326,-0.287933604092562,0.1885685655380704,0.13778668280413645,0.26323432430012744,0.30400252920672843,0.16078723232671835,0.20334137745963266,0.21483781163790924,0.1919878632665483,0.15827077358492803,0.33393737951719915,0.19895627472425598,0.1840857779174993,-0.20469563216197234,0.2180333070301288,-0.17927873847058576,-0.3254245962011326,0.17158601500417578,0.13490962626332154,0.18709307979278034,0.1840857779174993,-0.2836817640114402,0.19637572684353796,0.1919878632665483,0.20305049437929437,0.1740624317719138,0.17158601500417578,0.3353436286456933,0.2206317685839771,0.19152818899691793,0.19968963895897587,0.19968963895897587,-0.2829798477072334,0.20782965912959395,0.14706658764073252,0.14706658764073252,0.506181360390008,0.2206317685839771,-0.29448320976887693,0.17317993904216014,0.13686523550664087,0.2193688698242204,-0.36236183975671576,0.11832860353987236,0.15985021195330143,-0.2829798477072334,0.20960856614504547
MYBL2,0.2240719920669992,0.2246500658263657,-0.2236054971705509,0.33943216462330905,-0.18111423976244836,-0.24311366042733917,0.15464101436444952,0.24572291895899676,-0.20397219742098252,0.30399684620666106,-0.2518170268929545,-0.226018197416461,0.19288316484706933,0.14912776732261493,0.24488694818592324,0.19487113217630675,0.11230958185572586,0.2246500658263657,0.1641373445501895,0.25805319591418746,0.20676785130324304,-0.19852062501494172,0.15965648193402193,0.4393364489957165,0.14634828620483004,0.2684031928330779,-0.2231845077999041,-0.1685749610278021,0.25805319591418746,0.31823498607140766,0.179267657687312,-0.21090059312069312,0.14737940008712055,0.21544641480118254,-0.24755297407767568,0.45671819551486215,-0.24755297407767568,0.179267657687312,0.3821268488897005,0.14462469314526838,0.16224151277239574,0.29698532665794514,0.16631464461771897,-0.24711300906726769,0.236029208304462,0.1352621449727549,-0.22278618943256753,0.17403886656702702,0.17896616673111893,-0.2231845077999041,0.2307370268097967,0.17001204619882923,0.5006180126880851,-0.35125832180437244,0.17710571551358942,0.468739687829269,0.2095195249480929,0.2928891021408256,0.13242459924663114,0.15497009535016892,0.32852442754828903,0.4467775914094237,-0.14713132401470694,0.19042985304663873,-0.17024023057905543,0.14816241535718572,0.16224151277239574,0.3285855515619896,0.20471312089594926,0.17542751328917566,-0.20256149961425432,-0.1694304025864854,0.17001204619882923,0.2095195249480929,0.15464101436444952,0.15906301694020805,0.1898924606871441,0.17542751328917566,0.1586211052458964,0.16438463625937608,0.14816241535718572,0.23855271161475242,0.16407378317299262,0.15464101436444952,0.20039599152365015,0.17710571551358942,0.24316964286577264,-0.22278618943256753,-0.22278618943256753,-0.2231845077999041,0.2182819737722464,0.23417948340817354,0.23417948340817354,0.4222445011835305,0.17710571551358942,-0.35125832180437244,0.23153054565249237,0.13146676887104272,0.17701424058748505,0.34288785694567336,0.14853073484837015,0.1910935251932278,-0.2231845077999041,0.16233661705103689
LYL1,0.347130688763966,0.360109313247163,-0.3402103347062216,0.48385483127792206,0.26863161319377604,-0.27946429676926293,0.30941827565647506,0.48063770434051944,0.22048671500153735,0.3538315615315684,0.18092492213515027,0.48350086200772063,0.2868820630651373,0.29967938239756836,0.4462057178961653,0.4347749861361383,0.1795990118496931,0.360109313247163,0.25745390191924716,0.4692777253856403,0.30994830604868356,0.41398223089403613,0.28640148366668894,0.43091616630127894,0.30514347575547873,0.25746425141354445,-0.380843132448983,0.19727172815848049,0.4692777253856403,-0.22039142867932152,0.27759404426762546,0.1942698834064685,0.2683784295495375,0.4333457332825291,-0.289678682936339,0.31644962311201624,-0.289678682936339,0.27759404426762546,0.3616938324919642,0.28633235001270796,0.36427111821465036,0.32878569067304225,0.21711604613824398,0.35259087843146053,0.4112734987880166,0.16071508655510836,0.26306676920545546,0.41741580528810185,0.22219168771973258,-0.380843132448983,0.27745077547082764,-0.2000903173158761,0.0,-0.31833423936649063,0.3022084149778389,0.3460812122131005,0.21375872680736854,-0.21944983439001328,0.21272398434341147,0.3259246909205102,0.2975505528373186,0.3117441947590771,0.12605103044323673,0.25508613824215126,0.20696943014268618,0.24648918852674856,0.36427111821465036,0.46532011257579375,0.2080979407248201,0.29118735308156923,0.27810527251229694,0.21362427683850777,-0.2000903173158761,0.21375872680736854,0.30941827565647506,0.2872436172425425,0.3047644690796871,0.29118735308156923,-0.3459494822725413,0.22976610844935588,0.24648918852674856,0.40370028235258215,0.2901200848023272,0.30941827565647506,0.35910845351863563,0.3022084149778389,-0.22583722008102802,0.26306676920545546,0.26306676920545546,-0.380843132448983,-0.16959140656653193,0.3690149300242205,0.3690149300242205,0.48626118491913567,0.3022084149778389,-0.31833423936649063,0.23614983674703183,0.16027678439357004,0.40825777729683604,-0.3035517311094438,0.2350830754756001,0.25787945694865116,-0.380843132448983,0.2880847569713619
IRF8,0.2336951806147964,0.38165902883174807,0.30601601157277575,0.48645009879011003,0.1932012325368121,0.24926765006435114,0.3730982774704843,0.13695282259661995,0.13887313382065267,0.33406915892121225,-0.15388109202654415,-0.2875436028358816,0.21476199964577858,-0.24656890163762207,0.37221650652041205,0.3147748695607942,0.17348413524025721,0.38165902883174807,-0.26564532340644553,-0.24182060132494537,0.24496322357828573,0.18347249090595263,0.23670720439638632,0.5033040946940979,0.2451233800674345,0.24398251473164012,0.3300735785412017,0.19361073667957412,-0.24182060132494537,0.45436838341334257,0.25570596628313236,0.18990838248696562,0.17537096351569498,0.3246756803741271,0.2899859487571831,-0.33782771662864786,0.2899859487571831,0.25570596628313236,0.2685034701579349,0.28245173976173465,0.3157204336914592,0.26910822292408665,0.1424772285791316,0.0,0.3296263765387533,0.23797741607654682,0.17683307901158649,0.32314300658601586,0.1520247907226928,0.3300735785412017,0.37186104892627203,-0.27402824544888865,0.0,0.3076761116993886,0.1877170222180486,0.2759479563399141,0.2537657209125094,-0.3195485107551992,0.13512847674000492,0.21292969644483953,0.4135884682655876,0.38624201984251444,-0.10811857485132557,0.2756493149407828,-0.12176536379914445,0.18145548219698868,0.3157204336914592,0.5488872342683623,0.1668323351912397,0.21488971483643404,0.19334953016502845,-0.27055281882869286,-0.27402824544888865,0.2537657209125094,0.3730982774704843,-0.16881548510375385,-0.10612116551458065,0.21488971483643404,-0.47222617543434237,0.15398472493133936,0.18145548219698868,0.3290562392868478,0.2681710170684067,0.3730982774704843,0.23566163770630763,0.1877170222180486,0.41178919268942943,0.17683307901158649,0.17683307901158649,0.3300735785412017,-0.21901074710270488,0.38830083801266657,0.38830083801266657,-0.5107935702876875,0.1877170222180486,0.3076761116993886,-0.3524626479990826,0.18989927396748654,0.36597742716723214,0.4559554212069295,-0.13361688877556335,0.2107353584775067,0.3300735785412017,0.17954315103073437
GFI1,0.4274592986479287,0.5341742266524462,0.25099834004934884,0.6089769888473342,-0.23526805858243544,0.33087929909898744,0.353134962872897,0.47567426571187266,0.31243024802330416,0.5195073325596183,-0.29886628694525774,0.5288550904775132,0.26201326545021436,0.4417645181974854,0.5594782801810896,0.41664382155887064,0.2665809719845963,0.5341742266524462,0.3834613441183255,0.42587536742531906,0.36898788274571576,0.5041635387173171,0.36765326652171115,0.5290834812900668,0.3600177401912858,0.4077900140599598,0.22716188568549864,0.21208663443248463,0.42587536742531906,0.3601342947355148,0.34404470369916595,-0.2761487146581393,0.3209551570836578,0.4243079003434277,0.2776455259887413,-0.33579736265389004,0.2776455259887413,0.34404470369916595,0.44176963323823887,0.3369627739852668,0.3360645656239203,0.5332281425346019,0.34970145695575383,-0.3825981018403413,0.493506360069292,-0.29725492690609784,0.33792981589357896,0.3220559815309047,0.22429753064990926,0.22716188568549864,0.3825085765887812,0.49760223111123486,-0.5922826204877314,0.32690572215191177,0.37155398771348097,-0.5537558607865223,0.45344448752222416,0.346356402087411,0.27709038248994533,0.4098459598295165,0.2975400761000288,0.3663614138907011,0.2997281896828408,0.3649848987986003,0.3087955005022057,0.3679161401424893,0.3360645656239203,0.0,0.2687574613544024,0.278688483680036,0.43871672995221134,0.38534216398294024,0.49760223111123486,0.45344448752222416,0.353134962872897,0.33323996716144205,0.3639142501904032,0.278688483680036,0.4685877324288342,0.32111065748911566,0.3679161401424893,0.46832837505800673,0.2387374268769554,0.353134962872897,0.35746455881245487,0.37155398771348097,0.17665712194432434,0.33792981589357896,0.33792981589357896,0.22716188568549864,-0.32510334968314575,0.5101130867025838,0.5101130867025838,0.5166448403744236,0.37155398771348097,0.32690572215191177,0.37378155241180544,0.3047795247160062,0.3543882845570878,0.5001785231818883,0.30822833285949447,0.3096476573171935,0.22716188568549864,0.3585457166390715
