MV411	chrUn_GL000226v1
E1	E2	E3	E4	E5	E6	E7	E8
0	0	0.0049	0	0.0003	0.0026	0.989	0.0032
0	0	0.0047	0	0.0001	0.0006	0.9916	0.003
0	0	0.0044	0	0	0.0004	0.9923	0.0029
0	0	0.0042	0	0	0.0004	0.9926	0.0027
0	0	0.0041	0	0	0.0004	0.9929	0.0026
0	0	0.004	0	0	0.0004	0.9931	0.0025
0	0	0.004	0	0	0.0004	0.9932	0.0024
0	0	0.004	0	0	0.0004	0.9934	0.0022
0	0	0.004	0	0	0.0004	0.9935	0.0021
0	0	0.004	0	0	0.0004	0.9936	0.0021
0	0	0.004	0	0	0.0004	0.9936	0.002
0	0	0.004	0	0	0.0003	0.9937	0.0019
0	0	0.004	0.0001	0	0.0003	0.9937	0.0018
0	0	0.0041	0.0001	0	0.0003	0.9937	0.0018
0	0	0.0042	0.0001	0	0.0003	0.9937	0.0017
0	0	0.0043	0.0001	0	0.0003	0.9936	0.0017
0	0	0.0045	0.0001	0	0.0004	0.9934	0.0016
0	0	0.0049	0.0001	0	0.0004	0.9931	0.0016
0	0	0.0054	0.0001	0	0.0004	0.9926	0.0016
0	0	0.0062	0.0001	0	0.0004	0.9918	0.0015
0	0	0.0075	0.0001	0	0.0004	0.9905	0.0015
0	0	0.0096	0.0001	0	0.0004	0.9885	0.0015
0	0	0.0127	0.0001	0	0.0004	0.9853	0.0015
0	0	0.0177	0.0001	0	0.0004	0.9803	0.0014
0	0.0001	0.0253	0.0001	0	0.0005	0.9726	0.0014
0	0.0001	0.0373	0.0001	0	0.0005	0.9605	0.0014
0	0.0001	0.056	0.0001	0	0.0008	0.9415	0.0014
0	0.0002	0.0849	0.0001	0	0.0036	0.9098	0.0013
0	0.0001	0.1266	0.0001	0.0001	0.0358	0.8362	0.0011
0	0.0001	0.0838	0.0002	0	0.0039	0.9109	0.0011
0	0	0.0552	0.0002	0	0.0011	0.9423	0.0011
0	0	0.0368	0.0002	0	0.0007	0.9612	0.0011
0	0	0.025	0.0002	0	0.0006	0.9732	0.0011
0	0	0.0174	0.0001	0	0.0005	0.9809	0.001
0	0	0.0126	0.0001	0	0.0004	0.9858	0.001
0	0	0.0095	0.0001	0	0.0004	0.989	0.001
0	0	0.0075	0.0001	0	0.0004	0.991	0.001
0	0	0.0062	0.0001	0	0.0004	0.9924	0.001
0	0	0.0054	0.0001	0	0.0004	0.9932	0.0009
0	0	0.0049	0.0001	0	0.0004	0.9938	0.0009
0	0	0.0045	0.0001	0	0.0003	0.9941	0.0009
0	0	0.0043	0.0001	0	0.0003	0.9943	0.0009
0	0	0.0042	0.0001	0	0.0003	0.9945	0.0009
0	0	0.0041	0.0001	0	0.0003	0.9946	0.0009
0	0	0.004	0.0001	0	0.0003	0.9946	0.0009
0	0	0.004	0.0001	0	0.0003	0.9947	0.0009
0	0	0.0039	0.0001	0	0.0003	0.9947	0.0009
0	0	0.0039	0.0001	0	0.0003	0.9947	0.0009
0	0	0.0039	0.0001	0	0.0003	0.9947	0.001
0	0	0.0039	0.0001	0	0.0003	0.9947	0.001
0	0	0.0039	0.0001	0	0.0003	0.9947	0.001
0	0	0.0039	0.0001	0	0.0003	0.9946	0.001
0	0	0.0039	0.0001	0	0.0003	0.9946	0.001
0	0	0.0039	0.0001	0	0.0003	0.9946	0.001
0	0	0.0039	0.0001	0	0.0003	0.9945	0.0011
0	0	0.0039	0.0001	0	0.0003	0.9945	0.0011
0	0	0.0039	0.0001	0	0.0003	0.9945	0.0011
0	0	0.0039	0.0001	0	0.0004	0.9944	0.0012
0	0	0.0039	0.0001	0	0.0004	0.9943	0.0012
0	0	0.0039	0.0001	0	0.0004	0.9943	0.0013
0	0	0.0039	0.0002	0	0.0004	0.9942	0.0013
0	0	0.0039	0.0002	0	0.0004	0.9941	0.0014
0	0	0.004	0.0002	0	0.0004	0.994	0.0015
0	0	0.004	0.0002	0	0.0004	0.9939	0.0015
0	0.0001	0.004	0.0002	0	0.0004	0.9937	0.0016
0	0.0001	0.004	0.0003	0	0.0004	0.9935	0.0017
0	0.0001	0.0041	0.0003	0	0.0004	0.9933	0.0018
0	0.0001	0.0042	0.0004	0	0.0004	0.9931	0.0019
0	0.0001	0.0043	0.0004	0	0.0004	0.9928	0.002
0	0.0001	0.0045	0.0005	0	0.0004	0.9923	0.0022
0	0.0001	0.0048	0.0005	0	0.0004	0.9918	0.0023
0	0.0002	0.0053	0.0006	0	0.0004	0.991	0.0024
0	0.0003	0.0061	0.0007	0	0.0004	0.9899	0.0026
0	0.0005	0.0073	0.0008	0	0.0004	0.9882	0.0028
0	0.0008	0.0091	0.0009	0	0.0006	0.9855	0.003
