,MS2,JQ1,MYBi_30m,PBS_30m,MYBi_6h,MS2_JQ1,DMSO,PBS_6h
A1BG,1.0,0.8333333333333334,0.5,0.75,0.0,1.3333333333333333,0.3333333333333333,0.0
A2M,0.6666666666666666,1.5,2.5,2.25,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333
NAT1,152.0,146.0,42.0,64.25,27.75,158.0,155.33333333333334,65.0
AAMP,1433.6666666666667,1589.1666666666667,601.0,692.5,481.0,1564.6666666666667,1165.0,903.6666666666666
AARS1,2145.0,1757.5,1353.5,1740.25,336.25,2221.0,1010.6666666666666,630.6666666666666
ABAT,187.0,179.16666666666666,120.75,149.75,13.75,231.66666666666666,134.66666666666666,61.0
ABCA1,25.0,39.0,370.75,359.75,30.25,17.333333333333332,73.66666666666667,15.0
ABCA2,622.5,637.6666666666666,204.5,249.25,132.0,693.0,341.0,248.0
ABCA3,31.5,32.833333333333336,20.75,19.5,1.0,39.666666666666664,21.0,15.333333333333334
ABCB7,54.833333333333336,43.833333333333336,24.25,26.0,11.5,51.333333333333336,50.666666666666664,21.666666666666668
ABCF1,1.8333333333333333,2.1666666666666665,1.5,0.25,0.25,1.6666666666666667,4.333333333333333,1.3333333333333333
ABL1,2113.5,2052.8333333333335,887.5,1040.75,571.25,2269.3333333333335,1607.0,791.3333333333334
AOC1,0.6666666666666666,1.5,2.25,2.25,2.75,0.6666666666666666,0.6666666666666666,2.6666666666666665
ABL2,1289.3333333333333,1083.1666666666667,960.5,1043.75,567.75,1290.3333333333333,1001.3333333333334,462.3333333333333
ABO,0.8333333333333334,0.16666666666666666,0.0,0.25,0.0,0.3333333333333333,0.0,1.6666666666666667
ABR,229.0,222.33333333333334,109.5,133.5,55.25,207.33333333333334,176.0,31.333333333333332
ACAA1,2440.1666666666665,2466.0,822.25,1053.0,437.25,2754.6666666666665,1624.0,897.3333333333334
ACACA,2.6666666666666665,3.6666666666666665,1.75,1.75,0.25,2.6666666666666665,3.3333333333333335,1.3333333333333333
ACACB,154.33333333333334,145.5,96.25,105.0,25.25,196.0,63.0,65.33333333333333
