,JQ1,MYBi_30m,MYBi_6h,PBS_6h,MS2_JQ1,DMSO,PBS_30m,MS2
A2M,1.0,2.5,0.0,0.0,0.0,0.0,3.0,0.0
NAT1,148.5,37.0,27.0,57.0,165.0,170.0,71.0,161.5
AAMP,1590.5,531.5,485.5,894.0,1566.0,1275.0,672.0,1521.0
AARS1,1758.5,1134.0,353.0,644.0,2181.0,1083.0,1667.5,2205.5
ABAT,176.5,108.0,12.0,63.0,212.0,136.0,158.0,193.0
ABCA1,40.5,346.5,29.0,16.0,21.0,77.0,348.5,24.5
ABCA2,616.0,182.5,130.5,228.0,720.0,381.0,245.0,633.5
ABCA3,32.5,21.0,0.5,15.0,40.0,25.0,19.0,34.5
ABCB7,46.0,22.5,13.0,24.0,52.0,63.0,24.5,54.5
ABCF1,2.0,0.5,0.0,1.0,1.0,4.0,0.0,1.5
ABL1,2056.0,745.0,549.5,786.0,2332.0,1770.0,1011.5,2219.5
AOC1,1.0,2.5,2.5,3.0,0.0,1.0,2.5,0.0
ABL2,1082.0,810.5,597.5,461.0,1276.0,1085.0,1101.5,1310.0
ABR,216.5,88.5,60.5,29.0,201.0,189.0,146.0,215.5
ACAA1,2466.5,682.0,417.0,859.0,2741.0,1700.0,1058.0,2594.5
ACACA,3.0,1.5,0.0,1.0,3.0,2.0,1.5,3.0
ACACB,144.5,84.5,25.5,64.0,194.0,65.0,111.0,160.0
ACADM,889.5,524.0,205.0,275.0,875.0,1107.0,440.0,1103.5
ACADS,194.5,57.5,31.5,103.0,209.0,99.0,71.5,163.0
ACADSB,1769.0,502.5,204.5,801.0,1775.0,1694.0,738.5,1769.0
ACADVL,819.0,254.5,316.0,389.0,927.0,545.0,323.5,870.5
ACAT1,772.5,200.5,296.5,408.0,843.0,524.0,283.0,812.5
ACAT2,5257.0,2016.5,3923.5,2646.0,5693.0,6091.0,3271.5,5732.5
ASIC1,173.5,192.5,47.5,159.0,179.0,154.0,287.5,184.0
ACHE,2.0,0.5,1.0,0.0,2.0,3.0,1.0,1.5
ACLY,5866.5,2321.0,1933.5,3126.0,5911.0,5466.0,3380.5,5990.0
ACO1,586.0,202.0,221.5,278.0,636.0,493.0,285.0,612.0
ACO2,1584.5,535.0,474.0,761.0,1536.0,1396.0,776.5,1531.5
ACOX1,1870.5,668.5,812.0,903.0,1961.0,1541.0,1072.0,1909.0
ACP1,3763.0,1555.0,1211.0,1359.0,3879.0,3690.0,2360.0,3936.5
ACP2,291.5,160.0,67.0,137.0,348.0,209.0,213.0,330.5
ACPP,3121.5,240.5,422.5,1140.0,3392.0,3065.0,374.0,3551.5
ACRV1,3.0,1.0,1.5,0.0,5.0,1.0,1.0,4.5
ACTB,204548.5,58990.0,76562.5,99033.0,209352.0,171031.0,78995.5,209018.5
ACTG1,337501.5,73473.5,55345.0,75400.0,386161.0,199312.0,103831.5,355593.5
ACTN4,11485.0,3991.0,3989.5,4864.0,11278.0,8746.0,5105.5,11118.5
ACTL6A,917.0,323.0,186.5,518.0,833.0,897.0,445.5,922.0
ACTN1,2565.5,1571.5,788.5,1364.0,2347.0,2369.0,2190.5,2546.5
ACTN2,6.0,3.0,4.0,1.0,4.0,4.0,2.0,7.0
ACVR1,88.0,57.5,47.0,36.0,123.0,51.0,59.0,103.5
ACVR1B,733.5,313.0,173.5,199.0,907.0,571.0,455.0,857.0
ACVR2A,47.5,50.0,33.5,29.0,62.0,42.0,99.5,63.0
ACVR2B,187.5,183.5,46.5,152.0,260.0,129.0,262.5,277.0
ACVRL1,84.5,129.0,32.5,84.0,85.0,82.0,153.5,90.0
ACY1,216.0,92.0,109.5,171.0,230.0,147.0,139.5,242.0
ACYP1,504.0,219.5,102.5,240.0,556.0,589.0,283.0,553.0
ACYP2,124.0,70.5,27.5,44.0,145.0,97.0,103.0,129.0
ADA,2484.0,644.0,463.5,1002.0,2775.0,1693.0,1016.0,2713.0
ADAM8,55.5,22.0,33.5,38.0,67.0,27.0,34.0,68.5
ADAM10,5414.5,2996.0,2090.0,2419.0,6056.0,5856.0,4062.5,6798.5
ADAR,10821.0,6660.0,2100.5,4058.0,10937.0,11260.0,11007.0,10955.5
ADARB1,1113.0,592.0,184.5,408.0,1092.0,1088.0,900.0,1046.0
ADCY1,355.0,318.5,108.5,237.0,305.0,314.0,455.0,327.0
ADCY3,1600.5,605.5,328.5,716.0,1560.0,1360.0,842.5,1534.0
ADCY5,12.0,1.5,1.5,3.0,16.0,7.0,2.5,12.5
ADCY6,26.0,46.5,11.0,13.0,21.0,16.0,52.0,26.0
ADCY7,4607.0,1914.0,754.0,2169.0,4541.0,5190.0,2931.5,4899.0
ADCY9,740.0,559.5,205.0,436.0,709.0,581.0,715.5,740.5
ADD1,4815.5,1571.0,570.0,1365.0,4971.0,3502.0,2322.0,4815.5
ADD2,3635.5,1376.5,405.0,960.0,3870.0,3236.0,2135.0,3871.5
ADD3,1025.5,478.0,78.5,150.0,1282.0,982.0,644.0,1264.5
PLIN2,1182.5,849.5,753.0,399.0,1252.0,952.0,1439.0,1283.5
ADH5,1509.0,466.0,261.5,716.0,1595.0,1397.0,742.0,1612.0
ADH6,1.5,0.5,0.5,1.0,1.0,2.0,1.5,1.0
ADK,801.5,333.0,205.5,361.0,815.0,770.0,397.0,921.5
ADM,6.5,27.0,12.5,0.0,7.0,1.0,8.5,8.0
ADORA1,9.0,5.0,1.5,2.0,6.0,1.0,3.0,5.5
ADORA2A,62.0,135.0,82.5,23.0,44.0,63.0,171.0,63.5
ADORA2B,273.5,197.0,199.0,223.0,212.0,343.0,329.5,301.0
ADORA3,6.0,11.0,0.5,10.0,6.0,6.0,13.0,8.5
ADPRH,764.0,601.0,163.5,442.0,754.0,945.0,912.0,767.5
PARP1,2231.5,766.0,671.0,1382.0,2193.0,2026.0,1102.0,2231.5
PARP4,23.5,16.5,1.0,9.0,21.0,25.0,16.0,26.5
ADRA2C,70.5,30.0,5.5,50.0,62.0,61.0,42.0,74.0
ADRB1,9.5,7.0,2.5,3.0,15.0,4.0,21.5,15.5
ADRB2,27.5,13.5,9.0,14.0,28.0,15.0,16.0,40.0
