mr193-MV411-MYBi_30m-r1_tcount,mr194-MV411-MYBi_30m-r2_tcount,mr195-MV411-MYBi_30m-r3_tcount,mr196-MV411-MYBi_30m-r4_tcount,mr197-MV411-PBS_30m-r1_tcount,mr198-MV411-PBS_30m-r2_tcount,mr199-MV411-PBS_30m-r3_tcount,mr200-MV411-PBS_30m-r4_tcount,mr201-MV411-MYBi_6h-r1_tcount,mr202-MV411-MYBi_6h-r2_tcount,mr203-MV411-MYBi_6h-r3_tcount,mr204-MV411-MYBi_6h-r4_tcount,mr205-MV411-PBS_6h-r1_tcount,mr206-MV411-PBS_6h-r2_tcount,mr207-MV411-PBS_6h-r3_tcount,mr208-MV411-MS2-r1_tcount,mr209-MV411-MS2-r2_tcount,mr210-MV411-MS2-r3_tcount,mr211-MV411-JQ1-r1_tcount,mr212-MV411-JQ1-r2_tcount,mr213-MV411-JQ1-r3_tcount,mr214-MV411-MS2_JQ1-r1_tcount,mr215-MV411-MS2_JQ1-r2_tcount,mr216-MV411-MS2_JQ1-r3_tcount,mr217-MV411-DMSO-r1_tcount,mr218-MV411-DMSO-r2_tcount,mr219-MV411-DMSO-r3_tcount
2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,1,0,0,1
4,2,3,1,0,3,3,3,1,0,0,0,0,1,0,0,0,2,0,2,5,2,0,0,0,0,1
33,41,65,29,77,68,38,74,37,32,20,22,52,86,57,158,98,182,151,105,146,134,175,165,172,170,124
540,512,829,523,603,842,584,741,400,553,465,506,776,1041,894,1448,859,1601,1827,1399,1615,1652,1476,1566,1275,1481,739
1230,1038,2124,1022,1616,2363,1263,1719,276,352,354,363,570,678,644,2230,1469,2508,1390,1157,1335,2181,2127,2355,1083,1278,671
109,93,174,107,176,165,107,151,23,11,8,13,56,64,63,169,79,179,123,111,146,212,207,276,136,152,116
394,299,561,229,345,352,251,491,46,26,32,17,11,16,18,26,33,39,58,58,66,8,23,21,77,79,65
170,189,283,176,194,313,220,270,134,161,106,127,228,310,206,597,396,663,542,577,628,720,604,755,381,436,206
20,14,27,22,13,19,19,27,1,0,0,3,11,20,15,20,18,32,28,23,27,37,40,42,26,25,12
20,21,32,24,24,25,20,35,15,14,5,12,15,26,24,69,49,57,48,17,44,35,52,67,63,65,24
0,1,5,0,0,0,0,1,0,0,1,0,1,1,2,4,2,0,3,4,1,3,1,1,2,4,7
