mr211-MV411-JQ1-r1_tcount,mr203-MV411-MYBi_6h-r3_tcount,mr194-MV411-MYBi_30m-r2_tcount,mr197-MV411-PBS_30m-r1_tcount,mr210-MV411-MS2-r3_tcount,mr196-MV411-MYBi_30m-r4_tcount,mr206-MV411-PBS_6h-r2_tcount,mr207-MV411-PBS_6h-r3_tcount,mr200-MV411-PBS_30m-r4_tcount,mr198-MV411-PBS_30m-r2_tcount,mr195-MV411-MYBi_30m-r3_tcount,mr219-MV411-DMSO-r3_tcount,mr218-MV411-DMSO-r2_tcount,mr202-MV411-MYBi_6h-r2_tcount,mr209-MV411-MS2-r2_tcount,mr212-MV411-JQ1-r2_tcount,mr201-MV411-MYBi_6h-r1_tcount,mr217-MV411-DMSO-r1_tcount,mr213-MV411-JQ1-r3_tcount,mr215-MV411-MS2_JQ1-r2_tcount,mr208-MV411-MS2-r1_tcount,mr214-MV411-MS2_JQ1-r1_tcount,mr216-MV411-MS2_JQ1-r3_tcount,mr193-MV411-MYBi_30m-r1_tcount,mr205-MV411-PBS_6h-r1_tcount,mr199-MV411-PBS_30m-r3_tcount,mr204-MV411-MYBi_6h-r4_tcount
0,0,2,0,2,1,1,0,3,3,3,1,0,0,0,2,1,0,5,0,0,2,0,4,0,3,0
151,20,41,77,182,29,86,57,74,68,65,124,170,32,98,105,37,172,146,175,158,134,165,33,52,38,22
1827,465,512,603,1601,523,1041,894,741,842,829,739,1481,553,859,1399,400,1275,1615,1476,1448,1652,1566,540,776,584,506
1390,354,1038,1616,2508,1022,678,644,1719,2363,2124,671,1278,352,1469,1157,276,1083,1335,2127,2230,2181,2355,1230,570,1263,363
123,8,93,176,179,107,64,63,151,165,174,116,152,11,79,111,23,136,146,207,169,212,276,109,56,107,13
58,32,299,345,39,229,16,18,491,352,561,65,79,26,33,58,46,77,66,23,26,8,21,394,11,251,17
542,106,189,194,663,176,310,206,270,313,283,206,436,161,396,577,134,381,628,604,597,720,755,170,228,220,127
28,0,14,13,32,22,20,15,27,19,27,12,25,0,18,23,1,26,27,40,20,37,42,20,11,19,3
48,5,21,24,57,24,26,24,35,25,32,24,65,14,49,17,15,63,44,52,69,35,67,20,15,20,12
3,1,1,0,0,0,1,2,1,0,5,7,4,0,2,4,0,2,1,1,4,3,1,0,1,0,0
2005,482,718,983,2404,694,878,786,1040,1362,1366,1106,1945,704,1389,1631,506,1770,1873,2107,2080,2332,2369,772,710,778,593
0,4,4,0,0,2,3,5,4,3,3,1,1,3,0,4,2,0,3,2,2,0,0,0,0,2,2
885,592,713,1092,1464,780,474,461,1111,1251,1508,810,1085,605,1057,830,603,1109,913,1276,1344,1251,1344,841,452,721,471
267,30,88,136,300,75,29,27,156,160,186,142,189,61,181,203,70,197,242,191,271,201,230,89,38,82,60
2413,401,625,1047,2669,655,982,851,1069,1301,1300,1223,1949,539,1520,1967,433,1700,2152,2520,2188,2741,3003,709,859,795,376
7,0,2,1,5,1,1,2,2,3,4,2,7,1,3,3,0,1,4,3,0,2,3,0,1,1,0
94,16,77,111,136,66,77,55,111,126,150,48,76,34,75,105,26,65,86,184,127,194,210,92,64,72,25
979,172,490,497,1332,306,278,275,661,383,848,820,1107,238,777,678,257,1139,904,875,1535,732,1411,558,257,291,159
200,33,63,60,163,44,103,106,102,75,96,64,131,41,71,157,30,99,189,163,121,209,236,52,85,68,29
1763,191,441,726,1744,389,751,801,751,878,875,1310,1694,279,1203,1378,218,1718,1829,1763,1866,1775,2197,564,810,514,162
696,306,186,255,863,252,389,408,352,441,406,300,644,355,580,737,274,545,760,878,834,927,972,257,338,295,326
697,322,208,272,798,173,422,408,294,405,392,410,723,309,503,649,284,524,723,934,803,843,822,193,379,224,251
4685,4831,1658,3504,6241,1627,2256,2714,3039,3772,3871,5155,6091,3804,5159,4941,4043,6095,5524,5772,7057,4990,5693,2375,2646,1827,2715
182,36,198,287,206,187,170,144,288,363,356,92,172,61,145,132,54,154,164,168,189,179,193,187,159,253,41
3,1,0,3,3,0,0,1,1,1,1,1,3,1,0,2,1,6,1,1,1,2,2,1,0,0,4
6146,2011,2127,3215,6312,2141,3126,3253,3546,3898,4247,4179,5690,1914,4325,5035,1953,5466,5822,5798,6313,5911,6069,2501,2918,2284,1781
540,246,188,286,629,182,292,278,284,382,397,334,493,232,365,485,211,514,577,636,581,595,636,216,260,200,206
1640,483,470,709,1704,499,862,761,844,1005,1020,1103,1502,504,1090,1402,465,1396,1723,1536,1449,1527,1633,571,723,595,457
1688,841,593,1138,1752,506,931,842,1006,1226,1148,1117,1541,914,1281,1510,783,1554,1815,1961,1892,1926,2187,744,903,634,706
3822,1288,1377,2399,4397,1374,1291,1383,2321,2790,2834,2872,3835,1362,2833,3085,1134,3690,3704,3879,4084,3582,3994,1733,1359,1599,1050
237,73,155,209,326,146,154,137,217,299,327,123,231,67,194,236,67,209,248,335,273,378,348,165,94,153,60
