,VHL_2h,DMSO_24h,DMSO_2h,MYBi_24h,PBS_24h,VHL_24h
A1BG,0.0,0.0,0.0,0.0,0.0,0.0
NAT1,6.75,2.75,12.5,0.0,2.5,0.75
AAMP,9.0,8.75,9.75,0.0,7.0,6.0
AARS1,20.5,15.5,16.75,0.6666666666666666,5.5,4.75
ABAT,1.25,4.0,1.75,0.0,1.5,1.25
ABCA1,1.5,3.0,3.25,0.0,1.5,1.75
ABCA2,6.0,3.25,7.0,0.0,1.0,1.0
ABCA3,0.0,0.0,0.0,0.0,0.0,0.0
ABCB7,0.25,0.25,0.25,0.0,0.0,0.0
ABCF1,0.75,0.0,0.5,0.0,0.0,0.0
ABL1,67.0,35.25,75.25,4.666666666666667,29.25,24.5
AOC1,0.0,0.25,0.0,0.0,0.0,0.0
ABL2,84.5,27.75,93.5,7.333333333333333,17.75,18.75
ABO,0.0,0.0,0.0,0.0,0.25,0.0
ABR,18.0,28.5,24.25,0.3333333333333333,3.5,19.25
ACAA1,14.5,13.25,10.75,0.0,7.0,8.0
ACACA,1.0,3.0,2.75,0.0,0.75,2.0
ACACB,1.25,2.5,2.25,0.0,2.5,1.25
ACADM,2.75,0.75,1.25,1.3333333333333333,1.5,0.25
ACADS,2.75,1.25,3.75,0.0,0.75,1.25
ACADSB,6.25,4.5,8.5,0.6666666666666666,7.0,4.0
ACADVL,4.0,1.5,4.5,1.6666666666666667,2.0,0.5
ACAT1,1.5,1.5,2.75,1.3333333333333333,0.5,1.75
ACAT2,4.75,2.75,5.0,0.3333333333333333,5.5,2.75
ASIC1,2.5,3.25,2.0,0.3333333333333333,0.5,1.25
ACHE,0.0,0.0,0.0,0.0,0.0,0.0
ACLY,58.0,36.5,69.75,2.3333333333333335,28.0,21.0
ACO1,4.75,1.25,4.0,0.0,0.75,0.75
ACO2,6.75,6.0,13.25,2.3333333333333335,4.75,4.0
ACOX1,26.75,13.5,31.75,1.6666666666666667,3.75,4.0
ACP1,54.0,22.75,70.25,3.6666666666666665,20.5,14.0
ACP2,10.75,7.0,6.75,0.0,5.75,4.0
ACPP,3.25,3.75,1.75,0.0,1.75,5.0
ACRV1,0.0,0.0,0.0,0.0,0.0,0.0
ACTA2,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,1115.25,2418.25,1544.25,95.33333333333333,391.25,1187.75
ACTG1,1871.0,3694.0,2532.25,56.666666666666664,669.0,2134.0
ACTN4,56.5,29.75,66.25,5.333333333333333,41.5,13.75
ACTL6A,10.75,4.25,15.5,1.0,2.0,4.5
ACTN1,23.0,21.75,38.5,2.3333333333333335,9.25,10.25
ACTN2,0.75,0.5,0.25,0.0,0.0,0.5
ACVR1,1.75,1.25,1.0,1.0,1.5,0.5
ACVR1B,43.5,20.25,43.5,2.3333333333333335,21.0,15.5
ACVR2A,3.0,2.75,5.0,0.0,1.0,1.5
ACVR2B,16.5,9.0,26.75,1.0,9.5,6.0
ACVRL1,0.75,0.5,1.25,0.0,1.0,0.25
ACY1,1.25,1.25,0.75,0.0,2.5,0.5
ACYP1,12.5,6.75,12.0,0.0,2.5,4.75
ACYP2,0.0,0.25,0.25,0.0,0.0,0.0
ADA,9.25,10.75,8.0,1.6666666666666667,4.75,7.75
ADAM8,5.25,3.25,5.5,0.0,3.25,2.0
ADAM10,49.0,19.75,74.5,1.3333333333333333,26.25,16.5
ADAR,112.5,40.5,115.5,4.0,55.75,34.0
ADARB1,13.25,6.0,11.25,0.6666666666666666,6.5,6.75
ADCY1,7.5,5.5,10.0,0.0,0.25,3.0
ADCY3,19.5,10.25,22.25,0.6666666666666666,8.0,9.25
ADCY5,0.0,0.0,0.0,0.0,0.0,0.25
ADCY6,0.0,0.0,0.0,0.0,0.5,0.0
ADCY7,64.75,34.25,59.75,1.6666666666666667,25.75,27.75
ADCY9,31.75,33.25,41.5,38.0,110.75,27.25
ADCYAP1R1,0.0,0.0,0.0,0.0,0.0,0.0
ADD1,37.75,21.75,44.25,3.0,28.5,15.0
ADD2,11.25,10.0,14.5,0.3333333333333333,8.25,10.75
ADD3,5.75,5.25,7.75,0.0,2.25,1.0
PLIN2,27.25,13.5,35.75,0.6666666666666666,9.75,5.5
ADH5,13.75,3.75,22.0,0.0,4.5,5.0
ADH6,0.0,0.0,0.0,0.0,0.0,0.0
ADK,4.75,2.5,6.75,3.3333333333333335,0.5,1.0
ADM,3.25,0.25,6.5,0.0,0.0,0.25
ADORA1,0.0,0.0,0.0,0.0,0.0,0.0
ADORA2A,2.0,4.75,4.75,0.3333333333333333,1.0,1.25
ADORA2B,52.0,15.75,57.25,0.6666666666666666,6.25,8.5
ADORA3,3.75,0.0,2.0,0.0,0.25,0.0
ADPRH,13.75,5.25,19.0,0.0,1.25,2.0
PARP1,19.0,8.25,19.5,1.0,11.0,3.5
PARP4,0.75,1.5,0.5,0.0,0.0,0.25
ADRA1D,0.0,0.0,1.0,0.0,0.0,0.0
ADRA2C,0.0,0.5,0.5,0.0,0.0,0.5
ADRB1,2.0,7.75,5.5,0.0,2.0,2.75
ADRB2,37.75,6.75,89.0,1.6666666666666667,11.0,4.5
GRK2,57.25,30.25,64.75,1.6666666666666667,33.25,32.25
GRK3,29.25,13.75,49.75,1.0,12.75,9.25
ADSL,3.5,2.5,3.25,0.0,0.25,0.25
ADSS2,10.5,3.75,13.5,0.0,2.25,1.0
AP2A1,5.25,1.75,2.75,1.6666666666666667,1.75,0.75
AP2A2,2.25,1.5,3.0,0.0,1.25,0.5
AP1B1,13.0,6.75,19.25,0.6666666666666666,7.0,7.75
AP2B1,60.0,39.0,84.0,4.666666666666667,25.75,20.25
AP1G1,112.5,47.75,156.0,8.0,51.0,36.0
